element_type,osmid,geometry,nodes,building,building:colour,building:levels,building:material,name,name:zh,name:zh-Hans,name:zh-Hant,roof:colour,roof:material,addr:city,addr:district,addr:postcode,addr:province,addr:street,roof:shape,roof:height,amenity,tourism,leisure,addr:housenumber,name:en,sport,height,roof:orientation,office,access,bicycle_parking,layer,ways,type
way,513265439,"POLYGON ((116.3107292 39.9723539, 116.3107449 39.9722168, 116.3108074 39.9721961, 116.3108553 39.9722258, 116.3108757 39.972258, 116.3115841 39.9723056, 116.3115722 39.9724104, 116.3107292 39.9723539))","[5017723554, 5017723555, 5032671855, 5017723556, 5017723557, 5017723558, 5017723559, 5017723554]",yes,,,,教学四楼,教学四楼,教学四楼,教學四樓,,,,,,,,,,,,,,,,,,,,,,,
way,513265440,"POLYGON ((116.3086494 39.9721915, 116.3086659 39.9720493, 116.3105588 39.9721785, 116.3105423 39.9723208, 116.3101772 39.9722959, 116.3101813 39.97226, 116.3096504 39.9722238, 116.3096462 39.9722596, 116.3093995 39.9722427, 116.3094035 39.9722081, 116.3089348 39.9721761, 116.3089307 39.9722107, 116.3086494 39.9721915))","[5017723560, 5017723561, 5017723562, 5017723563, 5101650448, 5101650445, 5101650444, 5101650449, 5101650450, 5101650447, 5101650446, 5101650451, 5017723560]",yes,,,,信息楼,信息楼,信息楼,訊息樓,,,,,,,,,,,,,,,,,,,,,,,
way,513265442,"POLYGON ((116.3065781 39.9699409, 116.3066039 39.9697425, 116.306993 39.9697723, 116.3070143 39.9696089, 116.3066019 39.9695773, 116.3066235 39.9694114, 116.3076696 39.9694916, 116.3076475 39.9696609, 116.3072335 39.9696292, 116.3072125 39.9697901, 116.307608 39.9698204, 116.3075822 39.9700178, 116.3065781 39.9699409))","[5017723566, 5017723567, 5017723568, 5017723569, 5017723570, 5017723571, 5017723572, 5017723573, 5017723574, 5017723575, 5017723576, 5017723577, 5017723566]",yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,513378589,"POLYGON ((116.3123557 39.970212, 116.3125847 39.9702279, 116.3128232 39.9701473, 116.312904 39.9698228, 116.3126777 39.9696671, 116.3124224 39.9696493, 116.3123557 39.970212))","[5018576901, 5018576902, 5018576903, 5018576904, 5018576905, 5018576906, 5018576901]",yes,,,,文化大厦,文化大厦,文化大厦,文化大廈,,,,,,,,,,,,,,,,,,,,,,,
way,513378597,"POLYGON ((116.3062309 39.9670117, 116.3066587 39.9670358, 116.3067158 39.9665306, 116.3062908 39.9665024, 116.3062667 39.9667071, 116.3062309 39.9670117))","[5018576919, 5018576914, 5018578026, 5018578027, 5100950175, 5018576919]",yes,,,,游泳馆,游泳馆,游泳馆,游泳館,,,,,,,,,,,,sports_centre,,,swimming,,,,,,,,
way,513378598,"POLYGON ((116.3059824 39.9664514, 116.3059909 39.9663379, 116.3067645 39.9663721, 116.306756 39.9664856, 116.3059824 39.9664514))","[5018578028, 5018578029, 5018578030, 8797222191, 5018578028]",yes,,,,游泳馆配楼,游泳馆配楼,游泳馆配楼,游泳館配樓,,,,,,,,,,,,,,,,,,,,,,,
way,513378599,"POLYGON ((116.3068165 39.9673768, 116.3076441 39.9674309, 116.3076617 39.9672729, 116.3078951 39.9672881, 116.30791 39.9671542, 116.3076221 39.9671353, 116.3076107 39.9672378, 116.3070786 39.967203, 116.3070883 39.9671158, 116.3073291 39.9671315, 116.3073404 39.9670296, 116.3068587 39.9669981, 116.3068165 39.9673768))","[5018578032, 5018578033, 5018578034, 5018578035, 5018578036, 5018578037, 5018578038, 5100835864, 5100835862, 5100835861, 5100835863, 5018578039, 5018578032]",university,,,,教学三楼,教学三楼,教学三楼,教學三樓,,,,,,,,,,,,,,,,,,,,,,,
way,513378604,"POLYGON ((116.3013416 39.9684341, 116.301368 39.9682495, 116.3023101 39.9683241, 116.302283 39.9685133, 116.3013416 39.9684341))","[5018578047, 5018578048, 5018578049, 5018578050, 5018578047]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,513378610,"POLYGON ((116.3059485 39.9692441, 116.3061414 39.969258, 116.3061425 39.9692489, 116.3061913 39.9692524, 116.3062569 39.9692571, 116.3062557 39.9692662, 116.30659 39.9692902, 116.3065824 39.9693525, 116.306576 39.9694046, 116.3062476 39.9693809, 116.3062242 39.9695726, 116.3062153 39.9696452, 116.3064258 39.9696603, 116.3064184 39.9697205, 116.306411 39.9697805, 116.3059018 39.9697439, 116.3059097 39.9696792, 116.3059168 39.9696207, 116.3060924 39.9696333, 116.3061008 39.9695643, 116.3061161 39.9694391, 116.3061244 39.9693715, 116.3059345 39.9693578, 116.305942 39.9692971, 116.3059485 39.9692441))","[5018578075, 5169323435, 5169323433, 5169323421, 5169323432, 5169323434, 5018578076, 5169323428, 5018578077, 5018578078, 5169323422, 5018578079, 5018578080, 5169323423, 5018578081, 5018578082, 5169323424, 5018578083, 5018578084, 5169323425, 5169323426, 5018578085, 5018578086, 5169323427, 5018578075]",university,,2,,,,,,,,,,,,,gabled,6.83,,,,,,,9.83,,,,,,,
way,513378611,"POLYGON ((116.3054356 39.969426, 116.3055588 39.9694388, 116.3055428 39.9695295, 116.3054994 39.969525, 116.3054933 39.9695592, 116.3054036 39.9695499, 116.3053835 39.9696631, 116.3055638 39.9696819, 116.3058575 39.9697125, 116.3058835 39.9695661, 116.3056469 39.9695415, 116.3056632 39.9694497, 116.3058609 39.9694703, 116.3058796 39.9693652, 116.3056829 39.9693447, 116.3056972 39.9692641, 116.3058939 39.9692846, 116.3059131 39.9691768, 116.3056617 39.9691506, 116.3054877 39.9691325, 116.3054687 39.9692393, 116.3055973 39.9692527, 116.3055831 39.969333, 116.3054545 39.9693196, 116.3054356 39.969426))","[5018578087, 5169323450, 5169323445, 5169323442, 5169323441, 5169323443, 5169323448, 5169323439, 5169323447, 5169323444, 5169323446, 5169323449, 5018578088, 5169323458, 5169323452, 5169323451, 5169323457, 5018578089, 5169323438, 5018578090, 5169323455, 5169323454, 5169323453, 5169323456, 5018578087]",yes,#c88c78,2,brick,,,,,gray,roof_tiles,,,,,,gabled,4.14,,,,,,,7.56,along,,,,,,
way,513380872,"POLYGON ((116.3080186 39.9693351, 116.308165 39.9693437, 116.3081683 39.9693112, 116.308848 39.9693512, 116.3088362 39.9694663, 116.3088234 39.9695795, 116.3081823 39.9695419, 116.307999 39.9695311, 116.3080186 39.9693351))","[5018592408, 5100835645, 5100835646, 5018592409, 5018592418, 5018592410, 5018592414, 5018592411, 5018592408]",yes,,9,,理工楼,理工楼,理工楼,理工樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380873,"POLYGON ((116.3078135 39.9698286, 116.3078508 39.969517, 116.307999 39.9695311, 116.3081823 39.9695419, 116.3081529 39.9698486, 116.3078135 39.9698286))","[5018592412, 5018592413, 5018592411, 5018592414, 5018592415, 5018592412]",yes,,,,理工楼配楼,理工楼配楼,理工楼配楼,理工樓配樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380874,"POLYGON ((116.3088234 39.9695795, 116.3088192 39.9696158, 116.3089308 39.9696233, 116.3089477 39.9694737, 116.3088362 39.9694663, 116.3088234 39.9695795))","[5018592410, 5169356937, 5018592416, 5018592417, 5018592418, 5018592410]",yes,,,,ITS,,,,,,,,,,,,,,,,,ITS,,,,it,,,,,
way,513380875,"POLYGON ((116.3088203 39.9700796, 116.3088705 39.969687, 116.3090726 39.9697022, 116.3090778 39.9696611, 116.3092629 39.969675, 116.3092577 39.9697161, 116.3094119 39.9697277, 116.3093616 39.9701202, 116.3092253 39.9701099, 116.3092229 39.9701287, 116.3091098 39.9701202, 116.3091122 39.9701015, 116.3088203 39.9700796))","[5018592419, 5018592420, 5100835622, 5100834420, 5100834419, 5100835621, 5018595021, 5018595022, 5100834417, 5100834416, 5100834415, 5100834418, 5018592419]",university,,,,中区食堂,中区食堂,中区食堂,中區食堂,,,,,,,,,,,,,,,,,,,,,,,
way,513380878,"POLYGON ((116.3031643 39.970535, 116.3032026 39.9702306, 116.3035757 39.9702581, 116.3035374 39.9705625, 116.3031643 39.970535))","[5018595026, 5018595027, 5018595028, 5018595029, 5018595026]",apartments,#c6bbbb,18,,宜园2楼,宜园2楼,宜园2楼,宜園2樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380880,"POLYGON ((116.3037339 39.9705861, 116.303751 39.9703713, 116.3037578 39.9702852, 116.3041334 39.9703027, 116.3041096 39.9706036, 116.3037339 39.9705861))","[5018595030, 10185700594, 5018595031, 5018595032, 5018595033, 5018595030]",apartments,#c6bbbb,18,,宜园3楼,宜园3楼,宜园3楼,宜園3樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380882,"POLYGON ((116.3031565 39.9708765, 116.3034895 39.9708995, 116.3034299 39.9713907, 116.3034119 39.9715582, 116.3030789 39.9715352, 116.3031565 39.9708765))","[5018595034, 5018595035, 5018595038, 5018595036, 5018595037, 5018595034]",yes,#ef8d72,6,plaster,知行6楼,知行6楼,知行6楼,知行6樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380883,"POLYGON ((116.3034299 39.9713907, 116.3040126 39.9714241, 116.3039967 39.9715871, 116.303414 39.9715537, 116.3034299 39.9713907))","[5018595038, 5018595039, 5018595040, 5018595041, 5018595038]",apartments,#ef8d72,12,plaster,知行5楼,知行5楼,知行5楼,知行5樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380885,"POLYGON ((116.3042438 39.9710415, 116.3050689 39.9710859, 116.3050475 39.9713194, 116.3048981 39.9713113, 116.3049061 39.9712246, 116.3042304 39.9711882, 116.3042438 39.9710415))","[5018595045, 5018595046, 5018595047, 5018595048, 5018595049, 5018595050, 5018595045]",apartments,#ef8d72,,plaster,知行1楼,知行1楼,知行1楼,知行1樓,,,,,,,,,,,,,,,,,,,,,,,
way,513380886,"POLYGON ((116.3045981 39.9717175, 116.3046274 39.9714562, 116.3049669 39.9714787, 116.3049375 39.9717399, 116.3045981 39.9717175))","[5018595051, 5018595052, 5018595053, 5018595054, 5018595051]",apartments,#ef8d72,14,plaster,知行3楼,知行3楼,知行3楼,知行3樓,,,,,,,,,,,,,,,,,,,,,,,
way,515161756,"POLYGON ((116.3015351 39.9713114, 116.3019913 39.9713399, 116.3019889 39.9713622, 116.3021392 39.9713716, 116.3021416 39.9713494, 116.3022491 39.9713561, 116.3022625 39.971228, 116.3022709 39.9711506, 116.3022805 39.9710621, 116.3020299 39.9710464, 116.3020334 39.9710136, 116.3018006 39.970999, 116.3015699 39.9709845, 116.3015555 39.9711025, 116.3015438 39.9712348, 116.3015351 39.9713114))","[5031781016, 5031781009, 5031781008, 5031781007, 5031781010, 5031781013, 5031781233, 5031781237, 5031781011, 5031781012, 5031781014, 5031781006, 5031781015, 5031781002, 5031781003, 5031781016]",university,#b60b2d,5,brick,明德堂,明德堂,明德堂,明德堂,gray,concrete,,,,,,,,,,,,,,,,,,,,,
way,515161757,"POLYGON ((116.301232 39.9706207, 116.3010123 39.9706067, 116.3009584 39.9711037, 116.3010281 39.9711089, 116.3010214 39.9711757, 116.3010044 39.9712005, 116.3010093 39.9712324, 116.3010576 39.9712569, 116.3011058 39.9712461, 116.3011303 39.9712114, 116.3011599 39.9712133, 116.3011568 39.9712418, 116.3014386 39.9712525, 116.3014406 39.9712294, 116.3015438 39.9712348, 116.3015555 39.9711025, 116.3014524 39.9710971, 116.3011811 39.9710899, 116.3012204 39.9707277, 116.301232 39.9706207))","[5031781231, 5031781230, 5031781229, 5031781227, 5031781017, 5031781019, 5031781226, 5031781018, 5031781222, 5031781221, 5031781020, 5031781223, 5031781228, 5031781004, 5031781003, 5031781002, 5031781224, 5031781225, 5031781005, 5031781231]",university,#b60b2d,8,brick,明德国际楼,明德国际楼,明德国际楼,明德國際樓,gray,concrete,,,,,,,,,,,,,,,,,,,,,
