u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
5101650443,5101650442,0,524200070,service,False,False,85.896,"LINESTRING (116.3059939 39.9708845, 116.3069975 39.9709564)",,,
5101650443,5101650542,0,524200102,service,False,False,29.459,"LINESTRING (116.3059939 39.9708845, 116.3059741 39.971149)",,,
5101650443,5101650440,0,524200102,service,False,True,4.203,"LINESTRING (116.3059939 39.9708845, 116.305999 39.9708469)",,,
5101650470,5017699858,0,513262265,footway,False,True,134.998,"LINESTRING (116.3011354 39.9688549, 116.3012442 39.9688595, 116.3012845 39.968533, 116.301804 39.9685714, 116.3023269 39.96861)",,,
5101650476,5017699837,0,182857674,residential,False,False,81.399,"LINESTRING (116.3029311 39.9715296, 116.3030441 39.9708027)",谨勤路,,
5101650476,5170874275,0,524200079,service,False,False,392.61400000000003,"LINESTRING (116.3029311 39.9715296, 116.3008726 39.9712517, 116.3010657 39.9696093, 116.3011917 39.9695292, 116.3012561 39.9695271, 116.3012706 39.9694226)",,,
5101650476,5032716102,0,524200079,service,False,True,139.07999999999998,"LINESTRING (116.3029311 39.9715296, 116.3030371 39.9715519, 116.3039464 39.9716649, 116.3045418 39.9717276)",,,
5101650539,2368045561,0,182857674,residential,False,False,20.493,"LINESTRING (116.3032097 39.9697351, 116.3032382 39.9695521)",谨勤路,,
5101650539,5017699837,0,182857674,residential,False,True,119.548,"LINESTRING (116.3032097 39.9697351, 116.3030441 39.9708027)",谨勤路,,
5101650539,5017699842,0,524200101,service,False,False,93.359,"LINESTRING (116.3032097 39.9697351, 116.3042966 39.9698403)",,,
5101650540,5101650441,0,524200068,service,False,False,75.855,"LINESTRING (116.3060546 39.9714799, 116.3069418 39.9715354)",,,
5101650540,5017699853,0,524200102,service,False,False,39.13,"LINESTRING (116.3060546 39.9714799, 116.3060057 39.9718298)",,,
5101650540,5101650541,0,524200102,service,False,True,8.873,"LINESTRING (116.3060546 39.9714799, 116.3059527 39.9714635)",,,
5101650541,5017699840,0,524200055,service,False,False,74.786,"LINESTRING (116.3059527 39.9714635, 116.3050777 39.9714117)",,,
5101650541,5101650540,0,524200102,service,False,False,8.873,"LINESTRING (116.3059527 39.9714635, 116.3060546 39.9714799)",,,
5101650541,5101650542,0,524200102,service,False,True,35.018,"LINESTRING (116.3059527 39.9714635, 116.3059741 39.971149)",,,
5101650542,5101650425,0,524200056,service,False,False,71.838,"LINESTRING (116.3059741 39.971149, 116.3051343 39.9710927)",,,
5101650542,5101650541,0,524200102,service,False,False,35.018,"LINESTRING (116.3059741 39.971149, 116.3059527 39.9714635)",,,
5101650542,5101650443,0,524200102,service,False,True,29.459,"LINESTRING (116.3059741 39.971149, 116.3059939 39.9708845)",,,
5101650543,5101645685,0,513262258,residential,False,False,34.186,"LINESTRING (116.3061189 39.9699696, 116.3065183 39.9699984)",汇贤路,,
5101650543,5017699857,0,513262258,residential,False,True,68.231,"LINESTRING (116.3061189 39.9699696, 116.3053217 39.9699126)",汇贤路,,
5101650543,5101650438,0,524200102,service,False,False,25.003,"LINESTRING (116.3061189 39.9699696, 116.3060879 39.9701932)",,,
5101650544,5101650425,0,513262257,service,False,False,9.202,"LINESTRING (116.3051489 39.9710107, 116.3051343 39.9710927)",,,
5101650544,5101650439,0,513262257,service,False,True,25.339,"LINESTRING (116.3051489 39.9710107, 116.305189 39.9707849)",,,
5101650544,5101650545,0,524200104,service,False,True,85.782,"LINESTRING (116.3051489 39.9710107, 116.3041459 39.9709452)",,,
5101650545,5017699842,0,182857677,residential,False,False,123.529,"LINESTRING (116.3041459 39.9709452, 116.3042966 39.9698403)",知行路,,
5101650545,1932225274,0,182857677,residential,False,True,44.842,"LINESTRING (116.3041459 39.9709452, 116.3040913 39.9713463)",知行路,,
5101650545,5101650544,0,524200104,service,False,False,85.782,"LINESTRING (116.3041459 39.9709452, 116.3051489 39.9710107)",,,
5169253686,1932225263,0,182857675,residential,False,False,43.346,"LINESTRING (116.3111355 39.9682117, 116.3111804 39.9678234)",林园路,,
5169253686,2843205531,0,182857675,residential,False,True,37.976,"LINESTRING (116.3111355 39.9682117, 116.3110948 39.9685518)",林园路,,
5169253686,5169253693,0,532742887,path,False,True,33.597,"LINESTRING (116.3111355 39.9682117, 116.3115274 39.9682446)",,,
5169253693,5169253686,0,532742887,path,False,False,33.597,"LINESTRING (116.3115274 39.9682446, 116.3111355 39.9682117)",,,
5169253693,5169253703,0,532742890,path,False,False,43.785,"LINESTRING (116.3115274 39.9682446, 116.311533 39.9682181, 116.3115518 39.9681867, 116.311581 39.9681604, 116.3116185 39.9681412, 116.3116614 39.9681306, 116.3117065 39.9681293, 116.3117503 39.9681375, 116.3117867 39.9681529, 116.3118169 39.9681749, 116.3118389 39.968202, 116.3118513 39.9682325, 116.3118532 39.9682644)",,,
