u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
61324668,9290820336,0,8616091,Amherst Alley,residential,25 mph,18.3,True,False,94.691,1,"LINESTRING (-71.0954635 42.3571037, -71.0965124 42.356751)",,,,,
61324668,3862046842,0,383005642,,footway,,,False,False,4.529,,"LINESTRING (-71.0954635 42.3571037, -71.0954764 42.3571433)",,,,,
61324668,7794600754,0,383005642,,footway,,,False,True,3.896,,"LINESTRING (-71.0954635 42.3571037, -71.0954526 42.3570696)",,,,,
61324673,11749286108,0,8615096,Danforth Street,residential,25 mph,18.3,False,True,6.099,2,"LINESTRING (-71.09522 42.3574784, -71.0951898 42.3574283)",,,,,
61324673,5828537345,0,254299041,Amherst Street,residential,25 mph,18.3,False,False,6.098,2,"LINESTRING (-71.09522 42.3574784, -71.0951522 42.3575007)",,,,,
61324673,5828537347,0,368829143,,service,,,False,False,6.8,,"LINESTRING (-71.09522 42.3574784, -71.0952969 42.3574558)",,driveway,,,
61326504,7890366289,0,8615753,,service,,,False,True,29.689999999999998,,"LINESTRING (-71.1050102 42.3550729, -71.1050018 42.3550387, -71.1049685 42.3549121, -71.1049673 42.3548832, -71.1049778 42.3548484, -71.1050027 42.3548261, -71.1050154 42.3548233)",,,,,
61326504,7890342982,0,"[1213149372, 845727309, 845727308]",,footway,,,False,False,60.518,,"LINESTRING (-71.1050102 42.3550729, -71.1049691 42.355092, -71.104854 42.3551625, -71.1044745 42.3553485, -71.1044059 42.3553831)",,,,,
61326504,7890366287,0,"[1213149371, 1213149372]",,footway,,,False,True,16.939,,"LINESTRING (-71.1050102 42.3550729, -71.1050653 42.3550472, -71.1051471 42.3550104, -71.1051722 42.3549826)",,,,,
61327823,11749286108,0,8615096,Danforth Street,residential,25 mph,18.3,False,False,23.164,2,"LINESTRING (-71.0950751 42.357238, -71.0951898 42.3574283)",,,,,
61327823,7887231878,0,8616091,Amherst Alley,residential,25 mph,18.3,True,False,9.931,1,"LINESTRING (-71.0950751 42.357238, -71.0951839 42.3571991)",,,,,
61328012,3577801305,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,False,18.173,2,"LINESTRING (-71.0864092 42.3604299, -71.0862068 42.3604958)",,,,,
61328012,3577801304,0,8615700,Carleton Street,service,25 mph,15.2,False,False,8.327,2,"LINESTRING (-71.0864092 42.3604299, -71.0863989 42.3605044)",,,,,
61328012,6755418782,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,True,21.224,2,"LINESTRING (-71.0864092 42.3604299, -71.0864977 42.3603983, -71.0866434 42.3603494)",,,,,
61328027,7590916076,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,False,5.238,2,"LINESTRING (-71.0876473 42.3600117, -71.0875899 42.3600322)",,,,,
61328027,7631024523,0,8616022,Ames Street,tertiary,20 mph,6.7,False,False,7.374,2,"LINESTRING (-71.0876473 42.3600117, -71.0876058 42.3599529)",,,,,
61328027,7631024529,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,False,8.594,2,"LINESTRING (-71.0876473 42.3600117, -71.0876922 42.3600815)",,,,,
61328027,3862046853,0,383005634,,footway,,,False,True,7.781,,"LINESTRING (-71.0876473 42.3600117, -71.087732 42.3599804)",,,,,
61330557,6755418782,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,False,6.745,2,"LINESTRING (-71.0867182 42.3603244, -71.0866434 42.3603494)",,,,,
61330557,5562633687,0,43250932,,footway,,,False,False,6.999,,"LINESTRING (-71.0867182 42.3603244, -71.0867513 42.3603824)",,,,,
61330557,7631024525,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,True,73.229,2,"LINESTRING (-71.0867182 42.3603244, -71.0874985 42.3600629, -71.0875293 42.3600515)",,,,,
61331830,6339188924,0,8615075,Wadsworth Street,residential,20 mph,14.6,False,True,14.079,2,"LINESTRING (-71.0843674 42.3611122, -71.0842966 42.3609969)",,,,,
61331830,7631024542,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,True,11.836,2,"LINESTRING (-71.0843674 42.3611122, -71.0844975 42.3610665)",,,,,
61331830,5160925350,0,242655751,Wadsworth Street,unclassified,20 mph,14.6,False,False,12.681,2,"LINESTRING (-71.0843674 42.3611122, -71.0843524 42.3612257)",,,,,
61333312,2292066493,0,991789488,,footway,,,False,False,7.899,,"LINESTRING (-71.0889188 42.3596023, -71.0888246 42.3596165)",,,,,
61333312,4330089138,0,991789488,,footway,,,False,True,15.0,,"LINESTRING (-71.0889188 42.3596023, -71.0888466 42.3594784)",,,,,
61333312,542904658,0,43250989,,footway,,,False,False,12.458,,"LINESTRING (-71.0889188 42.3596023, -71.0889544 42.3595983, -71.0890329 42.3595895, -71.0890687 42.3595855)",,,,,
