u,v,key,osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,service,access,bridge,tunnel
1914362736,542904247,0,43250989,,footway,,,False,False,8.378,,"LINESTRING (-71.0899311 42.3592931, -71.0900206 42.359257)",,,,,
1914362736,4039158116,0,43250989,,footway,,,False,True,68.69,,"LINESTRING (-71.0899311 42.3592931, -71.0891704 42.3595493)",,,,,
1914362736,4329906126,0,435052278,,footway,,,False,True,5.328,,"LINESTRING (-71.0899311 42.3592931, -71.0899048 42.3592493)",,,,,
1982207058,7625870400,0,28585443,Fowler Lane,service,,,False,True,43.312,2,"LINESTRING (-71.0850435 42.3604251, -71.0850814 42.3604114, -71.0852791 42.3607386)",,driveway,,,
2292050354,4328995179,0,383005637,,footway,,,False,False,8.268,,"LINESTRING (-71.0883219 42.3609825, -71.0882794 42.3609151)",,,,,
2292050354,4328995182,0,845223985,,footway,,,False,True,6.837,,"LINESTRING (-71.0883219 42.3609825, -71.0883544 42.3610391)",,,,,
2292050354,4013234601,0,"[1011548281, 398575653]",,"['corridor', 'footway']",,,False,True,27.144,,"LINESTRING (-71.0883219 42.3609825, -71.088515 42.3609178, -71.088556 42.3609333, -71.0885853 42.3609473, -71.0886202 42.3609374)",,,permissive,,
2292050356,4328995182,0,220083644,,footway,,,False,False,6.167,,"LINESTRING (-71.0882851 42.3610604, -71.0883544 42.3610391)",,,,,
2292050356,7590916065,0,220083644,,footway,,,False,True,5.472,,"LINESTRING (-71.0882851 42.3610604, -71.0882248 42.3610813)",,,,,
2292050356,436587028,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,False,7.258,2,"LINESTRING (-71.0882851 42.3610604, -71.0882989 42.3610808, -71.0883109 42.3610998, -71.0883205 42.3611201)",,,,,
2292050356,542897019,0,42769910,Ames Street,tertiary,20 mph,15.2;18.6,False,True,14.921,2,"LINESTRING (-71.0882851 42.3610604, -71.0882434 42.3609917, -71.0882092 42.3609385)",,,,,
2292050357,542903462,0,220083632,,footway,,,False,False,24.822,,"LINESTRING (-71.0882671 42.3608926, -71.0885426 42.360801)",,,,,
2292050357,4328995179,0,383005637,,footway,,,False,True,2.698,,"LINESTRING (-71.0882671 42.3608926, -71.0882794 42.3609151)",,,,,
2292050357,4328995185,0,434970305,,footway,,,False,False,6.261,,"LINESTRING (-71.0882671 42.3608926, -71.0882006 42.3609201)",,,,,
2292050357,7631024526,0,817075921,,footway,,,False,True,101.571,,"LINESTRING (-71.0882671 42.3608926, -71.0877711 42.3600559)",,,,,
2292050529,2292050577,0,"[43250512, 220083643]",,"['steps', 'footway']",,,False,True,9.95,,"LINESTRING (-71.087995 42.3610425, -71.0879471 42.3610577, -71.0878839 42.3610781)",,,,,
2292050529,4328995184,0,401634307,,footway,,,False,False,14.453,,"LINESTRING (-71.087995 42.3610425, -71.0880535 42.3609977, -71.0881172 42.360949)",,,,,
2292050529,7899281884,0,845359418,,footway,,,False,False,17.028,,"LINESTRING (-71.087995 42.3610425, -71.0881645 42.3610849, -71.0881913 42.3610916)",,,,,
2292050577,2292050529,0,"[43250512, 220083643]",,"['steps', 'footway']",,,False,False,9.95,,"LINESTRING (-71.0878839 42.3610781, -71.0879471 42.3610577, -71.087995 42.3610425)",,,,,
2292050577,542902983,0,43250512,,footway,,,False,True,25.756999999999998,,"LINESTRING (-71.0878839 42.3610781, -71.0878672 42.3610838, -71.0875994 42.3611754)",,,,,
2292050577,4040438291,0,"[1250580776, 1161449337, 1161449338, 220083655]",,footway,,,False,"[False, True]",40.539,,"LINESTRING (-71.0878839 42.3610781, -71.0879639 42.3612028, -71.0879896 42.3612231, -71.0880188 42.3612396, -71.0880416 42.3612463, -71.0880644 42.3612505, -71.0881168 42.3612517, -71.0882238 42.3612541, -71.0882484 42.3612561)",,,,,
2292063629,545538116,0,43250965,,footway,,,False,False,13.431,,"LINESTRING (-71.0881628 42.3601593, -71.0880971 42.3600487)",,,,,
2292063629,2292063720,0,43250965,,footway,,,False,True,18.259,,"LINESTRING (-71.0881628 42.3601593, -71.0882529 42.3603094)",,,,,
2292063629,2292063630,0,220084576,,footway,,,False,False,6.731,,"LINESTRING (-71.0881628 42.3601593, -71.0880867 42.3601817)",,,,,
2292063630,2292063629,0,220084576,,footway,,,False,True,6.731,,"LINESTRING (-71.0880867 42.3601817, -71.0881628 42.3601593)",,,,,
2292063720,2292063629,0,43250965,,footway,,,False,False,18.259,,"LINESTRING (-71.0882529 42.3603094, -71.0881628 42.3601593)",,,,,
2292063720,545539617,0,43250965,,footway,,,False,True,12.518,,"LINESTRING (-71.0882529 42.3603094, -71.0883147 42.3604123)",,,,,
2292063720,2292063724,0,220084589,,footway,,,False,False,6.799,,"LINESTRING (-71.0882529 42.3603094, -71.0881772 42.3603341)",,,,,
2292063721,2292063725,0,43250967,,footway,,,False,False,17.223,,"LINESTRING (-71.0884964 42.3602298, -71.088413 42.3600877)",,,,,
2292063721,545539606,0,43250967,,footway,,,False,True,12.437,,"LINESTRING (-71.0884964 42.3602298, -71.0885573 42.3603322)",,,,,
2292063721,2292063723,0,220084588,,footway,,,False,False,7.46,,"LINESTRING (-71.0884964 42.3602298, -71.0885801 42.3602038)",,,,,
2292063722,2292063725,0,220084587,,footway,,,False,True,7.322,,"LINESTRING (-71.0884955 42.3600628, -71.088413 42.3600877)",,,,,
2292063723,2292063721,0,220084588,,footway,,,False,True,7.46,,"LINESTRING (-71.0885801 42.3602038, -71.0884964 42.3602298)",,,,,
2292063724,2292063720,0,220084589,,footway,,,False,True,6.799,,"LINESTRING (-71.0881772 42.3603341, -71.0882529 42.3603094)",,,,,
2292063725,545538115,0,43250967,,footway,,,False,False,14.562,,"LINESTRING (-71.088413 42.3600877, -71.0883408 42.3599681)",,,,,
2292063725,2292063721,0,43250967,,footway,,,False,True,17.223,,"LINESTRING (-71.088413 42.3600877, -71.0884964 42.3602298)",,,,,
2292063725,2292063722,0,220084587,,footway,,,False,False,7.322,,"LINESTRING (-71.088413 42.3600877, -71.0884955 42.3600628)",,,,,
2292064137,1828218978,0,163650330,,footway,,,False,True,34.332,,"LINESTRING (-71.088999 42.3612285, -71.0892517 42.3614744)",,,,,
2292064137,1753191617,0,220084649,,footway,,,False,False,83.441,,"LINESTRING (-71.088999 42.3612285, -71.0888943 42.3619749)",,,,,
2292064137,1753191586,0,163650330,,footway,,,False,False,15.869,,"LINESTRING (-71.088999 42.3612285, -71.0889478 42.3611775, -71.0888839 42.3611139)",,,,,
2292064314,2292064698,0,163650330,,footway,,,False,False,15.949,,"LINESTRING (-71.0895564 42.3617673, -71.0894372 42.3616541)",,,,,
2292064314,2292064699,0,220084669,,footway,,,False,False,12.732,,"LINESTRING (-71.0895564 42.3617673, -71.0894109 42.3618067)",,,,,
2292064314,2292064315,0,220084669,,footway,,,False,True,16.197,,"LINESTRING (-71.0895564 42.3617673, -71.0897418 42.3617178)",,,,,
2292064314,1753191582,0,163650330,,footway,,,False,True,33.401,,"LINESTRING (-71.0895564 42.3617673, -71.0897378 42.3619432, -71.089823 42.3619913)",,,,,
2292064315,1753191582,0,43359356,,footway,,,False,False,31.135,,"LINESTRING (-71.0897418 42.3617178, -71.089823 42.3619913)",,,,,
2292064315,4329041553,0,43359356,,footway,,,False,True,3.73,,"LINESTRING (-71.0897418 42.3617178, -71.0897317 42.3616851)",,,,,
2292064315,2292064314,0,220084669,,footway,,,False,False,16.197,,"LINESTRING (-71.0897418 42.3617178, -71.0895564 42.3617673)",,,,,
2292064316,1828218978,0,163650328,,footway,,,False,False,57.773,,"LINESTRING (-71.0889364 42.3619388, -71.0892517 42.3614744)",,,,,
2292064316,1753191617,0,163650328,,footway,,,False,True,5.299,,"LINESTRING (-71.0889364 42.3619388, -71.0888943 42.3619749)",,,,,
2292064316,2292064699,0,220084669,,footway,,,False,True,41.661,,"LINESTRING (-71.0889364 42.3619388, -71.0894109 42.3618067)",,,,,
2292064698,1828218978,0,163650330,,footway,,,False,False,25.131,,"LINESTRING (-71.0894372 42.3616541, -71.0892517 42.3614744)",,,,,
2292064698,2292064314,0,163650330,,footway,,,False,True,15.949,,"LINESTRING (-71.0894372 42.3616541, -71.0895564 42.3617673)",,,,,
2292064698,2292064699,0,220084675,,footway,,,False,False,17.105,,"LINESTRING (-71.0894372 42.3616541, -71.0894109 42.3618067)",,,,,
2292064698,2292064924,0,220084675,,footway,,,False,True,21.197,,"LINESTRING (-71.0894372 42.3616541, -71.0894687 42.3614649)",,,,,
2292064699,2292064316,0,220084669,,footway,,,False,False,41.661,,"LINESTRING (-71.0894109 42.3618067, -71.0889364 42.3619388)",,,,,
2292064699,2292064314,0,220084669,,footway,,,False,True,12.732,,"LINESTRING (-71.0894109 42.3618067, -71.0895564 42.3617673)",,,,,
2292064699,2292064700,0,220084675,,footway,,,False,False,23.129,,"LINESTRING (-71.0894109 42.3618067, -71.0893719 42.3620127)",,,,,
2292064699,2292064698,0,220084675,,footway,,,False,True,17.105,,"LINESTRING (-71.0894109 42.3618067, -71.0894372 42.3616541)",,,,,
2292064700,1753191617,0,163650326,,footway,,,False,False,39.465,,"LINESTRING (-71.0893719 42.3620127, -71.0888943 42.3619749)",,,,,
2292064700,2292064699,0,220084675,,footway,,,False,True,23.129,,"LINESTRING (-71.0893719 42.3620127, -71.0894109 42.3618067)",,,,,
2292064700,1828218071,0,163650326,,footway,,,False,True,38.58,,"LINESTRING (-71.0893719 42.3620127, -71.0895467 42.362025, -71.0897368 42.362036, -71.0898395 42.3620441)",,,,,
2292064923,1828218862,0,163650328,,footway,,,False,False,28.114,,"LINESTRING (-71.0893208 42.3613802, -71.0894546 42.3611475)",,,,,
2292064923,1828218978,0,163650328,,footway,,,False,True,11.914,,"LINESTRING (-71.0893208 42.3613802, -71.0892517 42.3614744)",,,,,
2292064923,2292064924,0,220084684,,footway,,,False,False,15.374,,"LINESTRING (-71.0893208 42.3613802, -71.0894687 42.3614649)",,,,,
2292064923,1753191586,0,220084684,,footway,,,False,True,46.534,,"LINESTRING (-71.0893208 42.3613802, -71.0889503 42.3611544, -71.0888839 42.3611139)",,,,,
2292064924,2292064698,0,220084675,,footway,,,False,False,21.197,,"LINESTRING (-71.0894687 42.3614649, -71.0894372 42.3616541)",,,,,
2292064924,436587089,0,220084675,,footway,,,False,True,35.49,,"LINESTRING (-71.0894687 42.3614649, -71.0895304 42.361149)",,,,,
2292064924,2292064925,0,220084684,,footway,,,False,False,25.583,,"LINESTRING (-71.0894687 42.3614649, -71.0897089 42.3616113)",,,,,
2292064924,2292064923,0,220084684,,footway,,,False,True,15.374,,"LINESTRING (-71.0894687 42.3614649, -71.0893208 42.3613802)",,,,,
2292064925,4329041553,0,43359356,,footway,,,False,False,8.417,,"LINESTRING (-71.0897089 42.3616113, -71.0897317 42.3616851)",,,,,
2292064925,4329091788,0,43359356,,footway,,,False,True,14.743,,"LINESTRING (-71.0897089 42.3616113, -71.0896704 42.3614818)",,,,,
2292064925,2292064924,0,220084684,,footway,,,False,True,25.583,,"LINESTRING (-71.0897089 42.3616113, -71.0894687 42.3614649)",,,,,
2292066493,11591860905,0,8616041,,footway,,,False,False,11.454,,"LINESTRING (-71.0888246 42.3596165, -71.0886975 42.3596588)",,,,,
2292066493,4330089139,0,220084917,,footway,,,False,True,13.354,,"LINESTRING (-71.0888246 42.3596165, -71.08876 42.3595063)",,,,,
2292066493,61333312,0,991789488,,footway,,,False,True,7.899,,"LINESTRING (-71.0888246 42.3596165, -71.0889188 42.3596023)",,,,,
2292068139,7885595505,0,220085036,,service,,,False,False,7.544,,"LINESTRING (-71.0875849 42.3599119, -71.0876689 42.3598845)",,,,,
2292068139,7631024523,0,8616022,Ames Street,tertiary,20 mph,6.7,False,True,4.872,2,"LINESTRING (-71.0875849 42.3599119, -71.0875907 42.3599237, -71.0876058 42.3599529)",,,,,
2292068649,5674279875,0,"[220085036, 1246879054, 1246879055]",,service,,,False,True,58.855000000000004,,"LINESTRING (-71.0886006 42.3595835, -71.0883634 42.3596593, -71.088253 42.3596962, -71.0879437 42.3597945)",,,,,
2446018247,4330581211,0,236579319,,footway,,,False,True,6.165,,"LINESTRING (-71.0946954 42.3579141, -71.0946263 42.3579357)",,,,,
2446018247,4330581228,0,435105967,,steps,,,False,False,6.728,,"LINESTRING (-71.0946954 42.3579141, -71.0946644 42.3578581)",,,,,
2446018247,2446018259,0,1005738147,,footway,,,False,False,17.522000000000002,,"LINESTRING (-71.0946954 42.3579141, -71.0946976 42.3579176, -71.0947382 42.3579885, -71.0947165 42.3580259, -71.0947003 42.3580599)",,,,,
2446018250,4330581213,0,236579319,,footway,,,False,False,5.242,,"LINESTRING (-71.0944829 42.3579804, -71.0945417 42.3579621)",,,,,
2446018250,4330581215,0,236579319,,footway,,,False,True,2.874,,"LINESTRING (-71.0944829 42.3579804, -71.0944507 42.3579905)",,,,,
2446018250,2446018252,0,1004779587,,footway,,,False,False,6.332,,"LINESTRING (-71.0944829 42.3579804, -71.0944892 42.3579822, -71.094555 42.3580005)",,,,,
2446018252,6133267929,0,654550217,,footway,,,False,True,60.595,,"LINESTRING (-71.094555 42.3580005, -71.0943801 42.3585299)",,,,,
2446018252,2446018259,0,"[1004779587, 236579285]",,footway,,,False,False,13.771,,"LINESTRING (-71.094555 42.3580005, -71.0946558 42.3580326, -71.0947003 42.3580599)",,,,,
2446018252,2446018250,0,1004779587,,footway,,,False,True,6.332,,"LINESTRING (-71.094555 42.3580005, -71.0944892 42.3579822, -71.0944829 42.3579804)",,,,,
2446018253,8280007303,0,236579314,,service,,,False,False,8.165,,"LINESTRING (-71.0936308 42.358009, -71.0936738 42.3580752)",,,,,
2446018253,7794600771,0,254299041,Amherst Street,residential,25 mph,18.3,False,False,36.262,2,"LINESTRING (-71.0936308 42.358009, -71.0932284 42.3581429)",,,,,
2446018253,7794600769,0,254299041,Amherst Street,residential,25 mph,18.3,False,True,3.792,2,"LINESTRING (-71.0936308 42.358009, -71.0936727 42.3579947)",,,,,
2446018254,4330581217,0,236579319,,footway,,,False,False,4.085,,"LINESTRING (-71.0943214 42.3580309, -71.0943672 42.3580166)",,,,,
2446018254,4330581219,0,236579319,,footway,,,False,True,3.522,,"LINESTRING (-71.0943214 42.3580309, -71.0942819 42.3580432)",,,,,
2446018254,2446018269,0,236579316,,footway,,,False,True,22.695,,"LINESTRING (-71.0943214 42.3580309, -71.0943158 42.3580377, -71.0943017 42.3580551, -71.0942598 42.3580964, -71.0942269 42.3581619, -71.0942138 42.3582154)",,,,,
2446018257,2446018265,0,236579317,,footway,,,False,True,16.61,,"LINESTRING (-71.0937578 42.3580447, -71.0938423 42.3581804)",,,,,
2446018257,7794600767,0,890880626,,footway,,,False,False,2.503,,"LINESTRING (-71.0937578 42.3580447, -71.093731 42.3580554)",,,,,
2446018257,4330581235,0,845387002,,footway,,,False,False,24.434,,"LINESTRING (-71.0937578 42.3580447, -71.093981 42.3579663, -71.0940017 42.3579691, -71.0940133 42.3579889)",,,,,
2446018259,2446018297,0,"[1004779585, 236579285]",,footway,,,False,False,67.02399999999999,,"LINESTRING (-71.0947003 42.3580599, -71.0947168 42.3581425, -71.0947581 42.3582431, -71.0948166 42.3583112, -71.0949093 42.3583895, -71.0948727 42.3585493, -71.0948592 42.3585887, -71.0948488 42.3586143)",,,,,
2446018259,2446018252,0,"[1004779587, 236579285]",,footway,,,False,True,13.771,,"LINESTRING (-71.0947003 42.3580599, -71.0946558 42.3580326, -71.094555 42.3580005)",,,,,
2446018259,2446018247,0,1005738147,,footway,,,False,True,17.522000000000002,,"LINESTRING (-71.0947003 42.3580599, -71.0947165 42.3580259, -71.0947382 42.3579885, -71.0946976 42.3579176, -71.0946954 42.3579141)",,,,,
2446018265,2446018257,0,236579317,,footway,,,False,False,16.61,,"LINESTRING (-71.0938423 42.3581804, -71.0937578 42.3580447)",,,,,
2446018265,9247153311,0,236579319,,footway,,,False,False,21.843,,"LINESTRING (-71.0938423 42.3581804, -71.0940872 42.358104)",,,,,
2446018265,2446018281,0,236579317,,footway,,,False,True,19.697,,"LINESTRING (-71.0938423 42.3581804, -71.0938457 42.358186, -71.0939408 42.3583419)",,,,,
2446018269,9247153310,0,236579287,,footway,,,False,False,5.1080000000000005,,"LINESTRING (-71.0942138 42.3582154, -71.0941783 42.3582091, -71.0941527 42.3582079)",,,,,
2446018269,1830061701,0,236579287,,footway,,,False,True,25.137,,"LINESTRING (-71.0942138 42.3582154, -71.0942549 42.3582384, -71.0942943 42.3582755, -71.0943042 42.3583319, -71.0942968 42.3583653, -71.094273 42.3584122)",,,,,
2446018269,2446018254,0,236579316,,footway,,,False,False,22.695,,"LINESTRING (-71.0942138 42.3582154, -71.0942269 42.3581619, -71.0942598 42.3580964, -71.0943017 42.3580551, -71.0943158 42.3580377, -71.0943214 42.3580309)",,,,,
2446018281,2446018283,0,1047497877,,footway,,,False,True,3.768,,"LINESTRING (-71.0939408 42.3583419, -71.0939605 42.3583725)",,,,,
2446018281,9247153310,0,236579287,,footway,,,False,True,25.076999999999998,,"LINESTRING (-71.0939408 42.3583419, -71.0939977 42.3583237, -71.0940068 42.3582876, -71.0940314 42.3582524, -71.0940634 42.3582287, -71.0941119 42.3582123, -71.0941527 42.3582079)",,,,,
2446018281,2446018265,0,236579317,,footway,,,False,False,19.697,,"LINESTRING (-71.0939408 42.3583419, -71.0938457 42.358186, -71.0938423 42.3581804)",,,,,
2446018283,2446018281,0,1047497877,,footway,,,False,False,3.768,,"LINESTRING (-71.0939605 42.3583725, -71.0939408 42.3583419)",,,,,
2446018284,1830061703,0,236579314,,service,,,False,False,48.947,,"LINESTRING (-71.0939022 42.3584497, -71.0941479 42.3588507)",,,,,
2446018284,8280007303,0,236579314,,service,,,False,True,45.676,,"LINESTRING (-71.0939022 42.3584497, -71.0936738 42.3580752)",,,,,
2446018284,2446018291,0,236579320,,footway,,,False,False,7.714,,"LINESTRING (-71.0939022 42.3584497, -71.0939434 42.3584372, -71.0939896 42.3584244)",,,,,
2446018287,2446018291,0,236579303,,footway,,,False,True,3.315,,"LINESTRING (-71.0939728 42.3583973, -71.0939896 42.3584244)",,,,,
2446018291,2446018287,0,236579303,,footway,,,False,False,3.315,,"LINESTRING (-71.0939896 42.3584244, -71.0939728 42.3583973)",,,,,
2446018291,2446018309,0,"[1011077330, 236579303]",,footway,,,False,True,37.732,,"LINESTRING (-71.0939896 42.3584244, -71.0940724 42.3585646, -71.0941733 42.3587354)",,,,,
2446018291,1830061701,0,236579320,,footway,,,False,False,24.842999999999996,,"LINESTRING (-71.0939896 42.3584244, -71.0940396 42.358409, -71.0940942 42.3584296, -71.0941216 42.358436, -71.0941502 42.3584386, -71.0941834 42.3584377, -71.0942159 42.35843, -71.094273 42.3584122)",,,,,
2446018291,2446018284,0,236579320,,footway,,,False,True,7.714,,"LINESTRING (-71.0939896 42.3584244, -71.0939434 42.3584372, -71.0939022 42.3584497)",,,,,
2446018297,9152392635,0,172058633,,footway,,,False,False,18.615,,"LINESTRING (-71.0948488 42.3586143, -71.0950546 42.3585443)",,,,,
2446018297,1830066667,0,172058633,,footway,,,False,True,9.145,,"LINESTRING (-71.0948488 42.3586143, -71.0947477 42.3586487)",,,,,
2446018297,2446018259,0,"[1004779585, 236579285]",,footway,,,False,True,67.024,,"LINESTRING (-71.0948488 42.3586143, -71.0948592 42.3585887, -71.0948727 42.3585493, -71.0949093 42.3583895, -71.0948166 42.3583112, -71.0947581 42.3582431, -71.0947168 42.3581425, -71.0947003 42.3580599)",,,,,
2446018309,1830061703,0,172058433,,footway,,,False,False,13.011,,"LINESTRING (-71.0941733 42.3587354, -71.0941571 42.358788, -71.0941479 42.3588507)",,,,,
2446018309,1830061702,0,172058433,,footway,,,False,True,6.193,,"LINESTRING (-71.0941733 42.3587354, -71.0941788 42.3587176, -71.0941901 42.3586811)",,,,,
2446018309,2446018291,0,"[1011077330, 236579303]",,footway,,,False,False,37.732,,"LINESTRING (-71.0941733 42.3587354, -71.0940724 42.3585646, -71.0939896 42.3584244)",,,,,
2507563210,2507563258,0,84473998,Infinite Corridor,corridor,,,False,False,50.754000000000005,,"LINESTRING (-71.0931967 42.3591789, -71.0927714 42.3593219, -71.0926342 42.3593675)",,,permissive,,
2507563210,5737576900,0,"[243332876, 84473998, 84473999]",Infinite Corridor,"['corridor', 'steps', 'footway']",,,False,True,21.517,,"LINESTRING (-71.0931967 42.3591789, -71.0933468 42.3591286, -71.0934181 42.359104, -71.0934343 42.3590976)",,,permissive,,
2507563210,4039116190,0,243332872,,corridor,,,False,True,69.101,,"LINESTRING (-71.0931967 42.3591789, -71.0931215 42.3590492, -71.0928577 42.3586102)",,,,,
2507563210,5674284656,0,"[401634040, 401634041, 435081076]",,"['corridor', 'steps']",,,False,False,87.396,,"LINESTRING (-71.0931967 42.3591789, -71.0934439 42.359588, -71.0934525 42.3596008, -71.0934679 42.3596262, -71.0936284 42.3598972)",,,permissive,,
2507563216,2507563251,0,243332874,,corridor,,,False,True,105.069,,"LINESTRING (-71.0912787 42.3598131, -71.090754 42.3589514)",,,,,
2507563216,2507563275,0,84473998,Infinite Corridor,corridor,,,False,False,50.517,,"LINESTRING (-71.0912787 42.3598131, -71.0911389 42.3598608, -71.0907218 42.3600056)",,,permissive,,
2507563216,4035493186,0,84473998,Infinite Corridor,corridor,,,False,True,60.81700000000001,,"LINESTRING (-71.0912787 42.3598131, -71.0916724 42.3596784, -71.0919482 42.3595799)",,,permissive,,
2507563227,4329252670,0,243332878,,corridor,,,False,True,5.549,,"LINESTRING (-71.0901868 42.3591445, -71.0901576 42.3590995)",,,,,
2507563227,2507563251,0,243332874,,corridor,,,False,False,51.314,,"LINESTRING (-71.0901868 42.3591445, -71.0906222 42.3589957, -71.0906685 42.3589797, -71.090754 42.3589514)",,,,,
2507563227,4037195613,0,243332878,,corridor,,,False,False,50.331999999999994,,"LINESTRING (-71.0901868 42.3591445, -71.0902332 42.3592188, -71.0904338 42.3595587)",,,,,
2507563236,2507563258,0,243332879,,corridor,,,False,False,104.688,,"LINESTRING (-71.0921197 42.3585062, -71.0926342 42.3593675)",,,,,
2507563236,2507563277,0,1245296069,,corridor,,,False,True,48.171,,"LINESTRING (-71.0921197 42.3585062, -71.0926529 42.3583261)",,,,,
2507563236,1830019654,0,"[434987912, 43359381, 1185809167]",,"['corridor', 'steps', 'footway']",,,False,False,18.353,,"LINESTRING (-71.0921197 42.3585062, -71.0921002 42.3584738, -71.092011 42.3585027, -71.0919723 42.3585141, -71.091939 42.3585248)",,,,,
2507563251,2507563216,0,243332874,,corridor,,,False,False,105.069,,"LINESTRING (-71.090754 42.3589514, -71.0912787 42.3598131)",,,,,
2507563251,2507563227,0,243332874,,corridor,,,False,True,51.31399999999999,,"LINESTRING (-71.090754 42.3589514, -71.0906685 42.3589797, -71.0906222 42.3589957, -71.0901868 42.3591445)",,,,,
2507563251,1830019652,0,"[434987904, 1011548280, 172053672]",,"['corridor', 'steps', 'footway']",,,False,True,18.054,,"LINESTRING (-71.090754 42.3589514, -71.0907343 42.3589183, -71.0908186 42.3588945, -71.0908633 42.358885, -71.0908948 42.3588755)",,,,,
2507563258,2507563236,0,243332879,,corridor,,,False,True,104.688,,"LINESTRING (-71.0926342 42.3593675, -71.0921197 42.3585062)",,,,,
2507563258,4329906115,0,84473998,Infinite Corridor,corridor,,,False,False,38.524,,"LINESTRING (-71.0926342 42.3593675, -71.0922355 42.3594859, -71.0921998 42.3594978)",,,permissive,,
2507563258,2507563210,0,84473998,Infinite Corridor,corridor,,,False,True,50.754000000000005,,"LINESTRING (-71.0926342 42.3593675, -71.0927714 42.3593219, -71.0931967 42.3591789)",,,permissive,,
2507563271,2507563277,0,243332872,,corridor,,,False,False,114.287,,"LINESTRING (-71.091818 42.3579938, -71.0922392 42.3578572, -71.0922487 42.3578733, -71.092382 42.3578267, -71.0926815 42.3583178, -71.0926529 42.3583261)",,,,,
2507563275,4329135165,0,"[236725382, 84473998]",Infinite Corridor,"['corridor', 'footway']",,,False,False,11.422,,"LINESTRING (-71.0907218 42.3600056, -71.090616 42.3600408, -71.090595 42.3600477)",,,permissive,,
2507563275,2507563216,0,84473998,Infinite Corridor,corridor,,,False,True,50.517,,"LINESTRING (-71.0907218 42.3600056, -71.0911389 42.3598608, -71.0912787 42.3598131)",,,permissive,,
2507563275,4013000087,0,"[243332868, 398575652, 243332871]",,"['corridor', 'steps']",,,False,"[False, True]",41.923,,"LINESTRING (-71.0907218 42.3600056, -71.0908501 42.3602041, -71.0908588 42.3602175, -71.0908037 42.3602379, -71.0908598 42.3603252)",,,permissive,,
2507563275,4037195613,0,243332878,,corridor,,,False,True,55.169,,"LINESTRING (-71.0907218 42.3600056, -71.0906999 42.3599883, -71.0906676 42.3599365, -71.0904338 42.3595587)",,,,,
2507563277,2507563236,0,1245296069,,corridor,,,False,False,48.171,,"LINESTRING (-71.0926529 42.3583261, -71.0921197 42.3585062)",,,,,
2507563277,4039116189,0,243332872,,corridor,,,False,False,5.6850000000000005,,"LINESTRING (-71.0926529 42.3583261, -71.09267 42.3583542, -71.0926951 42.3583459)",,,,,
2507563277,2507563271,0,243332872,,corridor,,,False,True,114.287,,"LINESTRING (-71.0926529 42.3583261, -71.0926815 42.3583178, -71.092382 42.3578267, -71.0922487 42.3578733, -71.0922392 42.3578572, -71.091818 42.3579938)",,,,,
3577801304,61328012,0,8615700,Carleton Street,service,25 mph,15.2,False,True,8.327,2,"LINESTRING (-71.0863989 42.3605044, -71.0864092 42.3604299)",,,,,
3577801304,11591860911,0,817075926,,footway,,,False,False,9.417,,"LINESTRING (-71.0863989 42.3605044, -71.0862929 42.3605366)",,,,,
3577801304,5562633686,0,817075926,,footway,,,False,True,6.572,,"LINESTRING (-71.0863989 42.3605044, -71.086472 42.3604804)",,,,,
3577801304,11591860913,0,"[1047497916, 8615700]",Carleton Street,"['service', 'living_street']",25 mph,15.2,False,False,117.74399999999999,2,"LINESTRING (-71.0863989 42.3605044, -71.0863453 42.360895, -71.0862756 42.3614031, -71.0862707 42.3614391, -71.0862592 42.3615241, -71.0862545 42.3615579)",,,,,
3577801305,9332964163,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,False,59.509,2,"LINESTRING (-71.0862068 42.3604958, -71.0855476 42.3607175)",,,,,
3577801305,61328012,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,True,18.173,2,"LINESTRING (-71.0862068 42.3604958, -71.0864092 42.3604299)",,,,,
3577801305,7631024536,0,817075925,,footway,,,False,False,6.92,,"LINESTRING (-71.0862068 42.3604958, -71.0862457 42.360551)",,,,,
3577801305,7631024535,0,817075925,,footway,,,False,True,7.192,,"LINESTRING (-71.0862068 42.3604958, -71.0861801 42.3604342)",,,,,
3577823034,5458914500,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,False,32.233,2,"LINESTRING (-71.0852161 42.3608278, -71.0848588 42.3609475)",,,,,
3577823034,313974302,0,8615381,Amherst Street,unclassified,25 mph,18.3,False,True,8.481,2,"LINESTRING (-71.0852161 42.3608278, -71.0853101 42.3607963)",,,,,
3577823034,7631024539,0,817075928,,footway,,,False,False,7.691,,"LINESTRING (-71.0852161 42.3608278, -71.0852332 42.3608958)",,,,,
3577823034,7631024538,0,817075928,,footway,,,False,True,7.029,,"LINESTRING (-71.0852161 42.3608278, -71.0851981 42.360766)",,,,,
3577823035,61322085,0,8615466,Hayward Street,unclassified,,13.4,False,True,8.308,2,"LINESTRING (-71.0853767 42.3608467, -71.0853823 42.3607721)",,,,,
3577823035,7631024539,0,817075927,,footway,,,False,False,12.993,,"LINESTRING (-71.0853767 42.3608467, -71.0852332 42.3608958)",,,,,
