element_type,osmid,nodes,amenity,parking,geometry,source
way,158894757,"[1710185732, 1710185774, 1710185762, 1710185729, 1710185732]",parking,surface,"POLYGON ((118.8544593 32.0337155, 118.8544928 32.0343067, 118.8549074 32.0342897, 118.8548739 32.0336986, 118.8544593 32.0337155))",
way,158896846,"[1710201696, 1710201692, 1710201694, 1710201698, 1710201696]",parking,surface,"POLYGON ((118.8469982 32.0334509, 118.8469984 32.0331684, 118.8477447 32.033169, 118.8477444 32.0334514, 118.8469982 32.0334509))",bing
