element_type,osmid,nodes,amenity,building,fast_food,name,source,source:name,geometry,opening_hours,takeaway
way,161844779,"[1737990554, 1737990555, 1737990548, 1737990549, 1737990552, 1737990553, 1737990564, 1737990563, 1737990566, 1737990565, 1737990554]",restaurant,yes,cafeteria,教工研究生食堂,bing,survey,"POLYGON ((118.8479933 32.0354702, 118.8481759 32.0354616, 118.848164 32.0352797, 118.8482668 32.0352748, 118.8482781 32.0354463, 118.8483132 32.0354447, 118.8483197 32.035544, 118.8480489 32.0355568, 118.8480554 32.0356562, 118.8480057 32.0356586, 118.8479933 32.0354702))",,
way,161844780,"[1737990546, 1737990550, 1737990551, 1737990547, 1737990546]",restaurant,yes,cafeteria,教工研究生食堂,bing,survey,"POLYGON ((118.8489109 32.0352501, 118.8489165 32.0353788, 118.8482922 32.0353983, 118.8482866 32.0352696, 118.8489109 32.0352501))",,
way,164083827,"[1757420379, 1757420383, 1757420385, 1757420381, 1757420379]",restaurant,yes,,二三食堂,bing,,"POLYGON ((118.8480948 32.0283312, 118.8480668 32.0288841, 118.8484574 32.0288983, 118.8484853 32.0283454, 118.8480948 32.0283312))",,
way,656141740,"[6146815725, 6146815726, 6146815727, 6146815728, 6146815729, 6146815730, 6146815731, 6146815732, 6146815725]",restaurant,yes,,星苑美食广场,,,"POLYGON ((118.8529783 32.0248481, 118.8529767 32.0247134, 118.8529563 32.0247065, 118.8529541 32.0245185, 118.8537225 32.0245119, 118.8537271 32.0248808, 118.8534144 32.0248835, 118.8534139 32.0248443, 118.8529783 32.0248481))",06:00-22:30,yes
