element_type,osmid,nodes,addr:city,addr:housename,addr:postcode,addr:street,building,building:levels,name,wikidata,wikipedia,geometry
way,311299758,"[3169028688, 9739968252, 3169028689, 3169028690, 3169028691, 3169028692, 3169028693, 3169028694, 3169028695, 3169028696, 3169028697, 3169028698, 3169028699, 9739968251, 3169028700, 3169028702, 3169028703, 3169028688]",Salford,Centenary Building,M3 6EQ,Peru Street,university,4,Centenary Building,Q5059071,en:Centenary Building,"POLYGON ((-2.2635365 53.4867054, -2.2635503 53.4866684, -2.2635618 53.4866108, -2.2635611 53.4865376, -2.2635526 53.4864724, -2.2635353 53.4864123, -2.2634789 53.4863137, -2.2634048 53.4863149, -2.2633973 53.4860939, -2.2633225 53.4860951, -2.2633225 53.4861282, -2.2631599 53.4861308, -2.2631829 53.4867127, -2.2632934 53.4867086, -2.2632924 53.4866798, -2.2634047 53.4867069, -2.2634035 53.4866796, -2.2635365 53.4867054))"
way,311299762,"[3169028715, 3169028716, 9739968249, 9739968248, 9739968247, 3169028717, 3169028718, 3169028735, 3169028719, 3169028720, 3169028721, 3169028722, 3169028723, 3169028724, 3169028725, 3169028726, 3169028727, 3169028728, 3169028729, 9739968250, 3169028730, 3169028715]",Salford,Adelphi Building,M3 6EQ,Peru Street,university,4,Adelphi Building,,,"POLYGON ((-2.2645692 53.4866528, -2.2645973 53.4859998, -2.2645897 53.4859898, -2.2645797 53.4859816, -2.2645552 53.4859713, -2.2645376 53.4859681, -2.2638002 53.4859774, -2.2637983 53.4860246, -2.2637962 53.486113, -2.2640339 53.4861144, -2.2640339 53.4861443, -2.2641461 53.4861448, -2.2641455 53.486116, -2.2643019 53.4861153, -2.2643007 53.4861452, -2.2642008 53.4861448, -2.2641836 53.4864678, -2.2638158 53.4864702, -2.2638046 53.4867651, -2.2644891 53.4866852, -2.2645304 53.4866723, -2.2645692 53.4866528))"
way,311299763,"[3169028731, 3169028732, 3169028733, 3169028734, 3169028731]",,,,,university,1,,,,"POLYGON ((-2.2637505 53.486661, -2.2637425 53.4864953, -2.2636307 53.4864972, -2.2636387 53.4866629, -2.2637505 53.486661))"
