element_type,osmid,nodes,access,amenity,parking,geometry
way,311299759,"[3169028704, 3169028705, 3169028706, 9739968260, 9739968266, 3169028707, 3169028709, 3169028704]",permit,parking,surface,"POLYGON ((-2.2630305 53.4867269, -2.2630125 53.4860257, -2.2624701 53.4860304, -2.2624496 53.4860796, -2.2625439 53.4862591, -2.2626253 53.4864178, -2.2627753 53.4867323, -2.2630305 53.4867269))"
way,311299764,"[3169028727, 3169028726, 3169028722, 3169028721, 3169028720, 3169028719, 3169028735, 3169028736, 9739968256, 9739968257, 3169028737, 3169028728, 3169028727]",permit,parking,surface,"POLYGON ((-2.2641836 53.4864678, -2.2642008 53.4861448, -2.2641461 53.4861448, -2.2640339 53.4861443, -2.2640339 53.4861144, -2.2637962 53.486113, -2.2637983 53.4860246, -2.263569 53.4860301, -2.2635776 53.4862823, -2.2636129 53.4863423, -2.263618 53.4864711, -2.2638158 53.4864702, -2.2641836 53.4864678))"
