element_type,osmid,building,name,geometry,nodes,amenity,fast_food,tourism,ways,type,layer,office,addr:city,addr:province
relation,6759041,university,公共教学二区,"POLYGON ((117.1379263 34.2150187, 117.1376544 34.2150205, 117.1376557 34.2151606, 117.1384874 34.2151551, 117.1384834 34.2147352, 117.1384046 34.2147357, 117.1384045 34.2147163, 117.1376984 34.2147209, 117.1376995 34.2148394, 117.1379246 34.2148379, 117.1379263 34.2150187), (117.1384167 34.2148347, 117.1384185 34.2150155, 117.1379903 34.2150183, 117.1379886 34.2148375, 117.1384167 34.2148347))","[[[2784763300, 4535620897, 4535620898, 4535620896, 2784763300], [2784820682, 2784820692, 2784820694, 2784820679, 2784820680, 2784820681, 2784820690, 2784820688, 2784820686, 2784820684, 2784820682]]]",,,,"[457409399, 273647201]",multipolygon,,,,
relation,6759043,apartments,桃二宿舍楼,"POLYGON ((117.1377839 34.2173528, 117.1372756 34.2176821, 117.1378863 34.2183266, 117.1383946 34.2179973, 117.1377839 34.2173528), (117.1381161 34.2177766, 117.1382358 34.2179029, 117.1378189 34.218173, 117.1376993 34.2180467, 117.1381161 34.2177766), (117.1379875 34.2176281, 117.1375677 34.2179002, 117.1374544 34.2177807, 117.1378743 34.2175086, 117.1379875 34.2176281))","[[[2784808799, 2784808800, 2784808801, 2784808802, 2784808799], [4535621025, 4535621022, 4535621023, 4535621024, 4535621025], [4535621028, 4535621026, 2784776437, 4535621027, 4535621028]]]",,,,"[273646058, 457409403, 457409404]",multipolygon,,,,
relation,6759044,apartments,桃三宿舍楼,"POLYGON ((117.1367528 34.2186142, 117.1370181 34.2188962, 117.1375954 34.2185249, 117.1372467 34.2181541, 117.1369809 34.218325, 117.1367485 34.2180779, 117.1362752 34.2183823, 117.1365911 34.2187182, 117.1367528 34.2186142), (117.136873 34.21838, 117.1367256 34.2184749, 117.1367746 34.218527, 117.1366533 34.2186051, 117.1364634 34.2184032, 117.1367322 34.2182303, 117.136873 34.21838), (117.1372443 34.2183358, 117.1373814 34.2184816, 117.1370217 34.2187129, 117.1368846 34.2185672, 117.1372443 34.2183358))","[[[2784808867, 2784808865, 2784808863, 2784808862, 2784808861, 2784808860, 2784808871, 2784808869, 2784808867], [4535621034, 4535621033, 2784776803, 4535621032, 4535621031, 4535621030, 4535621034], [4535621038, 4535621037, 4535621036, 4535621035, 4535621038]]]",,,,"[273646063, 457409406, 457409407]",multipolygon,,,,
relation,6759045,apartments,桃五宿舍楼,"POLYGON ((117.1362361 34.2175527, 117.1364993 34.2173793, 117.1361453 34.2170119, 117.1355733 34.2173887, 117.1358426 34.2176682, 117.1356823 34.2177737, 117.136003 34.2181065, 117.136472 34.2177976, 117.1362361 34.2175527), (117.136146 34.217194, 117.1362852 34.2173385, 117.1359288 34.2175733, 117.1357896 34.2174289, 117.136146 34.217194), (117.1358299 34.2177503, 117.1359501 34.2176711, 117.1359999 34.2177228, 117.136146 34.2176265, 117.136289 34.2177749, 117.1360227 34.2179503, 117.1358299 34.2177503))","[[[4535621057, 4535621054, 4535621055, 4535621053, 4535621052, 4535621056, 4535621057], [4535621051, 4535621048, 4535621049, 4535621050, 4535621051], [2784809816, 2784809817, 2784809818, 2784809819, 2784809820, 2784809821, 2784809822, 2784809823, 2784809816]]]",,,,"[457409413, 457409412, 273646137]",multipolygon,,,,
relation,6759046,apartments,杏一宿舍楼,"POLYGON ((117.1333545 34.2159434, 117.132978 34.2155443, 117.1322913 34.2159871, 117.1326677 34.2163863, 117.1333545 34.2159434), (117.1329715 34.2157474, 117.1331281 34.2159134, 117.1326436 34.2162258, 117.132487 34.2160598, 117.1329715 34.2157474))","[[[4535621062, 4535621061, 4535621060, 2784779221, 4535621062], [2784810616, 2784810617, 2784810618, 2784810619, 2784810616]]]",,,,"[457409414, 273646242]",multipolygon,,,,
relation,6759047,apartments,杏二宿舍楼,"POLYGON ((117.132852 34.2153604, 117.1325975 34.2150858, 117.1324708 34.2149491, 117.1318415 34.215348, 117.1322228 34.2157593, 117.132852 34.2153604), (117.1324812 34.2151593, 117.1326292 34.215319, 117.1322059 34.2155873, 117.1320579 34.2154277, 117.1324812 34.2151593))","[[[2784811184, 2784811185, 5059505221, 2784811186, 2784811187, 2784811184], [4535621074, 2784779344, 4535621073, 4535621072, 4535621074]]]",,,,"[273646257, 457409417]",multipolygon,,,,
relation,6759048,apartments,杏三宿舍楼,"POLYGON ((117.1323686 34.2147361, 117.1319924 34.2143318, 117.1313582 34.2147354, 117.1317344 34.2151397, 117.1323686 34.2147361), (117.1319747 34.2145316, 117.1321244 34.2146919, 117.1317006 34.2149625, 117.1315509 34.2148022, 117.1319747 34.2145316))","[[[2784811239, 2784811240, 2784811241, 2784811242, 2784811239], [2784779506, 4535621075, 4535621076, 4535621077, 2784779506]]]",,,,"[273646267, 457409418]",multipolygon,,,,
relation,6759049,apartments,梅一宿舍楼,"POLYGON ((117.1334483 34.2125721, 117.1334458 34.2121958, 117.1338078 34.2121942, 117.1338069 34.2120582, 117.1329189 34.2120622, 117.1329214 34.2124313, 117.1328471 34.2124317, 117.132848 34.2125749, 117.1334483 34.2125721), (117.1330373 34.2122429, 117.1332825 34.2122418, 117.1332837 34.2124181, 117.1330385 34.2124192, 117.1330373 34.2122429))","[[[2784815909, 2784815911, 2784815913, 2784815915, 2784815918, 2784815920, 4535621084, 4535621085, 2784815909], [4535621083, 2784778305, 4535621081, 4535621082, 4535621083]]]",,,,"[273646522, 457409420]",multipolygon,,,,
relation,6759050,apartments,梅二宿舍楼,"POLYGON ((117.1338555 34.2118475, 117.1338468 34.2113036, 117.1329538 34.2113134, 117.1329624 34.2118572, 117.1338555 34.2118475), (117.1330372 34.211459, 117.1336715 34.2114521, 117.1336754 34.2117003, 117.1330411 34.2117072, 117.1330372 34.211459))","[[[2784778322, 4535621086, 4535621087, 4535621088, 2784778322], [2784817323, 2784817325, 2784817327, 2784817329, 2784817323]]]",,,,"[457409421, 273646575]",multipolygon,,,,
relation,6759051,dormitory,梅三宿舍楼,"POLYGON ((117.1338141 34.2110533, 117.1338018 34.2101465, 117.1335315 34.210149, 117.1335334 34.2102915, 117.1337245 34.2102897, 117.1337274 34.2104996, 117.1330422 34.2105059, 117.1330497 34.2110604, 117.1338141 34.2110533), (117.1331439 34.2106735, 117.1336702 34.2106686, 117.1336735 34.21091, 117.1331472 34.2109148, 117.1331439 34.2106735))","[[[2784778337, 2784818443, 2784818444, 2784818445, 4535621097, 4535621096, 2784818446, 2784818447, 2784778337], [4535621095, 4535621092, 4535621093, 4535621094, 4535621095]]]",,,,"[273646908, 457409422]",multipolygon,,,,
relation,6759052,university,,"POLYGON ((117.1420462 34.2181964, 117.1416005 34.217722, 117.1405786 34.2183785, 117.1410243 34.2188529, 117.1420462 34.2181964), (117.1416381 34.2182212, 117.1412871 34.2184467, 117.1411181 34.2182668, 117.1414691 34.2180413, 117.1416381 34.2182212), (117.1410238 34.2186158, 117.1408549 34.2184359, 117.1410282 34.2183246, 117.1411972 34.2185044, 117.1410238 34.2186158))","[[[4535621154, 4535621153, 4535621152, 4535621151, 4535621154], [4535621150, 4535621149, 4535621148, 4535621147, 4535621150], [4535621146, 4535621145, 4535621144, 4535621143, 4535621146]]]",,,,"[457409435, 457409434, 457409433]",multipolygon,,,,
relation,6759053,university,理学院,"POLYGON ((117.1412361 34.2173628, 117.1407904 34.2168884, 117.1397684 34.2175449, 117.1402141 34.2180193, 117.1412361 34.2173628), (117.1408279 34.2173876, 117.1404769 34.2176131, 117.140308 34.2174332, 117.1406589 34.2172078, 117.1408279 34.2173876), (117.1402137 34.2177822, 117.1400447 34.2176024, 117.140218 34.217491, 117.140387 34.2176709, 117.1402137 34.2177822))","[[[4535621165, 4535621162, 4535621163, 4535621164, 4535621165], [4535621156, 4535621155, 4535621160, 4535621161, 4535621156], [2784770335, 4535621157, 4535621158, 4535621159, 2784770335]]]",,,,"[457409439, 457409438, 457409437]",multipolygon,,,,
relation,6759054,university,中国矿业大学图书馆,"POLYGON ((117.1392375 34.216803, 117.139355 34.2167308, 117.1394082 34.2167936, 117.1396168 34.2166618, 117.1397006 34.2165593, 117.13974 34.2164399, 117.139731 34.2163164, 117.1396744 34.2162018, 117.1395763 34.2161084, 117.1394471 34.216046, 117.1393005 34.2160212, 117.139152 34.2160368, 117.1390175 34.2160909, 117.1390212 34.2161411, 117.1387254 34.216138, 117.1387178 34.2158996, 117.1385559 34.21603, 117.1384516 34.2161959, 117.1384156 34.2163804, 117.1384513 34.216565, 117.1385553 34.216731, 117.1387171 34.2168616, 117.1389202 34.2169437, 117.1391442 34.2169689, 117.1393664 34.2169347, 117.1392375 34.216803), (117.1387292 34.2164579, 117.1387405 34.2162321, 117.1390364 34.2162321, 117.1391957 34.216414, 117.1388961 34.2166054, 117.1387292 34.2164579))","[[[2784801230, 4535621185, 4535621184, 4535621183, 4535621182, 4535621187, 4535621181, 4535621180, 4535621179, 4535621186, 4535621178, 4535621177, 4535621176, 4535621175, 4535621174, 4535621173, 4535621172, 2784760650, 4535621188, 2784801233, 2784801232, 2784801236, 2784801237, 2784801231, 4535621171, 2784801230], [4535621170, 4535621169, 4535621168, 4535621167, 4535621166, 4535621170]]]",library,,,"[273645404, 457409440]",multipolygon,,,徐州市,江苏省
