element_type,osmid,nodes,building,leisure,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,name:en,addr:city,addr:district,addr:province,addr:housenumber,addr:street,building:levels,ways,type
way,558620125,"[5387906700, 5387906701, 5387906702, 5387906703, 5387906700]",yes,fitness_centre,体育馆,体育馆,体育馆,體育館,"POLYGON ((116.306842 39.9537867, 116.3068742 39.9533508, 116.3079095 39.9533878, 116.3078559 39.953836, 116.306842 39.9537867))",,,,,,,,,
way,558620126,"[5387906704, 5387906705, 5387906706, 5387906707, 5387906708, 10919124404, 5387906709, 5387918185, 5387906704]",school,,英语教学楼,英语教学楼,英语教学楼,英語教學樓,"POLYGON ((116.3067427 39.9551843, 116.3067816 39.9548166, 116.3068453 39.9548166, 116.3068453 39.9547569, 116.307047 39.9547704, 116.307024 39.9550144, 116.3073699 39.955042, 116.3073634 39.9552109, 116.3067427 39.9551843))",School of English and International Studies (SEIS),,,,,,,,
way,558620389,"[5387918419, 5387918420, 5387918521, 5387918522, 5387918523, 5387918524, 5387918525, 5387918526, 5387918527, 5387918419]",school,,阿拉伯语学院,阿拉伯语学院,阿拉伯语学院,阿拉伯語學院,"POLYGON ((116.3088919 39.9545166, 116.3089201 39.9542713, 116.3091505 39.9542897, 116.3091685 39.9541074, 116.3095142 39.9541424, 116.3095571 39.9542, 116.3095355 39.9545002, 116.3093962 39.9545043, 116.3093997 39.9545562, 116.3088919 39.9545166))",School of Arab Studies,,,,,,,,
way,636191229,"[5999551271, 10919363127, 10919363126, 5999551272, 10919363129, 10919363130, 10919363131, 10919363128, 10919363132, 10919363134, 10919363135, 10919363133, 5999551273, 5999551274, 10919363124, 10919363125, 5999551271]",college,,逸夫楼,逸夫楼,逸夫楼,逸夫樓,"POLYGON ((116.3098055 39.9543563, 116.3098058 39.9542839, 116.3098383 39.9542839, 116.3098387 39.9541568, 116.3100157 39.9541571, 116.3100154 39.9542748, 116.3101456 39.954275, 116.310146 39.9541576, 116.3103409 39.954158, 116.3103405 39.9542978, 116.3104729 39.9542981, 116.3104733 39.9541623, 116.3106553 39.9541627, 116.3106544 39.9544313, 116.3103381 39.9544307, 116.3103383 39.9543573, 116.3098055 39.9543563))",,北京,北京,北京,,,,,
way,636231762,"[5999819243, 5999819244, 5999819245, 5999819248, 5999819243]",university,,档案馆,档案馆,档案馆,檔案館,"POLYGON ((116.3080389 39.9547974, 116.3085854 39.9548068, 116.3085799 39.9549961, 116.3080334 39.9549866, 116.3080389 39.9547974))",,北京,北京,北京,2号,海淀区西三环北路,,,
way,636233749,"[5999830515, 5999830516, 5999830523, 5999830517, 5999830518, 5999830515]",college,,高级翻译学院,高级翻译学院,高级翻译学院,高級翻譯學院,"POLYGON ((116.3078358 39.9540639, 116.3073459 39.9540491, 116.3073311 39.9541907, 116.3073184 39.9543128, 116.3078303 39.9543212, 116.3078358 39.9540639))",,,,,,,,,
way,636233750,"[5999830519, 5999830520, 5999830521, 5999830522, 5999830523, 5999830517, 5999830524, 5999830525, 5999830519]",university,,信息技术中心/意大利研究中心,信息技术中心/意大利研究中心,信息技术中心/意大利研究中心,信息技術中心/意大利研究中心,"POLYGON ((116.3067543 39.9546208, 116.3068121 39.9540048, 116.3071093 39.9540154, 116.3071065 39.9541778, 116.3073311 39.9541907, 116.3073184 39.9543128, 116.3071368 39.9543128, 116.3071065 39.9546313, 116.3067543 39.9546208))",,,,,,,,,
way,636234657,"[5999839248, 5999839249, 5999839250, 5999839251, 5999839248]",university,,学生食堂,学生食堂,学生食堂,學生食堂,"POLYGON ((116.3091152 39.9533094, 116.3097503 39.9533493, 116.3097845 39.9531564, 116.3091402 39.953124, 116.3091152 39.9533094))",,,,,,,,,
way,636234658,"[5999839252, 5999839253, 5999839254, 5999839255, 5999839261, 5999839252]",university,,留学生公寓 - 国交楼,留学生公寓 - 国交楼,留学生公寓 - 国交楼,留學生公寓 - 國交樓,"POLYGON ((116.3101077 39.9534735, 116.3101244 39.9532753, 116.3103997 39.9532775, 116.3103802 39.9534842, 116.3101464 39.9534751, 116.3101077 39.9534735))",,,,,,,14,,
way,636234659,"[5999839256, 5999839257, 5999839258, 5999839259, 6656269587, 5999839256]",university,,学生公寓8号楼,学生公寓8号楼,学生公寓8号楼,學生公寓8號樓,"POLYGON ((116.3105486 39.9540198, 116.3106082 39.9532732, 116.3108807 39.9532839, 116.3108455 39.9540304, 116.3107051 39.9540272, 116.3105486 39.9540198))",,,,,,,,,
way,636234660,"[5999839260, 5999839261, 5999839255, 5999839262, 5999839260]",university,,教职工食堂,教职工食堂,教职工食堂,教職工食堂,"POLYGON ((116.3100994 39.9539275, 116.3101464 39.9534751, 116.3103802 39.9534842, 116.3103302 39.9539403, 116.3100994 39.9539275))",,,,,,,,,
way,636234661,"[5999839263, 5999839264, 5999839265, 5999839266, 5999839267, 5999839268, 5999839269, 5999839270, 5999839271, 5999839272, 5999839273, 5999839274, 5999839263]",university,,学生公寓3号楼,学生公寓3号楼,学生公寓3号楼,學生公寓3號樓,"POLYGON ((116.3079808 39.9532796, 116.3079919 39.9530515, 116.3081671 39.9530515, 116.3081893 39.9530793, 116.3087649 39.9530963, 116.3088205 39.9530793, 116.3089762 39.9530835, 116.3089539 39.9533307, 116.3087982 39.9533244, 116.3088038 39.9532562, 116.3081588 39.9532348, 116.3081532 39.9532817, 116.3079808 39.9532796))",,,,,,,6,,
way,636291739,"[6000572235, 6000572236, 6000572237, 6000572238, 6000572239, 6000572240, 6000572241, 6000572242, 6000572243, 6000572244, 6000572245, 6000572246, 6000572235]",university,,学生公寓2号楼,学生公寓2号楼,学生公寓2号楼,學生公寓2號樓,"POLYGON ((116.3058724 39.9531441, 116.3058961 39.9529128, 116.3060588 39.9529108, 116.3060561 39.9529389, 116.3067043 39.9529731, 116.3067043 39.9529369, 116.3068906 39.952949, 116.3068644 39.9532266, 116.3067043 39.9532165, 116.3066965 39.9531381, 116.3060719 39.9531039, 116.3060666 39.9531622, 116.3058724 39.9531441))",,,,,,,6,,
