element_type,osmid,nodes,building,leisure,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,name:en,addr:city,addr:district,addr:province,addr:housenumber,addr:street,building:levels,ways,type
way,636291741,"[6000572250, 6000572251, 6000572252, 6000572253, 6000572254, 6000572255, 6000572256, 6000572257, 6000572258, 6000572247, 6000572248, 6000572249, 6000572250]",university,,学生公寓1号楼,,,,"POLYGON ((116.3042638 39.9528484, 116.30487 39.9528746, 116.3048726 39.9528424, 116.3050353 39.9528524, 116.3050064 39.9531079, 116.3048317 39.9530984, 116.304853 39.9530315, 116.3042244 39.9529892, 116.3042165 39.9530637, 116.3040302 39.9530536, 116.3040643 39.9528142, 116.3042717 39.9528162, 116.3042638 39.9528484))",,,,,,,6,,
way,636293785,"[6000582249, 6000582250, 6000582251, 6000582252, 6000582249]",university,,北京日本学研究中心,北京日本学研究中心,北京日本学研究中心,北京日本學研究中心,"POLYGON ((116.306951 39.9531941, 116.3069627 39.9529627, 116.307935 39.9530168, 116.3079233 39.9532452, 116.306951 39.9531941))",,,,,,,,,
way,636300410,"[6000656210, 6000656211, 6000656212, 6000656213, 6000656210]",university,,北京日本学研究中心,北京日本学研究中心,北京日本学研究中心,北京日本學研究中心,"POLYGON ((116.3051438 39.9530947, 116.305161 39.9528909, 116.305767 39.9529253, 116.305748 39.9531225, 116.3051438 39.9530947))",,,,,,,,,
way,636301755,"[6000710438, 6000710439, 6000710440, 6000710441, 6000710442, 6000710443, 6000710444, 6000710445, 6000710446, 6000710447, 6000710448, 6000710449, 6000710450, 6000710451, 6000710452, 6000710453, 6000710438]",university,,学生公寓4号楼,学生公寓4号楼,学生公寓4号楼,學生公寓4號樓,"POLYGON ((116.3038145 39.955515, 116.3038283 39.9552588, 116.3039885 39.9552558, 116.3039885 39.9553816, 116.3040241 39.9553816, 116.3040221 39.9553619, 116.3046056 39.955368, 116.3046056 39.9554044, 116.3046333 39.9554044, 116.3046451 39.9552725, 116.3048152 39.955271, 116.3048093 39.9555226, 116.3046511 39.9555257, 116.304653 39.9554938, 116.3039885 39.9554968, 116.3039885 39.9555196, 116.3038145 39.955515))",,,,,,,,,
way,636301756,"[6000710454, 6000710455, 6000710456, 6000710457, 6000710458, 6000710459, 6000710460, 6000710461, 6000710462, 6000710454]",university,,学生公寓6号楼,学生公寓6号楼,学生公寓6号楼,學生公寓6號樓,"POLYGON ((116.3056637 39.9555181, 116.3056696 39.9552861, 116.3058219 39.9552861, 116.3058278 39.9554013, 116.3064805 39.9554013, 116.3064884 39.9552831, 116.3066525 39.9552801, 116.3066446 39.955538, 116.3056617 39.9555373, 116.3056637 39.9555181))",,,,,,,,,
way,636301757,"[6000710463, 6000710464, 6000710465, 6000710466, 6000710467, 6000710463]",university,,学生公寓7号楼,学生公寓7号楼,学生公寓7号楼,學生公寓7號樓,"POLYGON ((116.3067574 39.9554999, 116.3067633 39.9553331, 116.3076533 39.9553468, 116.3076434 39.9555226, 116.3067574 39.9555135, 116.3067574 39.9554999))",,,,,,,,,
way,703736962,"[6608479521, 6608479522, 6608479523, 10919124389, 10919124390, 10919124391, 10919124388, 6608479524, 6608479521]",college,,中文楼,中文楼,中文楼,中文樓,"POLYGON ((116.3091621 39.9534898, 116.3091289 39.9539052, 116.3100025 39.9539462, 116.3099411 39.9538156, 116.3092626 39.9537839, 116.3092762 39.9536135, 116.3100412 39.9536493, 116.3100506 39.9535316, 116.3091621 39.9534898))",,,,,,,4,,
way,706864234,"[6642549682, 6642549683, 6642549684, 6642568885, 6642568886, 6642568887, 6642568888, 6642568889, 6642568890, 6642568891, 6642568892, 6642568893, 6642568894, 6642568895, 6642568896, 6642568897, 6642568898, 6642568899, 6642568900, 6642568901, 6642568902, 6642568903, 6642568904, 6642568905, 6642568906, 6642568907, 6642568908, 6642568909, 6642568910, 6642568911, 6642568912, 6642568913, 6642568914, 6642549682]",college,,主楼,主楼,主楼,主樓,"POLYGON ((116.303926 39.954761, 116.3040467 39.9547672, 116.3040736 39.9546048, 116.3041138 39.9546068, 116.3041031 39.954687, 116.3046556 39.9547158, 116.3046717 39.9546418, 116.3047012 39.9546459, 116.3046797 39.954796, 116.3048085 39.9548063, 116.3048299 39.9545883, 116.3047119 39.9545821, 116.3046824 39.9545801, 116.3046932 39.9545369, 116.3045215 39.9545266, 116.3045939 39.9539345, 116.304728 39.9539386, 116.3047468 39.9538522, 116.3048997 39.9538564, 116.3049265 39.9536302, 116.3047897 39.9536261, 116.3047736 39.9537494, 116.3041648 39.9537124, 116.3041755 39.9535993, 116.3040333 39.9535952, 116.3040172 39.953807, 116.3041835 39.9538091, 116.3041755 39.9539078, 116.304382 39.9539201, 116.3043311 39.9545205, 116.3041272 39.9545143, 116.3041192 39.9545616, 116.3039448 39.9545575, 116.303926 39.954761))",Main Building,,,,,,,,
way,708351565,"[6656269588, 6656269589, 6656269590, 6656269591, 6656269588]",college,,英语教楼,英语教楼,英语教楼,英語教樓,"POLYGON ((116.3072812 39.9546435, 116.3072759 39.9547484, 116.3078016 39.9547813, 116.3078096 39.9546826, 116.3072812 39.9546435))",,,,,,,,,
way,708351566,"[6656269592, 6656269593, 6656269594, 6656269595, 6656269592]",college,,学生公寓5号楼,学生公寓5号楼,学生公寓5号楼,學生公寓5號樓,"POLYGON ((116.3049531 39.9554927, 116.3049558 39.95532, 116.3055512 39.955322, 116.3055458 39.9554989, 116.3049531 39.9554927))",,,,,,,,,
way,952603693,"[8816974303, 8816974324, 8816974330, 8816974323, 8816974333, 8816974331, 8816974332, 8816974322, 8816974325, 8816974329, 8816974328, 8816974327, 8816974326, 8816974308, 8816974315, 8816974314, 8816974309, 8816974310, 8816974317, 8816974316, 8816974311, 8816974306, 8816974321, 8816974320, 8816974307, 8816974304, 8816974319, 8816974318, 8816974305, 8816974302, 8816974313, 8816974312, 8816974303]",yes,,,,,,"POLYGON ((116.2987529 39.9544518, 116.2988133 39.9544543, 116.2988006 39.9546347, 116.298849 39.9546367, 116.2988376 39.9547989, 116.298962 39.954804, 116.2989738 39.9546365, 116.2989214 39.9546343, 116.2989338 39.9544594, 116.2989387 39.95439, 116.2988182 39.954385, 116.298037 39.9543525, 116.2980321 39.9544219, 116.2980713 39.9544235, 116.2980697 39.9544465, 116.2981434 39.9544496, 116.2981451 39.9544266, 116.2981855 39.9544282, 116.2981836 39.9544537, 116.2983084 39.9544589, 116.2983102 39.9544334, 116.2983506 39.9544351, 116.2983486 39.954463, 116.2984733 39.9544682, 116.2984753 39.9544403, 116.2984983 39.9544412, 116.2984961 39.9544722, 116.2986209 39.9544774, 116.2986231 39.9544464, 116.2986726 39.9544485, 116.2986705 39.9544784, 116.2987508 39.9544817, 116.2987529 39.9544518))",,,,,,,,,
way,952603694,"[8816974337, 8816974336, 8816974335, 8816974334, 8816974337]",yes,,,,,,"POLYGON ((116.29802 39.9549102, 116.2981442 39.9549177, 116.2981729 39.9546377, 116.2980487 39.9546303, 116.29802 39.9549102))",,,,,,,,,
way,952603695,"[8816974354, 8816974353, 8816974345, 8816974338, 8816974352, 8816974351, 8816974339, 8816974346, 8816974350, 8816974349, 8816974348, 8816974347, 8816974360, 8816974361, 8816974359, 8816974342, 8816974358, 8816974357, 8816974343, 8816974340, 8816974356, 8816974355, 8816974341, 8816974344, 8816974354]",yes,,,,,,"POLYGON ((116.2984445 39.9550412, 116.2985781 39.9550493, 116.2985806 39.9550255, 116.2986012 39.9550267, 116.2985987 39.9550505, 116.2987323 39.9550585, 116.2987348 39.9550347, 116.2987582 39.9550361, 116.2987556 39.9550608, 116.2988893 39.9550688, 116.2988938 39.9550248, 116.2988933 39.9550248, 116.2988985 39.9549749, 116.2981474 39.9549297, 116.2981403 39.9549989, 116.2981404 39.9549989, 116.2981381 39.9550222, 116.2982717 39.9550303, 116.2982741 39.955007, 116.2982939 39.9550082, 116.2982916 39.955031, 116.2984252 39.955039, 116.2984276 39.9550162, 116.2984469 39.9550174, 116.2984445 39.9550412))",,,,,,,,,
way,952603696,"[8816974367, 8816974374, 8816974364, 8816974362, 8816974369, 8816974368, 8816974363, 8816974372, 8816974370, 8816974371, 8816974365, 8816974373, 8816974375, 8816974366, 8816974377, 8816974376, 8816974367]",yes,,,,,,"POLYGON ((116.2995095 39.9543398, 116.29954 39.9543414, 116.2995416 39.9543251, 116.2997606 39.954337, 116.2997448 39.9544923, 116.2998313 39.9545167, 116.2998499 39.9543419, 116.2998842 39.9543437, 116.2998908 39.9542724, 116.2994067 39.9542461, 116.2994048 39.9542671, 116.2993432 39.9542638, 116.299337 39.9543304, 116.2994228 39.954335, 116.2994093 39.9544781, 116.2994958 39.9544818, 116.2995095 39.9543398))",,,,,,,,,
way,952603697,"[8816974381, 8816974378, 8816974379, 8816974380, 8816974381]",yes,,,,,,"POLYGON ((116.2991452 39.9548896, 116.299292 39.9548945, 116.2993027 39.9547053, 116.2991559 39.9547005, 116.2991452 39.9548896))",,,,,,,,,
way,952603698,"[8816974383, 8816974385, 8816974369, 8816974368, 8816974382, 8816974383]",yes,,,,,,"POLYGON ((116.300084 39.9547005, 116.2997367 39.9546053, 116.2997448 39.9544923, 116.2998313 39.9545167, 116.300092 39.9545874, 116.300084 39.9547005))",,,,,,,,,
way,952603699,"[8816974386, 8816974385, 8816974369, 8816974376, 8816974377, 8816974384, 8816974386]",yes,,,,,,"POLYGON ((116.2992339 39.9545839, 116.2997367 39.9546053, 116.2997448 39.9544923, 116.2994958 39.9544818, 116.2994093 39.9544781, 116.2992421 39.954471, 116.2992339 39.9545839))",,,,,,,,,
way,952603706,"[8816974420, 8816974427, 8816974426, 8816974425, 8816974421, 8816974423, 8816974422, 8816974424, 8816974420]",yes,,,,,,"POLYGON ((116.2980836 39.9552407, 116.2980804 39.9553461, 116.298881 39.9553604, 116.2988848 39.9552375, 116.298102 39.9552235, 116.2981059 39.9550973, 116.2979466 39.9550944, 116.2979422 39.9552381, 116.2980836 39.9552407))",,,,,,,,,
way,952603707,"[8816974428, 8816974430, 8816974429, 8816974432, 8816974431, 8816974433, 8816974428]",yes,,,,,,"POLYGON ((116.2993249 39.9553974, 116.2996468 39.9553964, 116.2996462 39.9552783, 116.2993243 39.9552792, 116.2989703 39.9552802, 116.2989709 39.9553995, 116.2993249 39.9553974))",,,,,,,,,
way,952603708,"[8816974434, 8816974440, 8816974439, 8816974441, 8816974435, 8816974437, 8816974438, 8816974436, 8816974434]",yes,,,,,,"POLYGON ((116.3000113 39.9550533, 116.3000149 39.9550106, 116.2992639 39.9549736, 116.2992565 39.9550613, 116.2999823 39.9550971, 116.2999659 39.9552922, 116.3000773 39.9552977, 116.3000974 39.9550575, 116.3000113 39.9550533))",,,,,,,,,
way,952603709,"[8816974457, 8816974443, 8816974442, 8816974455, 8816974457]",yes,,,,,,"POLYGON ((116.3019184 39.9539275, 116.3019253 39.9538474, 116.3023952 39.9538732, 116.3023879 39.9539564, 116.3019184 39.9539275))",,,,,,,,,
way,952603710,"[8816974449, 8816974451, 8816974447, 8816974445, 8816974450, 8816974446, 8816974442, 8816974455, 8816974454, 8816974453, 8816974452, 8816974444, 8816974456, 8816974448, 8816974458, 8816974459, 8816974457, 8816974443, 8816974449]",yes,,,,,,"POLYGON ((116.3019371 39.9537133, 116.3019618 39.9537145, 116.3019875 39.9534202, 116.3024147 39.9534422, 116.302389 39.9537372, 116.302407 39.9537381, 116.3023952 39.9538732, 116.3023879 39.9539564, 116.3025554 39.953965, 116.3026115 39.9533231, 116.3024425 39.9533144, 116.3024424 39.9533158, 116.3018946 39.9532877, 116.3018945 39.9532886, 116.3018015 39.9532838, 116.301746 39.9539186, 116.3019184 39.9539275, 116.3019253 39.9538474, 116.3019371 39.9537133))",,,,,,,,,
way,952603711,"[8816974463, 8816974462, 8816974461, 8816974460, 8816974463]",yes,,,,,,"POLYGON ((116.3009986 39.9540189, 116.3010925 39.9538009, 116.301358 39.9538091, 116.3013446 39.9540333, 116.3009986 39.9540189))",,,,,,,,,
way,952603712,"[8816974467, 8816974466, 8816974465, 8816974464, 8816974467]",yes,,,,,,"POLYGON ((116.3005775 39.9540024, 116.3006714 39.9537845, 116.3009369 39.9537927, 116.3009235 39.9540168, 116.3005775 39.9540024))",,,,,,,,,
way,952603713,"[8816974471, 8816974470, 8816974469, 8816974468, 8816974471]",yes,,,,,,"POLYGON ((116.3009557 39.9545391, 116.3010496 39.9543211, 116.3013151 39.9543293, 116.3013017 39.9545534, 116.3009557 39.9545391))",,,,,,,,,
way,952603714,"[8816974475, 8816974474, 8816974473, 8816974472, 8816974475]",yes,,,,,,"POLYGON ((116.3005158 39.9545236, 116.3006097 39.9543057, 116.3008752 39.9543139, 116.3008618 39.954538, 116.3005158 39.9545236))",,,,,,,,,
way,952603715,"[8816974484, 8816974483, 8816974482, 8816974481, 8816974480, 8816974479, 8816974478, 8816974477, 8816974476, 8816974484]",yes,,,,,,"POLYGON ((116.3002798 39.9544887, 116.3001618 39.9539788, 116.3003281 39.9539808, 116.3003334 39.9538492, 116.300151 39.9538348, 116.3001189 39.9538143, 116.3001081 39.9537259, 116.3005105 39.9537506, 116.3004407 39.9544969, 116.3002798 39.9544887))",,,,,,,,,
way,952603716,"[8816974488, 8816974486, 8816974487, 8816974491, 8816974489, 8816974490, 8816974485, 8816974488]",yes,,,,,,"POLYGON ((116.3024121 39.9548855, 116.3024199 39.9547987, 116.3017002 39.9547611, 116.3013259 39.9547416, 116.3013146 39.9548687, 116.301755 39.9548917, 116.3017586 39.9548514, 116.3024121 39.9548855))",,,,,,,,,
way,952603717,"[8816974495, 8816974492, 8816974493, 8816974494, 8816974495]",yes,,北外宾馆,,,,"POLYGON ((116.3026482 39.9548362, 116.3026847 39.9544251, 116.3024846 39.9544147, 116.3024481 39.9548257, 116.3026482 39.9548362))",,,,,,,,,
way,952603718,"[8816974499, 8816974498, 8816974497, 8816974496, 8816974499]",yes,,,,,,"POLYGON ((116.3024363 39.9553399, 116.3015479 39.9552935, 116.3015377 39.9554077, 116.3024261 39.9554541, 116.3024363 39.9553399))",,,,,,,,,
way,952603719,"[8816974503, 8816974502, 8816974501, 8816974500, 8816974503]",yes,,,,,,"POLYGON ((116.3018998 39.9550747, 116.3024403 39.9551029, 116.3024497 39.9549965, 116.3019093 39.9549683, 116.3018998 39.9550747))",,,,,,,,,
way,952603720,"[8816974507, 8816974506, 8816974505, 8816974504, 8816974507]",yes,,,,,,"POLYGON ((116.3002781 39.9551485, 116.3002681 39.9552619, 116.3010164 39.955301, 116.3010265 39.9551876, 116.3002781 39.9551485))",,,,,,,,,
way,952603721,"[8816974511, 8816974508, 8816974509, 8816974510, 8816974511]",yes,,,,,,"POLYGON ((116.30032 39.9547662, 116.30031 39.9548796, 116.3010583 39.9549187, 116.3010684 39.9548053, 116.30032 39.9547662))",,,,,,,,,
way,952603722,"[8816974515, 8816974514, 8816974513, 8816974512, 8816974515]",yes,,,,,,"POLYGON ((116.2980728 39.9539829, 116.2980638 39.9540781, 116.2991971 39.9541412, 116.2992061 39.954046, 116.2980728 39.9539829))",,,,,,,,,
way,952603723,"[8816974516, 8816974531, 8816974530, 8816974529, 8816974517, 8816974523, 8816974527, 8816974526, 8816974518, 8816974536, 8816974537, 8816974519, 8816974520, 8816974538, 8816974539, 8816974521, 8816974525, 8816974528, 8816974522, 8816974524, 8816974532, 8816974535, 8816974534, 8816974533, 8816974516]",yes,,,,,,"POLYGON ((116.3010805 39.9528481, 116.3010778 39.9528896, 116.3013311 39.9528993, 116.3013339 39.9528567, 116.3012775 39.9528545, 116.3012799 39.9528168, 116.3013129 39.952818, 116.3013158 39.9527734, 116.3012258 39.9527699, 116.3012369 39.9526001, 116.3011046 39.952595, 116.3010935 39.9527649, 116.3010325 39.9527625, 116.3010438 39.9525898, 116.3009115 39.9525847, 116.3009002 39.9527575, 116.3008084 39.9527539, 116.3008055 39.9527986, 116.3008305 39.9527995, 116.300828 39.9528385, 116.3007681 39.9528362, 116.3007653 39.9528788, 116.3010186 39.9528885, 116.3010214 39.9528459, 116.3010805 39.9528481))",,,,,,,,,
way,952603724,"[8816974540, 8816974543, 8816974542, 8816974541, 8816974546, 8816974545, 8816974544, 8816974547, 8816974540]",yes,,,,,,"POLYGON ((116.3016309 39.9527328, 116.3016209 39.952886, 116.301778 39.952892, 116.3017879 39.9527388, 116.3018449 39.952741, 116.3018535 39.9526083, 116.3015048 39.9525949, 116.3014962 39.9527276, 116.3016309 39.9527328))",,,,,,,,,
way,952603725,"[8816974551, 8816974550, 8816974549, 8816974548, 8816974551]",yes,,,,,,"POLYGON ((116.3007854 39.9535974, 116.3010866 39.9536141, 116.3011126 39.9533393, 116.3008114 39.9533226, 116.3007854 39.9535974))",,,,,,,,,
way,952603726,"[8816974554, 8816974563, 8816974562, 8816974553, 8816974558, 8816974556, 8816974557, 8816974552, 8816974555, 8816974560, 8816974559, 8816974561, 8816974554]",yes,,,,,,"POLYGON ((116.2996758 39.9534952, 116.2996709 39.953547, 116.3004112 39.9535881, 116.3004161 39.9535363, 116.3006821 39.9535511, 116.3006941 39.953425, 116.3004112 39.9534092, 116.300406 39.9534644, 116.2997086 39.9534257, 116.2997138 39.9533702, 116.2994361 39.9533547, 116.2994242 39.9534812, 116.2996758 39.9534952))",,,,,,,,,
way,952603727,"[8816974567, 8816974564, 8816974565, 8816974566, 8816974567]",yes,,,,,,"POLYGON ((116.3001081 39.9527359, 116.3001984 39.9527392, 116.3002158 39.9524647, 116.3001256 39.9524614, 116.3001081 39.9527359))",,,,,,,,,
way,952603728,"[8816974569, 8816974573, 8816974574, 8816974568, 8816974572, 8816974571, 8816974570, 8816974569]",yes,,,,,,"POLYGON ((116.2999722 39.9524532, 116.2994826 39.9524326, 116.2994739 39.9525552, 116.2999632 39.9525757, 116.2999567 39.9526671, 116.3000873 39.9526725, 116.3001026 39.9524586, 116.2999722 39.9524532))",,,,,,,,,
way,952603729,"[8816974579, 8816974578, 8816974577, 8816974576, 8816974579]",yes,,,,,,"POLYGON ((116.2994885 39.9526875, 116.2994698 39.952961, 116.2995932 39.952966, 116.299612 39.9526925, 116.2994885 39.9526875))",,,,,,,,,
way,952603730,"[8816974583, 8816974580, 8816974581, 8816974582, 8816974583]",yes,,,,,,"POLYGON ((116.2996334 39.953033, 116.299623 39.9531401, 116.3007066 39.9532017, 116.300717 39.9530947, 116.2996334 39.953033))",,,,,,,,,
way,952603731,"[8816974587, 8816974586, 8816974585, 8816974584, 8816974587]",yes,,,,,,"POLYGON ((116.2981132 39.9536207, 116.2981038 39.95372, 116.2992867 39.9537858, 116.2992961 39.9536865, 116.2981132 39.9536207))",,,,,,,,,
way,952603732,"[8816974591, 8816974590, 8816974589, 8816974588, 8816974591]",yes,,,,,,"POLYGON ((116.2981535 39.9532732, 116.2981441 39.9533726, 116.2993269 39.9534384, 116.2993363 39.953339, 116.2981535 39.9532732))",,,,,,,,,
way,952603733,"[8816974595, 8816974594, 8816974593, 8816974592, 8816974595]",yes,,,,,,"POLYGON ((116.2981937 39.9525597, 116.2981843 39.9526591, 116.2993672 39.9527249, 116.2993766 39.9526255, 116.2981937 39.9525597))",,,,,,,,,
way,952603734,"[8816974599, 8816974596, 8816974597, 8816974598, 8816974599]",yes,,,,,,"POLYGON ((116.2981662 39.9529137, 116.2981568 39.9530131, 116.2993397 39.9530789, 116.2993491 39.9529795, 116.2981662 39.9529137))",,,,,,,,,
way,1175053608,"[10918426079, 10918426083, 10918426080, 10918426081, 10918426084, 10918426082, 10918426079]",yes,,,,,,"POLYGON ((116.3026792 39.954305, 116.3026833 39.9542517, 116.3026919 39.9541382, 116.302771 39.9541418, 116.3027624 39.9542544, 116.3027583 39.9543086, 116.3026792 39.954305))",,,,,,,,,
way,1175053611,"[10918426085, 10918426086, 10918426087, 10918426088, 10918426085]",yes,,,,,,"POLYGON ((116.3036572 39.9542717, 116.3036581 39.9542432, 116.3036999 39.954244, 116.303699 39.9542724, 116.3036572 39.9542717))",,,,,,,,,
way,1175101190,"[10919363105, 10919363106, 10919363107, 10919363108, 10919363109, 10919363110, 10919363111, 10919363112, 10919363113, 10919363105]",university,,,,,,"POLYGON ((116.3078266 39.9554998, 116.3078325 39.9552678, 116.3079848 39.9552678, 116.3079907 39.955383, 116.3086434 39.955383, 116.3086513 39.9552648, 116.3088154 39.9552618, 116.3088075 39.9555197, 116.3078246 39.955519, 116.3078266 39.9554998))",,,,,,,,,
relation,15887416,"[[[5999818299, 10919124399, 10919124397, 10919124396, 5999818300, 5999818301, 10919124403, 10919124402, 10919124401, 5999818302, 10919124400, 10919124398, 5999818299], [10919124392, 10919124393, 10919124394, 10919124395, 10919124392]]]",university,,北京外国语大学图书馆,北京外国语大学图书馆,北京外国语大学图书馆,北京外國語大學圖書館,"POLYGON ((116.3080027 39.9546048, 116.3083738 39.9546176, 116.3083802 39.9545081, 116.3087086 39.9545195, 116.3087224 39.9542845, 116.3088136 39.9542876, 116.3088272 39.9540577, 116.3080363 39.9540302, 116.3080153 39.9543836, 116.3079164 39.9543801, 116.307907 39.9545401, 116.3080063 39.9545435, 116.3080027 39.9546048), (116.3081897 39.9541785, 116.308541 39.9541855, 116.308532 39.9544478, 116.3081807 39.9544407, 116.3081897 39.9541785))",,北京,北京,北京,2号,海淀区西三环北路,,"[636231588, 1175101189]",multipolygon
