u,v,key,osmid,highway,service,access,oneway,reversed,length,geometry,lanes,name,maxspeed,tunnel,bridge
49409576,8750045858,0,945139696,footway,,,False,False,31.242,"LINESTRING (-76.619229 39.3294121, -76.6192308 39.329453, -76.6192478 39.3295237, -76.6192545 39.3295776, -76.6192478 39.3296346, -76.6192352 39.3296905)",,,,,
49409580,1909366973,0,22770664,footway,,,False,False,20.56,"LINESTRING (-76.6194906 39.3296056, -76.6196475 39.3294661)",,,,,
49409580,8750045845,0,22770664,footway,,,False,True,7.453,"LINESTRING (-76.6194906 39.3296056, -76.6194391 39.3296595)",,,,,
49409580,49409585,0,455630112,footway,,,False,False,27.576,"LINESTRING (-76.6194906 39.3296056, -76.6195609 39.3296564, -76.6196112 39.3297021, -76.6196528 39.3297462, -76.6196904 39.3297975)",,,,,
49409580,49409576,0,455630112,footway,,,False,True,31.295,"LINESTRING (-76.6194906 39.3296056, -76.6193872 39.3295386, -76.6193041 39.3294816, -76.6192605 39.3294495, -76.619229 39.3294121)",,,,,
49409585,9163271037,0,455630112,footway,,,False,False,4.561,"LINESTRING (-76.6196904 39.3297975, -76.6197119 39.329835)",,,,,
49409585,1909366973,0,945139695,footway,,,False,False,37.034,"LINESTRING (-76.6196904 39.3297975, -76.6196475 39.3294661)",,,,,
49409585,49409580,0,455630112,footway,,,False,True,27.576,"LINESTRING (-76.6196904 39.3297975, -76.6196528 39.3297462, -76.6196112 39.3297021, -76.6195609 39.3296564, -76.6194906 39.3296056)",,,,,
49409604,8325678397,0,22770663,footway,,,False,False,15.439,"LINESTRING (-76.6212104 39.3300065, -76.6212186 39.3301452)",,,,,
49409604,9261775904,0,1003726140,footway,,,False,False,7.84,"LINESTRING (-76.6212104 39.3300065, -76.6211532 39.3300614)",,,,,
49409604,244453220,0,22770663,footway,,,False,True,32.036,"LINESTRING (-76.6212104 39.3300065, -76.6211249 39.3299862, -76.6210925 39.3299785, -76.6209991 39.3299512, -76.6208628 39.3299041)",,,,,
49409604,49418310,0,455591621,footway,,,False,False,19.974999999999998,"LINESTRING (-76.6212104 39.3300065, -76.6211797 39.329974, -76.621162 39.3299243, -76.6211573 39.3298609, -76.6211606 39.3298367)",,,,,
49409604,4519935296,0,455610491,footway,,,False,True,52.281,"LINESTRING (-76.6212104 39.3300065, -76.6212444 39.330034, -76.6213064 39.3300617, -76.621367 39.3300734, -76.6215682 39.3300969, -76.6215972 39.3301075, -76.6216151 39.330131, -76.6216275 39.330179, -76.6216282 39.330249)",,,,,
49409604,4519817456,0,"[455591620, 962901831]",footway,,,False,True,5.036,"LINESTRING (-76.6212104 39.3300065, -76.6212193 39.3299959, -76.6212513 39.3299746)",,,,,
49411472,6007133782,0,114055270,tertiary,,,False,False,5.238,"LINESTRING (-76.622088 39.3253769, -76.6220373 39.3253508)",2,Wyman Park Drive,25 mph,,
49411472,6007133783,0,114055270,tertiary,,,False,True,12.254,"LINESTRING (-76.622088 39.3253769, -76.6221763 39.3254341, -76.622196 39.3254487)",2,Wyman Park Drive,25 mph,,
49411485,6007136883,0,5995741,service,,,True,False,8.532,"LINESTRING (-76.6223366 39.3255729, -76.6224143 39.3255252)",,,,,
49411485,1808834407,0,114055270,tertiary,,,False,True,40.021,"LINESTRING (-76.6223366 39.3255729, -76.6225865 39.3258765)",2,Wyman Park Drive,25 mph,,
49411485,6007133783,0,114055270,tertiary,,,False,False,18.359,"LINESTRING (-76.6223366 39.3255729, -76.6222331 39.32548, -76.622196 39.3254487)",2,Wyman Park Drive,25 mph,,
49418284,5674168081,0,914898894,unclassified,,,False,False,6.459,"LINESTRING (-76.6230725 39.3307537, -76.6230673 39.3307812, -76.6230673 39.3308115)",2,San Martin Drive,25 mph,,
49418284,249094475,0,"[442592149, 914898894]",unclassified,,,False,True,85.404,"LINESTRING (-76.6230725 39.3307537, -76.623091 39.3307237, -76.6231151 39.3306924, -76.6231833 39.3306361, -76.6232491 39.3305884, -76.6233009 39.3305566, -76.6233527 39.3305273, -76.6235053 39.3304527, -76.6235692 39.3304174, -76.6236161 39.3303866, -76.6236641 39.330349, -76.6237026 39.3303074, -76.6237325 39.3302624, -76.6237571 39.3302182)",2,San Martin Drive,25 mph,,
49418284,5914369186,0,914898895,residential,,,False,True,42.76,"LINESTRING (-76.6230725 39.3307537, -76.622927 39.3307207, -76.6228321 39.3307082, -76.6227515 39.3307068, -76.6225833 39.3307162)",,Bowman Drive,12 mph,,
49418292,2459264444,0,238061867,service,,,False,False,30.694,"LINESTRING (-76.6216831 39.3308048, -76.6213362 39.3308696)",,,,,
49418292,49418301,0,1026114830,residential,,,False,True,31.505999999999997,"LINESTRING (-76.6216831 39.3308048, -76.6216396 39.3306889, -76.6216136 39.3306056, -76.6216093 39.3305689, -76.6216095 39.3305288)",,Bowman Drive,12 mph,,
49418292,4520038719,0,1026114831,residential,,,False,False,54.269000000000005,"LINESTRING (-76.6216831 39.3308048, -76.6218402 39.3307823, -76.6219512 39.3307691, -76.6221446 39.3307486, -76.6223069 39.3307322)",,Bowman Drive,12 mph,,
49418301,9456927383,0,1026114830,residential,,,False,True,5.486,"LINESTRING (-76.6216095 39.3305288, -76.6216169 39.3304798)",,Bowman Drive,12 mph,,
49418301,4519935181,0,455610489,service,driveway,,True,False,17.059,"LINESTRING (-76.6216095 39.3305288, -76.6217764 39.3305605, -76.6218024 39.3305566)",,,,,
49418301,49418292,0,1026114830,residential,,,False,False,31.506,"LINESTRING (-76.6216095 39.3305288, -76.6216093 39.3305689, -76.6216136 39.3306056, -76.6216396 39.3306889, -76.6216831 39.3308048)",,Bowman Drive,12 mph,,
49418307,9456927372,0,1026114830,residential,,,False,False,5.434,"LINESTRING (-76.6216879 39.3301087, -76.6216913 39.3301575)",,Bowman Drive,12 mph,,
49418307,6007131819,0,169722271,residential,,,False,False,40.721000000000004,"LINESTRING (-76.6216879 39.3301087, -76.6217161 39.330075, -76.6217336 39.3300358, -76.6217598 39.3299398, -76.6217667 39.3299212, -76.6217762 39.3299021, -76.6217923 39.3298805, -76.6218146 39.3298614, -76.6218426 39.3298475, -76.6218706 39.3298379, -76.6218976 39.3298332, -76.6219301 39.3298343)",,President's Way,12 mph,,
49418307,4519817456,0,1077955876,residential,,,False,True,41.563,"LINESTRING (-76.6216879 39.3301087, -76.6216631 39.3300843, -76.6216269 39.3300688, -76.6215775 39.330054, -76.6213208 39.3300138, -76.6212782 39.3299955, -76.6212513 39.3299746)",,Bowman Drive,12 mph,,
49418310,9184285851,0,22770692,footway,,,False,True,14.584,"LINESTRING (-76.6211606 39.3298367, -76.6211062 39.3298488, -76.6209977 39.3298731)",,,,,
49418310,49409604,0,455591621,footway,,,False,True,19.974999999999998,"LINESTRING (-76.6211606 39.3298367, -76.6211573 39.3298609, -76.621162 39.3299243, -76.6211797 39.329974, -76.6212104 39.3300065)",,,,,
49418310,4519817465,0,455591623,footway,,,False,False,16.268,"LINESTRING (-76.6211606 39.3298367, -76.6211704 39.3297938, -76.6211731 39.3297603, -76.6211714 39.3297284, -76.6211648 39.3296915)",,,,,
49418310,4519817461,0,"[455591622, 962901830]",footway,,,False,False,5.721,"LINESTRING (-76.6211606 39.3298367, -76.621179 39.3298234, -76.6212161 39.3298093)",,,,,
49418315,4520172045,0,1058368943,residential,,,False,False,4.651,"LINESTRING (-76.6213875 39.3295283, -76.6213478 39.3295567)",,Bowman Drive,12 mph,,
49418315,2044048414,0,"[193901066, 992080900]",footway,,,False,True,13.488,"LINESTRING (-76.6213875 39.3295283, -76.6213707 39.329463, -76.6213685 39.3294083)",,,,,
49418315,4519817479,0,1058368943,residential,,,False,True,63.135999999999996,"LINESTRING (-76.6213875 39.3295283, -76.6214086 39.3295187, -76.6214216 39.3295128, -76.6214561 39.3294992, -76.6215166 39.3294821, -76.6216745 39.329443, -76.6217362 39.329417, -76.6217979 39.329387, -76.6218776 39.3293329, -76.6219303 39.3292842, -76.6219808 39.3292226)",,Bowman Drive,12 mph,,
49418327,5674142960,0,455630137,service,,,False,False,4.273,"LINESTRING (-76.6220782 39.3289783, -76.6221265 39.3289873)",,,,,
49418327,1808834413,0,1077537833,residential,,,False,True,88.285,"LINESTRING (-76.6220782 39.3289783, -76.6220743 39.3289331, -76.6219875 39.328652, -76.6219764 39.3285846, -76.6219334 39.3281943)",,Bowman Drive,12 mph,,
49418327,4519817479,0,1077955850,residential,,,False,False,28.805999999999997,"LINESTRING (-76.6220782 39.3289783, -76.6220745 39.3290387, -76.6220569 39.3290934, -76.6220219 39.3291628, -76.6219808 39.3292226)",,Bowman Drive,12 mph,,
49451064,5243596458,0,6002196,service,driveway,,False,False,6.669,"LINESTRING (-76.6219425 39.3328879, -76.6219286 39.3328289)",,,,,
49451064,4519817322,0,6002196,service,driveway,,False,True,130.80300000000003,"LINESTRING (-76.6219425 39.3328879, -76.6220462 39.3329798, -76.6221378 39.3330987, -76.6222163 39.3332614, -76.6222324 39.3333413, -76.6222311 39.3334284, -76.6221984 39.3335503, -76.6221073 39.3338901, -76.62208 39.3339907)",,,,,
49451064,5243596457,0,542351950,service,driveway,,True,False,24.466,"LINESTRING (-76.6219425 39.3328879, -76.6219791 39.3328503, -76.6220554 39.3327929, -76.6221117 39.3327134)",,,,,
49451064,8951371757,0,967564624,service,parking_aisle,,False,False,36.824,"LINESTRING (-76.6219425 39.3328879, -76.6218744 39.3328515, -76.6218269 39.3328185, -76.6217767 39.3327789, -76.6217236 39.3327386, -76.6216155 39.3326755)",,,,,
49451079,4402679836,0,6002196,service,driveway,,False,False,4.627,"LINESTRING (-76.6221828 39.334138, -76.6221531 39.3341033)",,,,,
49451079,8942038224,0,889958597,unclassified,,,False,False,110.644,"LINESTRING (-76.6221828 39.334138, -76.6221464 39.3342004, -76.6221267 39.3342479, -76.6221146 39.3343218, -76.62212 39.3343591, -76.6221313 39.3344026, -76.6221533 39.3344533, -76.6222016 39.3345155, -76.622274 39.3345778, -76.6223719 39.3346317, -76.6224859 39.3346794, -76.6228688 39.3347933)",2,San Martin Drive,25 mph,,
49451079,49542758,0,889958597,unclassified,,,False,True,44.701,"LINESTRING (-76.6221828 39.334138, -76.6224198 39.3339146, -76.6224917 39.3338162)",2,San Martin Drive,25 mph,,
49542677,49542697,0,889958596,unclassified,,,False,False,82.438,"LINESTRING (-76.6236798 39.3310046, -76.6239519 39.3309704, -76.6240226 39.3309636, -76.6240937 39.3309619, -76.6241547 39.3309641, -76.6242062 39.3309712, -76.6242582 39.3309826, -76.6243 39.3309984, -76.6243475 39.3310214, -76.624386 39.3310498, -76.6244163 39.3310797, -76.6244368 39.3311083, -76.624447 39.3311346, -76.6244496 39.3311648, -76.6244479 39.3312044)",2,San Martin Drive,25 mph,,
49542677,5674168081,0,914898892,unclassified,,,False,True,66.82199999999999,"LINESTRING (-76.6236798 39.3310046, -76.6234728 39.3310263, -76.6233929 39.331032, -76.6233416 39.3310314, -76.6233012 39.3310272, -76.6232564 39.3310187, -76.6232187 39.3310057, -76.6231853 39.3309905, -76.623143 39.3309614, -76.6231082 39.3309246, -76.6230813 39.3308841, -76.6230706 39.3308468, -76.6230673 39.3308115)",2,San Martin Drive,25 mph,,
49542697,49542677,0,442592156,service,,,True,False,103.71300000000002,"LINESTRING (-76.6244479 39.3312044, -76.6245154 39.3311564, -76.6245288 39.3311263, -76.6245274 39.3311045, -76.624502 39.3310598, -76.6244588 39.3310083, -76.6244047 39.330963, -76.6243424 39.3309256, -76.6242745 39.3308976, -76.6241953 39.3308801, -76.6241032 39.3308719, -76.6240044 39.3308748, -76.623904 39.3308923, -76.6237523 39.330924, -76.6237201 39.3309375, -76.623704 39.3309562, -76.6236798 39.3310046)",,,,,
49542697,49542677,1,889958596,unclassified,,,False,True,82.43800000000002,"LINESTRING (-76.6244479 39.3312044, -76.6244496 39.3311648, -76.624447 39.3311346, -76.6244368 39.3311083, -76.6244163 39.3310797, -76.624386 39.3310498, -76.6243475 39.3310214, -76.6243 39.3309984, -76.6242582 39.3309826, -76.6242062 39.3309712, -76.6241547 39.3309641, -76.6240937 39.3309619, -76.6240226 39.3309636, -76.6239519 39.3309704, -76.6236798 39.3310046)",2,San Martin Drive,25 mph,,
49542697,4402679808,0,1170440962,unclassified,,,False,False,84.95,"LINESTRING (-76.6244479 39.3312044, -76.6244451 39.3312352, -76.6244393 39.3312661, -76.6244271 39.3313052, -76.6244037 39.3313538, -76.6243701 39.3314047, -76.6243288 39.3314604, -76.6242347 39.3315706, -76.6240845 39.3317283, -76.6239488 39.3318497)",2,San Martin Drive,25 mph,,
49542739,4402679826,0,337799925,service,driveway,,False,False,4.644,"LINESTRING (-76.6225033 39.3330291, -76.6224506 39.33302)",,,,,
49542739,49542758,0,889958597,unclassified,,,False,False,88.972,"LINESTRING (-76.6225033 39.3330291, -76.6224844 39.3330867, -76.622477 39.3331475, -76.6224783 39.3331914, -76.6224865 39.3332429, -76.6225451 39.3335092, -76.6225534 39.3335917, -76.6225444 39.3336772, -76.6225203 39.3337578, -76.6224917 39.3338162)",2,San Martin Drive,25 mph,,
49542739,4402679820,0,889958597,unclassified,,,False,True,58.613,"LINESTRING (-76.6225033 39.3330291, -76.6225363 39.3329692, -76.6225946 39.3328979, -76.6226608 39.3328297, -76.6227419 39.332762, -76.622931 39.3326255)",2,San Martin Drive,25 mph,,
49542758,49451079,0,889958597,unclassified,,,False,False,44.701,"LINESTRING (-76.6224917 39.3338162, -76.6224198 39.3339146, -76.6221828 39.334138)",2,San Martin Drive,25 mph,,
49542758,49542739,0,889958597,unclassified,,,False,True,88.972,"LINESTRING (-76.6224917 39.3338162, -76.6225203 39.3337578, -76.6225444 39.3336772, -76.6225534 39.3335917, -76.6225451 39.3335092, -76.6224865 39.3332429, -76.6224783 39.3331914, -76.622477 39.3331475, -76.6224844 39.3330867, -76.6225033 39.3330291)",2,San Martin Drive,25 mph,,
49542758,2451188281,0,"[237171457, 945139691]","['path', 'footway']",,,False,False,20.881999999999998,"LINESTRING (-76.6224917 39.3338162, -76.6225292 39.3338276, -76.6225407 39.3338313, -76.6225842 39.3338959, -76.6225949 39.3339696)",,,,,
49542758,4402679833,0,"[945139690, 945139691]",footway,,,False,True,4.99,"LINESTRING (-76.6224917 39.3338162, -76.6224524 39.3338042, -76.6224376 39.3338)",,,,,
49542873,2044048170,0,"[193901048, 1060076043]",footway,,,False,False,5.031,"LINESTRING (-76.6235847 39.3269735, -76.6235403 39.3269782, -76.6235274 39.3269817)",,,,,
49542873,4402679446,0,"[193901048, 1060076044]",footway,,,False,True,5.1530000000000005,"LINESTRING (-76.6235847 39.3269735, -76.6236266 39.3269691, -76.6236439 39.3269665)",,,,,
49542873,49542883,0,465199260,unclassified,,,False,False,99.612,"LINESTRING (-76.6235847 39.3269735, -76.6235933 39.3270537, -76.6235933 39.3271106, -76.6235892 39.327166, -76.6235682 39.3272614, -76.6235384 39.3273575, -76.6234981 39.3274524, -76.6234515 39.3275425, -76.6233715 39.327667, -76.6232729 39.3278205)",2,San Martin Drive,25 mph,,
49542873,1323149216,0,1077955471,unclassified,,,False,True,43.842,"LINESTRING (-76.6235847 39.3269735, -76.6235725 39.3269266, -76.6235522 39.3268715, -76.6235278 39.3268147, -76.6234936 39.3267604, -76.6233861 39.3266134)",2,San Martin Drive,25 mph,,
49542883,4402679474,0,465199260,unclassified,,,False,False,16.214,"LINESTRING (-76.6232729 39.3278205, -76.623186 39.3279499)",2,San Martin Drive,25 mph,,
49542883,4402679468,0,"[993655289, 442592178]",footway,,,False,False,8.016,"LINESTRING (-76.6232729 39.3278205, -76.6233445 39.3278344, -76.6233633 39.327838)",,,,,
49542883,4402679472,0,"[442592178, 442592154]",footway,,,False,True,20.134999999999998,"LINESTRING (-76.6232729 39.3278205, -76.6232181 39.3278098, -76.6232 39.327812, -76.623178 39.3278405, -76.6231422 39.3278768, -76.6231062 39.3279113)",,,,,
49542883,49542873,0,465199260,unclassified,,,False,True,99.612,"LINESTRING (-76.6232729 39.3278205, -76.6233715 39.327667, -76.6234515 39.3275425, -76.6234981 39.3274524, -76.6235384 39.3273575, -76.6235682 39.3272614, -76.6235892 39.327166, -76.6235933 39.3271106, -76.6235933 39.3270537, -76.6235847 39.3269735)",2,San Martin Drive,25 mph,,
49566367,4402679412,0,117445931,tertiary,,,False,False,8.433,"LINESTRING (-76.6233455 39.3265425, -76.6234292 39.326503)",2,Wyman Park Drive,25 mph,,
49566367,1323149216,0,1077955471,unclassified,,,False,False,8.623,"LINESTRING (-76.6233455 39.3265425, -76.6233861 39.3266134)",2,San Martin Drive,25 mph,,
49566367,4402679411,0,1082979199,tertiary,,,False,False,11.383,"LINESTRING (-76.6233455 39.3265425, -76.6232284 39.3264948)",2,Wyman Park Drive,25 mph,,
244355183,9180118226,0,965974867,service,,,False,True,1.356,"LINESTRING (-76.6202355 39.3326359, -76.6202253 39.3326452)",,,,,
244355183,244355204,0,"[965974866, 180508509]",service,,,True,False,28.996,"LINESTRING (-76.6202355 39.3326359, -76.6203302 39.3326011, -76.6204345 39.3325498, -76.6204681 39.3325241, -76.6205118 39.3324907)",,,,,
244355187,244355204,0,22763171,service,,,True,False,25.576999999999998,"LINESTRING (-76.6202476 39.3324212, -76.6202816 39.3324507, -76.6203229 39.332474, -76.6203696 39.3324899, -76.6204166 39.3324976, -76.6204647 39.3324979, -76.6205118 39.3324907)",,,,,
244355187,244355183,0,"[5993561, 965974865]",service,,,True,False,24.124000000000002,"LINESTRING (-76.6202476 39.3324212, -76.6202545 39.3324657, -76.6202596 39.332499, -76.6202543 39.3325696, -76.6202355 39.3326359)",,,,,
244355188,8325233516,0,369149188,service,,,False,False,4.053,"LINESTRING (-76.6201866 39.3322353, -76.6201454 39.3322176)",,,,,
