element_type,osmid,geometry,man_made,access,amenity,fee,parking,layer,wheelchair,check_date,operator,operator:short,operator:wikidata,name,operator:wikipedia,location,nodes,building,leisure,building:levels,roof:levels,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,description,roof:shape,nohousenumber,official_name,building:colour,building:material,ele,gnis:county_name,gnis:import_uuid,gnis:reviewed,opening_hours,phone,roof:colour,roof:material,source,tourism,website,wikidata,wikipedia,old_name,contact:facebook,contact:foursquare,contact:twitter,internet_access,operator:type,ref:isil,short_name,start_date,wikimedia_commons,sport,alt_name,service,addr:country,religion,service_times,denomination,lgbtq,source:lgbtq,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,shelter_type,historic,social_facility,social_facility:for,ways,type
way,51724390,"POLYGON ((-76.6199498 39.3335587, -76.6209957 39.3342394, -76.6211256 39.33412, -76.6200797 39.3334393, -76.6199498 39.3335587))",,,,,,,,,,,,Schelle Pavilion,,,"[660147685, 660147686, 660147687, 1395619580, 660147685]",yes,bleachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724391,"POLYGON ((-76.6216939 39.3335459, -76.6217751 39.3334719, -76.6207322 39.3327871, -76.620651 39.3328611, -76.6211102 39.3331626, -76.6211338 39.3331411, -76.6211462 39.3331493, -76.6211586 39.3331575, -76.6211351 39.333179, -76.6212109 39.3332288, -76.6212345 39.3332073, -76.6212469 39.3332154, -76.6212593 39.3332236, -76.6212357 39.3332451, -76.6216939 39.3335459))",,,,,,,,,,,,,,,"[660147688, 4519757772, 660147690, 660147682, 10801836563, 10801836562, 10800009792, 10801836561, 10801836564, 10801836565, 10801836560, 10800009793, 10801836559, 10801836566, 660147688]",yes,bleachers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724691,"POLYGON ((-76.6223077 39.3329302, -76.6227676 39.332587, -76.6227942 39.3325671, -76.6230412 39.3323828, -76.6231068 39.3323338, -76.6231772 39.3322813, -76.6232486 39.332228, -76.6232533 39.3322245, -76.6229458 39.331978, -76.6229099 39.3320049, -76.6220053 39.33268, -76.6220003 39.3326838, -76.6221518 39.3328053, -76.6222226 39.3328621, -76.6223077 39.3329302))",,private,parking,,multi-storey,1,,,,,,,,,"[660149083, 9168191479, 9168191504, 9168191505, 9191938997, 9168191513, 9168191514, 660149084, 660149085, 660149087, 8990279592, 8990279593, 9168191495, 8990279588, 660149083]",parking,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724692,"POLYGON ((-76.6229099 39.3320049, -76.6220053 39.33268, -76.6218722 39.3325732, -76.6227767 39.3318981, -76.6229099 39.3320049))",,,,,,,,,,,,,,,"[660149087, 8990279592, 660149090, 660149094, 660149087]",university,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724694,"POLYGON ((-76.6228883 39.3318047, -76.6228425 39.3317678, -76.6227997 39.3318189, -76.6225431 39.3316902, -76.6226844 39.3315217, -76.622941 39.3316504, -76.6228967 39.3317031, -76.6229733 39.331741, -76.6236041 39.3312681, -76.6237076 39.3313507, -76.6236633 39.3313839, -76.623936 39.3316015, -76.6235812 39.3318675, -76.6236654 39.3319347, -76.6236174 39.3319707, -76.6234941 39.3318723, -76.6233894 39.3319507, -76.6234953 39.3320352, -76.6233312 39.3321582, -76.6228883 39.3318047))",,,,,,,,,,,,Bloomberg Center,,,"[660149099, 8963046373, 660149100, 660149102, 660149106, 8963046376, 8963046374, 660149107, 660149108, 660149109, 660149110, 660149095, 660149096, 660149097, 8963046380, 8963046378, 8963046377, 8963046379, 660149098, 660149099]",university,,6,0,Baltimore,3701,21218,MD,San Martin Drive,Home of the Johns Hopkins University Department of Physics & Astronomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724697,"POLYGON ((-76.6249555 39.3308129, -76.6249534 39.3307828, -76.6248852 39.3307857, -76.6247556 39.3307373, -76.6247547 39.3307388, -76.6246922 39.3308388, -76.6247504 39.3308606, -76.6247518 39.3308803, -76.6247625 39.3308798, -76.6248324 39.3308769, -76.6248331 39.3308871, -76.6248773 39.3308852, -76.6248786 39.330904, -76.62488 39.3309235, -76.6245581 39.3309373, -76.6245643 39.3310227, -76.6245656 39.3310428, -76.6245786 39.3310423, -76.6245827 39.331099, -76.6245844 39.3311234, -76.6248776 39.3311109, -76.6248885 39.3312641, -76.6251207 39.3312542, -76.625101 39.3309759, -76.6255149 39.3309583, -76.6255029 39.3307896, -76.6254317 39.3307926, -76.6249555 39.3308129))",,,,,,,,,,,,Maxine F. Singer Building,,,"[660149115, 8498670585, 8498670586, 660149116, 8796665935, 660149117, 1909367306, 8498670587, 9005850720, 4402679657, 8498670589, 8498670588, 8498670590, 1909367309, 660149118, 9770439831, 9770548520, 9770548521, 8796665941, 660149119, 8325615009, 8325615010, 8325615011, 660149112, 1909367318, 660149113, 8796665934, 660149115]",university,,4,0,Baltimore,3520,21218,MD,San Martin Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724698,"POLYGON ((-76.6246393 39.3305678, -76.6246191 39.3305326, -76.624683 39.3305107, -76.6245994 39.3303646, -76.6245759 39.3303234, -76.6245542 39.3302855, -76.6244931 39.3303064, -76.6244687 39.3302638, -76.6240658 39.3304016, -76.6240138 39.3304194, -76.6239249 39.3304498, -76.6239471 39.3304886, -76.6238839 39.3305103, -76.6240135 39.330737, -76.6240735 39.3307165, -76.624095 39.330754, -76.6242114 39.3307141, -76.6242299 39.3307078, -76.6242509 39.3307006, -76.6246393 39.3305678))",,,,,,,,,,,,San Martin Center,,,"[660149122, 660149123, 660149124, 8796608307, 1808834399, 660149125, 660149126, 660149127, 2044048538, 8796666088, 660149128, 660149129, 660149130, 660149131, 660149132, 660149133, 8796666128, 4402679621, 8796608306, 660149122]",university,,4,0,Baltimore,3500,21218,MD,San Martin Drive,,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724699,"POLYGON ((-76.6210516 39.3322328, -76.6212317 39.3323484, -76.621257 39.3323276, -76.6214536 39.3324536, -76.6215137 39.3324011, -76.6215943 39.3324712, -76.621833 39.3323021, -76.6217201 39.3322047, -76.6217288 39.3321995, -76.6212065 39.3317648, -76.6211806 39.3317829, -76.6211215 39.3317321, -76.6207257 39.3320236, -76.620829 39.3320899, -76.620937 39.3321592, -76.6209567 39.3321719, -76.6210516 39.3322328))",,,,,,,,,,,,O'Connor Recreation Center,,,"[9180118220, 9169583730, 9169583729, 660149138, 1909367448, 1909367463, 660149139, 9169583728, 9169583727, 660149140, 9180118223, 9730301096, 9180118221, 9180101309, 9180101307, 9180101304, 9180118220]",university,,2,0,,,,,,,,yes,Ralph S. O'Connor Recreation Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,51724700,"POLYGON ((-76.622085 39.333442, -76.6218641 39.3332996, -76.6217867 39.3333715, -76.6216897 39.333309, -76.6217765 39.3332284, -76.6216334 39.3331362, -76.6216646 39.3331072, -76.6216849 39.3330884, -76.6217195 39.3330562, -76.6219338 39.3331943, -76.6220051 39.3332403, -76.6221805 39.3333533, -76.622085 39.333442))",,,,,,,,,,,,ROTC Building,,,"[660149151, 660149152, 660149153, 660149158, 660149159, 660149160, 9168181509, 9168191429, 660149161, 9168191417, 9168191436, 660149162, 660149151]",university,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,134680371,"POLYGON ((-76.6203159 39.3263066, -76.6203856 39.3263039, -76.6203862 39.3263129, -76.6203876 39.3263353, -76.6204067 39.326335, -76.6204084 39.3263631, -76.6204099 39.3263861, -76.6204193 39.3265313, -76.62042 39.3265425, -76.6204222 39.3265762, -76.6204485 39.3265752, -76.6204493 39.3265871, -76.6205307 39.3265839, -76.6205392 39.3267166, -76.6204584 39.3267197, -76.6204594 39.3267347, -76.6203714 39.3267381, -76.6203727 39.3267581, -76.6202855 39.3267615, -76.6201989 39.3267648, -76.6201976 39.3267453, -76.6201077 39.3267488, -76.6201068 39.3267342, -76.6200285 39.3267373, -76.6200278 39.3267268, -76.6200207 39.3266159, -76.62002 39.3266046, -76.6200696 39.3266027, -76.6200977 39.3266016, -76.6200969 39.3265895, -76.6201029 39.3265892, -76.6201017 39.3265712, -76.6201141 39.3265707, -76.6201265 39.3265702, -76.6201246 39.3265406, -76.6201153 39.3263964, -76.6201026 39.3263969, -76.6201018 39.3263854, -76.6201011 39.3263739, -76.6201138 39.3263734, -76.620112 39.326346, -76.6201283 39.3263453, -76.6201263 39.3263139, -76.6202225 39.3263102, -76.6202203 39.3262766, -76.6203137 39.326273, -76.6203159 39.3263066))",,,,,,,,,,,,Shriver Hall,,,"[8907123816, 8907153225, 9193109294, 8907153222, 8907153228, 9193109291, 9193109290, 9193109281, 9174459569, 8907153220, 8907153231, 8907123813, 9174459579, 8907153238, 8907123814, 8907153234, 8907153217, 8907153230, 2451200759, 8907153229, 8907153218, 8907153233, 8907123812, 8907153237, 9193123059, 9193123056, 8907153236, 9193123050, 8907123811, 9174459576, 8907153219, 9174459570, 9174459577, 9174459571, 9193119516, 9174459574, 9174459573, 9174459578, 9174459572, 9174459575, 8907153227, 8907153221, 8907153226, 8907123815, 8907153223, 8907153224, 8907123816]",university,,2,1,,,,,,,hipped,,,,brick,,,,,,,gray,slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
