element_type,osmid,nodes,amenity,natural,geometry,intermittent,water,name,tidal
way,193901088,"[2044048436, 2044048433, 2044048430, 2044048438, 2044048436]",fountain,water,"POLYGON ((-76.6224348 39.3296598, -76.6224581 39.3295859, -76.6223606 39.3295676, -76.6223373 39.3296415, -76.6224348 39.3296598))",,,,
way,859931691,"[8745885524, 8015166752, 8015166753, 8015166754, 8015166755, 8015166756, 8015166757, 8015166758, 8015166759, 8015166760, 8015166761, 8015166762, 8015166763, 8015166764, 8015166765, 8015166768, 8015166771, 8015166772, 8015166773, 8015166774, 8015166775, 8015166776, 8015166777, 8015166778, 8015166779, 8015166780, 8015166781, 8015166782, 8015166783, 8015166784, 8015166785, 8015166786, 8015166787, 8015166788, 8015166789, 8015166790, 8015166791, 8015166792, 8015166793, 8015166794, 8015166795, 8015166796, 8015166797, 8015166798, 8015166799, 8015166800, 8015166801, 8015166802, 8015166803, 8015166804, 8015166805, 8015166806, 8015166807, 8015166808, 8015166809, 8015166810, 8015166811, 8015166945, 8015166616, 8015166617, 8015166618, 8015166619, 8015166620, 8015166621, 8015166622, 8015166623, 8015166624, 8439793575, 8015166625, 8015166626, 8015166627, 8015166628, 8015166629, 8015166630, 8015166631, 8015166632, 8015166633, 8015166634, 8015166635, 8015166636, 8015166637, 8015166638, 8015166639, 8015166640, 8015166641, 8015166642, 8015166643, 8015166644, 8015166645, 8015166646, 8015166647, 8015166648, 8015166649, 8015166650, 8015166651, 8015166652, 8015166653, 8015166654, 8015166655, 8015166656, 8015166657, 8015166658, 8015166659, 8015166660, 8015166661, 8015166662, 8015166663, 8015166664, 8015166665, 8015166666, 8015166667, 8015166668, 8015166669, 8015166670, 8015166671, 8015166672, 8015166673, 8015166674, 2973062323, 8015166675, 8015166676, 8015166677, 8015166678, 8015166679, 8015166680, 8015166681, 8015166682, 8015166683, 8015166684, 8015166685, 8015166686, 8015166687, 8015166688, 8015166689, 8015166690, 8015166691, 8015166692, 8015166693, 8015166694, 8015166695, 8015166696, 8015166697, 8015166698, 8015166699, 8015166700, 8015166701, 8015166702, 8015166703, 8015166704, 8015166705, 8015166706, 8015166707, 8015166708, 8015166709, 8015166710, 8015166711, 8015166712, 8015166713, 8015166714, 8015166715, 8015166716, 8015166717, 8015166718, 8015166719, 8015166720, 8015166721, 8015166722, 8015166723, 8015166724, 8015166725, 8015166726, 8015128421, 8015128422, 8015128423, 8015128424, 8015128425, 8015128426, 8015128427, 8015128428, 8015128429, 8015128430, 8015128431, 8015128432, 8015128433, 8015128434, 8015128435, 8015128436, 8015128437, 8015128438, 8015128439, 8015128440, 8015128441, 8015128442, 8015128443, 8015128444, 8015128445, 8015128446, 8015128447, 8015128448, 8015128449, 8015128450, 8015128451, 8015128452, 8015128453, 8015128454, 8015128455, 8015128456, 8015128457, 8015128458, 8015128459, 8015128460, 8015128461, 8015128462, 8745885530, 8015128463, 8015128464, 8015128465, 8015128466, 8015128467, 8015128468, 8015128469, 8015128470, 8015128471, 8015128472, 8015128473, 8015128474, 8015128475, 8015128476, 8015128477, 8015128478, 8015128479, 8015128480, 8015128481, 8015128482, 8015128483, 8015128484, 8015166585, 8015166586, 8015166587, 8015166588, 8015166589, 8015166590, 8015166591, 8015166592, 8015166593, 8015166594, 8015166595, 8015166596, 8015166597, 8015166598, 8015166599, 8015166600, 8015166601, 8015166602, 8015166603, 8015166604, 8015166605, 8015166606, 8015166607, 8015166608, 8015166609, 8015166610, 8015166611, 8015166612, 8015166613, 8015166614, 8015166615, 8015166946, 8015166812, 8015166813, 8015166814, 8015166815, 8015166816, 8015166817, 8015166818, 8015166819, 8015166820, 8015166821, 8015166822, 8015166823, 8015166824, 8015166825, 8015166826, 8015166827, 8015166828, 8015166829, 8015166830, 8015166831, 8015166832, 8015166833, 8015166834, 8015166835, 8015166836, 8015166837, 8015166838, 8015166839, 8015166840, 8015166841, 8015166842, 8015166843, 8015166844, 8015166845, 8015166846, 8015166847, 8015166848, 8015166849, 8015166850, 8015166851, 8015166852, 8015166853, 8015166854, 8015166855, 8015166856, 8015166857, 8015166858, 8015166859, 8015166860, 8015166861, 8015166862, 8015166863, 8015166864, 8015166865, 8015166866, 8015166867, 8015166868, 8015166869, 8015166870, 8015166871, 8015166872, 8015166873, 8015166874, 8015166875, 8015166876, 8015166877, 8015166878, 8015166879, 8015166880, 8015166881, 8015166882, 8015166883, 8015166884, 8015166885, 8015166886, 8015166887, 8015166888, 8745885525, 1232870751, 8745885524]",,water,"POLYGON ((-76.6252137 39.326504, -76.6251662 39.3265502, -76.6251429 39.3266162, -76.6251863 39.3266618, -76.6252453 39.3268022, -76.6252298 39.3268873, -76.6252189 39.3269833, -76.6251631 39.3270685, -76.6251755 39.3272245, -76.6251879 39.3273361, -76.6251832 39.3274297, -76.6251801 39.3275557, -76.6251832 39.3276289, -76.6251569 39.3276733, -76.6251124 39.3277622, -76.6249904 39.3279074, -76.6249515 39.3279666, -76.6249435 39.3280485, -76.6249461 39.328119, -76.6249676 39.3281792, -76.6250079 39.3282133, -76.6250467 39.3282733, -76.6250902 39.3283717, -76.6251925 39.3285109, -76.6252158 39.3285721, -76.6252561 39.3286441, -76.6252701 39.3287185, -76.6252934 39.3287772, -76.6253399 39.3288948, -76.6253539 39.328974, -76.6253787 39.3290424, -76.6253973 39.3291468, -76.6254361 39.3292032, -76.6254749 39.329286, -76.6254795 39.3293832, -76.6254904 39.3294852, -76.6255261 39.3295632, -76.6255369 39.32964, -76.6255555 39.3297096, -76.6255757 39.3298068, -76.6255974 39.329898, -76.6256253 39.3299784, -76.6256564 39.3300407, -76.6256967 39.3301091, -76.6258405 39.3303222, -76.6258939 39.3304325, -76.6259527 39.3305648, -76.6259795 39.330675, -76.626008 39.3307398, -76.6260632 39.3308542, -76.6260614 39.3309176, -76.6260454 39.3310196, -76.6260276 39.3310954, -76.6260026 39.3311574, -76.6259723 39.3312236, -76.6259207 39.331327, -76.6258708 39.3313766, -76.6258 39.3314319, -76.6256666 39.3315063, -76.6253083 39.3316213, -76.6251069 39.3316443, -76.6247811 39.3317353, -76.6246391 39.3318179, -76.6245363 39.3319058, -76.6244431 39.3320103, -76.6243714 39.3321066, -76.6243079 39.3321557, -76.6242819 39.3322447, -76.6242673 39.3322948, -76.62417 39.3324841, -76.6241686 39.3325625, -76.6241591 39.3326242, -76.6241078 39.3327361, -76.6240632 39.3327769, -76.6240402 39.3328313, -76.6240064 39.3328752, -76.6239645 39.3329682, -76.6239198 39.3330425, -76.6238766 39.3331167, -76.6238171 39.3331879, -76.6237725 39.3332391, -76.6236494 39.3333186, -76.6235629 39.3334001, -76.6235048 39.3334378, -76.6234534 39.3334869, -76.6233493 39.3335288, -76.6232993 39.3335654, -76.6232601 39.3336061, -76.6232533 39.3336793, -76.6232803 39.3337505, -76.6233074 39.3338101, -76.6233493 39.3338738, -76.6234507 39.3339826, -76.6235562 39.334129, -76.6236156 39.3341938, -76.6236873 39.3342095, -76.6237671 39.334267, -76.6238009 39.334335, -76.6238347 39.3343998, -76.6238887 39.3344479, -76.6239388 39.3344856, -76.6239807 39.334517, -76.6240226 39.3345609, -76.6240429 39.3345954, -76.6240699 39.3346696, -76.6241159 39.3347522, -76.6241253 39.3347962, -76.6241172 39.3348819, -76.6240997 39.33493, -76.6240848 39.334976, -76.6240713 39.3350524, -76.6240807 39.3351339, -76.6240794 39.3352103, -76.6240767 39.3352824, -76.6240672 39.3353462, -76.6240604 39.3354142, -76.6240577 39.3355031, -76.6240767 39.3355784, -76.624079 39.3356311, -76.6240456 39.3357185, -76.6240402 39.3357885, -76.6240375 39.3358481, -76.6240388 39.3358994, -76.624028 39.3359642, -76.6240185 39.3360416, -76.6239983 39.3361179, -76.6239847 39.3362099, -76.6239793 39.3362737, -76.6239536 39.3366669, -76.6239307 39.3367035, -76.6238847 39.336737, -76.6238644 39.3367694, -76.6238401 39.3368081, -76.6238279 39.336875, -76.623832 39.3369346, -76.6238725 39.3370224, -76.6241416 39.3375014, -76.6243728 39.337744, -76.6248798 39.3382145, -76.6251218 39.3384843, -76.6253475 39.3387133, -76.6255693 39.3389381, -76.6256382 39.3390249, -76.6257396 39.3391671, -76.6257734 39.3392382, -76.6258072 39.3394463, -76.6258005 39.3394891, -76.6257883 39.339554, -76.6257869 39.3396293, -76.6257883 39.3397715, -76.6258072 39.3398394, -76.6258099 39.339898, -76.6258221 39.3399482, -76.6258383 39.3400454, -76.6258275 39.3401029, -76.6258207 39.3401761, -76.6258207 39.3402357, -76.6258248 39.3403089, -76.6258113 39.3403811, -76.6257951 39.3404825, -76.6257937 39.3405578, -76.6258045 39.3406205, -76.6258005 39.3406853, -76.6257937 39.3407418, -76.6257978 39.3408129, -76.6258005 39.3409175, -76.625814 39.3410492, -76.625841 39.341114, -76.6258694 39.3411674, -76.6259221 39.3412092, -76.6259357 39.341228, -76.6258654 39.3412721, -76.6257631 39.3411339, -76.6257302 39.3410239, -76.6257208 39.3409057, -76.6257302 39.3407657, -76.6257337 39.340652, -76.6257314 39.3405529, -76.6257326 39.3403802, -76.6257443 39.3402693, -76.6257361 39.3401911, -76.6257384 39.3401283, -76.6257384 39.3400965, -76.6257267 39.339961, -76.6257173 39.3398865, -76.6257173 39.3398056, -76.6257232 39.3397401, -76.6257138 39.3395673, -76.6257091 39.339541, -76.6257125 39.3395202, -76.6257349 39.3394591, -76.6257467 39.3393828, -76.6257455 39.3393209, -76.6257149 39.3392355, -76.6256597 39.3391573, -76.6256021 39.3390573, -76.6255092 39.3389327, -76.6253705 39.3387772, -76.6252529 39.3386663, -76.6251212 39.3385308, -76.6250378 39.3384535, -76.6248685 39.3382853, -76.6247262 39.3381444, -76.624517 39.3379389, -76.6242819 39.3377107, -76.6241034 39.3375441, -76.6238504 39.3370987, -76.623774 39.3369878, -76.6237458 39.3369014, -76.6237411 39.3368287, -76.6237493 39.336795, -76.6237951 39.3366832, -76.6238339 39.3366096, -76.6238697 39.3363091, -76.623868 39.3362568, -76.6238622 39.336174, -76.623861 39.3361113, -76.6239198 39.3359467, -76.6239492 39.3358503, -76.6239633 39.335803, -76.6239515 39.3357012, -76.6239597 39.3356166, -76.6239738 39.335452, -76.6239691 39.3353739, -76.6239574 39.3351738, -76.623955 39.3350902, -76.6239774 39.3349783, -76.6239844 39.3349128, -76.6239844 39.334861, -76.6239456 39.334691, -76.6239139 39.3346264, -76.6237705 39.3344846, -76.6237317 39.3344318, -76.6236059 39.3343354, -76.6234718 39.3341318, -76.6233649 39.3340172, -76.6231968 39.3338417, -76.6231509 39.3337689, -76.6231474 39.3337117, -76.6231638 39.3336098, -76.623165 39.3335825, -76.6232837 39.3334816, -76.6233837 39.3334107, -76.6235447 39.3333088, -76.6236482 39.333187, -76.6237481 39.3330742, -76.6237998 39.3329788, -76.6238927 39.3328787, -76.6239292 39.3328169, -76.6239503 39.3327387, -76.6239738 39.3326687, -76.6240322 39.3326392, -76.6241034 39.3325952, -76.6241247 39.3325277, -76.6241265 39.3324754, -76.6241496 39.3324038, -76.6241674 39.3323487, -76.6241923 39.3322675, -76.624276 39.3320858, -76.6243419 39.331977, -76.6243988 39.3319261, -76.624485 39.3318437, -76.624595 39.331744, -76.6247923 39.3316647, -76.6250556 39.3315792, -76.6254916 39.3314677, -76.6256999 39.3314057, -76.6257937 39.3313511, -76.6258511 39.3312783, -76.6258903 39.3312192, -76.625922 39.331135, -76.6259362 39.331079, -76.6259457 39.3310268, -76.6259579 39.3309875, -76.6259677 39.3309067, -76.6259466 39.3308276, -76.6259255 39.3307532, -76.6258985 39.3307059, -76.6258785 39.3306205, -76.6258632 39.3305424, -76.625848 39.3304934, -76.6258116 39.3304216, -76.6257846 39.3303689, -76.6257646 39.3303172, -76.6257388 39.330289, -76.625666 39.3302073, -76.6255814 39.3301164, -76.6255438 39.3300583, -76.6255156 39.329982, -76.625498 39.3299321, -76.6254745 39.3298394, -76.625437 39.3297277, -76.6254182 39.3296459, -76.6253982 39.329586, -76.6253818 39.3295342, -76.6253606 39.3294452, -76.6253348 39.3293825, -76.625309 39.329309, -76.6252949 39.3292236, -76.6252996 39.3291709, -76.6252972 39.3291409, -76.6252867 39.3290801, -76.6252573 39.3290019, -76.625242 39.3289393, -76.6252233 39.3288957, -76.6252045 39.3288375, -76.6251845 39.3287794, -76.6251681 39.3286949, -76.6251551 39.3286404, -76.625127 39.3285778, -76.6250917 39.3285451, -76.6250589 39.3285096, -76.6250354 39.3284742, -76.6249661 39.328397, -76.6249297 39.3283425, -76.6249121 39.3282907, -76.6248945 39.3282353, -76.6248686 39.3281799, -76.6248487 39.3281427, -76.624844 39.32807, -76.6248299 39.3279755, -76.624844 39.3279056, -76.6248604 39.3278438, -76.6248874 39.3278093, -76.6249168 39.3277684, -76.6249802 39.3277276, -76.625026 39.3276849, -76.6250612 39.3276413, -76.62508 39.3275995, -76.6250788 39.3275223, -76.6250729 39.3274287, -76.6250647 39.3273352, -76.6250553 39.3272434, -76.6250542 39.3271735, -76.6250706 39.3271008, -76.6250906 39.3270145, -76.6251035 39.3269564, -76.6251223 39.3269046, -76.6251258 39.3268528, -76.6251058 39.3268074, -76.6250941 39.3267529, -76.6250683 39.3266739, -76.6250612 39.3266239, -76.6250835 39.3265594, -76.6251023 39.3265195, -76.625155 39.3264717, -76.6251761 39.3264833, -76.6252137 39.326504))",no,stream,Stony Run,no
way,972308838,"[8999063728, 8999063729, 8999063730, 9630473205, 8999063731, 8999063732, 8999063733, 8999063734, 8999063735, 8999063736, 8999063737, 8999063738, 8999063739, 8999063728]",,water,"POLYGON ((-76.6242986 39.3286285, -76.6241771 39.3286492, -76.6240404 39.3286375, -76.6238625 39.3285392, -76.6238464 39.3284759, -76.6238466 39.3284385, -76.6239261 39.328386, -76.6240306 39.3283611, -76.6241244 39.3283805, -76.6242307 39.3284841, -76.6242914 39.3285732, -76.6243102 39.3286002, -76.6243146 39.3286147, -76.6242986 39.3286285))",yes,basin,,
