element_type,osmid,geometry,layer,level,operator,amenity,parking,nodes,access,building,building:levels,roof:levels,building:material,fee,name,roof:material,roof:shape,source,surface
way,455610448,"POLYGON ((-76.6218149 39.3328953, -76.621559 39.3327239, -76.6216724 39.3326097, -76.6217749 39.3326803, -76.6217775 39.3327435, -76.6218557 39.3328691, -76.6218149 39.3328953))",,,Johns Hopkins University,parking,surface,"[4519934782, 4519934783, 4519934784, 4519934785, 4519934786, 4519934787, 4519934782]",private,,,,,,,,,,
way,455610449,"POLYGON ((-76.6221754 39.3331332, -76.6222423 39.3331217, -76.6222197 39.3330761, -76.6221997 39.3330317, -76.6221676 39.3329874, -76.6221207 39.332937, -76.6220598 39.3328955, -76.6220269 39.3328731, -76.6219871 39.332905, -76.6219773 39.3329128, -76.6220256 39.3329423, -76.6220616 39.3329679, -76.6221189 39.3330196, -76.6221459 39.3330619, -76.6221554 39.3330834, -76.6221754 39.3331332))",,,,parking,street_side,"[4519934788, 4519935089, 4519935090, 4519935098, 4519935091, 4519935092, 9501547770, 4519935093, 9168191502, 4519935094, 4519935100, 4519935095, 4519935096, 4519935099, 4519935097, 4519934788]",private,,,,,,,,,,
way,455610494,"POLYGON ((-76.6225315 39.3279768, -76.6225251 39.3279238, -76.6225563 39.3279225, -76.6225861 39.3279194, -76.622615 39.3279135, -76.6226465 39.3279049, -76.6226736 39.3278951, -76.6227011 39.3278836, -76.6227303 39.3278702, -76.6227558 39.3278562, -76.6227984 39.3278974, -76.6227672 39.3279135, -76.622736 39.3279288, -76.6227021 39.327942, -76.6226663 39.3279534, -76.6226324 39.3279617, -76.6225992 39.3279685, -76.622567 39.3279734, -76.6225315 39.3279768))",,,,parking,street_side,"[4519935309, 4519935310, 8951371765, 8951371764, 8951371763, 4519935311, 8951371762, 8951371761, 8951371760, 4519935312, 4519935313, 8951371769, 8951371768, 4519935314, 8951371767, 4519935315, 8951371770, 8951371766, 4519935309]",,,,,,,,,,,
way,455630154,"POLYGON ((-76.6229514 39.3273176, -76.6229794 39.3271456, -76.6230332 39.3271487, -76.6230255 39.3273227, -76.6229691 39.3273188, -76.6229514 39.3273176))",,,,parking,street_side,"[4520038786, 4520038787, 4520038788, 4520038789, 8975700280, 4520038786]",private,,,,,,,,,,
way,455630159,"POLYGON ((-76.6224575 39.3265111, -76.6226001 39.326626, -76.6226952 39.3267119, -76.6227131 39.3267343, -76.6227783 39.3268158, -76.6228383 39.3269091, -76.6228698 39.3270419, -76.6228669 39.3270869, -76.6228986 39.3270921, -76.6229887 39.3270883, -76.6230419 39.3270941, -76.6230582 39.3270056, -76.623035 39.3269008, -76.6229952 39.3267942, -76.6229221 39.3266843, -76.6229209 39.3266825, -76.6228722 39.3267032, -76.6227896 39.3266122, -76.6226245 39.3264803, -76.6225811 39.3264376, -76.6224575 39.3265111))",,,,parking,street_side,"[4520038851, 4520038852, 4520038853, 9147030018, 4520038854, 4520038855, 4520038856, 4520038857, 4520038858, 4520038859, 8817897121, 4520038861, 4520038862, 4520038863, 9147045458, 4520038864, 4520038865, 4520038866, 4520038867, 4520038868, 4520038851]",,,,,,,,,,,
way,455637566,"POLYGON ((-76.6186294 39.3319351, -76.6186264 39.3318865, -76.6188835 39.3318768, -76.6188866 39.3319254, -76.6186294 39.3319351))",,,,parking,street_side,"[4520077281, 4520077282, 4520077283, 4520077284, 4520077281]",,,,,,,,,,,
way,455654705,"POLYGON ((-76.6245198 39.3301878, -76.6248337 39.33008, -76.624907 39.3301213, -76.6245828 39.3302273, -76.6245198 39.3301878))",,,,parking,street_side,"[4520172057, 4520172058, 4520172059, 4520172060, 4520172057]",private,,,,,,,,,,
way,485990175,"POLYGON ((-76.6185006 39.3219737, -76.6179152 39.321995, -76.6179543 39.3224744, -76.6179469 39.3224931, -76.6179322 39.3225061, -76.6179094 39.3225128, -76.6178598 39.3225128, -76.6177779 39.3225076, -76.6175097 39.3225087, -76.6175379 39.322928, -76.6179761 39.3229144, -76.617959 39.3226394, -76.6185523 39.3226157, -76.6185006 39.3219737))",,,,parking,surface,"[4787497784, 8745938236, 8745938237, 8745938238, 9385729701, 8745938239, 8745938235, 8745938240, 8745938241, 4787497785, 4787497781, 4787497782, 6301215681, 4787497784]",private,,,,,,,,,,
way,542352329,"POLYGON ((-76.6198875 39.3263114, -76.6200377 39.3261967, -76.6203287 39.3259887, -76.6202677 39.3259447, -76.6197187 39.3263736, -76.6195731 39.3264793, -76.6195026 39.3265212, -76.619441 39.326552, -76.6193651 39.3265623, -76.6192893 39.3265608, -76.6191982 39.3265417, -76.6191835 39.3265832, -76.6192423 39.3265997, -76.6192921 39.3266063, -76.6193704 39.3266078, -76.6194415 39.3265979, -76.6195088 39.3265784, -76.6195709 39.3265462, -76.6196406 39.3265007, -76.6198875 39.3263114))",,,,parking,street_side,"[9739640644, 9739640645, 8934416433, 5243604504, 5243604505, 5243604506, 8934416430, 5243604507, 5243604508, 8934416429, 5243604509, 9739640643, 9739640640, 9739640642, 9739640641, 9739640639, 9739640638, 9739640636, 9739640637, 9739640644]",private,,,,,,,,,,
way,542352331,"POLYGON ((-76.619092 39.3266351, -76.6189204 39.3267365, -76.6187284 39.3268609, -76.6185809 39.3269632, -76.6184846 39.3270321, -76.6184325 39.3270857, -76.618486 39.3271138, -76.618541 39.3270645, -76.6186316 39.3269898, -76.6189702 39.3267678, -76.6191274 39.3266705, -76.619092 39.3266351))",,,,parking,street_side,"[5243604520, 5243605421, 5243605422, 5243605423, 5243605424, 5243605425, 9739640633, 9739640632, 9739640631, 9739640630, 9739640629, 5243604520]",private,,,,,,,,,,
way,968248709,"POLYGON ((-76.621122 39.3310477, -76.6211884 39.3310452, -76.6211753 39.330832, -76.6211088 39.3308344, -76.621122 39.3310477))",,,,parking,street_side,"[8957920125, 8957920126, 8957920127, 8957920128, 8957920125]",,,,,,,,,,,
way,992940327,"POLYGON ((-76.6211779 39.3267896, -76.6219591 39.3267589, -76.6219075 39.3259728, -76.6211263 39.3260035, -76.6211779 39.3267896))",-1,-3;-2;-1,,parking,underground,"[9173460678, 9173460676, 9173460677, 9173460679, 9173460678]",yes,,,,,yes,,,,,concrete
