element_type,osmid,geometry,layer,level,operator,amenity,parking,nodes,access,building,building:levels,roof:levels,building:material,fee,name,roof:material,roof:shape,source,surface
way,51724691,"POLYGON ((-76.6223077 39.3329302, -76.6227676 39.332587, -76.6227942 39.3325671, -76.6230412 39.3323828, -76.6231068 39.3323338, -76.6231772 39.3322813, -76.6232486 39.332228, -76.6232533 39.3322245, -76.6229458 39.331978, -76.6229099 39.3320049, -76.6220053 39.33268, -76.6220003 39.3326838, -76.6221518 39.3328053, -76.6222226 39.3328621, -76.6223077 39.3329302))",1,,,parking,multi-storey,"[660149083, 9168191479, 9168191504, 9168191505, 9191938997, 9168191513, 9168191514, 660149084, 660149085, 660149087, 8990279592, 8990279593, 9168191495, 8990279588, 660149083]",private,parking,2,1,,,,,,,
way,180508482,"POLYGON ((-76.6221019 39.3306694, -76.6221065 39.3306547, -76.6221099 39.3306435, -76.6221123 39.3306357, -76.6221172 39.3306195, -76.6221241 39.3305971, -76.6221257 39.3305919, -76.622131 39.3305747, -76.6221379 39.3305523, -76.6221448 39.3305298, -76.6221517 39.3305074, -76.6221586 39.330485, -76.6221654 39.3304626, -76.6221723 39.3304401, -76.6221792 39.3304177, -76.6221861 39.3303953, -76.622193 39.3303729, -76.6222148 39.330302, -76.6221266 39.3302844, -76.6220993 39.3302789, -76.6220824 39.3302755, -76.6220552 39.3302701, -76.6220279 39.3302647, -76.6220095 39.330261, -76.6219826 39.3302556, -76.6219557 39.3302502, -76.6219369 39.3302465, -76.6219106 39.3302412, -76.6218842 39.330236, -76.6218822 39.3302356, -76.6218713 39.3302334, -76.6217979 39.3302187, -76.6217753 39.3302865, -76.6217734 39.3302924, -76.621766 39.3303147, -76.6217586 39.3303369, -76.6217512 39.3303592, -76.6217438 39.3303815, -76.6217364 39.3304037, -76.6217289 39.330426, -76.6217215 39.3304482, -76.6217141 39.3304705, -76.6217111 39.3304796, -76.6216831 39.330564, -76.6216752 39.3305876, -76.6217111 39.3306331, -76.6217572 39.3306421, -76.6218155 39.3306535, -76.6218447 39.3306592, -76.6218739 39.3306649, -76.621903 39.3306706, -76.6219322 39.3306764, -76.6219613 39.3306821, -76.6219905 39.3306878, -76.6220378 39.330697, -76.6221019 39.3306694))",,,,parking,multi-storey,"[1909367288, 8325111726, 9456927363, 8951371746, 9456927348, 9456927349, 4520038722, 9456927350, 9456927351, 9456927352, 9456927353, 9456927354, 9456927355, 9456927356, 9456927357, 9456927358, 9456927362, 1909367242, 9456927336, 9456927332, 9456927331, 9456927330, 9456927329, 9456927328, 9456927327, 9456927326, 9456927325, 9456927324, 9456927335, 8813102289, 9456927378, 1909367234, 8813102271, 8813102278, 9456908995, 9456908994, 9456908993, 9456908992, 9456908991, 9456908990, 9456908989, 9456908998, 8813102272, 8325111702, 1909367270, 1909367281, 9456927364, 9456909007, 9456909008, 9456909009, 9456909010, 9456909011, 9456909012, 9456927365, 1909367291, 1909367288]",private,parking,1,1,concrete,yes,West Garage,concrete,flat,,
way,180563678,"POLYGON ((-76.6235508 39.3255573, -76.6242042 39.3252523, -76.6235633 39.3244306, -76.6232696 39.3245677, -76.6236789 39.3250924, -76.6236151 39.3251221, -76.6236803 39.3252057, -76.6235769 39.325254, -76.6236162 39.3253044, -76.6235373 39.3253413, -76.6235661 39.3253782, -76.6235223 39.3253986, -76.6235515 39.3254361, -76.6234817 39.3254687, -76.6235508 39.3255573))",,,,parking,surface,"[1909883506, 1909883486, 1909883459, 1909883462, 1909883482, 1909883483, 1909883485, 1909883487, 1909883488, 1909883491, 1909883496, 1909883498, 1909883502, 1909883503, 1909883506]",private,,,,,,,,,,
way,193901086,"POLYGON ((-76.6235732 39.3306694, -76.6235857 39.3306624, -76.6235692 39.3306446, -76.6235601 39.3306348, -76.6235449 39.3306184, -76.6235274 39.3305995, -76.6235203 39.3305882, -76.6235382 39.3305821, -76.6239249 39.3304498, -76.6239471 39.3304886, -76.6238839 39.3305103, -76.6239065 39.3305499, -76.6239929 39.330701, -76.6240135 39.330737, -76.6240735 39.3307165, -76.624095 39.330754, -76.6237472 39.330873, -76.6237271 39.3308379, -76.6236788 39.3308544, -76.6235732 39.3306694))",,,,parking,surface,"[2044048553, 2044048552, 9725267276, 2044048551, 4402679618, 2044048547, 4520172056, 8796666073, 660149128, 660149129, 660149130, 8951371750, 8951371749, 660149131, 660149132, 660149133, 2044048558, 2044048555, 2044048557, 2044048553]",yes,,,,,yes,,,,USGS Ortho,
way,193901087,"POLYGON ((-76.6201227 39.3248974, -76.6201456 39.3248172, -76.6201717 39.3247783, -76.6201866 39.3247727, -76.6202979 39.324808, -76.620377 39.3248495, -76.6204615 39.3249149, -76.6205024 39.3249874, -76.6205223 39.3250437, -76.6205534 39.3251316, -76.6207036 39.3255964, -76.6206124 39.3256587, -76.6205451 39.3256287, -76.6204997 39.3254914, -76.6204534 39.325351, -76.6204089 39.3252161, -76.6203813 39.3251132, -76.6203766 39.3250958, -76.620362 39.3250446, -76.6203091 39.3249805, -76.620258 39.3249405, -76.6202063 39.3249163, -76.6201227 39.3248974))",,,,parking,surface,"[2044048064, 8839408675, 8839408674, 2044048053, 2044048054, 2044048057, 2044048068, 2044048073, 9739619847, 2044048090, 2044048091, 2044048094, 1909366686, 9707331081, 9707331077, 1909366653, 8839408629, 8839408543, 2044048080, 2044048072, 2044048069, 2044048067, 2044048064]",private,,,,,,,,,,
way,442592147,"POLYGON ((-76.6243627 39.3269313, -76.6243978 39.3269753, -76.6246045 39.3268807, -76.6245618 39.3268249, -76.6246462 39.3268198, -76.6246187 39.3265975, -76.6244945 39.3266071, -76.6244774 39.3266034, -76.6244386 39.3265513, -76.6241693 39.3266782, -76.6242024 39.3267222, -76.6242243 39.3267985, -76.6242546 39.326844, -76.6242337 39.3268521, -76.6242717 39.3269056, -76.6243627 39.3269313))",,,,parking,surface,"[4402679445, 9180185728, 9180185727, 9180185726, 4402679439, 4402679426, 9180185736, 9180185735, 9180185734, 4402679438, 9180185733, 9180185732, 9180185731, 9180185730, 9180185729, 4402679445]",customers,,,,,no,,,,,
way,455584787,"POLYGON ((-76.621395 39.3345045, -76.6214306 39.3344723, -76.6214368 39.3344704, -76.6215418 39.3344401, -76.6216088 39.334382, -76.6216215 39.3343895, -76.6216421 39.3343706, -76.6216718 39.3343441, -76.6217073 39.3343261, -76.621715 39.3343243, -76.621768 39.3343237, -76.6217785 39.3343235, -76.6217781 39.334301, -76.6217771 39.3342775, -76.6217765 39.3342559, -76.6217754 39.3342317, -76.6217743 39.3342075, -76.6217732 39.3341833, -76.6217721 39.3341591, -76.621771 39.3341349, -76.6217698 39.3341107, -76.6217687 39.3340865, -76.6217036 39.3340883, -76.6216806 39.3340882, -76.6216601 39.3340835, -76.62164 39.3340734, -76.6216242 39.3340614, -76.6215411 39.3341185, -76.6214747 39.3341418, -76.6214023 39.3341558, -76.6212986 39.3341682, -76.6212574 39.3342061, -76.6212161 39.334244, -76.621194 39.3343064, -76.6211523 39.3343441, -76.6211766 39.3343601, -76.6212009 39.3343762, -76.6212251 39.3343922, -76.6212494 39.3344083, -76.6212736 39.3344243, -76.6212979 39.3344404, -76.6213222 39.3344564, -76.6213464 39.3344724, -76.6213707 39.3344885, -76.621395 39.3345045))",,,,parking,surface,"[4519761920, 10801868960, 10801868827, 10801868959, 4519761921, 10801868958, 10801868904, 10801868957, 10801868956, 10801868896, 10801836593, 4519761923, 10801868898, 10801868895, 10801868894, 10801868884, 10801868883, 10801868882, 10801868881, 10801868880, 10801868879, 4519761925, 10801868891, 10801868955, 10801868954, 10801868953, 4519761926, 4519761927, 10801868952, 10801868951, 4519761928, 10801868858, 4519761929, 10801868950, 4519761930, 10801868817, 10801868818, 10801868819, 10801868820, 10801868821, 10801868822, 10801868823, 10801868824, 10801868825, 4519761920]",customers,,,,,no,,,,,
way,455591585,"POLYGON ((-76.6220371 39.3338571, -76.6220996 39.3338667, -76.6221988 39.3334775, -76.6221364 39.3334679, -76.6220371 39.3338571))",,,,parking,street_side,"[4519817347, 4519817348, 4519817349, 4519817350, 4519817347]",,,,,,,,,,,
way,455591611,"POLYGON ((-76.6182749 39.3311603, -76.6184225 39.3311545, -76.6184249 39.3311903, -76.6185045 39.3311872, -76.6185121 39.3313033, -76.6182849 39.3313123, -76.6182749 39.3311603))",,,,parking,surface,"[4519817415, 4519817416, 4519817417, 4519817418, 4519817420, 4519817419, 4519817415]",yes,,,,,yes,,,,,asphalt
way,455610439,"POLYGON ((-76.6198743 39.3321843, -76.6196117 39.332058, -76.6196452 39.3320164, -76.6199078 39.3321426, -76.6198743 39.3321843))",,,Johns Hopkins University,parking,street_side,"[4519934748, 4519934749, 4519934750, 4519934751, 4519934748]",,,,,,,,,,,
