element_type,osmid,nodes,natural,water,geometry
way,552274453,"[5332459939, 5349322021, 9776638478, 9776638481, 9776638484, 9776638483, 9776638482, 5349322230, 5349322231, 9776638480, 9776638479, 5332459940, 7800680629, 7800680642, 7800680627, 7800680644, 7800680643, 7800680646, 7800680626, 7800680645, 7800680628, 7800680630, 7800680631, 7800680639, 7800680632, 7800680641, 7800680633, 7800680634, 7800680637, 7800680638, 7800680652, 7800680625, 7800680640, 7800680635, 7800680648, 7800680649, 7800680650, 7800680636, 7800680651, 5332459956, 5349322032, 5349322033, 5349322034, 7800680647, 5349322036, 5332459957, 5332459958, 5332459959, 5332459960, 5332459961, 5332459962, 5332459963, 5332459964, 5332459965, 5332459966, 5332459967, 5332459939]",water,lake,"POLYGON ((120.4915848 36.1591478, 120.4915304 36.1591505, 120.4916114 36.1592253, 120.4916196 36.1593162, 120.4916204 36.1593955, 120.4916083 36.1594852, 120.4915497 36.1595398, 120.4913424 36.1596663, 120.4912068 36.1595121, 120.4914585 36.1594276, 120.4915058 36.1593366, 120.4915032 36.1592295, 120.4913581 36.1590195, 120.4912636 36.1589388, 120.4911187 36.1588636, 120.4909853 36.1588316, 120.49088 36.1588143, 120.4907801 36.1587753, 120.4907197 36.1587114, 120.4906775 36.1586345, 120.490648 36.1585766, 120.4905789 36.1585214, 120.4904857 36.158464, 120.4904221 36.1584268, 120.4903805 36.1583721, 120.4903516 36.1582908, 120.4903422 36.1582334, 120.4903314 36.1581673, 120.4903295 36.1580964, 120.4903536 36.1580628, 120.4903972 36.1580355, 120.4904225 36.1580241, 120.4904426 36.1580161, 120.4904854 36.1580061, 120.4905769 36.1579738, 120.4906785 36.1578731, 120.4907405 36.1578187, 120.4908569 36.1577621, 120.4909105 36.157761, 120.4909608 36.1577767, 120.4910181 36.1577845, 120.4910745 36.1577645, 120.4911181 36.1577044, 120.4911523 36.1576833, 120.4911831 36.1576752, 120.4912153 36.1576925, 120.4912367 36.1577288, 120.4912414 36.1578798, 120.4911751 36.1581408, 120.4911228 36.1583097, 120.4911268 36.1584266, 120.4911697 36.1585739, 120.4912327 36.1587233, 120.4914701 36.1589507, 120.4916062 36.1590785, 120.4916076 36.1591288, 120.4915848 36.1591478))"
way,554286866,"[5349322224, 5349322225, 5349322226, 5349322227, 5349322228, 5349322229, 5349322230, 5349322231, 5349322232, 5349322233, 5349322234, 5349322235, 5349322236, 5349322237, 5349322224]",water,pond,"POLYGON ((120.4915457 36.1620519, 120.4916998 36.1620867, 120.4918754 36.1615792, 120.4918076 36.161134, 120.4916813 36.1605917, 120.4915026 36.1600345, 120.4913424 36.1596663, 120.4912068 36.1595121, 120.4911329 36.1595817, 120.4912561 36.1597932, 120.4914317 36.1601564, 120.4915704 36.1606215, 120.4916751 36.1611489, 120.4917059 36.1615792, 120.4915457 36.1620519))"
