element_type,osmid,access,amenity,operator,operator:type,wheelchair,geometry,nodes
node,5334656425,private,parking,中国海洋大学,government,yes,POINT (120.4915578 36.1611743),
way,971520339,private,parking,中国海洋大学,government,,"POLYGON ((120.4945023 36.1629769, 120.495073 36.1634143, 120.4952212 36.1632883, 120.4946505 36.1628509, 120.4945023 36.1629769))","[8991839756, 8991839755, 8991839754, 8991839753, 8991839756]"
way,971520340,private,parking,中国海洋大学,government,yes,"POLYGON ((120.4984816 36.1642202, 120.4990369 36.1642293, 120.4990391 36.1641449, 120.4984837 36.1641358, 120.4984816 36.1642202))","[8991839760, 8991839759, 8991839758, 8991839757, 8991839760]"
way,971520341,private,parking,中国海洋大学,government,yes,"POLYGON ((120.4929018 36.1663274, 120.4931518 36.1665348, 120.4933 36.1664183, 120.4930499 36.166211, 120.4929018 36.1663274))","[8991839764, 8991839763, 8991839762, 8991839761, 8991839764]"
way,971520342,private,parking,中国海洋大学,government,yes,"POLYGON ((120.4902307 36.1640781, 120.4904507 36.1642778, 120.4906019 36.1641693, 120.490382 36.1639695, 120.4902307 36.1640781))","[8991839768, 8991839767, 8991839766, 8991839765, 8991839768]"
way,1064524700,private,parking,中国海洋大学,government,,"POLYGON ((120.4925199 36.1564997, 120.4924529 36.1564077, 120.4927293 36.1562764, 120.4927964 36.1563684, 120.4925199 36.1564997))","[9776638433, 9776638434, 9776638435, 9776638436, 9776638433]"
way,1064524701,private,parking,中国海洋大学,government,,"POLYGON ((120.4929962 36.1562566, 120.4932314 36.1561298, 120.4931434 36.1560234, 120.4929082 36.1561502, 120.4929962 36.1562566))","[9776638437, 9776638438, 9776638439, 9776638440, 9776638437]"
