u,v,key,osmid,highway,oneway,reversed,length,geometry,junction
1223211394,1653819663,0,167145465,service,False,False,40.505,"LINESTRING (118.0953379 24.4404607, 118.0952293 24.4401101)",
1223211394,4244302165,0,167145465,service,False,True,109.852,"LINESTRING (118.0953379 24.4404607, 118.0943636 24.4408957)",
1223211394,1408154368,0,127162425,unclassified,False,False,132.3,"LINESTRING (118.0953379 24.4404607, 118.0957931 24.440015, 118.0962548 24.4396136)",
1408154359,1676404729,0,127162425,unclassified,False,False,131.083,"LINESTRING (118.0966927 24.4394089, 118.0971754 24.4393488, 118.0974363 24.4392424, 118.0977602 24.4390158, 118.0978519 24.4389552)",
1408154359,1408154368,0,127162425,unclassified,False,True,50.888999999999996,"LINESTRING (118.0966927 24.4394089, 118.0964468 24.4394717, 118.0962548 24.4396136)",
1408154359,4244302183,0,"[425103821, 425103822]","['service', 'steps']",False,False,97.811,"LINESTRING (118.0966927 24.4394089, 118.0966978 24.4392249, 118.0969634 24.4385727)",
1408154368,1408154359,0,127162425,unclassified,False,False,50.888999999999996,"LINESTRING (118.0962548 24.4396136, 118.0964468 24.4394717, 118.0966927 24.4394089)",
1408154368,1223211394,0,127162425,unclassified,False,True,132.3,"LINESTRING (118.0962548 24.4396136, 118.0957931 24.440015, 118.0953379 24.4404607)",
1641610483,1653819640,0,152570675,service,False,True,63.759,"LINESTRING (118.0955793 24.4381356, 118.0949598 24.4380322)",
1641610483,3051166260,0,167145465,service,False,False,39.983,"LINESTRING (118.0955793 24.4381356, 118.095829 24.437857)",
1641610483,1676404727,0,167145465,service,False,True,63.312,"LINESTRING (118.0955793 24.4381356, 118.0954836 24.4382502, 118.0953922 24.4386674)",
1641610484,1641610551,0,151338203,service,False,True,21.076,"LINESTRING (118.0962618 24.437428, 118.0962576 24.4373828, 118.0962869 24.4373067, 118.0962951 24.4372436)",
1641610484,4242537458,0,167145465,service,False,False,125.333,"LINESTRING (118.0962618 24.437428, 118.0965338 24.4372069, 118.0967322 24.4370796, 118.0969307 24.4369453, 118.09703 24.4368382, 118.0970514 24.4367353, 118.0970651 24.4366319)",
1641610484,1641610492,0,167145465,service,False,True,38.238,"LINESTRING (118.0962618 24.437428, 118.0962093 24.4374707, 118.0960296 24.4376025, 118.0959914 24.4376629)",
1641610492,1653819438,0,151338238,service,False,False,25.11,"LINESTRING (118.0959914 24.4376629, 118.0962329 24.4377144)",
1641610492,1653819553,0,152570615,footway,False,False,28.807,"LINESTRING (118.0959914 24.4376629, 118.0959409 24.4376485, 118.0958899 24.4376509, 118.095788 24.4376363, 118.0957129 24.4376192)",
1641610492,1641610484,0,167145465,service,False,False,38.238,"LINESTRING (118.0959914 24.4376629, 118.0960296 24.4376025, 118.0962093 24.4374707, 118.0962618 24.437428)",
1641610492,3051166260,0,167145465,service,False,True,27.19,"LINESTRING (118.0959914 24.4376629, 118.0959637 24.4377067, 118.095829 24.437857)",
1641610505,1641610704,0,151338236,steps,False,False,42.252,"LINESTRING (118.0951363 24.4374654, 118.0952165 24.4370925)",
1641610505,1653819553,0,152570615,footway,False,True,61.241,"LINESTRING (118.0951363 24.4374654, 118.0951791 24.4374849, 118.0952408 24.4374995, 118.0953374 24.4375044, 118.0954271 24.4375334, 118.0955171 24.4375679, 118.0956095 24.437592, 118.0957129 24.4376192)",
1641610505,1653820417,0,152570677,footway,False,False,19.868,"LINESTRING (118.0951363 24.4374654, 118.0951201 24.4374922, 118.095096 24.4375313, 118.0950745 24.4375679, 118.0950531 24.4376265)",
1641610551,1641610484,0,151338203,service,False,False,21.076,"LINESTRING (118.0962951 24.4372436, 118.0962869 24.4373067, 118.0962576 24.4373828, 118.0962618 24.437428)",
1641610551,3051166265,0,151338203,service,False,True,49.705999999999996,"LINESTRING (118.0962951 24.4372436, 118.0962549 24.4372265, 118.0958127 24.4371694)",
1641610551,1641610670,0,151338229,service,False,True,39.191,"LINESTRING (118.0962951 24.4372436, 118.0963406 24.4372066, 118.096405 24.4371602, 118.0965069 24.4370894, 118.0965553 24.4370433, 118.0965714 24.4370043)",
1641610637,3051160193,0,151338238,service,False,False,83.018,"LINESTRING (118.0972472 24.4378758, 118.0980433 24.438055)",
1641610637,4244302183,0,425103822,service,False,True,82.646,"LINESTRING (118.0972472 24.4378758, 118.0969634 24.4385727)",
1641610637,1653819438,0,151338238,service,False,True,104.262,"LINESTRING (118.0972472 24.4378758, 118.0963594 24.4377414, 118.0962329 24.4377144)",
1641610668,11240621409,0,151338226,service,False,False,110.898,"LINESTRING (118.0893365 24.4394298, 118.0903085 24.4389698)",
