element_type,osmid,nodes,natural,geometry,ways,name,type,water
way,155906958,"[1682537621, 1682537773, 1682537381, 1682537384, 1682537339, 1682537626, 1682537694, 1682537670, 1682537593, 1682537564, 1682537340, 1682537668, 1682537621]",water,"POLYGON ((118.0917347 24.4374844, 118.091716 24.4374624, 118.0916704 24.4374527, 118.0916569 24.4374307, 118.0916757 24.4373867, 118.0916972 24.437355, 118.0917401 24.4373428, 118.0917857 24.4373599, 118.0918125 24.4373941, 118.0918045 24.4374307, 118.0917937 24.4374649, 118.0917642 24.4374893, 118.0917347 24.4374844))",,,,
way,156166000,"[1684501577, 1684501481, 1684501488, 1684501486, 1684501507, 1684501451, 1684501457, 1684501475, 1684501467, 1684501464, 1684501537, 1684501382, 1684501381, 1684501576, 1684501583, 1684501585, 1684501386, 1684501380, 1684501394, 1684501396, 1684501407, 1684501518, 1684501458, 1684501550, 1684501437, 1684501399, 1684501513, 1684501568, 1684501529, 1684501528, 1684501441, 1684501571, 1684501433, 1684501454, 1684501510, 1684501390, 1684501531, 1684501384, 1684501579, 1684501574, 1684501577]",water,"POLYGON ((118.0904584 24.4412092, 118.0905032 24.4410988, 118.0905327 24.4410231, 118.0905219 24.4409719, 118.0905112 24.4409304, 118.0904629 24.4409133, 118.0904307 24.4408986, 118.0903771 24.4408815, 118.0903503 24.4408498, 118.090353 24.4408083, 118.0904146 24.4407912, 118.0904924 24.4407692, 118.0906292 24.4407667, 118.0906668 24.440757, 118.0907419 24.4407326, 118.0907875 24.4407155, 118.0908223 24.4407081, 118.0908626 24.4407155, 118.0908626 24.4407472, 118.0908438 24.4408009, 118.0908384 24.4408254, 118.0908706 24.4408595, 118.0909162 24.4408742, 118.090986 24.4408791, 118.0909645 24.4409255, 118.0909296 24.440945, 118.090884 24.4409621, 118.0908277 24.4409645, 118.0908036 24.4409865, 118.0908143 24.4410183, 118.0908384 24.4410378, 118.0909135 24.4410427, 118.0909511 24.4410817, 118.0909457 24.4411159, 118.0909001 24.4411892, 118.0908545 24.4412209, 118.0908089 24.441238, 118.0907714 24.4412478, 118.0907338 24.4412478, 118.0904719 24.4412374, 118.0904584 24.4412092))",,,,
relation,2372185,"[[[1653820035, 1653819383, 1653819809, 1653819991, 1653819971, 1653819970, 1653820040, 1653820084, 1653820373, 1653819673, 1653819649, 1653820043, 1653820047, 1653820028, 1653819930, 1653820017, 1653819867, 1653819670, 1653819405, 1653819762, 1653820152, 1653819530, 1653819410, 1653819786, 1653819683, 1653819376, 1653820364, 1653819626, 1653819700, 1653820022, 1653820437, 1653819805, 1653820029, 1653820199, 1653819546, 1653819810, 1653819550, 1653819822, 1653819621, 1653819389, 1653820206, 1653820037, 1653819478, 1653819573, 1653820334, 1653819416, 1653819509, 1653819586, 1653820395, 1653819816, 7812547939, 1653819694, 1653820044, 1653819380, 1653819539, 1653820125, 7812547940, 7812547941, 7812547942, 7812547943, 1653819372, 7812547944, 1653820350, 1653819859, 1653819643, 1653820156, 1653819865, 1653819426, 1653819754, 1653819669, 1653819806, 1653819391, 1653820251, 1653819395, 1653819684, 1653820000, 1653819424, 1653820306, 1653820307, 1653819884, 1653819644, 1653819423, 1653819787, 1653819646, 1653819943, 1653819877, 1653819581, 1653820004, 1653820231, 1653820343, 1653820016, 1653820446, 1653819371, 1653820433, 1653819461, 1653819842, 1653819590, 1653820058, 1653819843, 1653819821, 1653819981, 1653820100, 1653819764, 1653819820, 1653819731, 1653819829, 1653819412, 1653819489, 1653819481, 1653820408, 1653819756, 1653820300, 1653820428, 1653819379, 1653819785, 1653819763, 1653820297, 1653820087, 1653820179, 1653820030, 1653820427, 1653820425, 1653820432, 1653819858, 1653819870, 1653819377, 1653820407, 1653820351, 1653820210, 1653819749, 1653820430, 1653819381, 1653819612, 1653819434, 1653819912, 1653819399, 1653820282, 1653820021, 1653819401, 1653819403, 1653819493, 1653820332, 1653819782, 1653819703, 1653820002, 1653819593, 1653819685, 1653819998, 1653819384, 1653819494, 1653819823, 1653819830, 1653820119, 1653819766, 1653819693, 1653820035], [1653819706, 1653820402, 1653819561, 1653820390, 1653819466, 1653819706]]]",water,"POLYGON ((118.0938193 24.4387889, 118.0937629 24.4387962, 118.0936422 24.4388084, 118.093602 24.4388133, 118.0934169 24.438823, 118.0933606 24.4388328, 118.0933338 24.4388475, 118.0932667 24.4388646, 118.093248 24.4389012, 118.0932211 24.4389354, 118.0931916 24.4389622, 118.093146 24.4389671, 118.0930951 24.4389769, 118.0930656 24.4389818, 118.09302 24.4389915, 118.0929931 24.4390086, 118.092969 24.439016, 118.0929449 24.4390575, 118.0929422 24.4391039, 118.0929461 24.4391816, 118.0929529 24.4392137, 118.0929663 24.439243, 118.0929663 24.4392797, 118.0929931 24.4393041, 118.0930387 24.4393407, 118.0930882 24.4393868, 118.0931219 24.4394311, 118.0931568 24.4394897, 118.0931794 24.4395381, 118.0931997 24.4395874, 118.0932143 24.4396407, 118.0932185 24.4396924, 118.0932211 24.4397412, 118.0932238 24.4397949, 118.0932158 24.4398486, 118.0932399 24.4398828, 118.0932748 24.4399194, 118.0933016 24.4399536, 118.093335 24.4399655, 118.0933687 24.4399536, 118.0933821 24.4399194, 118.093433 24.4399365, 118.0934672 24.439933, 118.0934961 24.4399251, 118.0935298 24.439913, 118.0935599 24.4399084, 118.0936024 24.4398953, 118.0936517 24.4398834, 118.0937049 24.4398667, 118.0937489 24.4398478, 118.0937896 24.4398327, 118.0938436 24.4398133, 118.0938731 24.4397938, 118.0938694 24.4397695, 118.0938273 24.4397998, 118.0937629 24.4398169, 118.093712 24.4398486, 118.0936649 24.4398605, 118.0936074 24.439856, 118.0935737 24.4398385, 118.0935323 24.43979, 118.0935215 24.4397021, 118.093535 24.4396557, 118.0935591 24.4396118, 118.093602 24.4395581, 118.0936181 24.43958, 118.0936557 24.4395654, 118.0936837 24.4395137, 118.0937078 24.4394918, 118.0937454 24.4394527, 118.0937898 24.4394262, 118.0938568 24.4393822, 118.0938515 24.4394164, 118.0938917 24.4394115, 118.0939331 24.4394112, 118.0939802 24.4394164, 118.0940017 24.4394506, 118.094035 24.4394893, 118.0940672 24.439504, 118.0941277 24.4395239, 118.0941626 24.4395483, 118.0941945 24.4395834, 118.0942052 24.439612, 118.0941982 24.4396462, 118.0941864 24.4396731, 118.0941143 24.4396875, 118.0940365 24.4397143, 118.0939561 24.4397387, 118.0939028 24.4397565, 118.0939127 24.4397833, 118.0939983 24.4397522, 118.0940616 24.4397212, 118.0941388 24.4396935, 118.0941603 24.4396938, 118.0941811 24.4396963, 118.0942002 24.4397088, 118.0942253 24.4397152, 118.0942408 24.4397131, 118.0942649 24.4397024, 118.0942793 24.4396838, 118.0943021 24.4396554, 118.094341 24.4395785, 118.094345 24.4394991, 118.0943598 24.4394622, 118.0943933 24.4394439, 118.0944235 24.4394378, 118.0944825 24.4394429, 118.0945174 24.4394533, 118.0945428 24.4394539, 118.0945774 24.4394433, 118.0946012 24.4394231, 118.0946096 24.4393862, 118.0946226 24.4393581, 118.0946493 24.4393355, 118.0946654 24.4393037, 118.0946466 24.4392524, 118.0946373 24.4392113, 118.0946171 24.4391768, 118.0946186 24.4391356, 118.0946347 24.4390892, 118.0946266 24.4390526, 118.0945891 24.4390477, 118.0945569 24.4390379, 118.094522 24.439016, 118.0945044 24.4389912, 118.0944898 24.4389622, 118.0944883 24.438935, 118.0944964 24.4388959, 118.0945113 24.438867, 118.0945408 24.4388426, 118.0945059 24.4387742, 118.0944803 24.4387128, 118.0944389 24.4386399, 118.094412 24.4386106, 118.0943837 24.4385834, 118.094353 24.4385666, 118.0943208 24.438574, 118.0942591 24.4385813, 118.0941948 24.4386008, 118.0941384 24.4386106, 118.0941048 24.4386322, 118.0941063 24.4386643, 118.0941036 24.4386961, 118.0941021 24.4387543, 118.094117 24.438784, 118.0941304 24.4388377, 118.0941384 24.4388743, 118.0941036 24.4389134, 118.0940392 24.4389256, 118.0940109 24.4389228, 118.0939626 24.4389155, 118.0939453 24.4388841, 118.0939185 24.4388572, 118.093881 24.4388377, 118.0938661 24.4387934, 118.0938193 24.4387889), (118.093551 24.4390868, 118.093551 24.4391112, 118.0935281 24.4391181, 118.0935108 24.4390868, 118.0935323 24.4390648, 118.093551 24.4390868))","[177695044, 177695045]",芙蓉湖,multipolygon,lake
