element_type,osmid,amenity,geometry,nodes
node,3051187690,parking,POINT (118.0918293 24.4407),
way,151338234,parking,"POLYGON ((118.092441 24.439486, 118.092897 24.4393118, 118.093148 24.4398564, 118.092957 24.4399294, 118.0926921 24.4400306, 118.092441 24.439486))","[1641610729, 1641610646, 1641610635, 1653819807, 1641610701, 1641610729]"
way,154987223,parking,"POLYGON ((118.0922818 24.4391674, 118.0924919 24.4390775, 118.0920534 24.4382275, 118.091814 24.4383299, 118.0919414 24.4385768, 118.0920918 24.4385125, 118.0923368 24.4389876, 118.0922158 24.4390393, 118.0922818 24.4391674))","[1674363750, 1674363869, 1674363814, 1674363804, 1674363797, 1674363664, 1674363655, 1674363759, 1674363750]"
way,155906960,parking,"POLYGON ((118.096893 24.4368076, 118.0963668 24.4367347, 118.0963606 24.4367716, 118.0964392 24.4367825, 118.0967076 24.4368201, 118.0968868 24.4368449, 118.096893 24.4368076))","[1682537713, 1682537488, 1682537484, 1682537568, 1682537512, 1682537258, 1682537713]"
