element_type,osmid,nodes,amenity,geometry
way,969718468,"[8973662956, 8973662955, 8973662954, 8973662953, 8973662956]",parking,"POLYGON ((116.3517096 39.9627448, 116.3516967 39.9629706, 116.3520292 39.9629817, 116.3520421 39.962756, 116.3517096 39.9627448))"
way,969718471,"[8973662964, 8973662963, 8973662962, 8973662961, 8973662964]",parking,"POLYGON ((116.3511966 39.9586956, 116.3511937 39.9587668, 116.3531675 39.9588139, 116.3531704 39.9587427, 116.3511966 39.9586956))"
way,969718474,"[8973662968, 8973662967, 8973662966, 8973662965, 8973662968]",parking,"POLYGON ((116.3530482 39.9573794, 116.3536973 39.9573856, 116.3536973 39.9571379, 116.3530523 39.9571373, 116.3530482 39.9573794))"
