element_type,osmid,access,air_conditioning,amenity,internet_access,internet_access:fee,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,operator,operator:type,wheelchair,geometry,nodes,building,addr:city,addr:postcode,addr:street
node,7072425636,private,yes,library,yes,customers,清华大学图书馆,Library of Tsinghua University,清华大学图书馆,清华大学图书馆,清華大學圖書館,清华大学,government,yes,POINT (116.3183857 40.0031247),,,,,
node,11106067177,,,library,wlan,,美术学院图书馆,,,,,,,,POINT (116.3289005 39.9985169),,,,,
way,80319114,private,yes,library,yes,customers,逸夫馆,Yi Fu Library,逸夫馆,逸夫馆,逸夫館,清华大学,government,yes,"POLYGON ((116.3176714 40.0039683, 116.3170072 40.0039365, 116.317063 40.0032039, 116.3172667 40.0032138, 116.3172642 40.0032442, 116.3175521 40.0032582, 116.3175544 40.0032313, 116.3177277 40.0032398, 116.3177091 40.0034638, 116.3178618 40.0034713, 116.3178487 40.0036301, 116.3177021 40.0036229, 116.317687 40.0038044, 116.3176848 40.0038316, 116.3176799 40.0038811, 116.3176714 40.0039683))","[7953824147, 6138927696, 937446520, 6959716464, 6959716463, 6959716462, 6959716461, 937446521, 937446522, 937446524, 937446525, 937446526, 937446527, 7953824158, 4719688696, 7953824147]",yes,,,
way,226671429,,yes,library,yes,customers,人文社科图书馆（凯风楼）,Humanities and Social Sciences Library (Kaifeng Building),人文社科图书馆（凯风楼）,人文社科图书馆（凯风楼）,人文社科圖書館（凱風樓）,清华大学,government,yes,"POLYGON ((116.3218863 40.0031904, 116.3218997 40.0029883, 116.32201 40.0030649, 116.3219614 40.0029914, 116.3219427 40.0029051, 116.3219713 40.0028181, 116.3220268 40.0027441, 116.3221201 40.0026985, 116.3222275 40.0026849, 116.3223304 40.0026887, 116.3224401 40.0027255, 116.32251 40.002791, 116.3225502 40.002864, 116.3225557 40.0029396, 116.3225338 40.0030149, 116.32308 40.0030295, 116.323068 40.003224, 116.3222448 40.0032006, 116.3218863 40.0031904))","[2354397472, 6956583340, 2354397473, 6956583341, 6956583342, 2354397474, 4457321800, 4457321799, 2354397475, 4457321801, 2354397476, 6956583343, 9748178851, 2354397477, 2354397478, 2354397479, 2354397480, 11407485438, 2354397472]",yes,北京市海淀区,100084,学堂路
way,852646108,private,yes,library,yes,customers,李文正馆,Mochtar Riady Library,李文正馆,李文正馆,李文正館,,,yes,"POLYGON ((116.3181547 40.0039914, 116.3181213 40.0044199, 116.3178125 40.0044074, 116.3174188 40.0043914, 116.3174329 40.0041745, 116.3169923 40.0041556, 116.3170072 40.0039365, 116.3176714 40.0039683, 116.3181547 40.0039914))","[7953824146, 7953824142, 7953824173, 7953824143, 7953824144, 7953824145, 6138927696, 7953824147, 7953824146]",yes,,,
way,852646109,private,yes,library,yes,customers,老馆,Old Library,老馆,老馆,老館,清华大学,government,yes,"POLYGON ((116.319131 40.0029167, 116.3193026 40.0029222, 116.3192867 40.0031038, 116.3195769 40.0031228, 116.3195415 40.0035606, 116.3191982 40.0035471, 116.3190407 40.0036704, 116.318656 40.0036549, 116.3186279 40.0039295, 116.31862 40.0040152, 116.3182601 40.0039968, 116.3181547 40.0039914, 116.3176714 40.0039683, 116.3176799 40.0038811, 116.3176848 40.0038316, 116.3182702 40.0038614, 116.318432 40.0038697, 116.3184479 40.0036501, 116.3181984 40.0036379, 116.3182072 40.0034874, 116.3184656 40.0034996, 116.3184798 40.0034766, 116.318662 40.0034847, 116.3186903 40.0035118, 116.3189275 40.003524, 116.319085 40.003421, 116.3190991 40.0032353, 116.3190443 40.0032299, 116.3190602 40.0030753, 116.3191115 40.0030794, 116.319131 40.0029167))","[7953824149, 7953824150, 7953824151, 7953824152, 7953824153, 7953824154, 7953824155, 7953824156, 7953824148, 7953824157, 9004119536, 7953824146, 7953824147, 4719688696, 7953824158, 9004119535, 7953824159, 7953824160, 7953824161, 7953824162, 7953824163, 7953824164, 7953824165, 7953824166, 7953824167, 7953824168, 7953824169, 7953824170, 7953824171, 7953824172, 7953824149]",yes,,,
