element_type,osmid,amenity,geometry,building,name,nodes,building:material,air_conditioning,website,fast_food,name_1,leisure,building:levels
way,378253741,,"POLYGON ((114.3484599 30.6087828, 114.348476 30.6086627, 114.3490715 30.6087366, 114.3490554 30.608852, 114.3484599 30.6087828))",apartments,南3,"[3816574352, 3816574353, 3816574354, 3816574355, 3816574352]",,,,,,,
way,378253742,,"POLYGON ((114.3484975 30.6085381, 114.3485082 30.6084457, 114.3491197 30.6085104, 114.3491037 30.6086027, 114.3484975 30.6085381))",apartments,南4,"[3816574356, 3816574457, 3816574458, 3816574459, 3816574356]",,,,,,,
way,378253743,,"POLYGON ((114.3485458 30.6083118, 114.3485618 30.608201, 114.3491841 30.6082749, 114.3491734 30.6083765, 114.3485458 30.6083118))",apartments,南5,"[3816574460, 3816574461, 3816574462, 3816574463, 3816574460]",,,,,,,
way,378253744,,"POLYGON ((114.3485779 30.6080856, 114.348594 30.6079979, 114.3492002 30.6080625, 114.3491895 30.6081549, 114.3485779 30.6080856))",apartments,南6,"[3816574464, 3816574465, 3816574466, 3816574467, 3816574464]",,,,,,,
way,378253745,,"POLYGON ((114.3486155 30.6078778, 114.3486209 30.6077809, 114.3492592 30.6078409, 114.3492485 30.6079425, 114.3486155 30.6078778))",apartments,南7,"[3816574468, 3816574469, 3816574470, 3816574471, 3816574468]",,,,,,,
way,378253746,,"POLYGON ((114.3486658 30.6076687, 114.3486888 30.6075635, 114.3493326 30.6076594, 114.3493153 30.6077603, 114.3486658 30.6076687))",apartments,南8,"[3816574472, 3816574473, 3816574474, 3816574475, 3816574472]",,,,,,,
way,378253747,,"POLYGON ((114.3488354 30.6073238, 114.3488569 30.6072314, 114.349388 30.6072915, 114.3493719 30.6073884, 114.3488354 30.6073238))",apartments,南9,"[3816574476, 3816574477, 3816574478, 3816574479, 3816574476]",,,,,,,
way,378253748,,"POLYGON ((114.3490178 30.6071206, 114.3490393 30.6070191, 114.3494523 30.6070791, 114.3494309 30.6071668, 114.3490178 30.6071206))",apartments,南10,"[3816574480, 3816574481, 3816574482, 3816574483, 3816574480]",,,,,,,
way,378253749,,"POLYGON ((114.3490661 30.606899, 114.3490929 30.6068021, 114.3494845 30.6068529, 114.3494684 30.6069452, 114.3490661 30.606899))",apartments,南11,"[3816574484, 3816574485, 3816574486, 3816574487, 3816574484]",,,,,,,
way,378253750,,"POLYGON ((114.3491358 30.6066636, 114.3491466 30.6065943, 114.3495006 30.6066266, 114.3495006 30.6066913, 114.3491358 30.6066636))",apartments,南12,"[3816574488, 3816574489, 3816574490, 3816574491, 3816574488]",,,,,,,
way,378253751,,"POLYGON ((114.3491788 30.6064465, 114.3491948 30.6063588, 114.349565 30.606405, 114.3495489 30.6064881, 114.3491788 30.6064465))",apartments,南13,"[3816574492, 3816574493, 3816574494, 3816574495, 3816574492]",,,,,,,
way,378253752,,"POLYGON ((114.3492002 30.6062249, 114.3492163 30.6061418, 114.3495972 30.6061926, 114.3495811 30.6062803, 114.3492002 30.6062249))",apartments,南14,"[3816574496, 3816574497, 3816574498, 3816574499, 3816574496]",,,,,,,
way,378253754,,"POLYGON ((114.347961 30.6084365, 114.3479718 30.608358, 114.3483365 30.6083996, 114.3483204 30.6084827, 114.347961 30.6084365))",apartments,南15,"[3816574504, 3816574505, 3816574506, 3816574507, 3816574504]",,,,,,,
way,378253755,,"POLYGON ((114.3479771 30.6082333, 114.3479932 30.6081364, 114.3483795 30.6081826, 114.348358 30.6082703, 114.3479771 30.6082333))",apartments,南16,"[3816574508, 3816574509, 3816574510, 3816574511, 3816574508]",,,,,,,
way,378253756,,"POLYGON ((114.3477304 30.6082287, 114.3477465 30.6081502, 114.3478967 30.6081779, 114.3478645 30.608261, 114.3477304 30.6082287))",yes,,"[3816574512, 3816574513, 3816574514, 3816574515, 3816574512]",,,,,,,
way,378253757,,"POLYGON ((114.3478001 30.6076857, 114.3478108 30.6076211, 114.3481595 30.6076627, 114.3481434 30.6077411, 114.3478001 30.6076857))",apartments,南17,"[3816574516, 3816574517, 3816574518, 3816574519, 3816574516]",,,,,,,
way,378253758,restaurant,"POLYGON ((114.3477143 30.6080135, 114.3477411 30.6078381, 114.3479932 30.6078612, 114.3479986 30.607815, 114.3483526 30.6078566, 114.3483365 30.6079074, 114.3481434 30.6078843, 114.3481327 30.6079674, 114.3483312 30.6079812, 114.3483097 30.608092, 114.3477143 30.6080135))",yes,教工食堂,"[3816574520, 3816574521, 3816574522, 3816574523, 3816574524, 3816574525, 3816574526, 3816574527, 3816574528, 3816574529, 3816574520]",,,,cafeteria,,,
