element_type,osmid,amenity,geometry,building,name,nodes,building:material,air_conditioning,website,fast_food,name_1,leisure,building:levels
way,158677093,,"POLYGON ((114.353725 30.6081735, 114.3537498 30.6080377, 114.3538973 30.6080538, 114.3538881 30.6081114, 114.3544425 30.608201, 114.3544231 30.6082824, 114.353725 30.6081735))",yes,接待中心,"[1708326970, 1708326991, 1708326971, 1708326984, 1708326981, 1708326988, 1708326970]",,,,,,,
way,158677457,,"POLYGON ((114.3509641 30.6093105, 114.3509869 30.6091955, 114.3512472 30.6092365, 114.3512692 30.6091487, 114.3511654 30.6091279, 114.3511856 30.6090464, 114.3516388 30.6091249, 114.3516139 30.609227, 114.3513602 30.609189, 114.3513382 30.6092839, 114.3515075 30.6093142, 114.3514851 30.6093945, 114.3509641 30.6093105))",apartments,学生宿舍老二栋,"[1708331628, 1708331621, 1708331623, 1708331624, 1708331626, 1708331632, 1708331631, 1708331630, 1708331622, 1708331629, 1708331627, 1708331625, 1708331628]",,,,,,,
way,158677475,,"POLYGON ((114.3518883 30.6091665, 114.3523604 30.6092404, 114.3523387 30.6093265, 114.3522168 30.609308, 114.3521941 30.6093951, 114.3524528 30.609435, 114.3524194 30.6095613, 114.3519512 30.6094881, 114.3519727 30.6094119, 114.3520627 30.6094274, 114.3520857 30.6093262, 114.3518493 30.6092873, 114.3518883 30.6091665))",apartments,学生宿舍老一栋,"[1708331806, 1708331794, 1708331796, 1708331795, 1708331814, 1708331804, 1708331812, 1708331810, 1708331808, 1708331815, 1708331813, 1708331802, 1708331806]",,,,,,,
way,158677530,,"POLYGON ((114.3511465 30.6084651, 114.3516299 30.6085314, 114.3516149 30.6086402, 114.3514781 30.6086199, 114.3514678 30.6086954, 114.3517077 30.6087333, 114.3516884 30.6088425, 114.3512936 30.6087847, 114.351317 30.6086681, 114.3513768 30.6086764, 114.351387 30.6086098, 114.3511232 30.6085716, 114.3511465 30.6084651))",apartments,学生宿舍老四栋,"[1708333096, 1708333100, 1708333097, 1708333099, 1708333095, 1708333102, 1708333091, 1708333093, 1708333092, 1708333098, 1708333101, 1708333094, 1708333096]",,,,,,,
way,158677567,,"POLYGON ((114.3521409 30.6086216, 114.3526152 30.6087025, 114.3525735 30.6088302, 114.3523191 30.608786, 114.3522934 30.6088711, 114.3524469 30.6088962, 114.3524206 30.6089802, 114.3519539 30.6089041, 114.3519822 30.6087787, 114.3521988 30.6088139, 114.3522212 30.6087277, 114.3521217 30.6087095, 114.3521409 30.6086216))",apartments,学生宿舍老三栋,"[1708333418, 1708333410, 1708333414, 1708333416, 1708333417, 1708333419, 1708333420, 1708333421, 1708333412, 1708333411, 1708333413, 1708333415, 1708333418]",,,,,,,
way,158677592,,"POLYGON ((114.351346 30.6079523, 114.3518373 30.6080322, 114.3517991 30.6081605, 114.3515625 30.6081169, 114.3515481 30.6081978, 114.3516726 30.6082207, 114.3516439 30.6083288, 114.3511709 30.6082462, 114.3512012 30.6081188, 114.3514244 30.6081556, 114.3514431 30.6080732, 114.3513211 30.60805, 114.351346 30.6079523))",apartments,学生宿舍老六栋,"[1708334065, 1708334066, 1708334073, 1708334063, 1708334062, 1708334070, 1708334068, 1708334071, 1708334067, 1708334069, 1708334064, 1708334072, 1708334065]",,,,,,,
way,158677681,,"POLYGON ((114.3520934 30.6080845, 114.3525562 30.6081623, 114.3525294 30.6082477, 114.3524233 30.6082311, 114.3523965 30.6083176, 114.3526232 30.6083585, 114.3525831 30.6084992, 114.3521485 30.6084254, 114.3521711 30.6083338, 114.3522611 30.6083493, 114.3522811 30.6082645, 114.3520546 30.6082223, 114.3520934 30.6080845))",apartments,学生宿舍老五栋,"[1708334348, 1708334351, 1708334360, 1708334354, 1708334357, 1708334353, 1708334355, 1708334356, 1708334352, 1708334350, 1708334349, 1708334358, 1708334348]",,,,,,,
way,158677952,,"POLYGON ((114.3510018 30.6069393, 114.3512234 30.6069779, 114.3512428 30.6069104, 114.3511984 30.6069001, 114.3512171 30.6068393, 114.351081 30.6068141, 114.3510621 30.6068743, 114.3510193 30.6068672, 114.3510018 30.6069393))",yes,研1,"[1708337894, 1708337902, 1708337907, 1708337883, 1708337898, 1708337891, 1708337887, 1708337911, 1708337894]",,,,,,,
way,158678001,,"POLYGON ((114.3506739 30.6068874, 114.3509013 30.6069203, 114.3509171 30.6068582, 114.3508717 30.6068511, 114.3508852 30.6068003, 114.3507442 30.6067802, 114.3507325 30.606837, 114.3506906 30.6068264, 114.3506739 30.6068874))",yes,研2,"[1708338378, 1708338384, 1708338383, 1708338380, 1708338373, 1708338371, 1708338381, 1708338382, 1708338378]",,,,,,,
way,158678025,,"POLYGON ((114.3503412 30.6068417, 114.3505687 30.6068742, 114.3505821 30.6068141, 114.3505311 30.6068072, 114.3505418 30.6067564, 114.3504116 30.6067387, 114.3504012 30.6067916, 114.3503499 30.6067848, 114.3503412 30.6068417))",yes,研3,"[1708338623, 1708338619, 1708338618, 1708338625, 1708338624, 1708338621, 1708338620, 1708338622, 1708338623]",,,,,,,
way,158678082,,"POLYGON ((114.3508966 30.6066269, 114.3511266 30.6066664, 114.3511358 30.6066187, 114.3510863 30.6066087, 114.3511019 30.6065534, 114.3509711 30.6065304, 114.3509595 30.6065858, 114.3509098 30.6065782, 114.3508966 30.6066269))",yes,研4,"[1708339409, 1708339404, 1708339400, 1708339397, 1708339402, 1708339408, 1708339394, 1708339411, 1708339409]",,,,,,,
way,158678145,,"POLYGON ((114.3505747 30.6065855, 114.3507966 30.6066156, 114.3508086 30.6065609, 114.3507637 30.6065559, 114.3507755 30.6065047, 114.3506411 30.606484, 114.350629 30.6065377, 114.350585 30.60653, 114.3505747 30.6065855))",yes,研5,"[1708340136, 1708340135, 1708340138, 1708340140, 1708340139, 1708340142, 1708340137, 1708340141, 1708340136]",,,,,,,
way,158678857,,"POLYGON ((114.3514368 30.6068513, 114.3514488 30.6067891, 114.3515489 30.6068033, 114.351539 30.6068702, 114.3514368 30.6068513))",yes,,"[1708345541, 1708345540, 1708345538, 1708345539, 1708345541]",,,,,,,
way,158681003,,"POLYGON ((114.3512602 30.6100636, 114.3513511 30.6096467, 114.3510249 30.6095889, 114.35093 30.6100109, 114.3512602 30.6100636))",yes,风雨棚,"[1708374469, 1708374468, 1708374467, 1708374465, 1708374469]",,,,,,,
way,158684084,community_centre,"POLYGON ((114.349841 30.6066398, 114.3498529 30.6065643, 114.3497525 30.6065452, 114.3498046 30.6063912, 114.3498973 30.6064505, 114.3499816 30.6064027, 114.3499602 30.6063704, 114.3500234 30.6063351, 114.3500341 30.6062866, 114.3502889 30.6063212, 114.3502138 30.6066998, 114.349841 30.6066398))",yes,大学生活动中心,"[1708399820, 1708399786, 1708399804, 1708399801, 1708399816, 1708399814, 1708399783, 1708399822, 1708399810, 1708399818, 1708399812, 1708399820]",,,,,,,
way,158684191,,"POLYGON ((114.3504614 30.6062001, 114.3504855 30.6060731, 114.3509669 30.6061361, 114.3509254 30.6062786, 114.3504614 30.6062001))",yes,,"[1708402727, 1708402729, 1708402726, 1708402725, 1708402727]",,,,,,,
way,158684227,,"POLYGON ((114.350743 30.6060893, 114.3507818 30.6059053, 114.350861 30.6059185, 114.3508181 30.6060985, 114.350743 30.6060893))",yes,,"[1708403026, 1708403024, 1708403028, 1708403025, 1708403026]",,,,,,,
way,158684416,,"POLYGON ((114.3515335 30.6065175, 114.351563 30.6063374, 114.3518178 30.6063674, 114.3517856 30.6065498, 114.3515335 30.6065175))",yes,配电室,"[1708405066, 1708405070, 1708405099, 1708405104, 1708405066]",,,,,,,
way,158684491,,"POLYGON ((114.3515906 30.6062301, 114.3517193 30.6062416, 114.351624 30.6061915, 114.3515906 30.6062301))",yes,,"[1708405522, 1708405521, 1708405523, 1708405522]",,,,,,,
way,158684768,,"POLYGON ((114.3539271 30.6095976, 114.3540029 30.6093399, 114.3542715 30.6093984, 114.3541957 30.6096561, 114.3539271 30.6095976))",yes,,"[1708409563, 1708409564, 1708409566, 1708409567, 1708409563]",,,,,,,
way,158685077,,"POLYGON ((114.3536834 30.6092344, 114.3537096 30.6091276, 114.3541305 30.6092022, 114.3541197 30.6092324, 114.3543322 30.6092746, 114.354307 30.6093535, 114.3540741 30.6093047, 114.3540888 30.609256, 114.3538135 30.6092043, 114.3538044 30.6092569, 114.3536834 30.6092344))",university,交通学院船舶工程系,"[1708410823, 1708410827, 1708410838, 1708410834, 1708410828, 1708410826, 1708410831, 1708410829, 1708411151, 1708411150, 1708410823]",,,,,,,
way,158685127,,"POLYGON ((114.3537425 30.6088754, 114.3542532 30.608963, 114.3542279 30.6090758, 114.3541513 30.60906, 114.3541634 30.6090049, 114.3538316 30.6089437, 114.3538189 30.6089983, 114.3537184 30.6089793, 114.3537425 30.6088754))",university,交通学院运输管理系,"[1708411619, 1708411621, 1708411614, 1708411617, 1708411622, 1708411623, 1708411918, 1708411917, 1708411619]",,,,,,,
way,158685186,,"POLYGON ((114.352736 30.609642, 114.3527641 30.6095079, 114.3533757 30.6096029, 114.3533476 30.609737, 114.352736 30.609642))",yes,船机楼,"[1708412179, 1708412178, 1708412177, 1708412180, 1708412179]",,,,,,,
way,158685919,,"POLYGON ((114.3535567 30.6078553, 114.3535648 30.607763, 114.3539751 30.6078045, 114.3541066 30.6078969, 114.3540836 30.6079806, 114.3537981 30.6079453, 114.3538027 30.6078809, 114.3535567 30.6078553))",yes,,"[1708418532, 1708418526, 1708418530, 1708418524, 1708418533, 1708418522, 1708418528, 1708418532]",,,,,,,
way,158685988,,"POLYGON ((114.3544542 30.6082721, 114.3544636 30.608224, 114.3546075 30.6082448, 114.3545981 30.6082929, 114.3544542 30.6082721))",yes,,"[1708419064, 1708419063, 1708419062, 1708419065, 1708419064]",,,,,,,
way,158686774,,"POLYGON ((114.3526482 30.6101927, 114.3526744 30.6100649, 114.3529977 30.6101173, 114.3529655 30.610242, 114.3526482 30.6101927))",yes,,"[1708427440, 1708427437, 1708427435, 1708427442, 1708427440]",,,,,,,
way,158686825,,"POLYGON ((114.3529799 30.6102113, 114.3530053 30.6101207, 114.3532429 30.6101701, 114.3532174 30.6102607, 114.3529799 30.6102113))",yes,,"[1708428132, 1708428133, 1708428131, 1708428135, 1708428132]",,,,,,,
way,158686847,,"POLYGON ((114.3526157 30.6103274, 114.3526328 30.6102508, 114.3532784 30.6103571, 114.3532614 30.6104337, 114.3526157 30.6103274))",yes,,"[1708428606, 1708428620, 1708428611, 1708428615, 1708428606]",,,,,,,
way,158686883,,"POLYGON ((114.3525336 30.6105595, 114.3525675 30.6104095, 114.3531886 30.6105066, 114.3531569 30.6106484, 114.3525336 30.6105595))",yes,物流工程学院,"[1708429553, 1708429551, 1708429554, 1708429543, 1708429553]",,,,,,,
way,158686912,,"POLYGON ((114.3525715 30.6109982, 114.3525983 30.6108713, 114.3526413 30.6108782, 114.3526574 30.6107974, 114.3525313 30.6107766, 114.352483 30.610989, 114.3525715 30.6109982))",yes,,"[1708430852, 1708430854, 1708430850, 1708430857, 1708430848, 1708430859, 1708430852]",,,,,,,
way,158686916,,"POLYGON ((114.3529829 30.6110245, 114.3530547 30.6107023, 114.3531608 30.6107198, 114.3530891 30.611042, 114.3529829 30.6110245))",yes,,"[1708431692, 1708431688, 1708431686, 1708431689, 1708431692]",,,,,,,
way,158686950,,"POLYGON ((114.3524385 30.6111554, 114.3524694 30.6110131, 114.353143 30.6111214, 114.3531121 30.6112637, 114.3524385 30.6111554))",yes,,"[1708432579, 1708432591, 1708432582, 1708432588, 1708432579]",,,,,,,
way,158686986,,"POLYGON ((114.3523757 30.6113353, 114.3524052 30.6112106, 114.3526466 30.6112476, 114.3526198 30.6113722, 114.3523757 30.6113353))",university,港口机械检测实验室,"[1708433402, 1708433370, 1708433375, 1708433367, 1708433402]",,,,,,,
way,158687007,,"POLYGON ((114.3526933 30.6113776, 114.3527183 30.6112653, 114.3530865 30.611326, 114.3530615 30.6114383, 114.3526933 30.6113776))",yes,,"[1708434339, 1708434355, 1708434344, 1708434350, 1708434339]",,,,,,,
way,158687206,,"POLYGON ((114.3530435 30.612221, 114.3530886 30.6120225, 114.3536198 30.6121119, 114.3535747 30.6123103, 114.3530435 30.612221))",yes,交通学院,"[1708437113, 1708437106, 1708437108, 1708437110, 1708437113]",,,,,,,
way,158687391,,"POLYGON ((114.3531356 30.6118697, 114.3531824 30.6116488, 114.3533318 30.6116733, 114.3533217 30.6117216, 114.3536035 30.6117642, 114.3535686 30.6119397, 114.3531356 30.6118697))",yes,液压实验室,"[1708438614, 1708438618, 1708438621, 1708438616, 1708438620, 1708438619, 1708438614]",,,,,,,
way,158688152,,"POLYGON ((114.3503472 30.610899, 114.3503902 30.6106857, 114.3502102 30.6106588, 114.3501672 30.6108722, 114.3503472 30.610899))",yes,保卫处,"[1708440599, 1708440601, 1708440593, 1708440597, 1708440599]",,,,,,,
way,158689091,,"POLYGON ((114.3521763 30.6097865, 114.3522128 30.6096488, 114.3524139 30.6096765, 114.3523749 30.6098226, 114.3521763 30.6097865))",yes,配电室,"[1708442912, 1708442911, 1708442910, 1708442913, 1708442912]",,,,,,,
way,158689306,,"POLYGON ((114.3516979 30.6104592, 114.3523416 30.6105469, 114.3523845 30.6103877, 114.352265 30.6103722, 114.3523716 30.6099843, 114.3518669 30.6099052, 114.3517946 30.6102213, 114.3521444 30.6102721, 114.352123 30.6103513, 114.3517369 30.6102936, 114.3516979 30.6104592))",school,,"[1708444079, 1708444081, 1708444086, 1708444088, 1708444083, 1708444092, 1708444077, 1708444076, 1708444073, 1708444089, 1708444079]",,,,,,,
way,158689404,,"POLYGON ((114.3507362 30.6103067, 114.3513842 30.6103946, 114.3514057 30.6102931, 114.3511589 30.6102515, 114.3512018 30.6100807, 114.3510194 30.6100484, 114.3509819 30.6102146, 114.350762 30.6101869, 114.3507362 30.6103067))",yes,报账大厅,"[1708444904, 1708444905, 1708444902, 1708444909, 1708444911, 1708444906, 1708444907, 1708444891, 1708444904]",,,,,,,
way,173128326,,"POLYGON ((114.3512853 30.6135728, 114.3513814 30.6134767, 114.3523008 30.6141568, 114.3522047 30.614253, 114.3512853 30.6135728))",yes,,"[1839573017, 1839573019, 1839573018, 1839573012, 1839573017]",,,,,,,
way,377954899,,"POLYGON ((114.3534351 30.6114612, 114.353452 30.6113532, 114.3539289 30.6114161, 114.3539065 30.6115256, 114.3534351 30.6114612))",apartments,联盟小区2幢,"[3813628990, 3813628991, 3813628992, 3813628993, 3813628990]",,,,,,,
way,377954900,,"POLYGON ((114.3540031 30.6115386, 114.3540262 30.611429, 114.3544213 30.6114895, 114.3544003 30.6116029, 114.3540031 30.6115386))",apartments,联盟小区1幢,"[3813628994, 3813628995, 3813628996, 3813628997, 3813628994]",,,,,,,
way,377954901,,"POLYGON ((114.353278 30.611165, 114.3532999 30.6110424, 114.3539715 30.6111351, 114.3539461 30.611255, 114.353278 30.611165))",apartments,联盟小区3幢,"[3813628998, 3813628999, 3813629000, 3813629001, 3813628998]",,,,,,,
way,377954902,,"POLYGON ((114.3540337 30.6112745, 114.3540538 30.611146, 114.3545846 30.6112236, 114.3545533 30.6113493, 114.3540337 30.6112745))",apartments,联盟小区4幢,"[3813629002, 3813629003, 3813629004, 3813629005, 3813629002]",,,,,,,
way,377954903,,"POLYGON ((114.3531886 30.6108611, 114.3532076 30.6107411, 114.3538954 30.6108625, 114.3538701 30.6109824, 114.3531886 30.6108611))",apartments,联盟小区5幢,"[3813629006, 3813629007, 3813629008, 3813629009, 3813629006]",,,,,,,
way,377954904,,"POLYGON ((114.3539715 30.6109879, 114.3540031 30.6108516, 114.3546249 30.6109489, 114.354595 30.6110799, 114.3539715 30.6109879))",apartments,联盟小区6幢,"[3813629010, 3813629011, 3813629012, 3813629013, 3813629010]",,,,,,,
way,377954905,,"POLYGON ((114.353244 30.6106002, 114.3532674 30.6104797, 114.3539124 30.6105735, 114.3538897 30.6106947, 114.353244 30.6106002))",apartments,联盟小区7幢,"[3813629014, 3813629015, 3813629016, 3813629017, 3813629014]",,,,,,,
way,377954906,,"POLYGON ((114.3539887 30.6107131, 114.3540211 30.6105949, 114.3544835 30.6106599, 114.3544531 30.6107783, 114.3539887 30.6107131))",apartments,联盟小区8幢,"[3813629018, 3813629019, 3813629020, 3813629021, 3813629018]",,,,,,,
way,377954907,,"POLYGON ((114.3532856 30.6103311, 114.3533083 30.6102139, 114.3539624 30.6103038, 114.3539351 30.6104171, 114.3532856 30.6103311))",apartments,联盟小区9幢,"[3813629022, 3813629023, 3813629024, 3813629025, 3813629022]",,,,,,,
way,377957270,,"POLYGON ((114.3541749 30.6100867, 114.3541865 30.6100138, 114.3545845 30.6100718, 114.3545749 30.6101463, 114.3541749 30.6100867))",yes,,"[3813650318, 3813650319, 3813650320, 3813650321, 3813650318]",,,,,,,
