element_type,osmid,amenity,fast_food,name,geometry,nodes,building
node,1708365164,restaurant,cafeteria,三食堂,POINT (114.3531797 30.6079968),,
node,1708365382,restaurant,,六、七食堂,POINT (114.3531873 30.6075218),,
node,3817091065,restaurant,,蒸好吃,POINT (114.3559763 30.609181),,
node,3817091066,restaurant,,东北快餐,POINT (114.3556753 30.608973),,
node,3817091067,restaurant,,小博士,POINT (114.3557991 30.6090594),,
node,3817091068,restaurant,,重庆番茄鱼,POINT (114.3561608 30.609313),,
way,158663705,restaurant,cafeteria,学生一食堂,"POLYGON ((114.3506948 30.6070473, 114.3509362 30.6070866, 114.3509293 30.607145, 114.3511078 30.6071674, 114.3509818 30.6076776, 114.3507967 30.6076498, 114.3508033 30.6076182, 114.3505699 30.6075767, 114.3506948 30.6070473))","[1708188676, 1708188675, 1708188673, 1708188677, 1708188679, 1708188678, 1708188672, 1708188674, 1708188676]",yes
way,378253758,restaurant,cafeteria,教工食堂,"POLYGON ((114.3477143 30.6080135, 114.3477411 30.6078381, 114.3479932 30.6078612, 114.3479986 30.607815, 114.3483526 30.6078566, 114.3483365 30.6079074, 114.3481434 30.6078843, 114.3481327 30.6079674, 114.3483312 30.6079812, 114.3483097 30.608092, 114.3477143 30.6080135))","[3816574520, 3816574521, 3816574522, 3816574523, 3816574524, 3816574525, 3816574526, 3816574527, 3816574528, 3816574529, 3816574520]",yes
