u,v,key,osmid,highway,oneway,reversed,length,name,geometry,bridge,lanes,maxspeed
1708239958,8995283721,0,158668337,path,False,False,6.07,,"LINESTRING (114.3538744 30.6087355, 114.3539242 30.6087017)",,,
1708240659,1708241089,0,158668379,path,False,True,13.048,,"LINESTRING (114.3541506 30.6084008, 114.3542204 30.6085016)",,,
1708240661,1708241089,0,158668379,path,False,False,18.034,,"LINESTRING (114.3543169 30.6086409, 114.3542204 30.6085016)",,,
1708241089,1708240659,0,158668379,path,False,False,13.048,,"LINESTRING (114.3542204 30.6085016, 114.3541506 30.6084008)",,,
1708241089,1708240661,0,158668379,path,False,True,18.034,,"LINESTRING (114.3542204 30.6085016, 114.3543169 30.6086409)",,,
1708241089,1708241091,0,158668411,path,False,False,23.671,,"LINESTRING (114.3542204 30.6085016, 114.3544258 30.608383)",,,
1708241091,1708241089,0,158668411,path,False,True,23.671,,"LINESTRING (114.3544258 30.608383, 114.3542204 30.6085016)",,,
1708241091,1708212361,0,158683591,service,False,True,50.565,,"LINESTRING (114.3544258 30.608383, 114.3543306 30.6088303)",,,
1708241091,1839548243,0,"[158667524, 158683591]",service,False,False,71.762,学子路,"LINESTRING (114.3544258 30.608383, 114.3544431 30.6083017, 114.3537994 30.6082031)",,,
1708249586,3904060953,0,158660966,service,False,False,80.122,交通三路,"LINESTRING (114.3524279 30.6106809, 114.3522858 30.611391)",,,
1708249586,1708312729,0,158660966,service,False,True,77.798,交通三路,"LINESTRING (114.3524279 30.6106809, 114.3525659 30.6099914)",,,
1708249586,3816648044,0,158669026,service,False,True,17.476,青年园南路,"LINESTRING (114.3524279 30.6106809, 114.3522478 30.6106549)",,,
1708312729,1708249586,0,158660966,service,False,False,77.798,交通三路,"LINESTRING (114.3525659 30.6099914, 114.3524279 30.6106809)",,,
1708312729,3904060951,0,158660966,service,False,True,38.362,交通三路,"LINESTRING (114.3525659 30.6099914, 114.3526339 30.6096514)",,,
1708312729,1708312730,0,158672335,path,False,False,82.037,,"LINESTRING (114.3525659 30.6099914, 114.3533919 30.6097941)",,,
1708312730,1708312729,0,158672335,path,False,True,82.037,,"LINESTRING (114.3533919 30.6097941, 114.3525659 30.6099914)",,,
1708312730,1839508869,0,387066473,service,False,False,6.397,,"LINESTRING (114.3533919 30.6097941, 114.3534572 30.6098064)",,,
1708312730,3904060951,0,387066473,service,False,True,74.256,,"LINESTRING (114.3533919 30.6097941, 114.3526339 30.6096514)",,,
1708421143,1708423478,0,378253777,path,False,True,23.085,,"LINESTRING (114.3534193 30.6100941, 114.3536542 30.6100469)",,,
1708423465,1708423478,0,378253777,path,False,False,11.811,,"LINESTRING (114.3537728 30.6100175, 114.3536542 30.6100469)",,,
1708423465,1708423478,1,158686322,residential,False,False,15.14,,"LINESTRING (114.3537728 30.6100175, 114.3537668 30.6100366, 114.3537548 30.6100517, 114.3537287 30.6100663, 114.3537061 30.6100694, 114.3536867 30.6100667, 114.3536663 30.6100575, 114.3536542 30.6100469)",,,
1708423465,1708423478,2,158686322,residential,False,True,24.398999999999997,,"LINESTRING (114.3537728 30.6100175, 114.3537726 30.6100058, 114.3537659 30.6099869, 114.353753 30.6099717, 114.3537378 30.6099622, 114.353716 30.6099561, 114.353691 30.6099573, 114.3536644 30.6099689, 114.3536517 30.6099812, 114.3536426 30.6099993, 114.3536419 30.6100231, 114.3536542 30.6100469)",,,
1708423465,8995273495,0,378253777,path,False,True,30.689,,"LINESTRING (114.3537728 30.6100175, 114.353911 30.6100264, 114.3539729 30.6100067, 114.3539972 30.609909)",,,
1708423478,1708421143,0,378253777,path,False,False,23.085,,"LINESTRING (114.3536542 30.6100469, 114.3534193 30.6100941)",,,
1708423478,1708423465,0,378253777,path,False,True,11.811,,"LINESTRING (114.3536542 30.6100469, 114.3537728 30.6100175)",,,
1708423478,1708423465,1,158686322,residential,False,False,24.398999999999997,,"LINESTRING (114.3536542 30.6100469, 114.3536419 30.6100231, 114.3536426 30.6099993, 114.3536517 30.6099812, 114.3536644 30.6099689, 114.353691 30.6099573, 114.353716 30.6099561, 114.3537378 30.6099622, 114.353753 30.6099717, 114.3537659 30.6099869, 114.3537726 30.6100058, 114.3537728 30.6100175)",,,
1708423478,1708423465,2,158686322,residential,False,True,15.139999999999997,,"LINESTRING (114.3536542 30.6100469, 114.3536663 30.6100575, 114.3536867 30.6100667, 114.3537061 30.6100694, 114.3537287 30.6100663, 114.3537548 30.6100517, 114.3537668 30.6100366, 114.3537728 30.6100175)",,,
1839505459,1839548241,0,158683121,service,False,False,26.128,交通一路,"LINESTRING (114.3509997 30.6083376, 114.3510491 30.6081065)",,,
