element_type,osmid,nodes,name,natural,source,water,geometry
way,55211814,"[694059761, 694059762, 694059763, 694059764, 694059765, 694059766, 694059767, 694059768, 694059769, 694059770, 694059771, 694059772, 694059761]",水运湖,water,Yahoo hires,pond,"POLYGON ((114.35296 30.6134602, 114.3525624 30.6131639, 114.351865 30.6124991, 114.3515646 30.6123791, 114.3514037 30.6132101, 114.3514037 30.6134132, 114.3517899 30.6136625, 114.3520582 30.6138841, 114.3522298 30.6139857, 114.3522942 30.6139118, 114.3524122 30.6139765, 114.3524745 30.6139693, 114.35296 30.6134602))"
way,158666499,"[1708227782, 1708227787, 1708227759, 1708227761, 1708227782]",船池,water,,reservoir,"POLYGON ((114.3543018 30.6096334, 114.3544371 30.6091074, 114.3552485 30.6092686, 114.3551117 30.6097934, 114.3543018 30.6096334))"
way,158671256,"[1708298566, 1708298571, 1708298568, 1708298569, 1708298566]",,water,,,"POLYGON ((114.351405 30.6130389, 114.351228 30.613002, 114.3513568 30.6123556, 114.3515338 30.6124157, 114.351405 30.6130389))"
