element_type,osmid,nodes,building,geometry,name,building:levels,amenity,cuisine,fast_food,height,ways,type
way,277568583,"[2820704900, 2820704898, 2820704882, 2820704883, 2820704875, 2820704874, 2820704858, 2820704852, 2820704844, 2820704843, 2820704827, 2820704825, 2820704817, 2820704816, 2820703700, 2820703698, 2820703679, 2820703681, 2820704804, 2820704810, 2820704803, 2820704802, 2820704885, 2820704886, 2820704868, 2820704870, 2820704900]",yes,"POLYGON ((121.5260664 38.8861159, 121.5272603 38.8861012, 121.5272569 38.885931, 121.5270348 38.8859337, 121.5270336 38.8858761, 121.5271561 38.8858745, 121.5271569 38.8857573, 121.5270306 38.8857272, 121.5270294 38.8856676, 121.5271447 38.8856661, 121.5271477 38.8855475, 121.5270266 38.8855294, 121.5270253 38.8854676, 121.5271289 38.8854664, 121.5271281 38.8853482, 121.5270226 38.8853315, 121.5270194 38.8851729, 121.526382 38.8851807, 121.5263856 38.8853588, 121.5267063 38.8854178, 121.5267068 38.8853549, 121.5268782 38.8853528, 121.52689 38.8859355, 121.526644 38.8859385, 121.5266422 38.885848, 121.5260611 38.8858552, 121.5260664 38.8861159))",研究生教学楼,,,,,,,
way,277568657,"[2820704708, 2820704714, 2820704704, 2820704701, 2820704708]",yes,"POLYGON ((121.5217618 38.8849398, 121.5222271 38.8850002, 121.5222483 38.8849015, 121.5217829 38.8848411, 121.5217618 38.8849398))",,,,,,,,
way,277568665,"[2820704846, 2820704854, 2820704838, 2820704828, 2820704846]",yes,"POLYGON ((121.5212343 38.8856737, 121.5217196 38.8857367, 121.5217454 38.8856163, 121.5212601 38.8855533, 121.5212343 38.8856737))",,,,,,,,
way,277568670,"[2820703691, 2820703697, 2820703682, 2820703675, 2820703691]",yes,"POLYGON ((121.520286 38.8852695, 121.5206175 38.8853125, 121.520644 38.8851887, 121.5203125 38.8851457, 121.520286 38.8852695))",,,,,,,,
way,277568730,"[2820704040, 2820704044, 2820704035, 2820704033, 2820704040]",yes,"POLYGON ((121.5210922 38.8840335, 121.5215261 38.8840898, 121.5215486 38.8839846, 121.5211147 38.8839283, 121.5210922 38.8840335))",,,,,,,,
way,277568731,"[2820704082, 2820704085, 2820704078, 2820704074, 2820704082]",yes,"POLYGON ((121.5206331 38.884576, 121.5209149 38.8846126, 121.5209364 38.8845122, 121.5206546 38.8844756, 121.5206331 38.884576))",,,,,,,,
way,277568808,"[2820704703, 2820704707, 2820704097, 2820704092, 2820704703]",yes,"POLYGON ((121.5212316 38.8848696, 121.5216903 38.8849291, 121.5217153 38.8848122, 121.5212566 38.8847526, 121.5212316 38.8848696))",,,,,,,,
way,277568814,"[2820704801, 2820704806, 2820703694, 2820703692, 2820704801]",yes,"POLYGON ((121.5224368 38.8853504, 121.5225591 38.8853662, 121.5225762 38.8852866, 121.5224539 38.8852707, 121.5224368 38.8853504))",,,,,,,,
way,277568827,"[2820703699, 2820704809, 2820703693, 2820703686, 2820703699]",yes,"POLYGON ((121.5207041 38.8853397, 121.5212005 38.8854041, 121.5212261 38.8852844, 121.5207298 38.88522, 121.5207041 38.8853397))",,,,,,,,
way,277568892,"[2820704722, 2820703674, 2820704716, 2820704711, 2820704722]",yes,"POLYGON ((121.5207779 38.8850717, 121.521249 38.8851328, 121.5212726 38.8850228, 121.5208015 38.8849616, 121.5207779 38.8850717))",,,,,,,,
