u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge
346738591,346738661,0,31159412,书阳路,residential,False,False,76.947,"LINESTRING (121.5227336 38.8775277, 121.5236225 38.8775262)",,
346738591,374101286,0,33126279,,living_street,False,True,57.694,"LINESTRING (121.5227336 38.8775277, 121.5220832 38.877641)",,
346738591,8310006738,0,31159412,书阳路,residential,False,True,58.521,"LINESTRING (121.5227336 38.8775277, 121.5221922 38.877505, 121.5220617 38.8774818)",,
346738661,374106446,0,31159412,书阳路,residential,False,False,82.872,"LINESTRING (121.5236225 38.8775262, 121.5245798 38.8775335)",,
346738661,346738591,0,31159412,书阳路,residential,False,True,76.947,"LINESTRING (121.5236225 38.8775262, 121.5227336 38.8775277)",,
346738661,374106330,0,33126627,,living_street,False,False,173.557,"LINESTRING (121.5236225 38.8775262, 121.5236639 38.8759657)",,
346738678,375732465,0,31159412,书阳路,residential,False,False,12.321,"LINESTRING (121.52778 38.87755, 121.5279217 38.8775604)",,
346738678,374106446,0,31159412,书阳路,residential,False,True,277.029,"LINESTRING (121.52778 38.87755, 121.5245798 38.8775335)",,
346738678,375732076,0,33174897,,living_street,False,True,256.234,"LINESTRING (121.52778 38.87755, 121.5277581 38.8752457)",,
346739926,1866153897,0,176050692,,living_street,False,True,7.382,"LINESTRING (121.5196025 38.8829911, 121.519518 38.8830001)",,
346739926,5262329542,0,544369550,,living_street,False,False,77.288,"LINESTRING (121.5196025 38.8829911, 121.5203615 38.8830135, 121.5204933 38.8830294)",,
346739926,10087321554,0,1123482445,红凌路,secondary,True,False,262.81399999999996,"LINESTRING (121.5196025 38.8829911, 121.519687 38.8836601, 121.5196405 38.8840982, 121.5194269 38.8847164, 121.5192865 38.8853181)",2,
374101113,5262329557,0,33126275,,living_street,False,False,90.766,"LINESTRING (121.5223463 38.8800055, 121.5223189 38.8808215)",,
374101113,374101224,0,33126278,,living_street,False,False,74.747,"LINESTRING (121.5223463 38.8800055, 121.5232096 38.8800205)",,
374101113,374101218,0,33126278,,living_street,False,True,74.577,"LINESTRING (121.5223463 38.8800055, 121.5214848 38.8799978)",,
374101145,5262329545,0,33126275,,living_street,False,False,87.347,"LINESTRING (121.5222723 38.8822782, 121.5222477 38.8830635)",,
374101145,5262329548,0,33126275,,living_street,False,True,78.828,"LINESTRING (121.5222723 38.8822782, 121.5222948 38.8815695)",,
374101145,375732184,0,33174906,,living_street,False,True,117.90599999999999,"LINESTRING (121.5222723 38.8822782, 121.5228816 38.8823018, 121.5232825 38.8823509, 121.5235371 38.8825336)",,
374101161,374101318,0,33126282,,living_street,False,False,112.063,"LINESTRING (121.5222864 38.8845017, 121.523579 38.884559)",,
374101161,374101193,0,33126275,,living_street,False,False,180.15699999999998,"LINESTRING (121.5222864 38.8845017, 121.5223249 38.8849251, 121.5224789 38.8851176, 121.5226451 38.8852445, 121.5230195 38.8854088, 121.5235516 38.8855927)",,
374101161,5262329545,0,33126275,,living_street,False,True,159.987,"LINESTRING (121.5222864 38.8845017, 121.5222479 38.8837447, 121.5222477 38.8830635)",,
374101193,374101318,0,33174906,,living_street,False,False,114.967,"LINESTRING (121.5235516 38.8855927, 121.523579 38.884559)",,
374101193,8310006767,0,894092913,,living_street,False,False,181.349,"LINESTRING (121.5235516 38.8855927, 121.5256468 38.8855973)",,
374101193,374101161,0,33126275,,living_street,False,True,180.157,"LINESTRING (121.5235516 38.8855927, 121.5230195 38.8854088, 121.5226451 38.8852445, 121.5224789 38.8851176, 121.5223249 38.8849251, 121.5222864 38.8845017)",,
374101218,374101113,0,33126278,,living_street,False,False,74.577,"LINESTRING (121.5214848 38.8799978, 121.5223463 38.8800055)",,
374101218,374101267,0,33126279,,living_street,False,False,92.679,"LINESTRING (121.5214848 38.8799978, 121.5215071 38.8791645)",,
374101218,374101251,0,33126279,,living_street,False,True,17.958,"LINESTRING (121.5214848 38.8799978, 121.5214833 38.8801593)",,
374101218,5262329558,0,33126278,,living_street,False,True,157.071,"LINESTRING (121.5214848 38.8799978, 121.5209939 38.8799885, 121.5207465 38.880009, 121.5206222 38.8800546, 121.5205748 38.8801675, 121.5205549 38.8807782)",,
374101224,374101113,0,33126278,,living_street,False,True,74.747,"LINESTRING (121.5232096 38.8800205, 121.5223463 38.8800055)",,
374101224,374101299,0,33126281,,living_street,False,False,91.834,"LINESTRING (121.5232096 38.8800205, 121.5232458 38.8791951)",,
374101224,374101230,0,33126278,,living_street,False,False,138.766,"LINESTRING (121.5232096 38.8800205, 121.5239966 38.8800475, 121.5245785 38.8800648, 121.5248114 38.8800703)",,
374101230,374101235,0,33126278,,living_street,False,False,99.796,"LINESTRING (121.5248114 38.8800703, 121.5259643 38.880072)",,
374101230,374101292,0,33126282,,living_street,False,False,94.642,"LINESTRING (121.5248114 38.8800703, 121.5248208 38.8792192)",,
374101230,374101365,0,33126282,,living_street,False,True,74.214,"LINESTRING (121.5248114 38.8800703, 121.5248333 38.8807375)",,
374101230,374101224,0,33126278,,living_street,False,True,138.766,"LINESTRING (121.5248114 38.8800703, 121.5245785 38.8800648, 121.5239966 38.8800475, 121.5232096 38.8800205)",,
374101235,374101230,0,33126278,,living_street,False,True,99.796,"LINESTRING (121.5259643 38.880072, 121.5248114 38.8800703)",,
374101235,374106541,0,33126631,,residential,False,False,74.525,"LINESTRING (121.5259643 38.880072, 121.5259146 38.8807411)",,
374101235,374106461,0,33126631,,residential,False,True,117.022,"LINESTRING (121.5259643 38.880072, 121.5260102 38.8790202)",,
374101235,8657970603,0,33126278,,living_street,False,False,335.14300000000003,"LINESTRING (121.5259643 38.880072, 121.5269815 38.8801073, 121.5272203 38.8801894, 121.527439 38.8803221, 121.5275725 38.8804982, 121.5277504 38.880579, 121.5280878 38.8806454, 121.5287441 38.8806454, 121.528796 38.8805992, 121.5288145 38.8805069, 121.5288799 38.8800086)",,
374101251,374101218,0,33126279,,living_street,False,False,17.958,"LINESTRING (121.5214833 38.8801593, 121.5214848 38.8799978)",,
374101267,374101218,0,33126279,,living_street,False,True,92.679,"LINESTRING (121.5215071 38.8791645, 121.5214848 38.8799978)",,
374101267,374101299,0,1108279698,,living_street,False,True,150.544,"LINESTRING (121.5215071 38.8791645, 121.5232458 38.8791951)",,
374101267,374101286,0,33126279,,living_street,False,False,187.477,"LINESTRING (121.5215071 38.8791645, 121.5215455 38.8782194, 121.5216588 38.8779729, 121.5218419 38.8777598, 121.5220832 38.877641)",,
374101267,5262329571,0,"[33126280, 1108279697, 1108279698]",,living_street,False,False,140.098,"LINESTRING (121.5215071 38.8791645, 121.5206601 38.8791588, 121.520508 38.8791612, 121.5201871 38.8791615, 121.5198887 38.8791609)",,yes
374101286,346738591,0,33126279,,living_street,False,False,57.694,"LINESTRING (121.5220832 38.877641, 121.5227336 38.8775277)",,
374101286,8310006738,0,894092909,,living_street,False,False,17.8,"LINESTRING (121.5220832 38.877641, 121.5220617 38.8774818)",,
374101286,374101267,0,33126279,,living_street,False,True,187.477,"LINESTRING (121.5220832 38.877641, 121.5218419 38.8777598, 121.5216588 38.8779729, 121.5215455 38.8782194, 121.5215071 38.8791645)",,
374101292,374101371,0,33126282,,living_street,False,False,44.375,"LINESTRING (121.5248208 38.8792192, 121.5248717 38.8788221)",,
