element_type,osmid,nodes,intermittent,natural,water,geometry,ways,type
way,1215950375,"[11266260466, 11266260467, 11266260468, 11266277469, 11266277470, 11266277471, 11266277472, 11266277473, 11266260466]",yes,water,basin,"POLYGON ((116.3404332 39.9786623, 116.3404344 39.9786283, 116.3405227 39.9786297, 116.3405219 39.9786479, 116.3404934 39.978647, 116.3404934 39.9786551, 116.3404614 39.9786545, 116.3404607 39.9786628, 116.3404332 39.9786623))",,
way,1215950376,"[11266277474, 11266277475, 11266277476, 11266277477, 11266277478, 11266277479, 11266277480, 11266277481, 11266277474]",yes,water,basin,"POLYGON ((116.3404407 39.9786044, 116.3404419 39.9785704, 116.3405302 39.9785718, 116.3405294 39.97859, 116.3405009 39.9785891, 116.3405009 39.9785972, 116.3404689 39.9785966, 116.3404682 39.9786049, 116.3404407 39.9786044))",,
relation,11949167,"[[[5341056295, 5341056283, 5341056273, 5341056291, 8166955166, 5341056279, 8166955165, 5341056297, 5341056286, 5341056280, 5341056287, 5341056275, 5341056294, 5341056282, 8166955161], [8166955161, 5341056272, 5341056278, 5341056296, 5341056290, 8166955168, 5341056285, 5341056284, 5341056274, 5341056281, 5341056292, 5341056270, 5341056288, 5341056276, 5341056295]]]",yes,water,pond,"POLYGON ((116.3410004 39.9821113, 116.3409835 39.9821545, 116.3409942 39.9822193, 116.3409746 39.9823018, 116.340949 39.982383, 116.3408766 39.9825069, 116.34083 39.982575, 116.340726 39.9826299, 116.3407446 39.9827009, 116.3408035 39.9827557, 116.3408266 39.9828022, 116.3408804 39.9828223, 116.3410058 39.9828479, 116.3411595 39.9828196, 116.341286 39.9827552, 116.3413574 39.9826867, 116.3414005 39.9825949, 116.3414184 39.9825044, 116.3414237 39.9824142, 116.3414145 39.9823408, 116.3414378 39.9822856, 116.3414422 39.9821617, 116.3413731 39.9821169, 116.341297 39.9820981, 116.3412286 39.982113, 116.3411783 39.9820827, 116.341118 39.9820722, 116.3410389 39.9820891, 116.3410004 39.9821113))","[553293669, 877779269]",multipolygon
