element_type,osmid,nodes,natural,geometry
way,1208798411,"[11200049590, 11200049716, 11200049717, 11200049718, 11200049719, 11200049720, 11200049721, 11200049722, 11200049723, 11200049724, 11200049725, 11200049726, 11200049727, 11200049728, 11200049729, 11200049730, 11200049731, 11200049732, 11200049733, 9687592373, 9687592374, 11200049749, 9687592375, 9687592376, 11200049747, 9687592377, 11200049748, 9687592378, 11200049734, 9687592367, 11200049735, 9687592366, 11200049736, 9687592365, 11200049737, 9687592364, 9687592363, 11200049590]",water,"POLYGON ((121.4816437 31.2789971, 121.4816148 31.2790311, 121.4815842 31.2790496, 121.4815523 31.2790496, 121.4815204 31.2790322, 121.4814719 31.278994, 121.481357 31.2789166, 121.4811338 31.2787629, 121.4809198 31.2786385, 121.4807159 31.2785451, 121.4805704 31.2784837, 121.4804326 31.2784804, 121.4803509 31.2785033, 121.4802884 31.2785295, 121.4802029 31.2785906, 121.4801391 31.27868, 121.4801162 31.2787236, 121.480026 31.2795426, 121.4802097 31.2796139, 121.4802131 31.2794696, 121.4802785 31.2788033, 121.4802924 31.2787653, 121.48033 31.2787273, 121.4803813 31.2786854, 121.4804248 31.278662, 121.4804747 31.2786514, 121.4805442 31.2786482, 121.4806159 31.2786634, 121.4807637 31.2787506, 121.4814266 31.2791421, 121.4814779 31.2791605, 121.4815384 31.279175, 121.4815898 31.2791831, 121.4816412 31.2791834, 121.481689 31.2791673, 121.4817361 31.2791447, 121.4817905 31.2790974, 121.4816437 31.2789971))"
way,1208798412,"[11200049733, 11200049750, 11200049793, 11200049751, 11200049792, 11200049752, 11200049791, 11200049753, 11200049790, 11200049754, 11200049755, 11200049756, 11200049757, 11200049758, 11200049796, 11200049759, 11200049795, 11200049760, 11200049794, 11200049761, 11200049762, 11200049763, 11200049764, 11200049765, 11200049766, 11200049767, 11200049768, 266080190, 11200049805, 266080191, 266080192, 11200049769, 11200049770, 11200049771, 11200049772, 11200049773, 11200049774, 11200049775, 11200049776, 11200049777, 11200049778, 11200049779, 11200049780, 11200049781, 11200049782, 11200049783, 11200049784, 11200049785, 11200049786, 11200049787, 11200049788, 11200049789, 11200049732, 11200049733]",water,"POLYGON ((121.4802097 31.2796139, 121.4801986 31.2796954, 121.4801795 31.2797368, 121.4801488 31.2797783, 121.4801085 31.2798134, 121.4800644 31.2798463, 121.4800127 31.2798714, 121.4799572 31.2798953, 121.4798653 31.2799019, 121.4797735 31.2799008, 121.4794059 31.2798844, 121.4791826 31.2798757, 121.4787823 31.2798615, 121.4782399 31.2798436, 121.4781978 31.2798452, 121.478157 31.2798523, 121.4781263 31.2798607, 121.4780983 31.2798812, 121.4780708 31.2799038, 121.4780523 31.2799308, 121.478027 31.2800366, 121.4779964 31.28021, 121.4779658 31.2804085, 121.4779658 31.2804608, 121.4779951 31.2805284, 121.4780347 31.2805974, 121.4782392 31.2807434, 121.478044 31.2808446, 121.4779489 31.280748, 121.4778601 31.280643, 121.4778063 31.2805397, 121.4777884 31.280477, 121.4777731 31.2803875, 121.4777667 31.2802894, 121.4777808 31.280176, 121.4778063 31.2801117, 121.4778229 31.2800514, 121.4778203 31.2799925, 121.4778241 31.2799325, 121.4778586 31.2798496, 121.4778905 31.2797962, 121.4779453 31.2797548, 121.4780002 31.2797275, 121.4780831 31.2797079, 121.478354 31.2797023, 121.4788269 31.2797002, 121.479662 31.2797406, 121.4797807 31.2797428, 121.4798649 31.2797417, 121.4799402 31.2797188, 121.4799682 31.2796839, 121.4800065 31.2796196, 121.480026 31.2795426, 121.4802097 31.2796139))"
way,1208798413,"[11200049768, 11200049810, 11200049811, 11200049812, 11200049806, 11200049808, 11200049807, 11200049813, 11200049814, 11200049815, 11200049816, 11200049817, 11200049818, 11200049819, 11200049820, 11200049821, 11200049822, 11200049823, 11200049809, 266080190, 11200049768]",water,"POLYGON ((121.4782392 31.2807434, 121.4782932 31.2808607, 121.478306 31.2809611, 121.4782804 31.2811137, 121.4782593 31.2812022, 121.4782283 31.2812746, 121.4781667 31.2813296, 121.477754 31.2815933, 121.4775932 31.2816991, 121.4775128 31.2817865, 121.477421 31.2816327, 121.4774669 31.281588, 121.477532 31.2815531, 121.477694 31.2814714, 121.4777501 31.2814343, 121.4780678 31.2811671, 121.4781482 31.281087, 121.4781559 31.2810248, 121.4781456 31.2809741, 121.478044 31.2808446, 121.4782392 31.2807434))"
