u,v,key,osmid,oneway,highway,reversed,length,name,geometry
2016793121,8984902119,0,970817856,False,service,True,85.168,槐荫路,"LINESTRING (108.9116858 34.2483098, 108.9116775 34.2490757)"
2016793122,2016793114,0,169172415,False,residential,False,84.307,,"LINESTRING (108.9090348 34.2462606, 108.9081176 34.2462642)"
2016793122,2016793117,0,169172415,False,residential,True,87.533,,"LINESTRING (108.9090348 34.2462606, 108.9099871 34.2462591)"
2016793122,8984902094,0,333840995,False,residential,True,37.384,柳荫路,"LINESTRING (108.9090348 34.2462606, 108.9090348 34.2465968)"
2016793123,2016793136,0,191095200,False,residential,False,83.582,英才路,"LINESTRING (108.9144288 34.2440563, 108.9135195 34.244058)"
2016793123,2016793118,0,191095189,False,residential,False,127.214,,"LINESTRING (108.9144288 34.2440563, 108.9144208 34.2441347, 108.9144047 34.2452)"
2016793123,3410665711,0,"[191095200, 333988778]",False,residential,"[False, True]",223.223,英才路,"LINESTRING (108.9144288 34.2440563, 108.9154673 34.2440421, 108.9154675 34.245191)"
2016793124,8984902119,0,970817856,False,service,False,35.372,槐荫路,"LINESTRING (108.9116742 34.2493938, 108.9116775 34.2490757)"
2016793124,3686355833,0,"[360776065, 970814758]",False,residential,"[False, True]",773.897,,"LINESTRING (108.9116742 34.2493938, 108.9136049 34.2494104, 108.9153416 34.249386, 108.915402 34.2493683, 108.9154221 34.2493306, 108.9154235 34.2490568, 108.915406 34.2489836, 108.9153846 34.2489426, 108.915351 34.2489204, 108.9150412 34.2489082, 108.9134799 34.2489158, 108.9134786 34.2470575)"
2016793124,8984902121,0,970814759,False,service,True,283.37,,"LINESTRING (108.9116742 34.2493938, 108.911659 34.2494691, 108.9116161 34.2494969, 108.9115718 34.2495079, 108.9092678 34.2495068, 108.9092235 34.2494924, 108.9092047 34.2494481, 108.9092034 34.2490501)"
2016793125,2016793117,0,169172415,False,residential,False,158.034,,"LINESTRING (108.9117063 34.2462755, 108.9099871 34.2462591)"
2016793125,1803356710,0,169172415,False,residential,True,48.287,,"LINESTRING (108.9117063 34.2462755, 108.9122316 34.2462807)"
2016793125,8984902093,0,191095195,False,residential,True,35.984,槐荫路,"LINESTRING (108.9117063 34.2462755, 108.9117028 34.2465991)"
2016793126,2016793107,0,191095190,False,service,True,52.743,,"LINESTRING (108.9122587 34.2450659, 108.9116849 34.245065)"
2016793126,2016793105,0,362794780,False,residential,False,14.789,三航路,"LINESTRING (108.9122587 34.2450659, 108.9122596 34.2451989)"
2016793126,1876844124,0,362794780,False,residential,True,111.43,三航路,"LINESTRING (108.9122587 34.2450659, 108.9122522 34.2440638)"
2016793127,2016793107,0,191095197,False,service,True,110.546,,"LINESTRING (108.9116983 34.2440709, 108.9116849 34.245065)"
2016793127,8984902023,0,362794779,False,service,False,89.662,教学南路,"LINESTRING (108.9116983 34.2440709, 108.9107229 34.2440631)"
2016793127,3686355797,0,362794779,False,service,True,4.792,教学南路,"LINESTRING (108.9116983 34.2440709, 108.9117498 34.2440642)"
2016793128,2016793110,0,191095190,False,service,False,127.224,,"LINESTRING (108.908257 34.2450592, 108.9096411 34.2450615)"
2016793128,2016793109,0,191095190,False,service,True,12.244,,"LINESTRING (108.908257 34.2450592, 108.9081238 34.2450581)"
2016793128,2016793119,0,191095196,False,service,True,110.283,,"LINESTRING (108.908257 34.2450592, 108.908257 34.2440674)"
2016793130,2016793111,0,191095187,False,service,True,58.601,,"LINESTRING (108.910016 34.2455959, 108.9100112 34.2450689)"
2016793130,2016793108,0,191095188,False,service,True,173.694,,"LINESTRING (108.910016 34.2455959, 108.9081265 34.2456168)"
2016793130,2016793117,0,191095187,False,service,False,73.843,,"LINESTRING (108.910016 34.2455959, 108.91 34.2461823, 108.9099871 34.2462591)"
2016793131,2016793119,0,362794779,False,service,True,77.708,教学南路,"LINESTRING (108.9074117 34.2440781, 108.908257 34.2440674)"
2016793131,3686355771,0,359677857,False,service,True,19.698,,"LINESTRING (108.9074117 34.2440781, 108.9073755 34.244006, 108.9072843 34.2439417)"
2016793131,3686355770,0,970814751,False,service,False,32.387,,"LINESTRING (108.9074117 34.2440781, 108.9073406 34.2441923, 108.9072548 34.2442754, 108.9071971 34.2442998)"
2016793134,8984902096,0,191095191,False,residential,True,90.18,,"LINESTRING (108.9090349 34.2482808, 108.9100159 34.2482937)"
