element_type,osmid,nodes,building,name,geometry,addr:city,addr:postcode,building:levels,note,addr:housenumber,addr:street,amenity,name:en,operator,addr:district,addr:province,ways,type
way,367533763,"[3714456521, 3714456522, 3714456523, 3714456524, 3714456521]",university,教育基金会办公室,"POLYGON ((108.9118726 34.2439687, 108.9118595 34.2435716, 108.9120656 34.243567, 108.9120787 34.2439641, 108.9118726 34.2439687))",,,,,,,,,,,,,
way,367533765,"[3714456632, 3714456633, 3714456634, 3714456635, 3714456636, 3714456637, 3714456638, 3714456639, 3714456640, 3714456641, 3714456642, 3714456643, 3714456644, 3714456645, 3714456646, 3714456647, 3714456648, 3714456649, 3714456632]",university,机电学院,"POLYGON ((108.9117379 34.2460305, 108.9120071 34.246029, 108.9120033 34.2455629, 108.9120452 34.2455627, 108.9120423 34.2452075, 108.9119013 34.2452083, 108.9117706 34.2452507, 108.9116491 34.2453395, 108.9115838 34.2454476, 108.9115825 34.2454991, 108.9116327 34.2455, 108.9116312 34.2455625, 108.9117317 34.2455642, 108.911727 34.2457513, 108.9114456 34.2457465, 108.9114437 34.2458259, 108.9114717 34.2458915, 108.9116305 34.2459996, 108.9117379 34.2460305))",,,,,,,,,,,,,
way,367533766,"[3714456650, 3714456651, 3714456652, 3714456653, 3714456654, 3714456655, 3714456656, 3714456657, 3714456658, 3714456659, 3714456650]",university,学舟楼,"POLYGON ((108.9093396 34.2460348, 108.9098168 34.2460318, 108.9098155 34.2458904, 108.9093406 34.2458935, 108.9093402 34.2458574, 108.9091637 34.2458585, 108.9091644 34.2459325, 108.9092045 34.2459322, 108.9092053 34.2460089, 108.9093393 34.2460081, 108.9093396 34.2460348))",,,,,,,,,,,,,
way,367533767,"[3714456660, 3714456661, 3714456662, 3714456663, 3714456660]",university,机电实验教学中心,"POLYGON ((108.9097014 34.2458864, 108.9098649 34.2458823, 108.909857 34.2456671, 108.9096936 34.2456712, 108.9097014 34.2458864))",,,,,,,,,,,,,
way,367533768,"[3714456664, 3714456665, 3714456672, 3714456666, 3714456667, 3714456668, 3714456669, 3714456664]",university,书海楼,"POLYGON ((108.9083676 34.2460298, 108.9083618 34.2458728, 108.9084428 34.2458724, 108.9090379 34.2458572, 108.9090402 34.2459278, 108.9090028 34.2459286, 108.9090056 34.2460155, 108.9083676 34.2460298))",,,,,,,,,,,,,
way,367533769,"[3714456665, 3714456670, 3714456671, 3714456672, 3714456665]",university,,"POLYGON ((108.9083618 34.2458728, 108.9083607 34.245739, 108.9084417 34.2457386, 108.9084428 34.2458724, 108.9083618 34.2458728))",,,,,,,,,,,,,
way,432830344,"[4317849382, 4317849383, 4317849384, 4317849385, 4317849386, 4317849387, 4317849388, 4317849389, 4317849390, 4317849391, 4317849392, 4317849393, 4317849394, 4317849395, 4317849382]",university,公字楼,"POLYGON ((108.9062127 34.244041, 108.9064241 34.2439482, 108.9062795 34.2437233, 108.907339 34.243258, 108.9074349 34.2434072, 108.9073876 34.243428, 108.9074324 34.2434976, 108.9075611 34.2434411, 108.9076348 34.2435559, 108.9073638 34.2436749, 108.9072732 34.2435339, 108.9064855 34.2438799, 108.9065676 34.2440075, 108.9062741 34.2441364, 108.9062127 34.244041))",,,,,,,,,,,,,
way,432830345,"[4317849396, 4317849397, 4317849398, 4317849399, 4317849396]",university,凝固实验室,"POLYGON ((108.9066421 34.2446753, 108.9066298 34.244446, 108.9069584 34.244434, 108.9069707 34.2446633, 108.9066421 34.2446753))",,,,,,,,,,,,,
way,432830346,"[4317849400, 4317849401, 4317849402, 4317849403, 4317849404, 4317849405, 4317849406, 4317849407, 4317849400]",university,诚字楼,"POLYGON ((108.9083241 34.2455446, 108.9083231 34.2451276, 108.9098594 34.2451251, 108.9098603 34.2455225, 108.9096795 34.2455228, 108.909679 34.2452834, 108.9085256 34.2452853, 108.9085263 34.2455442, 108.9083241 34.2455446))",,,,,,,,,,,,,
way,432830348,"[4317849412, 4317849413, 4317849414, 4317849415, 4317849412]",university,管理学院,"POLYGON ((108.9104105 34.2456014, 108.9107522 34.2455994, 108.9107506 34.245405, 108.9104089 34.245407, 108.9104105 34.2456014))",,,,,,,,,,,,,
way,432830349,"[4317849416, 4317849417, 4317849418, 4317849419, 4317849416]",university,南村1号楼,"POLYGON ((108.9109443 34.2465065, 108.9109437 34.246347, 108.9114986 34.2463454, 108.9114993 34.2465049, 108.9109443 34.2465065))",,,,,,,,,,,,,
way,432830350,"[4317849420, 4317849421, 4317849422, 4317849423, 4317849420]",university,南村2号楼,"POLYGON ((108.9108507 34.2465021, 108.9108508 34.2463348, 108.9099783 34.2463342, 108.9099782 34.2465015, 108.9108507 34.2465021))",,,,,,,,,,,,,
way,988902352,"[9140213488, 9140213489, 9140213490, 9140213491, 9140213492, 9140213493, 9140213488]",yes,西北工业大学创新科技大楼,"POLYGON ((108.9064235 34.2460033, 108.9064361 34.2446698, 108.9061149 34.2446773, 108.9061185 34.2453619, 108.9059309 34.2453634, 108.9059219 34.2460063, 108.9064235 34.2460033))",西安,710000,,,17,劳动南路,,,,碑林区,陕西,,
way,1239136146,"[11511338441, 11511338442, 11511338443, 11511338444, 11511338441]",dormitory,,"POLYGON ((108.9092953 34.2464911, 108.9092939 34.2463664, 108.9098448 34.2463621, 108.9098462 34.2464868, 108.9092953 34.2464911))",,,,,,,,,,,,,
way,1239136147,"[11511338445, 11511338446, 11511338447, 11511338448, 11511338445]",dormitory,,"POLYGON ((108.9081785 34.2464801, 108.9081773 34.2463682, 108.9088304 34.2463633, 108.9088317 34.246475, 108.9081785 34.2464801))",,,,,,,,,,,,,
way,1239136148,"[11511338449, 11511338450, 11511338451, 11511338452, 11511338449]",dormitory,,"POLYGON ((108.908112 34.246771, 108.9081136 34.2466618, 108.9089283 34.24667, 108.9089267 34.2467791, 108.908112 34.246771))",,,,,,,,,,,,,
way,1239136149,"[11511338453, 11511338454, 11511338455, 11511338456, 11511338453]",dormitory,,"POLYGON ((108.9081139 34.2470544, 108.9081155 34.2469452, 108.9089301 34.2469534, 108.9089285 34.2470625, 108.9081139 34.2470544))",,,,,,,,,,,,,
way,1239136150,"[11511338457, 11511338458, 11511338459, 11511338460, 11511338457]",dormitory,,"POLYGON ((108.9081183 34.2473437, 108.9081199 34.2472345, 108.9089346 34.2472427, 108.908933 34.2473518, 108.9081183 34.2473437))",,,,,,,,,,,,,
way,1239136151,"[11511338461, 11511338462, 11511338463, 11511338464, 11511338461]",dormitory,,"POLYGON ((108.9091947 34.2472834, 108.9091956 34.247177, 108.909957 34.2471813, 108.9099562 34.2472876, 108.9091947 34.2472834))",,,,,,,,,,,,,
way,1239136152,"[11511338465, 11511338466, 11511338467, 11511338468, 11511338465]",dormitory,,"POLYGON ((108.9091886 34.247553, 108.9091895 34.2474466, 108.9099509 34.2474509, 108.9099501 34.2475572, 108.9091886 34.247553))",,,,,,,,,,,,,
way,1239136153,"[11511338469, 11511338470, 11511338471, 11511338472, 11511338469]",dormitory,,"POLYGON ((108.9077144 34.247851, 108.9077146 34.2477407, 108.9089342 34.2477423, 108.9089339 34.2478528, 108.9077144 34.247851))",,,,,,,,,,,,,
way,1239136154,"[11511338473, 11511338474, 11511338475, 11511338476, 11511338473]",dormitory,,"POLYGON ((108.9077257 34.2475865, 108.907726 34.2474762, 108.9089455 34.2474778, 108.9089453 34.2475882, 108.9077257 34.2475865))",,,,,,,,,,,,,
way,1239136155,"[11511338477, 11511338478, 11511338479, 11511338480, 11511338477]",dormitory,,"POLYGON ((108.9145179 34.2442957, 108.9145175 34.2441628, 108.9152142 34.2441614, 108.9152146 34.2442943, 108.9145179 34.2442957))",,,,,,,,,,,,,
way,1239136156,"[11511338481, 11511338482, 11511338483, 11511338484, 11511338481]",dormitory,,"POLYGON ((108.9145085 34.244617, 108.9145081 34.2444841, 108.9152048 34.2444826, 108.9152052 34.2446156, 108.9145085 34.244617))",,,,,,,,,,,,,
way,1239136157,"[11511338485, 11511338486, 11511338487, 11511338488, 11511338485]",dormitory,,"POLYGON ((108.9145141 34.2449399, 108.9145137 34.244807, 108.9152104 34.2448056, 108.9152108 34.2449385, 108.9145141 34.2449399))",,,,,,,,,,,,,
way,1239136158,"[11511338489, 11511338490, 11511338491, 11511338492, 11511338489]",dormitory,,"POLYGON ((108.9135115 34.2461261, 108.9135098 34.2459931, 108.914299 34.2459863, 108.9143007 34.2461193, 108.9135115 34.2461261))",,,,,,,,,,,,,
way,1239136159,"[11511338493, 11511338494, 11511338495, 11511338496, 11511338493]",dormitory,,"POLYGON ((108.9144579 34.2461241, 108.9144562 34.2459912, 108.9152455 34.2459843, 108.9152472 34.2461173, 108.9144579 34.2461241))",,,,,,,,,,,,,
relation,6433775,"[[[3714456631, 3714456646, 3714456625, 3714456626, 3714456627], [3714456631, 4317849410, 4317849409, 4317849411, 4317849408, 3714456630, 3714456629, 3714456628, 3714456627]]]",university,航空楼,"POLYGON ((108.910941 34.245762, 108.9114456 34.2457465, 108.9115967 34.245748, 108.9115951 34.2455312, 108.9109888 34.2455344, 108.910986 34.2451581, 108.9109066 34.2451117, 108.9107622 34.2451125, 108.9107943 34.2457282, 108.9101459 34.2457407, 108.9101539 34.246018, 108.9109468 34.2460061, 108.910941 34.245762))",,,,,,,,,,,,"[367533764, 432830347]",multipolygon
