element_type,osmid,addr:city,addr:street,building,name,toilets:wheelchair,wheelchair,wheelchair:description,geometry,amenity,addr:country,addr:district,addr:housenumber,addr:postcode,nodes,building:levels,smoking,addr:full,alt_name,religion,historic,tourism,wikidata,wikipedia:en,source,toilets,name:en,name:zh,operator
way,453933155,台北市,臨溪路,university,戴蓀堂,yes,yes,,"POLYGON ((121.5455405 25.0942235, 121.545491 25.0941064, 121.5457913 25.0940318, 121.5459722 25.0939869, 121.5460107 25.0940989, 121.5457656 25.0941638, 121.5455405 25.0942235))",,TW,士林區,70,111,"[4505921734, 4505921735, 5957256285, 4505921736, 4505921737, 5957275285, 4505921734]",3,,,,,,,,,,,,,
way,453933597,,,library,中正圖書館,limited,yes,,"POLYGON ((121.5463127 25.0936446, 121.5466994 25.0934922, 121.5465889 25.0932623, 121.5462486 25.0933963, 121.5462022 25.0934146, 121.5463127 25.0936446))",library,,,,,"[4505924106, 4505924107, 4505924108, 7700263009, 4505924109, 4505924106]",,,,,,,,,,,,Soochow University Library,中正圖書館,東吳大學
way,453933861,臺北市,臨溪路,university,哲生樓,yes,no,0,"POLYGON ((121.5455848 25.0939151, 121.5459742 25.0937586, 121.5460287 25.0937394, 121.546103 25.0937114, 121.5462161 25.0936689, 121.5461249 25.0934814, 121.5458837 25.0936145, 121.5459029 25.0936642, 121.5457521 25.093729, 121.5455272 25.0938256, 121.5455848 25.0939151))",,TW,士林區,70,111,"[4505926004, 4505926005, 4505926006, 5162175122, 4505926007, 4505926008, 4505926009, 4505926010, 5956649385, 4505926011, 4505926004]",3,,,,,,,,,,,,,
way,453934783,,,university,心理學系,,no,,"POLYGON ((121.5451824 25.094171, 121.5452341 25.0941441, 121.5452264 25.0941332, 121.5452407 25.0941272, 121.5452363 25.0941063, 121.545211 25.0941103, 121.5452011 25.0940873, 121.5452231 25.0940873, 121.5452209 25.0940744, 121.5452088 25.0940714, 121.5452011 25.0940585, 121.5451901 25.0940614, 121.5451779 25.0940604, 121.5451614 25.0940674, 121.545157 25.0940485, 121.5451328 25.0940694, 121.5451196 25.0940575, 121.5451075 25.0940624, 121.5451824 25.094171))",,,,,,"[4505929446, 4505929447, 4505929448, 4505929449, 4505929450, 4505929451, 4505929452, 4505929453, 4505929454, 4505929455, 4505929456, 4505929457, 4505929458, 4505929459, 4505929460, 4505929461, 4505929462, 4505929463, 4505929446]",3,,,,,,,,,,no,,,
way,453934980,,,yes,超庸館,,,,"POLYGON ((121.5443451 25.0941211, 121.544381 25.0941802, 121.5444197 25.0941609, 121.5444465 25.094205, 121.5445008 25.0941779, 121.5445344 25.0942332, 121.5449137 25.094044, 121.5447969 25.093852, 121.5447213 25.0938897, 121.544693 25.0939038, 121.5445804 25.09396, 121.5446009 25.0939936, 121.5445732 25.0940075, 121.5445802 25.0940191, 121.5445312 25.0940435, 121.5445241 25.0940319, 121.5443451 25.0941211))",,,,,,"[4505932971, 4505932972, 4505932973, 4505932974, 4505932975, 4505932960, 4505932961, 4505932962, 4505932963, 4505932964, 4505932965, 4505932966, 4505932967, 4721268935, 4721268936, 4505932968, 4505932971]",,,,,,,,,,,,,,
way,453936139,臺北市,臨溪路,university,榕華樓,,,,"POLYGON ((121.5449096 25.093854, 121.5448613 25.093786, 121.5453307 25.0935674, 121.5453951 25.0936476, 121.5449096 25.093854))",,TW,士林區,70,111,"[4505939521, 4505939522, 4505939523, 4505939524, 4505939521]",3,,,,,,,,,,,,,
way,478952342,,,yes,,,,,"POLYGON ((121.5437807 25.0949795, 121.5436586 25.0950895, 121.5436987 25.0951259, 121.5438207 25.095016, 121.5437807 25.0949795))",,,,,,"[4721269163, 4721269162, 4721269161, 4721269160, 4721269163]",,,,,,,,,,,,,,
way,478952343,,,yes,,,,,"POLYGON ((121.5439148 25.094815, 121.5438524 25.0950142, 121.5439034 25.0950272, 121.5439657 25.0948281, 121.5439148 25.094815))",,,,,,"[4721269167, 4721269166, 4721269165, 4721269164, 4721269167]",,,,,,,,,,,,,,
way,478952344,,,yes,,,,,"POLYGON ((121.5438377 25.095159, 121.5438832 25.095161, 121.5438869 25.0950908, 121.5438414 25.0950888, 121.5438377 25.095159))",,,,,,"[4721268926, 4721269168, 4721269169, 4721268925, 4721268926]",,,,,,,,,,,,,,
way,478952345,,,yes,,,,,"POLYGON ((121.5439924 25.0943545, 121.5440497 25.0944328, 121.5441605 25.0943663, 121.5441404 25.0943389, 121.5441683 25.0943222, 121.5441311 25.0942713, 121.5439924 25.0943545))",,,,,,"[4721268932, 4721268929, 4721268930, 4721268928, 4721268927, 4721268931, 4721268932]",,,,,,,,,,,,,,
way,478952346,,,yes,,,,,"POLYGON ((121.5443535 25.0946856, 121.5444601 25.0948508, 121.5445371 25.09481, 121.5444305 25.0946449, 121.5443535 25.0946856))",,,,,,"[4721269171, 4721269170, 4721268934, 4721268933, 4721269171]",,,,,,,,,,,,,,
way,478952347,,,yes,,,,,"POLYGON ((121.5443059 25.0947907, 121.5442372 25.0948401, 121.544315 25.0949287, 121.5443837 25.0948793, 121.5443059 25.0947907))",,,,,,"[4721269175, 4721269172, 4721269173, 4721269174, 4721269175]",,,,,,,,,,,,,,
way,478952348,,,residential,民宅,,,,"POLYGON ((121.544553 25.0951125, 121.5442955 25.0952224, 121.5443544 25.0953356, 121.5445241 25.0952632, 121.5446119 25.0952257, 121.544553 25.0951125))",,,,,,"[4721269179, 4721269178, 4721269177, 5956649387, 4721269176, 4721269179]",4,,,,,,,,,,,,,
way,499222711,,,university,教師研究二樓,,,,"POLYGON ((121.5471821 25.093737, 121.5472414 25.0936768, 121.5467713 25.093296, 121.5467119 25.0933561, 121.5467346 25.0933744, 121.5468571 25.0934737, 121.5470485 25.0936287, 121.5471542 25.0937144, 121.5471821 25.093737))",,,,,,"[4905269472, 4905269473, 4905269474, 4905269475, 4905269477, 4905269478, 4905269483, 4905269480, 4905269472]",,,,,,,,,,,,,,
way,499222712,,,yes,,,,,"POLYGON ((121.5467057 25.0934046, 121.5467346 25.0933744, 121.5468571 25.0934737, 121.5468331 25.0935056, 121.5467057 25.0934046))",,,,,,"[4905269476, 4905269477, 4905269478, 4905269479, 4905269476]",,,,,,,,,,,,,,
way,499222713,,,yes,,,,,"POLYGON ((121.5471542 25.0937144, 121.5471268 25.0937476, 121.5470189 25.0936578, 121.5470485 25.0936287, 121.5471542 25.0937144))",,,,,,"[4905269480, 4905269481, 4905269482, 4905269483, 4905269480]",,,,,,,,,,,,,,
way,824647803,,,dormitory,單身宿舍,,,,"POLYGON ((121.5466924 25.0926886, 121.5466574 25.0926242, 121.5466438 25.0926302, 121.5466324 25.092609, 121.5466041 25.0926216, 121.546578 25.0925733, 121.5465445 25.0925882, 121.5466038 25.0926976, 121.54664 25.0926815, 121.5466533 25.092706, 121.5466924 25.0926886))",,,,,,"[7700262997, 7700262998, 7700262999, 7700263000, 7700263001, 7700263002, 7700263003, 7700263004, 7700263005, 7700263006, 7700262997]",,,,,,,,,,,,,,
