element_type,osmid,nodes,amenity,geometry
way,1036623717,"[9550311919, 9550311920, 9550311921, 9550311922, 9550311926, 9550311923, 9550311924, 9550311925, 9550311919]",parking,"POLYGON ((120.7391634 31.2716657, 120.7388846 31.2715911, 120.7389506 31.2714025, 120.7390669 31.271431, 120.7390602 31.2714513, 120.7390419 31.2715058, 120.7390635 31.2715305, 120.7391997 31.271566, 120.7391634 31.2716657))"
way,1036623755,"[9550312243, 9550312260, 9550312261, 9550312262, 9550312243]",parking,"POLYGON ((120.7372232 31.2721297, 120.7372822 31.2721321, 120.7372893 31.2720058, 120.7372303 31.2720034, 120.7372232 31.2721297))"
