element_type,osmid,access,geometry,wheelchair,amenity,layer,nodes,building,building:levels,name,source,alt_name,name:en,leisure,sport,lit,fee,toilets:disposal,unisex,fast_food,operator,addr:city,addr:housenumber,addr:postcode,addr:street,emergency,height,opening_hours,shop,building:material,description,structure,historic,office,club,tourism,name_1,ways,type,internet_access
way,305935506,,"POLYGON ((106.4125652 29.8146714, 106.4125757 29.8147023, 106.4123757 29.8147536, 106.4124014 29.8148289, 106.4125952 29.8147793, 106.4126093 29.8148208, 106.4130486 29.8147082, 106.4130163 29.8146133, 106.412934 29.8146343, 106.412916 29.8145816, 106.4125652 29.8146714))",,,,"[3106346040, 7847004018, 7847004019, 7847004020, 7847004017, 3106346046, 3106346042, 7847004022, 7847004021, 3106346036, 3106346040]",university,6,食品科学学院,,,College of Food Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,350242130,,"POLYGON ((106.4185311 29.8239634, 106.4186846 29.8238107, 106.4193062 29.824303, 106.419156 29.8244497, 106.4190085 29.8243349, 106.418953 29.8243948, 106.4187574 29.8242406, 106.4188234 29.8241909, 106.4185311 29.8239634))",,,,"[3559962146, 3559962145, 3559962147, 3559962144, 7867916106, 7867916107, 7867916108, 7867916105, 3559962146]",university,5,西南大学地理科学学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,350242168,,"POLYGON ((106.4205871 29.8235462, 106.4206805 29.8235403, 106.4207617 29.8235133, 106.4208093 29.8234856, 106.4207636 29.8234266, 106.4208198 29.8233938, 106.4208988 29.8234959, 106.4210653 29.823399, 106.420954 29.8232551, 106.4209564 29.8231565, 106.4209263 29.8230756, 106.4208792 29.8230055, 106.4208284 29.8229486, 106.4207533 29.8228953, 106.4206395 29.8228485, 106.4205408 29.8227209, 106.4204294 29.8225767, 106.4197983 29.822944, 106.4198353 29.822992, 106.4198164 29.8230029, 106.4199433 29.8231712, 106.4203115 29.8229624, 106.4204733 29.8231774, 106.4202742 29.8232902, 106.4203323 29.8233675, 106.4202745 29.8234002, 106.4203878 29.823494, 106.4204755 29.8235318, 106.4205871 29.8235462))",,library,,"[3559961973, 7862085069, 7862085064, 7862085065, 7862085066, 7862085067, 7862085068, 3559961984, 7862085070, 7862085076, 7862085075, 7862085072, 7862085074, 7862085073, 7862085071, 3724521756, 3559961990, 3559961979, 3559961983, 3559961982, 3559961976, 3559961978, 3559961988, 3559961985, 7862085063, 3559961977, 3559961975, 3559961974, 3559961973]",yes,,西南大学中心图书馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368577143,,"POLYGON ((106.4177249 29.8181267, 106.4178555 29.8180981, 106.4182151 29.8180191, 106.4181142 29.8176732, 106.4176118 29.8177878, 106.4177249 29.8181267))",,,,"[3724418649, 3724418647, 3724307831, 3724307832, 3724418650, 3724418649]",yes,,西南大学羽毛球馆,,,,pitch,badminton,yes,,,,,,,,,,,,,,,,,,,,,,,,
way,368578309,,"POLYGON ((106.4153946 29.8178339, 106.415664 29.8177693, 106.415647 29.8177157, 106.4156208 29.8176336, 106.4155521 29.81765, 106.415504 29.817499, 106.4155689 29.8174835, 106.4155237 29.8173414, 106.4152457 29.8174079, 106.41529 29.8175469, 106.4153824 29.8175248, 106.4154335 29.8176852, 106.4153533 29.8177044, 106.4153946 29.8178339))",,,,"[3724320468, 3724320469, 7846353336, 7846353326, 7846353325, 7846353324, 7846353323, 3724320470, 3724320471, 7846353329, 7846353330, 7846353328, 7846353327, 3724320468]",university,,家蚕基因组国家重点实验室,,,State Key Laboratory of Silkworm Genome Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368578312,,"POLYGON ((106.4159987 29.8193111, 106.4158828 29.8189586, 106.4158229 29.8189734, 106.4158098 29.8189335, 106.415926 29.8189047, 106.4159162 29.8188746, 106.4159746 29.8188602, 106.4160379 29.8188445, 106.4160481 29.8188754, 106.4161037 29.8188616, 106.4161349 29.8189568, 106.4162657 29.8189244, 106.4163338 29.8191314, 106.4163892 29.8192998, 106.4163134 29.8193185, 106.4162123 29.8193436, 106.4161864 29.8192647, 106.4161244 29.81928, 106.4159987 29.8193111))",,,,"[3724320477, 3724320478, 7846331370, 7846331371, 7846331372, 7846331373, 7846331380, 7846331374, 7846331375, 3724320479, 7846331376, 7846331377, 7846331381, 7846331379, 7846331382, 7846331378, 3724320480, 7846331383, 3724320477]",yes,3,楠园第二食堂,,,Phoebe Garden No.1 Student Canteen,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368589374,yes,"POLYGON ((106.4174145 29.8176918, 106.4175029 29.8176699, 106.417447 29.8175003, 106.4173586 29.8175222, 106.4173833 29.8175973, 106.4174145 29.8176918))",,toilets,,"[3724418667, 3724418668, 3724418669, 3724418670, 3724418674, 3724418667]",yes,,,,,,,,,no,flush,yes,,,,,,,,,,,,,,,,,,,,,
way,368589378,,"POLYGON ((106.4175071 29.8218437, 106.4175527 29.8218156, 106.4175453 29.8218034, 106.4176386 29.8217431, 106.4176519 29.821763, 106.4180281 29.8215238, 106.4179609 29.8214402, 106.4180225 29.8214043, 106.4180796 29.8214832, 106.4181044 29.8214753, 106.4182258 29.8216526, 106.418234 29.8216633, 106.4182484 29.8216819, 106.4182546 29.8216902, 106.4182911 29.8217389, 106.4181871 29.8218088, 106.4181508 29.821811, 106.4181039 29.8217425, 106.4181316 29.821715, 106.418126 29.8217043, 106.4177713 29.8219143, 106.4177828 29.8219333, 106.417698 29.8219947, 106.4176781 29.8219775, 106.4176356 29.8220028, 106.4175071 29.8218437))",,,,"[3724418679, 7862085004, 7862085005, 7862085007, 7862085006, 7862085012, 7862085013, 7862085014, 7862085015, 3724418680, 3724418681, 7862085026, 7862085022, 7862085023, 7862085021, 7862085020, 7862085019, 7862085018, 7862085017, 7862085016, 7862085009, 7862085010, 7862085011, 7862085008, 3724418682, 3724418679]",university,,西南大学光大礼堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368589379,,"POLYGON ((106.4198781 29.8223394, 106.420337 29.8220693, 106.4202636 29.8219754, 106.4200401 29.822107, 106.4198047 29.8222455, 106.4198781 29.8223394))",,,,"[3724418683, 3724418684, 3724418685, 3724521750, 3724418686, 3724418683]",university,,八一楼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,368589387,,"POLYGON ((106.4150497 29.8205139, 106.4151589 29.8204851, 106.415402 29.8204211, 106.4154203 29.8204734, 106.4156273 29.8204189, 106.4155491 29.8201953, 106.4155078 29.8202061, 106.4154856 29.8201424, 106.4154016 29.8201645, 106.4153249 29.8201847, 106.4151917 29.8202198, 106.4149907 29.8202727, 106.415019 29.8203536, 106.4149957 29.8203598, 106.4150497 29.8205139))",,food_court,,"[3724418723, 7846076939, 7846076900, 3724418724, 3724419925, 7846076901, 7846076902, 7846076903, 7846076934, 7846076937, 7846076935, 3724419926, 3724419927, 3724419928, 3724418723]",yes,,楠园第一食堂,,,Phoebe Garden No.1 Student Canteen,,,,,,,cafeteria,西南大学后勤集团,,,,,,,,,,,,,,,,,,,
