element_type,osmid,building,designation,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes,source,layer,leisure,sport,building:levels
way,107039549,yes,,,,,,"POLYGON ((116.3139786 39.9599826, 116.3142246 39.9599885, 116.3142299 39.9598587, 116.3139839 39.9598528, 116.3139786 39.9599826))","[1230630486, 1230630355, 1230630674, 1230630484, 1230630486]","Bing, 2005-04",,,,
way,107039550,yes,,5#教学楼,5#教学楼,5#教学楼,5#教學樓,"POLYGON ((116.314833 39.9576859, 116.3149241 39.9576883, 116.3149118 39.9577548, 116.3152145 39.9577695, 116.3151997 39.9578335, 116.3152711 39.957836, 116.315276 39.957804, 116.3156377 39.957831, 116.3156549 39.9577868, 116.3156919 39.9577941, 116.315682 39.9578655, 116.3159675 39.9578778, 116.3160142 39.9576883, 116.3162554 39.9577055, 116.3162775 39.9575481, 116.315901 39.9575259, 116.3158887 39.9575776, 116.3158346 39.9575751, 116.3158494 39.9575185, 116.3154236 39.9574939, 116.3154015 39.9575456, 116.3153424 39.9575357, 116.3153572 39.9574841, 116.3149561 39.957457, 116.3149265 39.9576194, 116.3148527 39.957612, 116.314833 39.9576859))","[1230630957, 1230630717, 1230630926, 1230630530, 1230630700, 1230630382, 1230630501, 1230631110, 1230630581, 1230631187, 1230630407, 1230630986, 1230631158, 1230630744, 1230630958, 1230630548, 1230630451, 1230631045, 1230631208, 1230630825, 1230631000, 1230630616, 1230630788, 1230630425, 1230630868, 1230630485, 1230630957]","Bing, 2005-04",,,,
way,107039551,yes,,,,,,"POLYGON ((116.3133387 39.9594668, 116.3136262 39.9594964, 116.3136399 39.9594314, 116.3138171 39.9594432, 116.3138073 39.9595003, 116.3140888 39.9595298, 116.3140967 39.9594491, 116.3142404 39.959457, 116.3142463 39.9593763, 116.3141735 39.9593763, 116.3141833 39.9593015, 116.3139845 39.9592896, 116.3139766 39.9593271, 116.3135159 39.9592956, 116.3135238 39.9592503, 116.3133722 39.9592483, 116.3133387 39.9594668))","[1230630843, 1230630665, 1230630544, 1230631154, 1230630390, 1230630954, 1230631118, 1230630716, 1230630908, 1230630516, 1230630994, 1230630584, 1230630757, 1230630411, 1230630557, 1230631163, 1230630843]","Bing, 2005-04",,,,
way,107039552,yes,,,,,,"POLYGON ((116.3164496 39.9575728, 116.3165641 39.9575802, 116.3165789 39.9574474, 116.3164643 39.9574399, 116.3164496 39.9575728))","[1230630488, 1230630907, 1230631091, 1230630371, 1230630488]","Bing, 2005-04",,,,
way,107039553,yes,,,,,,"POLYGON ((116.3155303 39.9598859, 116.3155451 39.959566, 116.3161012 39.9596054, 116.316084 39.9599154, 116.3155303 39.9598859))","[1230630710, 1230630517, 1230631122, 1230631004, 1230630710]","Bing, 2005-04",,,,
way,107039554,yes,,,,,,"POLYGON ((116.3136419 39.9599708, 116.3139333 39.9599787, 116.3139389 39.9598567, 116.3136475 39.9598489, 116.3136419 39.9599708))","[1230630792, 1230630610, 1230630436, 1230631201, 1230630792]","Bing, 2005-04",,,,
way,107039559,yes,,,,,,"POLYGON ((116.3162886 39.9583273, 116.3163047 39.9583454, 116.3163363 39.9583493, 116.3163679 39.9583383, 116.3163718 39.9582403, 116.3162989 39.9582409, 116.3162886 39.9583273))","[1230630375, 1230631113, 1230630350, 1230630884, 1230630409, 1230630989, 1230630375]","Bing, 2005-04",,,,
way,107050556,yes,,,,,,"POLYGON ((116.3135965 39.9589645, 116.3134687 39.9589533, 116.3134485 39.9591214, 116.3135875 39.9591304, 116.313583 39.9591663, 116.3140202 39.9591999, 116.3140247 39.959164, 116.3141705 39.959173, 116.3141906 39.9590048, 116.3140427 39.9589914, 116.3140359 39.9590811, 116.3135853 39.9590474, 116.3135965 39.9589645))","[1230800524, 1230800615, 1230800580, 1230800560, 1230800550, 1230800607, 1230800574, 1230800553, 1230800546, 1230800523, 1230800520, 1230800505, 1230800524]","Bing, 2005-04",,,,
way,107087114,yes,,11#学生宿舍,11#学生宿舍,11#学生宿舍,11#學生宿舍,"POLYGON ((116.3077322 39.9571209, 116.3077395 39.9568038, 116.307898 39.9568013, 116.307898 39.9568379, 116.307959 39.9568379, 116.3079596 39.9568243, 116.308492 39.9568299, 116.308492 39.9568515, 116.3085519 39.9568515, 116.3085527 39.9568187, 116.3087166 39.9568195, 116.3087126 39.9571425, 116.3085439 39.9571409, 116.3085503 39.9569466, 116.308488 39.956945, 116.3084888 39.9569618, 116.3079612 39.9569522, 116.3079612 39.9569314, 116.3078989 39.9569314, 116.3078965 39.9571257, 116.3077322 39.9571209))","[1231168733, 1231170048, 1231172127, 1231170605, 1231167792, 1231170123, 1231172207, 1231169555, 1231171846, 1231168942, 1231171385, 1231172365, 1231169799, 1231171985, 1231169176, 1231171578, 1231168660, 1231171081, 1231168231, 1231170887, 1231168733]","Bing, 2005-04",,,,
way,107087115,yes,,,,,,"POLYGON ((116.3098517 39.9596882, 116.3105277 39.959696, 116.3105299 39.9595867, 116.3098539 39.9595789, 116.3098517 39.9596882))","[1231168287, 1231169417, 1231170622, 1231171761, 1231168287]","Bing, 2005-04",,,,
way,107087117,yes,,,,,,"POLYGON ((116.3065199 39.9583631, 116.3065223 39.9582533, 116.305469 39.9582396, 116.3054665 39.9583493, 116.3065199 39.9583631))","[1231169258, 1231170541, 1231171671, 1231172569, 1231169258]","Bing, 2005-04",,,,
way,107087120,yes,,,,,,"POLYGON ((116.3068426 39.9595273, 116.3074039 39.9595313, 116.3074076 39.9593327, 116.3072086 39.9593308, 116.3072123 39.9592529, 116.3070437 39.9592523, 116.3070425 39.9593293, 116.3068526 39.9593275, 116.3068426 39.9595273))","[1231169556, 1231167945, 1231171848, 1231169974, 1231172483, 1231168518, 1231171387, 1231170724, 1231169556]","Bing, 2005-04",,,,
way,107087122,yes,,,,,,"POLYGON ((116.3048714 39.9563746, 116.3056012 39.9563824, 116.3056041 39.9562263, 116.3048742 39.9562185, 116.3048714 39.9563746))","[1231171547, 1231172432, 1231168625, 1231169923, 1231171547]","Bing, 2005-04",,,,
way,107087124,yes,,,,,,"POLYGON ((116.3084392 39.9597844, 116.308444 39.9597161, 116.3081357 39.9597103, 116.3081328 39.9597785, 116.3084392 39.9597844))","[1231168266, 1231170669, 1231170608, 1231169370, 1231168266]","Bing, 2005-04",,,,
way,107087125,yes,,,,,,"POLYGON ((116.3066634 39.9566109, 116.3066695 39.956245, 116.3076269 39.9562511, 116.3076269 39.9563335, 116.3075141 39.9563304, 116.307511 39.9566292, 116.3066634 39.9566109))","[1231172235, 1231168463, 1231170768, 1231167983, 1231170348, 1231172359, 1231172235]","Bing, 2005-04",,,,
way,107087127,yes,,,,,,"POLYGON ((116.3054479 39.9575471, 116.3061696 39.9575572, 116.3061726 39.9574292, 116.3054509 39.9574191, 116.3054479 39.9575471))","[1231171837, 1231170265, 1231168932, 1231167934, 1231171837]","Bing, 2005-04",,,,
way,107087132,yes,,,,,,"POLYGON ((116.3065693 39.9599078, 116.3076556 39.9599264, 116.3076605 39.9597752, 116.3065766 39.9597566, 116.3065693 39.9599078))","[1231170458, 1231168627, 1231172436, 1231171552, 1231170458]","Bing, 2005-04",,,,
way,107087133,university,,3号学生公寓,3号学生公寓,3号学生公寓,3號學生公寓,"POLYGON ((116.305892 39.955957, 116.3064364 39.9559609, 116.3064379 39.9558418, 116.3058934 39.9558379, 116.305892 39.955957))","[1231172145, 1231168371, 1231169474, 1231170680, 1231172145]","Bing, 2005-04",,,,
way,107087136,yes,,,,,,"POLYGON ((116.3046294 39.9564741, 116.3048351 39.9564763, 116.3048402 39.9561989, 116.3046345 39.9561967, 116.3046294 39.9564741))","[1231168182, 1231169281, 1231170560, 1231172533, 1231168182]","Bing, 2005-04",,,,
way,107087137,yes,,,,,,"POLYGON ((116.3126954 39.9598565, 116.3130296 39.9598809, 116.3130405 39.9597932, 116.3127063 39.9597688, 116.3126954 39.9598565))","[1231167953, 1231168945, 1231170301, 1231171391, 1231167953]","Bing, 2005-04",,,,
way,107087140,yes,,,,,,"POLYGON ((116.3106517 39.9566056, 116.3105661 39.9565998, 116.3105719 39.9566232, 116.3105524 39.9566583, 116.3105173 39.9566837, 116.3104646 39.9566954, 116.3104236 39.9566915, 116.3103787 39.9566739, 116.3103456 39.9566466, 116.3103299 39.9566232, 116.310328 39.9565861, 116.3103339 39.9565607, 116.3103612 39.9565237, 116.3103943 39.9565119, 116.3103982 39.9564729, 116.3103651 39.9564729, 116.3103709 39.9561275, 116.3106266 39.9561256, 116.3106149 39.9564612, 116.3106558 39.9564612, 116.3106517 39.9566056))","[1231169061, 1231170387, 1231172387, 1231169835, 1231172004, 1231169183, 1231171606, 1231168691, 1231172065, 1231169313, 1231171700, 1231168769, 1231171201, 1231168389, 1231170706, 1231167906, 1231168946, 1231171394, 1231168533, 1231170877, 1231169061]","Bing, 2005-04",,,,
way,107087144,yes,,,,,,"POLYGON ((116.3126329 39.9592339, 116.3130499 39.9592697, 116.3130644 39.959171, 116.3126474 39.9591351, 116.3126329 39.9592339))","[1231171644, 1231172543, 1231168722, 1231170039, 1231171644]","Bing, 2005-04",,,,
way,107087146,yes,,,,,,"POLYGON ((116.3052929 39.9586021, 116.3054613 39.9586034, 116.3054662 39.9582376, 116.3052978 39.9582362, 116.3052929 39.9586021))","[1231172419, 1231170985, 1231169897, 1231168601, 1231172419]","Bing, 2005-04",,,,
way,107087147,yes,,6号学生公寓,6号学生公寓,6号学生公寓,6號學生公寓,"POLYGON ((116.306501 39.9573264, 116.305457 39.9573267, 116.3054598 39.9571999, 116.3065061 39.9572069, 116.306501 39.9573264))","[1231170432, 1231168912, 1231167902, 1231171507, 1231170432]","Bing, 2005-04",,,,
way,107087151,yes,,,,,,"POLYGON ((116.3135858 39.956064, 116.3135858 39.9559835, 116.3136272 39.9559835, 116.3136272 39.955925, 116.3147615 39.9558957, 116.3147664 39.9560421, 116.3135858 39.956064))","[1231169808, 1231170943, 1231168147, 1231170510, 1231171679, 1231168740, 1231169808]","Bing, 2005-04",,,,
way,107087153,yes,,,,,,"POLYGON ((116.3084704 39.9597746, 116.3086384 39.9597796, 116.3086598 39.9593522, 116.3084919 39.9593473, 116.3084704 39.9597746))","[1231170574, 1231168773, 1231172591, 1231171703, 1231170574]","Bing, 2005-04",,,,
way,107087156,yes,,,,,,"POLYGON ((116.3081289 39.9594917, 116.3084739 39.9594982, 116.3084782 39.9593648, 116.3081332 39.9593583, 116.3081289 39.9594917))","[1231170787, 1231171895, 1231168014, 1231169011, 1231170787]","Bing, 2005-04",,,,
way,107087158,yes,,,,,,"POLYGON ((116.3079396 39.959761, 116.3081075 39.9597641, 116.3081212 39.9593407, 116.3079533 39.9593375, 116.3079396 39.959761))","[1231168590, 1231172021, 1231170973, 1231169856, 1231168590]","Bing, 2005-04",,,,
way,107087160,yes,,,,,,"POLYGON ((116.3074646 39.9596347, 116.3076839 39.9596407, 116.3077014 39.9592648, 116.3074821 39.9592588, 116.3074646 39.9596347))","[1231167811, 1231171244, 1231170126, 1231168810, 1231167811]","Bing, 2005-04",,,,
way,107087163,yes,,,,,,"POLYGON ((116.3056559 39.9564643, 116.3058452 39.9564624, 116.3058408 39.9562148, 116.3056515 39.9562167, 116.3056559 39.9564643))","[1231169710, 1231170846, 1231171941, 1231168082, 1231169710]","Bing, 2005-04",,,,
way,107087164,yes,,,,,,"POLYGON ((116.3110635 39.9562999, 116.3110635 39.9562389, 116.3110555 39.9562389, 116.311064 39.9560367, 116.3114518 39.9560464, 116.3114463 39.9562502, 116.3111325 39.9562518, 116.3111325 39.9562971, 116.3110635 39.9562999))","[1231171710, 1231171100, 1231168308, 1231170627, 1231167822, 1231170155, 1231172224, 1231169584, 1231171710]","Bing, 2005-04",,,,
way,107087166,yes,,,,,,"POLYGON ((116.3158713 39.9571474, 116.3160762 39.9571618, 116.3160811 39.9571057, 116.3158811 39.9570913, 116.3158713 39.9571474))","[1231172579, 1231171180, 1231170077, 1231168755, 1231172579]","Bing, 2005-04",,,,
way,107087167,yes,,,,,,"POLYGON ((116.310916 39.9559456, 116.3103716 39.9559456, 116.3103716 39.9561232, 116.310916 39.9561232, 116.310916 39.9559456))","[1231172150, 1231170687, 1231169480, 1231168376, 1231172150]","Bing, 2005-04",,,,
way,107087170,yes,,,,,,"POLYGON ((116.3162488 39.9569815, 116.3164408 39.9569998, 116.3164628 39.9568641, 116.3162708 39.9568458, 116.3162488 39.9569815))","[1231170464, 1231171559, 1231171603, 1231172521, 1231170464]","Bing, 2005-04",,,,
way,107087171,yes,,,,,,"POLYGON ((116.3126793 39.9599538, 116.3127948 39.9599553, 116.3127966 39.959877, 116.3126811 39.9598754, 116.3126793 39.9599538))","[1231170502, 1231171601, 1231172513, 1231168678, 1231170502]","Bing, 2005-04",,,,
way,107087172,yes,,,,,,"POLYGON ((116.3157762 39.9567815, 116.3159103 39.9567864, 116.3159394 39.9563164, 116.3158053 39.9563115, 116.3157762 39.9567815))","[1231172290, 1231168481, 1231169654, 1231170804, 1231172290]","Bing, 2005-04",,,,
way,107087176,yes,,,,,,"POLYGON ((116.3066359 39.9587988, 116.3066359 39.9589866, 116.3067798 39.9589866, 116.3067798 39.9587988, 116.3066359 39.9587988))","[1231169339, 1231167773, 1231171736, 1231170589, 1231169339]","Bing, 2005-04",,,,
way,107087178,yes,,,,,,"POLYGON ((116.3120853 39.9591873, 116.3120913 39.9591274, 116.3120693 39.9591264, 116.3120743 39.9590584, 116.3125479 39.9590964, 116.3125369 39.9592143, 116.3124759 39.9592053, 116.3124729 39.9592193, 116.3120853 39.9591873))","[1231171360, 1231172310, 1231169672, 1231171921, 1231171047, 1231168219, 1231170571, 1231172586, 1231171360]","Bing, 2005-04",,,,
way,107087185,yes,,,,,,"POLYGON ((116.3149493 39.9560152, 116.3157103 39.9560031, 116.3157064 39.955857, 116.3149453 39.9558692, 116.3149493 39.9560152))","[1231168019, 1231169030, 1231170379, 1231171463, 1231168019]","Bing, 2005-04",,,,
way,107087190,yes,,,,,,"POLYGON ((116.3159664 39.9572986, 116.3160278 39.9573069, 116.3160424 39.9572435, 116.3159811 39.9572352, 116.3159664 39.9572986))","[1231168079, 1231171542, 1231170444, 1231169133, 1231168079]","Bing, 2005-04",,,,
way,107087191,yes,,,,,,"POLYGON ((116.3055232 39.9579608, 116.3056497 39.9579639, 116.3056512 39.9579499, 116.3057449 39.9579514, 116.3057433 39.9579686, 116.305748 39.9579842, 116.3057636 39.9579936, 116.3057839 39.9579951, 116.3058042 39.957992, 116.3058167 39.957978, 116.3058401 39.9579795, 116.3058401 39.9580232, 116.3062193 39.9580298, 116.3062194 39.9579721, 116.3062355 39.9579721, 116.306247 39.9579926, 116.3062566 39.9580003, 116.3062732 39.9580022, 116.3062885 39.9580009, 116.3063 39.9579913, 116.3063084 39.9579785, 116.306309 39.9579613, 116.3063032 39.9579542, 116.3063327 39.9579555, 116.3063857 39.9579555, 116.3063857 39.9579657, 116.3065136 39.9579645, 116.3065175 39.9578481, 116.3062604 39.9578442, 116.306261 39.9578342, 116.3057909 39.9578246, 116.3057917 39.9578422, 116.305526 39.9578418, 116.3055232 39.9579608))","[1231168452, 1231169598, 1231171872, 1231168981, 1231171422, 1231168538, 1231170901, 1231172017, 1231169222, 1231171615, 1231168704, 1231171131, 1231168315, 1231170658, 1231167831, 1231171911, 1231169059, 1231171467, 1231168566, 1231170945, 1231168148, 1231170524, 1231172534, 1231168747, 1231171175, 1231168372, 1231170684, 1231167892, 1231170238, 1231172274, 1231169635, 1231167971, 1231170313, 1231168452]","Bing, 2005-04",,,,
way,107087194,yes,,,,,,"POLYGON ((116.3149864 39.957076, 116.3151816 39.9570882, 116.3152204 39.9567234, 116.3150252 39.9567112, 116.3149864 39.957076))","[1231170781, 1231171889, 1231168007, 1231169003, 1231170781]","Bing, 2005-04",,,,
way,107087196,yes,,,,,,"POLYGON ((116.3122187 39.959721, 116.3131969 39.9597869, 116.3132132 39.9596446, 116.312235 39.9595787, 116.3122187 39.959721))","[1231171248, 1231172217, 1231168439, 1231169558, 1231171248]","Bing, 2005-04",,,,
way,107087197,yes,,,,,,"POLYGON ((116.3122546 39.9598976, 116.312442 39.9599007, 116.3124449 39.9597992, 116.3122575 39.9597961, 116.3122546 39.9598976))","[1231168813, 1231170133, 1231168001, 1231168999, 1231168813]","Bing, 2005-04",,,,
way,107087200,yes,,,,,,"POLYGON ((116.31079 39.9596975, 116.3105442 39.9596887, 116.3105552 39.9592981, 116.310804 39.9593011, 116.310799 39.959387, 116.3106181 39.959383, 116.3106141 39.9594639, 116.310781 39.9594649, 116.310781 39.9595438, 116.3106281 39.9595399, 116.3106251 39.9596148, 116.310791 39.9596188, 116.31079 39.9596975))","[1231170221, 1231169622, 1231171897, 1231169017, 1231171453, 1231168558, 1231170938, 1231172037, 1231169266, 1231171675, 1231168736, 1231171171, 1231170221]","Bing, 2005-04",,,,
way,107087201,yes,,,,,,"POLYGON ((116.3078694 39.9591326, 116.3084191 39.9591427, 116.308423 39.9590178, 116.3078733 39.9590077, 116.3078694 39.9591326))","[1231169749, 1231168096, 1231171977, 1231170880, 1231169749]","Bing, 2005-04",,,,
way,107087204,yes,,,,,,"POLYGON ((116.3163074 39.9571367, 116.3164659 39.957147, 116.3164819 39.9570015, 116.3163234 39.9569912, 116.3163074 39.9571367))","[1231167816, 1231171253, 1231170147, 1231168816, 1231167816]","Bing, 2005-04",,,,
way,107087205,yes,,北京理工大学体育馆,北京理工大学体育馆,北京理工大学体育馆,北京理工大學體育館,"POLYGON ((116.3078104 39.9584473, 116.3078199 39.9581758, 116.3077697 39.9581094, 116.3077481 39.958059, 116.3077417 39.9580438, 116.3077457 39.9578504, 116.3077713 39.9578032, 116.3077968 39.9577633, 116.3078296 39.9577305, 116.3078386 39.9573093, 116.3080532 39.9573141, 116.3080239 39.9572751, 116.3081215 39.9572678, 116.308241 39.9572654, 116.3084118 39.9572654, 116.3084923 39.9572678, 116.3086045 39.9572776, 116.3086296 39.9572852, 116.3086041 39.9573227, 116.3088709 39.9573262, 116.3089593 39.9573475, 116.3089562 39.9576036, 116.3089063 39.9575874, 116.3089038 39.9576798, 116.3089537 39.9576873, 116.3089412 39.9582106, 116.3088851 39.9581984, 116.30889 39.958252, 116.3089388 39.9582716, 116.3089364 39.9584862, 116.3086924 39.9584716, 116.3086827 39.9585789, 116.308407 39.9585667, 116.3084095 39.9584643, 116.3081704 39.9584545, 116.3081607 39.9585643, 116.3078997 39.9585521, 116.3079094 39.9584447, 116.3078104 39.9584473))","[1231168074, 1231169113, 1231171509, 1231168602, 1231171989, 1231169180, 1231171583, 1231168674, 1231171085, 1231168273, 1231170618, 1231167814, 1231168873, 1231171302, 1231168472, 1231170791, 1231168015, 1231170362, 1231172369, 1231169804, 1231172239, 1231169601, 1231171876, 1231168982, 1231171427, 1231168541, 1231170903, 1231168123, 1231169230, 1231171635, 1231168712, 1231171136, 1231168321, 1231170655, 1231167847, 1231170187, 1231168415, 1231170716, 1231168074]",Bing,1,sports_hall,multi,
way,107087208,yes,,,,,,"POLYGON ((116.3156786 39.9570132, 116.3158771 39.9570278, 116.3158869 39.9569497, 116.3156884 39.9569352, 116.3156786 39.9570132))","[1231169929, 1231168214, 1231172062, 1231171021, 1231169929]","Bing, 2005-04",,,,
way,107087209,yes,,,,,,"POLYGON ((116.3098171 39.9599236, 116.3105489 39.9599304, 116.3105517 39.9597829, 116.3098199 39.9597751, 116.3098171 39.9599236))","[1231172444, 1231168633, 1231168682, 1231170021, 1231172444]","Bing, 2005-04",,,,
way,107087211,yes,,,,,,"POLYGON ((116.3128975 39.9594222, 116.3130455 39.9594379, 116.3130688 39.9593084, 116.3129208 39.9592927, 116.3128975 39.9594222))","[1231169518, 1231170712, 1231171823, 1231167931, 1231169518]","Bing, 2005-04",,,,
way,107087216,yes,,北京理工科技大厦,北京理工科技大厦,北京理工科技大厦,北京理工科技大廈,"POLYGON ((116.3159042 39.9561918, 116.3163524 39.9562101, 116.3163718 39.9559313, 116.3159236 39.955913, 116.3159042 39.9561918))","[1231168153, 1231169239, 1231170530, 1231171647, 1231168153]","Bing, 2005-04",,,,
way,107087219,yes,,,,,,"POLYGON ((116.3158917 39.9570298, 116.3160869 39.957042, 116.3161148 39.9567795, 116.3159196 39.9567673, 116.3158917 39.9570298))","[1231170689, 1231171804, 1231167898, 1231168909, 1231170689]","Bing, 2005-04",,,,
way,107087221,yes,,,,,,"POLYGON ((116.3104051 39.9591002, 116.3104089 39.9590265, 116.3103839 39.9590265, 116.3104389 39.9586394, 116.3105325 39.9586381, 116.3105338 39.9585944, 116.3105884 39.9585991, 116.3105789 39.9587244, 116.310479 39.9587244, 116.3104415 39.9589398, 116.3105444 39.9589458, 116.3105266 39.9591057, 116.3104051 39.9591002))","[1231172364, 1231168550, 1231170910, 1231168125, 1231170497, 1231172505, 1231170001, 1231171141, 1231168344, 1231170664, 1231167857, 1231170197, 1231172364]","Bing, 2005-04",,,,
way,107087225,yes,,,,,,"POLYGON ((116.3052866 39.9590998, 116.3054254 39.959101, 116.3054327 39.9586132, 116.3052939 39.958612, 116.3052866 39.9590998))","[1231170089, 1231168418, 1231172178, 1231171219, 1231170089]","Bing, 2005-04",,,,
way,107087227,yes,,,,,,"POLYGON ((116.3089017 39.9597532, 116.3095206 39.9597611, 116.3095264 39.9594918, 116.3089075 39.9594839, 116.3089017 39.9597532))","[1231171580, 1231170009, 1231168661, 1231172509, 1231171580]","Bing, 2005-04",,,,
way,107087228,university,,4号教职工公寓,4号教职工公寓,4号教职工公寓,4號教職工公寓,"POLYGON ((116.3077092 39.9561067, 116.3077128 39.9558796, 116.3078998 39.9558844, 116.3079006 39.955866, 116.3082172 39.955874, 116.308218 39.955906, 116.3082755 39.955906, 116.3082755 39.955878, 116.3085209 39.955878, 116.3085216 39.9558946, 116.3087863 39.9558958, 116.3087851 39.9561269, 116.3085428 39.9561244, 116.3085478 39.955997, 116.3085902 39.955997, 116.3085915 39.9559695, 116.3085353 39.9559682, 116.3085356 39.9560544, 116.3079526 39.9560459, 116.3079542 39.955962, 116.3079006 39.9559612, 116.3079014 39.9559803, 116.307939 39.9559803, 116.3079382 39.9561138, 116.3077092 39.9561067))","[1231168924, 1231171055, 1231168652, 1231171573, 1231169166, 1231170971, 1231168588, 1231171494, 1231169075, 1231168657, 1231171068, 1231168227, 1231169443, 1231171786, 1231168854, 1231171294, 1231168467, 1231168008, 1231170357, 1231169228, 1231171633, 1231168709, 1231171133, 1231168319, 1231168924]","Bing, 2005-04",,,,
way,107087231,yes,,北京理工大学校医院,北京理工大学校医院,北京理工大学校医院,北京理工大學校醫院,"POLYGON ((116.3098658 39.959479, 116.310498 39.9594883, 116.3105012 39.9593618, 116.309869 39.9593525, 116.3098658 39.959479))","[1231170152, 1231171258, 1231172219, 1231168446, 1231170152]","Bing, 2005-04",,,,
way,107087232,yes,,,,,,"POLYGON ((116.3077523 39.9598956, 116.3086979 39.9599163, 116.3086999 39.9597972, 116.3077601 39.9597883, 116.3077523 39.9598956))","[1231172368, 1231171944, 1231170847, 1231169713, 1231172368]","Bing, 2005-04",,,,
way,107087234,yes,,,,,,"POLYGON ((116.3065018 39.956059, 116.306636 39.956059, 116.306636 39.9558365, 116.3065018 39.9558365, 116.3065018 39.956059))","[1231168119, 1231171681, 1231172573, 1231168742, 1231168119]","Bing, 2005-04",,,,
way,107087236,yes,,,,,,"POLYGON ((116.3065379 39.9596242, 116.3067545 39.9596277, 116.3067643 39.9592642, 116.3065477 39.9592608, 116.3065379 39.9596242))","[1231172070, 1231170592, 1231169341, 1231168221, 1231172070]","Bing, 2005-04",,,,
