element_type,osmid,building,designation,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes,source,layer,leisure,sport,building:levels
node,2631904792,yes,中海纪元,海淀科技大厦,海淀科技大厦,海淀科技大厦,海淀科技大廈,POINT (116.3164206 39.9558404),,,,,,
way,107039533,yes,,,,,,"POLYGON ((116.3134829 39.9597321, 116.3142778 39.9598133, 116.3143012 39.9596789, 116.3135063 39.9595976, 116.3134829 39.9597321))","[1230630577, 1230630962, 1230630740, 1230630554, 1230630577]","Bing, 2005-04",,,,
way,107039535,yes,,1#教学楼,1#教学楼,1#教学楼,1#教學樓,"POLYGON ((116.3145558 39.9590763, 116.3145607 39.9589286, 116.314733 39.9589434, 116.3147281 39.9589803, 116.3160496 39.9590566, 116.3160496 39.9590123, 116.3161947 39.9590221, 116.3161086 39.9596029, 116.315929 39.9595881, 116.3159634 39.9592141, 116.3160151 39.9592165, 116.3160102 39.9591846, 116.3145558 39.9590763))","[1230630448, 1230631220, 1230630827, 1230630704, 1230630386, 1230630505, 1230630349, 1230630882, 1230631086, 1230630752, 1230630961, 1230630552, 1230630448]","Bing, 2005-04",,,,
way,107039536,yes,,,,,,"POLYGON ((116.3162455 39.958717, 116.3162628 39.9586234, 116.3162815 39.9586118, 116.3163112 39.9586099, 116.3163344 39.9586183, 116.3163395 39.9586351, 116.3163247 39.9587202, 116.3162455 39.958717))","[1230630472, 1230630315, 1230630455, 1230631049, 1230630931, 1230630538, 1230630707, 1230630472]","Bing, 2005-04",,,,
way,107039538,yes,,,,,,"POLYGON ((116.3150948 39.9600003, 116.3154811 39.96002, 116.3154885 39.9599359, 116.3151021 39.9599162, 116.3150948 39.9600003))","[1230631170, 1230630992, 1230630786, 1230631161, 1230631170]","Bing, 2005-04",,,,
way,107039541,yes,,,,,,"POLYGON ((116.3133545 39.9599688, 116.3135061 39.9599747, 116.3135126 39.9598766, 116.313361 39.9598707, 116.3133545 39.9599688))","[1230630477, 1230630339, 1230631082, 1230630866, 1230630477]","Bing, 2005-4",,,,
way,107039543,yes,,,,,,"POLYGON ((116.3164619 39.9574079, 116.316546 39.9574134, 116.3165578 39.957307, 116.3164737 39.9573015, 116.3164619 39.9574079))","[1230630872, 1230630680, 1230630756, 1230630578, 1230630872]","Bing, 2005-04",,,,
way,107039544,yes,,,,,,"POLYGON ((116.314482 39.9598478, 116.315491 39.9599117, 116.3155066 39.9597675, 116.3144976 39.9597036, 116.314482 39.9598478))","[1230630918, 1230630582, 1230630423, 1230631190, 1230630918]","Bing, 2005-04",,,,
way,107039546,yes,,主楼,主楼,主楼,主樓,"POLYGON ((116.3146681 39.9585644, 116.3146755 39.9584659, 116.3148749 39.9584783, 116.3148995 39.9582223, 116.3147272 39.9582051, 116.3147395 39.9580968, 116.3150102 39.958119, 116.314993 39.9582765, 116.3153916 39.958306, 116.3154335 39.957991, 116.3155959 39.9580033, 116.3154925 39.9587834, 116.315335 39.9587711, 116.3153769 39.9584389, 116.3149905 39.9584143, 116.3149708 39.9585791, 116.3146681 39.9585644))","[1230631044, 1230630834, 1230630457, 1230630623, 1230631224, 1230630443, 1230631042, 1230631194, 1230630794, 1230630348, 1230630877, 1230631085, 1230630675, 1230630845, 1230630481, 1230630632, 1230631044]","Bing, 2005-04",,,,
way,107039548,yes,,,,,,"POLYGON ((116.3132885 39.9597173, 116.3134387 39.9597296, 116.3134504 39.9596453, 116.3133003 39.959633, 116.3132885 39.9597173))","[1230630832, 1230630626, 1230631039, 1230630803, 1230630832]","Bing, 2005-4",,,,
