element_type,osmid,amenity,geometry,name,opening_hours,nodes,building,building:levels,building:material
node,9740631685,restaurant,POINT (-118.123925 34.1373494),Red Door Café,Mo-Fr 07:00-22:00; Sa-Su 15:00-22:00,,,,
way,45094662,restaurant,"POLYGON ((-118.1235967 34.137472, -118.1234291 34.1374731, -118.1234278 34.1375242, -118.1233406 34.1375242, -118.1231689 34.1375264, -118.1231703 34.137482, -118.1230254 34.1374798, -118.1228504 34.1374811, -118.1228498 34.1376119, -118.1228122 34.1376108, -118.1228122 34.1376507, -118.1229517 34.1376519, -118.1229517 34.1376685, -118.1230925 34.1376696, -118.1230911 34.1376852, -118.123185 34.137684, -118.123185 34.1377728, -118.1234921 34.1377728, -118.1234921 34.137744, -118.1235552 34.1377451, -118.1235565 34.1376996, -118.1235941 34.1377018, -118.1235964 34.1374988, -118.1235967 34.137472))",Browne Café,,"[571718724, 571718725, 571718728, 368343006, 566601864, 571718703, 368342744, 571718706, 566601867, 571718705, 571718731, 571718734, 571718736, 571718743, 571718746, 571718749, 571718751, 571718754, 571718756, 571718760, 571718764, 571718768, 2029287303, 571718724]",yes,,
way,45095035,restaurant,"POLYGON ((-118.1270005 34.1395941, -118.1268335 34.1395933, -118.1268332 34.1396075, -118.1267564 34.1396065, -118.1267561 34.1396963, -118.1268124 34.1396914, -118.1268123 34.13971, -118.126757 34.1397101, -118.1267561 34.1397174, -118.1267533 34.1397241, -118.126749 34.1397303, -118.1267433 34.1397351, -118.1267367 34.1397397, -118.1267305 34.1397428, -118.1267225 34.1397448, -118.1267146 34.1397455, -118.1267135 34.1398245, -118.1267258 34.1398236, -118.1267381 34.1398222, -118.1267513 34.1398197, -118.126763 34.1398166, -118.1267756 34.1398117, -118.1267798 34.1398094, -118.1267932 34.1398252, -118.126781 34.1398342, -118.1267697 34.1398414, -118.1267573 34.1398482, -118.1267434 34.1398545, -118.1267285 34.1398597, -118.126713 34.1398636, -118.1267121 34.1399265, -118.1267352 34.1399159, -118.126755 34.1399042, -118.1267718 34.1398933, -118.1267899 34.1398785, -118.1268075 34.1398623, -118.1268238 34.1398433, -118.126837 34.1398258, -118.1268489 34.1398061, -118.1268595 34.1397865, -118.1268688 34.1397623, -118.1268719 34.139737, -118.1268727 34.1397109, -118.1268343 34.1397108, -118.126835 34.1396895, -118.1269575 34.1396791, -118.1269568 34.139719, -118.1269992 34.1397189, -118.1270005 34.1395941))",Broad Cafe,,"[571721402, 3704238371, 6911382215, 571721403, 571721404, 6911382216, 6911382217, 6911382223, 6911382232, 6911382231, 6911382233, 571721405, 6911382234, 6911382230, 6911382235, 571721406, 6911382238, 6911382239, 6911382242, 6911382243, 6911382244, 6911382246, 6911382249, 6911382248, 6911382247, 6911382245, 6911382241, 6911382240, 6911382237, 6911382236, 571721407, 6911382228, 6911382222, 6911382229, 571721408, 6911382227, 6911382221, 6911382226, 571721409, 6911382225, 6911382220, 6911382224, 6911382219, 6911382218, 571721410, 571721411, 571721412, 571721413, 571721402]",yes,1,metal
