u,v,key,osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,service,access,bridge
566600895,566600601,0,843856993,,cycleway,False,False,45.391,5 mph,"LINESTRING (-118.1271893 34.137719, -118.1274252 34.137709, -118.1274772 34.1376995, -118.1275148 34.1376872, -118.1276668 34.1376378)",,,,
566600895,566601451,0,843856993,,cycleway,False,True,36.954,5 mph,"LINESTRING (-118.1271893 34.137719, -118.1270273 34.1377368, -118.1267944 34.1377778)",,,,
566600897,566600898,0,366446707,,footway,False,False,19.993,,"LINESTRING (-118.126891 34.1380497, -118.1266823 34.1380996)",,,,
566600897,3704238370,0,366446708,,footway,False,True,17.298,,"LINESTRING (-118.126891 34.1380497, -118.1270783 34.1380626)",,,,
566600897,566601451,0,843857003,,footway,False,False,31.514,,"LINESTRING (-118.126891 34.1380497, -118.1267944 34.1377778)",,,,
566600898,566600897,0,366446707,,footway,False,True,19.993,,"LINESTRING (-118.1266823 34.1380996, -118.126891 34.1380497)",,,,
566600898,7871804694,0,366446707,,footway,False,False,37.792,,"LINESTRING (-118.1266823 34.1380996, -118.1266535 34.1382737, -118.1265203 34.1383833, -118.1265146 34.1383906)",,,,
566600898,6841731195,0,730303091,,footway,False,False,32.798,,"LINESTRING (-118.1266823 34.1380996, -118.1266707 34.1379588, -118.1266421 34.1378068)",,,,
566600949,10769222488,0,1157991258,,footway,False,True,16.549,,"LINESTRING (-118.1268833 34.1365802, -118.1268984 34.1367285)",,,,
566600949,566600951,0,"[844420750, 843856980, 843856981, 44635034, 1157991260]",,"['steps', 'footway']",False,False,53.07600000000001,,"LINESTRING (-118.1268833 34.1365802, -118.1268765 34.1365642, -118.1268759 34.1365452, -118.126866 34.1364077, -118.126865 34.1363757, -118.1268677 34.1361041)",,,,
566600949,844352237,0,44635036,,footway,False,False,11.091000000000001,,"LINESTRING (-118.1268833 34.1365802, -118.1269057 34.1365635, -118.1269956 34.136556)",,,,
566600951,7871804573,0,843856982,,footway,False,False,14.146,,"LINESTRING (-118.1268677 34.1361041, -118.1270214 34.1361047)",,,,
566600951,7871804571,0,843856982,,footway,False,True,3.801,,"LINESTRING (-118.1268677 34.1361041, -118.1268264 34.136104)",,,,
566600951,566600949,0,"[844420750, 843856980, 843856981, 44635034, 1157991260]",,"['steps', 'footway']",False,True,53.07600000000001,,"LINESTRING (-118.1268677 34.1361041, -118.126865 34.1363757, -118.126866 34.1364077, -118.1268759 34.1365452, -118.1268765 34.1365642, -118.1268833 34.1365802)",,,,
566600953,844352237,0,44635036,,footway,False,True,10.226,,"LINESTRING (-118.1271062 34.1365472, -118.1269956 34.136556)",,,,
566600953,566600955,0,44635039,,footway,False,False,25.113,,"LINESTRING (-118.1271062 34.1365472, -118.1271115 34.1363214)",,,,
566600953,844352147,0,44635036,,footway,False,False,19.536,,"LINESTRING (-118.1271062 34.1365472, -118.1272893 34.1365482, -118.127309 34.1365304)",,,,
566600955,566600953,0,44635039,,footway,False,True,25.113,,"LINESTRING (-118.1271115 34.1363214, -118.1271062 34.1365472)",,,,
566600957,844352147,0,44635053,,service,False,False,39.492,5 mph,"LINESTRING (-118.1272111 34.1362149, -118.1272107 34.1363732, -118.1272097 34.1364313, -118.1272231 34.1364808, -118.1272633 34.1365133, -118.127309 34.1365304)",,,,
566601000,844352252,0,44635053,,service,False,True,8.106,5 mph,"LINESTRING (-118.1278976 34.1365649, -118.1278168 34.1365359)",,,,
566601000,566601566,0,192368810,Wilson Avenue,tertiary,True,False,18.931,25 mph,"LINESTRING (-118.1278976 34.1365649, -118.1278509 34.1367307)",1,,,
566601358,566601426,0,843856969,,service,False,False,51.022,5 mph,"LINESTRING (-118.1235732 34.1388767, -118.1235817 34.1384179)",,,,
566601358,566601799,0,843856969,,service,False,True,8.519,5 mph,"LINESTRING (-118.1235732 34.1388767, -118.1235716 34.1389533)",,,,
566601358,566601534,0,44635089,,cycleway,False,True,87.41499999999999,,"LINESTRING (-118.1235732 34.1388767, -118.1244136 34.1388652, -118.1245194 34.1388425)",,,,
566601364,844352160,0,44635091,,footway,False,True,33.116,,"LINESTRING (-118.124687 34.1400584, -118.1246909 34.1397606)",,,,
566601364,10769318143,0,44635130,Moore Walk,cycleway,False,False,2.743,,"LINESTRING (-118.124687 34.1400584, -118.1246572 34.1400582)",,,,
566601364,844352078,0,44635130,Moore Walk,cycleway,False,True,40.69499999999999,,"LINESTRING (-118.124687 34.1400584, -118.1250589 34.1400575, -118.1251265 34.1400416)",,,,
566601381,566601382,0,44635098,,cycleway,False,False,65.614,,"LINESTRING (-118.122859 34.1402476, -118.1221461 34.140254)",,,,
566601381,9721748703,0,70803737,South Holliston Avenue,residential,False,True,9.263,15 mph,"LINESTRING (-118.122859 34.1402476, -118.122859 34.1403309)",,,,
566601381,566601537,0,70803737,South Holliston Avenue,residential,False,False,21.395,15 mph,"LINESTRING (-118.122859 34.1402476, -118.1228582 34.1401824, -118.1228567 34.1400805, -118.1228564 34.1400552)",,,,
566601382,566601381,0,44635098,,cycleway,False,True,65.614,,"LINESTRING (-118.1221461 34.140254, -118.122859 34.1402476)",,,,
566601382,566839528,0,44635098,,cycleway,False,False,129.38500000000002,,"LINESTRING (-118.1221461 34.140254, -118.1221378 34.1399588, -118.1221491 34.139811, -118.1221163 34.1396197, -118.1221171 34.1395026, -118.1221691 34.1391981, -118.1221648 34.1390958)",,,,
566601382,7876727401,0,44635099,,footway,False,False,40.804,,"LINESTRING (-118.1221461 34.140254, -118.1220267 34.1403355, -118.1220213 34.1404546, -118.121995 34.1404788, -118.1218898 34.1404818)",,,,
566601384,566839528,0,44635098,,cycleway,False,True,20.233999999999998,,"LINESTRING (-118.1222295 34.1389284, -118.1221571 34.1390483, -118.1221648 34.1390958)",,,,
566601384,566601800,0,44635213,,service,False,False,57.593999999999994,5 mph,"LINESTRING (-118.1222295 34.1389284, -118.1222522 34.1389482, -118.1222902 34.1389591, -118.1228428 34.1389604)",,,,
566601384,9956308573,0,44635213,,service,False,True,86.429,5 mph,"LINESTRING (-118.1222295 34.1389284, -118.1222153 34.1389048, -118.1222103 34.1388829, -118.1222134 34.1382281, -118.1221919 34.1382084, -118.1221348 34.1382074)",,,,
566601392,844352090,0,44635100,,cycleway,False,True,24.384999999999998,5 mph,"LINESTRING (-118.1230977 34.1378385, -118.1229282 34.1378631, -118.122837 34.1378776)",,,,
566601392,566601665,0,44635132,San Pasqual Walk,cycleway,False,True,41.141999999999996,,"LINESTRING (-118.1230977 34.1378385, -118.1231951 34.1378294, -118.123328 34.13782, -118.1235402 34.1378517)",,,,
566601392,566601395,0,843354164,,service,False,False,81.582,,"LINESTRING (-118.1230977 34.1378385, -118.1230738 34.1377314, -118.1230542 34.1377105, -118.1228912 34.1376883, -118.1225734 34.137686, -118.1224449 34.1377445, -118.1224388 34.1378215)",,,,
566601395,566601396,0,13340670,San Pasqual Street,residential,False,False,4.694,15 mph,"LINESTRING (-118.1224388 34.1378215, -118.1223878 34.1378213)",,,,
566601395,844352090,0,"[70803737, 13340670]","['San Pasqual Street', 'South Holliston Avenue']",residential,False,True,39.748000000000005,15 mph,"LINESTRING (-118.1224388 34.1378215, -118.1227382 34.1378196, -118.1227731 34.1378245, -118.1228101 34.1378371, -118.1228279 34.1378538, -118.122837 34.1378776)",,,,
566601395,566601392,0,843354164,,service,False,True,81.58200000000001,,"LINESTRING (-118.1224388 34.1378215, -118.1224449 34.1377445, -118.1225734 34.137686, -118.1228912 34.1376883, -118.1230542 34.1377105, -118.1230738 34.1377314, -118.1230977 34.1378385)",,,,
566601396,566601407,0,13340670,San Pasqual Street,residential,False,False,18.576,15 mph,"LINESTRING (-118.1223878 34.1378213, -118.122186 34.1378183)",,,,
566601396,566601395,0,13340670,San Pasqual Street,residential,False,True,4.694,15 mph,"LINESTRING (-118.1223878 34.1378213, -118.1224388 34.1378215)",,,,
566601396,5628158630,0,366446704,,service,False,False,17.303,,"LINESTRING (-118.1223878 34.1378213, -118.122389 34.1376815, -118.1223966 34.137667)",,driveway,,
566601398,5628158632,0,589385780,,footway,False,False,19.493,,"LINESTRING (-118.1222974 34.1374545, -118.1222964 34.1372792)",,,,
566601398,5628158631,0,843354163,,footway,False,True,4.767,,"LINESTRING (-118.1222974 34.1374545, -118.1223492 34.1374544)",,,,
566601398,566601407,0,589385780,,footway,False,True,44.723,,"LINESTRING (-118.1222974 34.1374545, -118.1222913 34.1375846, -118.1221854 34.1376657, -118.122186 34.1378183)",,,,
566601401,566601662,0,44635174,Olive Walk,footway,False,False,90.596,,"LINESTRING (-118.1223994 34.1368581, -118.1233837 34.1368666)",,,,
566601401,566601414,0,44635174,Olive Walk,footway,False,True,30.514,,"LINESTRING (-118.1223994 34.1368581, -118.1220679 34.1368535)",,,,
566601401,571720748,0,844416511,,footway,False,False,12.185,,"LINESTRING (-118.1223994 34.1368581, -118.122387 34.136749)",,,,
566601401,5628158632,0,589385780,,footway,False,True,55.012,,"LINESTRING (-118.1223994 34.1368581, -118.1224118 34.1370327, -118.1223029 34.1370515, -118.1222964 34.1372792)",,,,
566601404,566601416,0,844085218,,footway,False,True,15.425,,"LINESTRING (-118.1222381 34.136469, -118.1220705 34.1364696)",,,,
566601404,571720748,0,844416511,,footway,False,True,44.681,,"LINESTRING (-118.1222381 34.136469, -118.1223872 34.1364706, -118.122387 34.136749)",,,,
