element_type,osmid,nodes,name,natural,water,geometry,amenity,drinking_water,lit,ways,type
way,45094937,"[571720684, 6911382251, 6911382257, 6911382253, 6911382255, 6911382250, 6911382256, 6911382254, 6911382258, 6911382252, 571720685, 571720681, 566601101, 3704238343, 3704238344, 3704238345, 566601103, 566601105, 571720390, 566601109, 566601113, 566601118, 571720391, 566601121, 571720392, 3704238346, 566601126, 3704238347, 571720682, 571720684]",Caltech Pond,water,pond,"POLYGON ((-118.1254337 34.1368031, -118.1254332 34.1368541, -118.1254392 34.1368566, -118.1254445 34.1368602, -118.1254488 34.1368652, -118.1254504 34.1368713, -118.1254496 34.1368775, -118.1254457 34.1368836, -118.12544 34.1368879, -118.1254334 34.1368905, -118.1254335 34.1369405, -118.1260107 34.1369421, -118.1260107 34.1369061, -118.1259825 34.1369063, -118.1259825 34.1368878, -118.1259562 34.1368878, -118.1259561 34.1369018, -118.1259107 34.1369383, -118.1258465 34.1369376, -118.1258009 34.1368996, -118.1258009 34.1368458, -118.125845 34.1368083, -118.125911 34.1368079, -118.1259574 34.1368464, -118.1259578 34.1368552, -118.1259781 34.1368552, -118.1259782 34.1368364, -118.1260107 34.1368365, -118.126011 34.1368044, -118.1254337 34.1368031))",,,,,
way,45094947,"[571720718, 571720719, 571720720, 571720721, 571720718]",,water,pond,"POLYGON ((-118.1253235 34.1379614, -118.12498 34.1379617, -118.12498 34.1379134, -118.1253234 34.1379132, -118.1253235 34.1379614))",,,,,
way,45094948,"[571720722, 571720723, 571720724, 571720725, 571720722]",,water,pond,"POLYGON ((-118.1260784 34.1379628, -118.1257734 34.1379633, -118.1257733 34.1379194, -118.1260783 34.137919, -118.1260784 34.1379628))",,,,,
way,45094949,"[571720726, 571720727, 571720728, 571720729, 571720726]",Gene Pool,water,,"POLYGON ((-118.126376 34.1392278, -118.1259621 34.1392304, -118.1259615 34.1391695, -118.1263754 34.1391668, -118.126376 34.1392278))",fountain,no,yes,,
way,545357800,"[5270938207, 7876638945, 7876638954, 5270938208, 7876638953, 7876638944, 5270938209, 7876638950, 5270938210, 7876638949, 5270938211, 7876638943, 7876638951, 5270938212, 7876638952, 5270938213, 5270938214, 7876638948, 7876638946, 7876638947, 5270938207]",,water,,"POLYGON ((-118.1267296 34.1392147, -118.1267233 34.1392145, -118.126719 34.1392176, -118.1267154 34.1392188, -118.1267113 34.1392177, -118.1267082 34.1392143, -118.1267013 34.1392138, -118.1267012 34.139207, -118.1266973 34.1392021, -118.1267018 34.1391971, -118.1267022 34.1391897, -118.1267088 34.1391896, -118.1267116 34.1391852, -118.1267159 34.1391839, -118.126721 34.1391863, -118.1267235 34.1391905, -118.1267305 34.13919, -118.1267305 34.1391977, -118.1267358 34.1392028, -118.1267299 34.1392086, -118.1267296 34.1392147))",,,,,
way,1224939062,"[11359595856, 11359595857, 11359595858, 11359595855, 11359595856]",,water,,"POLYGON ((-118.1273625 34.133155, -118.1273624 34.1331226, -118.1274033 34.1331225, -118.1274034 34.1331549, -118.1273625 34.133155))",,,,,
relation,11579032,"[[[7873878136, 2037651390, 7873878135, 7873878139, 2037651387, 2037651407, 7873878132, 7873878133, 7873878134, 7873878138, 7873878136], [2037651376, 2037651379, 2037651377, 2037651372, 2037651371, 2037651369, 2037651366, 2037651364, 7873878154, 7873878177, 7873878155, 7873878143, 7873878153, 7873878152, 7873878176, 2037651361, 2037651362, 2037651365, 2037651367, 2037651368, 2037651376], [2037651386, 7873878161, 2037651392, 7873878149, 2037651397, 7873878137, 2037651411, 7873878147, 2037651413, 2037651410, 2037651401, 7873878148, 7873878140, 7873878145, 2037651393, 7873878141, 7873878146, 7873878144, 2037651388, 2037651386], [2037651385, 2037651400, 2037651408, 2037651414, 2037651417, 2037651419, 7873878173, 2037651422, 2037651426, 2037651429, 7873878175, 7871804707, 2037651432, 2037651427, 7873878174, 2037651423, 2037651421, 2037651418, 2037651415, 7873878151, 2037651412, 7873878172, 2037651405, 2037651402, 7873878171, 2037651399, 7873878170, 2037651394, 7873878150, 7871804709, 2037651391, 2037651385]]]",Turtle Pond,water,pond,"MULTIPOLYGON (((-118.125336 34.1369187, -118.1253421 34.1369095, -118.1253467 34.1368994, -118.1253624 34.1368911, -118.1253769 34.1368904, -118.1253779 34.1369476, -118.1253606 34.136947, -118.1253499 34.1369432, -118.1253413 34.136937, -118.1253356 34.1369283, -118.125336 34.1369187)), ((-118.1252738 34.1368901, -118.1252799 34.1368899, -118.1252853 34.1368926, -118.1252877 34.136898, -118.1252895 34.1369152, -118.1252879 34.1369296, -118.1252844 34.1369375, -118.125278 34.1369407, -118.1252699 34.1369405, -118.1252623 34.1369376, -118.1252587 34.1369329, -118.1252587 34.1369296, -118.1252611 34.136925, -118.125262 34.1369188, -118.1252637 34.1369077, -118.1252686 34.1369049, -118.1252702 34.1369026, -118.1252705 34.136898, -118.1252706 34.136894, -118.1252738 34.1368901)), ((-118.1252547 34.1368584, -118.1252362 34.1368665, -118.1252129 34.1368671, -118.1251941 34.1368634, -118.1251772 34.1368495, -118.1251652 34.1368323, -118.1251614 34.1368059, -118.1251635 34.1367906, -118.1251675 34.1367856, -118.1251746 34.1367838, -118.1251838 34.1367833, -118.125191 34.1367817, -118.1251984 34.1367785, -118.1252039 34.1367728, -118.1252085 34.1367712, -118.1252154 34.136771, -118.125228 34.1367747, -118.1252487 34.1367886, -118.1252638 34.1368139, -118.1252642 34.1368373, -118.1252547 34.1368584)), ((-118.1250939 34.1369087, -118.1250949 34.1369221, -118.1250882 34.1369429, -118.125079 34.1369591, -118.1250712 34.1369766, -118.1250714 34.1369926, -118.1250784 34.1370076, -118.1250812 34.1370178, -118.1250784 34.1370357, -118.1250699 34.1370462, -118.1250586 34.1370511, -118.1250484 34.1370525, -118.1250293 34.1370501, -118.1250194 34.137047, -118.1250117 34.1370392, -118.125008 34.1370266, -118.1250073 34.1370044, -118.1250189 34.1369865, -118.1250368 34.1369691, -118.1250419 34.1369614, -118.1250441 34.1369529, -118.1250431 34.1369439, -118.1250391 34.136939, -118.1250308 34.1369353, -118.1250246 34.1369313, -118.1250217 34.1369269, -118.1250232 34.1369184, -118.1250293 34.1369118, -118.1250397 34.1369086, -118.1250702 34.1369034, -118.1250866 34.1369043, -118.1250939 34.1369087)))",,,,"[193245417, 844085212, 844085211, 844085209]",multipolygon
