element_type,osmid,amenity,geometry,operator,addr:postcode,building,name,website,access,parking,nodes,building:levels,building:material,official_name,source,source_ref,wikidata,building:levels:underground,roof:shape,created_by,fee,operator:type,ref,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,old_name,start,alt_name,old_name:-1960,old_name:1960-2017,wikipedia,opening_hours,addr:housename,ways,type
way,44635003,,"POLYGON ((-118.1275996 34.1383928, -118.1272452 34.1383926, -118.1272469 34.1377813, -118.1275997 34.1377823, -118.1275997 34.1378834, -118.1276001 34.1379269, -118.1276603 34.1379272, -118.1276593 34.1382483, -118.1275986 34.1382479, -118.1275996 34.1383928))",,,yes,Braun Labs,,,,"[566600869, 566600874, 566600876, 566600877, 10003712219, 571720398, 571720399, 571720400, 571720401, 566600869]",2,,,,,Q62641347,,,,,,,,,,,,,,,,,,,,,,,
way,44635008,,"POLYGON ((-118.1265274 34.1383532, -118.126168 34.1383588, -118.1261666 34.1383111, -118.1261988 34.13831, -118.1261975 34.1382089, -118.1261707 34.1382078, -118.126168 34.1381246, -118.1261412 34.1381235, -118.1261371 34.1381013, -118.1261693 34.1380258, -118.1262136 34.1379758, -118.1266441 34.1379281, -118.1266508 34.1379681, -118.1266172 34.1379747, -118.1266427 34.1381235, -118.1266012 34.1381268, -118.1266012 34.1381501, -118.1265797 34.1381512, -118.126569 34.1382034, -118.1265556 34.1382045, -118.1265515 34.1383166, -118.1265287 34.1383177, -118.1265274 34.1383532))",,,yes,Schlinger,,,,"[566600881, 3704238337, 3704238336, 3704238335, 3704238334, 3704238333, 3704238332, 566600890, 844352217, 3704238327, 566600892, 566600893, 3704238328, 3704238329, 844352064, 3704238330, 3704238331, 3704238342, 3704238341, 3704238340, 3704238339, 3704238338, 566600881]",,,Warren and Katharine Schlinger Laboratory for Chemistry and Chemical Engineering,,,Q62641368,,,,,,,,,,,,,,,,,,,,,,,
way,44635014,,"POLYGON ((-118.1241473 34.1399025, -118.1235265 34.1398998, -118.1235269 34.1398299, -118.1235569 34.1398296, -118.1235587 34.1396453, -118.1237599 34.1396447, -118.1241462 34.1396477, -118.1241473 34.1399025))",,,yes,Annenberg Center for Information Science and Technology,,,,"[566600902, 566600903, 3704238357, 3704238356, 566600904, 10769318124, 566600905, 566600902]",3,glass,,,,Q62641367,,,,,,,,,,,,,,,,,,,,,,,
way,44635015,,"POLYGON ((-118.1275993 34.1371962, -118.1272895 34.1371929, -118.1271232 34.137194, -118.1268429 34.1371918, -118.1268402 34.1372672, -118.1266981 34.1372661, -118.1267021 34.1371906, -118.126456 34.1371901, -118.1264391 34.1371901, -118.1264387 34.1370349, -118.1276046 34.1370397, -118.1275993 34.1371962))",,,yes,Kerckhoff,,,,"[566600906, 571720358, 571720357, 566600907, 566600908, 566600909, 566600910, 566600932, 566600911, 566600912, 566600914, 566600906]",,,William G. Kerckhoff Laboratories of the Biological Sciences,,,Q62641299,,,,,,,,,,,,,,,,,,,,,,,
way,44635017,,"POLYGON ((-118.1275999 34.1375897, -118.1265914 34.1375886, -118.1265901 34.1375242, -118.1265928 34.1374487, -118.1271171 34.1374476, -118.1272848 34.1374476, -118.1276013 34.1374476, -118.1275999 34.1375897))",,,yes,Church,,,,"[566600918, 566600920, 571718701, 566600922, 571720356, 571720359, 566600924, 566600918]",,,Norman W. Church Laboratory for Chemical Biology,,,Q62641311,,,,,,,,,,,,,,,,,,,,,,,
way,44635022,,"POLYGON ((-118.1271171 34.1374476, -118.1271232 34.137194, -118.1272895 34.1371929, -118.1272848 34.1374476, -118.1271171 34.1374476))",,,yes,Alles,,,,"[571720356, 571720357, 571720358, 571720359, 571720356]",,,Gordon A. Alles Laboratory for Molecular Biology,,,Q62641316,,,,,,,,,,,,,,,,,,,,,,,
way,44635025,,"POLYGON ((-118.1264573 34.1375442, -118.1262655 34.1375453, -118.1262655 34.1372911, -118.1262696 34.1371912, -118.1264391 34.1371901, -118.126456 34.1371901, -118.12646 34.1374498, -118.1265222 34.1374493, -118.1265928 34.1374487, -118.1265901 34.1375242, -118.1265217 34.1375236, -118.1264587 34.1375231, -118.1264573 34.1375442))",,,yes,Crellin,,,,"[566600929, 566600930, 571718698, 566600931, 566600911, 566600932, 571718699, 10769439678, 566600922, 571718701, 10769439677, 571718702, 566600929]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,44635027,,"POLYGON ((-118.126 34.1375409, -118.1258069 34.1375431, -118.1258041 34.1371912, -118.1259987 34.1371901, -118.1259987 34.13729, -118.126 34.1375409))",,,yes,Parsons-Gates,,,,"[566600933, 566600934, 566600935, 566600936, 571719137, 566600933]",2,plaster,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,44635032,,"POLYGON ((-118.1276435 34.1364921, -118.1276011 34.1364926, -118.1276006 34.1365443, -118.1274641 34.1365459, -118.1274632 34.1362321, -118.1271391 34.1362319, -118.1271403 34.1360447, -118.127704 34.1360457, -118.1277015 34.1362308, -118.1276378 34.1362308, -118.1276435 34.1364921))",,,yes,South Mudd,,,,"[571720489, 571720490, 571720491, 571720492, 566600942, 566600943, 566600944, 566600945, 566600946, 566600947, 571720489]",3,,Seeley G. Mudd Building of Geophysics and Planetary Science,,,Q62641343,,,,,,,,,,,,,1,,,,,,,,,,
way,44635046,,"POLYGON ((-118.1268456 34.1367056, -118.1264325 34.1367067, -118.1264325 34.1365499, -118.1264607 34.1365503, -118.1266122 34.1365524, -118.1266109 34.1364425, -118.1267597 34.1364436, -118.1267597 34.1365546, -118.1268456 34.1365535, -118.1268456 34.1367056))",,,yes,Arms Laboratory of the Geological Sciences,,,,"[566600968, 566600969, 566600970, 1375679900, 566600973, 566600975, 566600977, 566600978, 566600984, 566600968]",,,Charles Arms Laboratory of the Geological Sciences,,,Q62641305,,,,,,,,,,,,,,,,,,,,,,,
