element_type,osmid,amenity,geometry,operator,addr:postcode,building,name,website,access,parking,nodes,building:levels,building:material,official_name,source,source_ref,wikidata,building:levels:underground,roof:shape,created_by,fee,operator:type,ref,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,old_name,start,alt_name,old_name:-1960,old_name:1960-2017,wikipedia,opening_hours,addr:housename,ways,type
way,70859867,,"POLYGON ((-118.1276594 34.1354137, -118.1275384 34.1354181, -118.1275225 34.1349794, -118.1277857 34.1349778, -118.1277856 34.1353429, -118.1276632 34.1353422, -118.1276594 34.1354137))",,,yes,,,,,"[844844454, 844844463, 844844456, 844844447, 844844441, 844844461, 844844454]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70859869,,"POLYGON ((-118.127618 34.1348401, -118.1275041 34.1348379, -118.1275027 34.1346747, -118.12761 34.1346736, -118.1276113 34.1345382, -118.1277843 34.1345382, -118.1277857 34.1348057, -118.1276167 34.1348068, -118.127618 34.1348401))",,,yes,,,,,"[844844462, 844844445, 844844470, 844844459, 844844451, 844844443, 844844467, 844844455, 844844462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70859870,,"POLYGON ((-118.1251894 34.1412198, -118.1246595 34.1412371, -118.1246529 34.1410987, -118.1251828 34.1410814, -118.1251894 34.1412198))",,91106,yes,Financial Services,,,,"[844844452, 844844466, 844844458, 844844449, 844844452]",,,,usgs_imagery;survey;image,AM909_DSCV2818,Q62641363,,,,,,,,271,South Chester Avenue,,,,,,,,,,,,,,
way,70859874,,"POLYGON ((-118.1250166 34.1416456, -118.1250101 34.1413265, -118.1246562 34.1413315, -118.1246628 34.1416506, -118.1250166 34.1416456))",,,yes,IMSS,,,,"[844844465, 844844446, 844844468, 844844460, 844844465]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872431,,"POLYGON ((-118.1290057 34.1398616, -118.1290063 34.1399605, -118.1287318 34.1399617, -118.1287312 34.1398628, -118.1290057 34.1398616))",,91106,apartments,,,,,"[844945326, 844945525, 844945210, 844945348, 844945326]",3,,,,,,,,,,,,,1040,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872433,,"POLYGON ((-118.1263057 34.1398862, -118.126253 34.1398865, -118.1262531 34.1398943, -118.1261605 34.1398949, -118.1261593 34.139762, -118.1261536 34.139762, -118.1261531 34.1397026, -118.1262094 34.1397022, -118.1262092 34.1396727, -118.126188 34.1396729, -118.1261875 34.1396089, -118.1262167 34.1396088, -118.1262163 34.1395655, -118.1262893 34.139565, -118.12629 34.1396494, -118.1262703 34.1396495, -118.1262708 34.1397003, -118.1262886 34.1397002, -118.1262891 34.1397636, -118.1262819 34.1397636, -118.1262826 34.1398323, -118.1263052 34.1398322, -118.1263057 34.1398862))",,91106,yes,Tolman-Bacher House,,,,"[844945364, 7876638977, 7876638978, 844945610, 7876638971, 7876638970, 844945647, 3704238378, 3704238379, 3704238380, 3704238381, 3704238382, 3704238383, 3704238384, 7876638972, 7876638973, 7876638974, 7876638975, 844945495, 7876638976, 7876638979, 7876638980, 844945364]",1,,,usgs_imagery;survey;image,AM909_DSCV2824,,,gabled,,,,,,345,Michigan Ave,Pasadena,CA,S,,,,,,,,,,,
way,70872436,,"POLYGON ((-118.129232 34.1402761, -118.129112 34.1402773, -118.129108 34.1400095, -118.129228 34.1400083, -118.129232 34.1402761))",,91106,apartments,,,,,"[844945361, 844945586, 844945386, 844945626, 844945361]",3,,,,,,,,,,,,,1036,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872437,,"POLYGON ((-118.1288711 34.1404224, -118.1287818 34.1404229, -118.1287521 34.1404231, -118.12875 34.1401734, -118.128869 34.1401728, -118.1288711 34.1404224))",,,apartments,,,,,"[844945597, 844945553, 844945253, 844945208, 844945389, 844945597]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872442,,"POLYGON ((-118.129005 34.1405588, -118.1289224 34.1404875, -118.129156 34.1403021, -118.1292385 34.1403733, -118.129005 34.1405588))",,91106,apartments,,,,,"[844945446, 844945126, 844945333, 844945471, 844945446]",3,,,,,,,,,,,,,1032,East Del Mar Boulevard,Pasadena,CA,,,,,,,,,,,,
way,70872447,,"POLYGON ((-118.1289028 34.1406317, -118.1287832 34.1406323, -118.1287818 34.1404229, -118.1288711 34.1404224, -118.1289012 34.1404222, -118.1289028 34.1406317))",,,apartments,,,,,"[844945144, 844945341, 844945553, 844945597, 844945181, 844945144]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872453,,"POLYGON ((-118.1286939 34.1384593, -118.1286911 34.1383605, -118.1290141 34.1383544, -118.1290169 34.1384532, -118.1286939 34.1384593))",,91106,apartments,,,,,"[844945407, 844945583, 844945245, 844945442, 844945407]",3,,,,,,,,,,,,,450,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872457,,"POLYGON ((-118.128963 34.1389038, -118.1288785 34.1388339, -118.129107 34.1386445, -118.1291915 34.1387144, -118.128963 34.1389038))",,91106,apartments,,,,,"[844945487, 844945189, 844945331, 844945532, 844945487]",3,,,,,,,,,,,,,442,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872463,,"POLYGON ((-118.1291988 34.1395458, -118.129139 34.1396316, -118.1289012 34.1395181, -118.128961 34.1394323, -118.1291988 34.1395458))",,,apartments,,,,,"[844945391, 844945630, 844945301, 844945483, 844945391]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872464,,"POLYGON ((-118.129199 34.1394381, -118.129079 34.1394385, -118.129078 34.1392109, -118.129198 34.1392105, -118.129199 34.1394381))",,,apartments,,,,,"[844945229, 844945363, 844945604, 844945258, 844945229]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872471,,"POLYGON ((-118.1290261 34.1406743, -118.1290268 34.1407732, -118.1287518 34.1407745, -118.1287511 34.1406757, -118.1290261 34.1406743))",,91106,apartments,,,,,"[844945226, 844945423, 844945654, 844945318, 844945226]",3,,,,,,,,,,,,,1024,East Del Mar Boulevard,Pasadena,CA,,,,,,,,,,,,
way,70872473,,"POLYGON ((-118.1291898 34.1386218, -118.1290703 34.1386229, -118.1290667 34.1383551, -118.1291862 34.138354, -118.1291898 34.1386218))",,91106,apartments,,,,,"[844945259, 844945458, 844945154, 844945633, 844945259]",3,,,,,,,,,,,,,446,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872474,,"POLYGON ((-118.1290142 34.1391768, -118.1290149 34.1392756, -118.1287399 34.139277, -118.1287392 34.1391781, -118.1290142 34.1391768))",,,apartments,,,,,"[844945385, 844945624, 844945282, 844945430, 844945385]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872475,,"POLYGON ((-118.1288173 34.1396467, -118.1286978 34.1396476, -118.1286942 34.1393163, -118.1288138 34.1393154, -118.1288173 34.1396467))",,,apartments,,,,,"[844945162, 844945503, 844945194, 844945383, 844945162]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,70872480,,"POLYGON ((-118.1292309 34.140777, -118.1291109 34.1407782, -118.129107 34.1405103, -118.129227 34.1405091, -118.1292309 34.140777))",,91106,apartments,,,,,"[844945351, 844945580, 844945382, 844945279, 844945351]",3,,,,,,,,,,,,,1020,East Del Mar Boulevard,Pasadena,CA,,,,,,,,,,,,
way,70872481,,"POLYGON ((-118.129204 34.139921, -118.129085 34.1399221, -118.129082 34.1396945, -118.129201 34.1396934, -118.129204 34.139921))",,91106,apartments,,,,,"[844945236, 844945436, 844945614, 844945275, 844945236]",3,,,,,,,,,,,,,348,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872482,,"POLYGON ((-118.129197 34.1391186, -118.129078 34.1391197, -118.129074 34.1388519, -118.129193 34.1388508, -118.129197 34.1391186))",,91106,apartments,,,,,"[844945345, 844945563, 844945235, 844945432, 844945345]",3,,,,,,,,,,,,,430,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872483,,"POLYGON ((-118.128736 34.1401191, -118.128735 34.1400203, -118.129058 34.140018, -118.129059 34.1401169, -118.128736 34.1401191))",,91106,apartments,,,,,"[844945473, 844945120, 844945324, 844945506, 844945473]",3,,,,,,,,,,,,,1040,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872484,,"POLYGON ((-118.1288377 34.1389672, -118.1287182 34.1389682, -118.1287128 34.1385112, -118.1288322 34.1385102, -118.1288377 34.1389672))",,91106,apartments,,,,,"[844945280, 844945466, 844945167, 844945358, 844945280]",3,,,,,,,,,,,,,438,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,70872486,,"POLYGON ((-118.1290299 34.1390268, -118.1290312 34.1391256, -118.1287777 34.139128, -118.1287764 34.1390291, -118.1290299 34.1390268))",,91106,apartments,,,,,"[844945476, 844945176, 844945362, 844945589, 844945476]",3,,,,,,,,,,,,,434,South Catalina Avenue,Pasadena,CA,,,,,,,,,,,,
way,123323785,,"POLYGON ((-118.1260101 34.1365513, -118.1258995 34.1365519, -118.1258143 34.1365524, -118.1258143 34.1364158, -118.1257941 34.1364158, -118.1257915 34.1363503, -118.1258129 34.1363492, -118.1258143 34.1361972, -118.1260074 34.1361961, -118.1260114 34.1364081, -118.1260101 34.1365513))",,,yes,Bridge Laboratory of Physics East,,,,"[1375679887, 10769222476, 566600960, 571720500, 571720501, 571720502, 571720503, 566600961, 566600962, 571720504, 1375679887]",3,,,,,Q62641295,,,,,,,,,,,,,,,,,,,,,,,
way,123323786,,"POLYGON ((-118.1262689 34.1365513, -118.1264042 34.1365508, -118.1264325 34.1365499, -118.1264607 34.1365503, -118.126462 34.1362027, -118.1262702 34.1361994, -118.1262676 34.1364081, -118.1262689 34.1365513))",,,yes,Bridge Laboratory of Physics West,,,,"[1375679866, 10769222467, 566600970, 1375679900, 566600967, 566600966, 566600965, 1375679866]",3,,,,,Q62641295,,,,,,,,,,,,,,,,,,,,,,,
way,123323788,,"POLYGON ((-118.1262689 34.1365513, -118.1260101 34.1365513, -118.1260114 34.1364081, -118.1260557 34.1364081, -118.1260557 34.1363204, -118.1262099 34.1363204, -118.1262072 34.136407, -118.1262676 34.1364081, -118.1262689 34.1365513))",,,yes,Bridge Laboratory of Physics Annex,,,,"[1375679866, 1375679887, 571720504, 566600964, 571720505, 571720506, 571720507, 566600965, 1375679866]",3,,,,,Q62641295,,,,,,,,,,,,,,,,,,,,,,,
way,160068426,,"POLYGON ((-118.1228062 34.1364849, -118.1228068 34.1363911, -118.1230791 34.1363873, -118.1230791 34.1364855, -118.1228062 34.1364849))",,,yes,South Kitchens,,,,"[368348869, 368344085, 368344006, 368343879, 368348869]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,160068428,,"POLYGON ((-118.1217806 34.141595, -118.1216718 34.1415983, -118.1216718 34.1415651, -118.1216128 34.1415662, -118.1216141 34.1414385, -118.1218153 34.1414385, -118.121818 34.1415184, -118.1217791 34.1415184, -118.1217806 34.141595))",,,yes,Munth,,,,"[1721428242, 1721428247, 1721428245, 1721428237, 1721428239, 1721428238, 1721428246, 1721428244, 1721428242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,178860008,,"POLYGON ((-118.123173 34.1397853, -118.1231716 34.1396354, -118.1231448 34.1396354, -118.1231435 34.139591, -118.1231636 34.139591, -118.1231636 34.1395566, -118.1232427 34.1395566, -118.12324 34.1396288, -118.1233285 34.1396277, -118.1233299 34.1397831, -118.123173 34.1397853))",,,yes,Avery House,,,,"[1892178487, 1892178479, 1892178098, 1892177999, 1892177965, 1892178018, 1892178271, 1892178441, 1892178368, 1892178031, 1892178487]",,,,,,Q62639883,,,,,,,,,,,,,,,,,,,,,,,
way,192368807,bank,"POLYGON ((-118.1282386 34.1370743, -118.1282378 34.1370265, -118.1282769 34.137026, -118.1282759 34.1369623, -118.128361 34.1369614, -118.128362 34.1370224, -118.12838 34.1370223, -118.1283809 34.1370728, -118.1282386 34.1370743))",,,yes,Caltech Employees Federal Credit Union,,,,"[2029269105, 2029269097, 2029269095, 2029269085, 2029269084, 2029269093, 2030772627, 2030772629, 2029269105]",,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 08:30-16:00,,,
way,192368808,,"POLYGON ((-118.1286531 34.1372852, -118.1285151 34.1372857, -118.1285151 34.1371467, -118.1286521 34.1371462, -118.1286531 34.1372852))",,,yes,Caltech Y (Tyson House),,,,"[2029269147, 2029269149, 2029269124, 2029269120, 2029269147]",2,,,,,,,,,,,,,,,,,,,,,,,,,,Tyson House (Caltech Y),,
way,192368812,,"POLYGON ((-118.1290435 34.1362144, -118.1290445 34.136346, -118.1288795 34.1363466, -118.1288785 34.136215, -118.1290435 34.1362144))",,,yes,,,,,"[2029269002, 2029269010, 2029269012, 2029269004, 2029269002]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368813,,"POLYGON ((-118.1287355 34.1372851, -118.1286675 34.1372851, -118.1286675 34.1372256, -118.1287355 34.1372256, -118.1287355 34.1372851))",,,yes,,,,,"[2029269145, 2029269143, 2029269134, 2029269136, 2029269145]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368814,,"POLYGON ((-118.1282112 34.1361814, -118.1282095 34.1360389, -118.1284116 34.1360373, -118.1284132 34.1361798, -118.1282112 34.1361814))",,,yes,Audit Services and Institute Compliance Office,,,,"[2029269000, 2029268988, 2029268985, 2029268998, 2029269000]",,,,,,,,,,,,,,563,South Wilson Avenue,,,,,,,,,,,,,,
way,192368815,,"POLYGON ((-118.1290333 34.1361394, -118.1288683 34.1361409, -118.1288671 34.1360509, -118.1290322 34.1360494, -118.1290333 34.1361394))",,,yes,,,,,"[2029268996, 2029268994, 2029268990, 2029268992, 2029268996]",,,,,,,,,,,,,,566,South Catalina Avenue,,,,,,,,,,,,,,
way,192368816,,"POLYGON ((-118.1284242 34.1364405, -118.1282125 34.1364408, -118.1282122 34.136283, -118.128424 34.1362828, -118.1284242 34.1364405))",,,yes,Treasurer's Office,,,,"[2029269018, 2029269020, 2029269008, 2029269006, 2029269018]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368817,,"POLYGON ((-118.1284789 34.1368423, -118.1282239 34.136847, -118.1282205 34.1367189, -118.1284754 34.1367142, -118.1284789 34.1368423))",,,yes,US Geological Survey,,,,"[2029269076, 2029269077, 2029269070, 2029269068, 2029269076]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368818,,"POLYGON ((-118.1290905 34.1365573, -118.1290885 34.1366993, -118.1289105 34.136698, -118.1289115 34.136556, -118.1290905 34.1365573))",,,yes,,,,,"[2029269044, 2029269064, 2029269062, 2029269042, 2029269044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368819,,"POLYGON ((-118.1287535 34.137112, -118.1286705 34.1371133, -118.1286685 34.1370233, -118.1287515 34.137022, -118.1287535 34.137112))",,,yes,,,,,"[2029269107, 2029269114, 2029269089, 2029269088, 2029269107]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368820,,"POLYGON ((-118.1290075 34.1372665, -118.1288515 34.137265, -118.1288535 34.137138, -118.1290095 34.1371395, -118.1290075 34.1372665))",,,yes,,,,,"[2029269140, 2029269138, 2029269116, 2029269118, 2029269140]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368821,,"POLYGON ((-118.1290068 34.1370291, -118.1287718 34.1370243, -118.1287738 34.13697, -118.1288258 34.1369711, -118.1288288 34.1368831, -118.1290108 34.1368868, -118.1290068 34.1370291))",,,yes,,,,,"[2029269099, 2029269091, 2029269086, 2029269087, 2029269080, 2029269082, 2029269099]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368822,,"POLYGON ((-118.1284731 34.1366366, -118.1282178 34.1366369, -118.1282175 34.1365007, -118.1283392 34.1365005, -118.1283394 34.136571, -118.128473 34.1365709, -118.1284731 34.1366366))",,,yes,Fitzhugh House,,,,"[2029269058, 2029269060, 2029269033, 2029269031, 2029269052, 2029269050, 2029269058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192368823,,"POLYGON ((-118.1290545 34.1363995, -118.1290555 34.1365276, -118.1288335 34.1365297, -118.1288325 34.1364768, -118.1289135 34.136476, -118.1289125 34.1364009, -118.1290545 34.1363995))",,,yes,,,,,"[2029269014, 2029269035, 2029269037, 2029269029, 2029269027, 2029269016, 2029269014]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,192526724,,"POLYGON ((-118.1284674 34.1370731, -118.1283809 34.1370728, -118.12838 34.1370223, -118.1284683 34.1370233, -118.1284674 34.1370731))",,,yes,Parking and Security Office,,,,"[2030772631, 2030772629, 2030772627, 2030772628, 2030772631]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864943,,"POLYGON ((-118.1216066 34.1413139, -118.1216066 34.1411361, -118.1216527 34.1411361, -118.1216527 34.1411719, -118.1217565 34.1411718, -118.1217565 34.1412273, -118.1218088 34.1412273, -118.1218088 34.1413139, -118.1216066 34.1413139))",,91106,yes,,,,,"[2108270305, 2108270267, 2108270269, 2108270287, 2108270284, 2108270290, 2108270293, 2108270308, 2108270305]",,,,,,,,,,,,,,275,South Hill Avenue,,,,,,,,,,,,,,
way,200864944,,"POLYGON ((-118.1217579 34.1408712, -118.1217579 34.1409647, -118.1217761 34.1409647, -118.1217761 34.1410328, -118.1216087 34.1410328, -118.1216087 34.1409745, -118.1216317 34.1409745, -118.1216317 34.1408712, -118.1217579 34.1408712))",,91106,yes,,,,,"[2108270242, 2108270245, 2108270248, 2108270258, 2108270255, 2108270251, 2108270253, 2108270238, 2108270242]",,,,,,,,,,,,,,287,South Hill Avenue,,,,,,,,,,,,,,
way,200864945,,"POLYGON ((-118.1219351 34.1406592, -118.1219351 34.140722, -118.1217497 34.140722, -118.1217497 34.1407783, -118.1216284 34.1407783, -118.1216284 34.1407098, -118.1216018 34.1407098, -118.1216018 34.1406592, -118.1219351 34.1406592))",,91106,yes,,,,,"[2108270215, 2108270225, 2108270222, 2108270235, 2108270233, 2108270219, 2108270217, 2108270213, 2108270215]",,,,,,,,,,,,,,295,South Hill Avenue,,,,,,,,,,,,,,
way,200864946,,"POLYGON ((-118.1216008 34.1406306, -118.1216008 34.1405066, -118.12166 34.1405066, -118.12166 34.1405262, -118.1217753 34.1405262, -118.1217754 34.1406306, -118.1216008 34.1406306))",,91106,yes,,,,,"[2108270208, 2108270195, 2108270198, 2108270201, 2108270204, 2108270211, 2108270208]",,,,,,,,,,,,,,305,South Hill Avenue,,,,,,,,,,,,,,
way,200864947,,"POLYGON ((-118.1215929 34.140456, -118.121593 34.1403303, -118.1217931 34.1403303, -118.1217931 34.140456, -118.1215929 34.140456))",,91106,yes,,,,,"[2108270189, 2108270161, 2108270164, 2108270192, 2108270189]",,,,,,,,,,,,,,315,South Hill Avenue,,,,,,,,,,,,,,
way,200864948,,"POLYGON ((-118.1215729 34.1397888, -118.1217937 34.1397888, -118.1217937 34.1398443, -118.1217218 34.1398443, -118.1217218 34.1399961, -118.121633 34.1399961, -118.121633 34.1399438, -118.1215729 34.1399438, -118.1215729 34.1397888))",,91106,yes,,,,,"[2108270123, 2108270125, 2108270127, 2108270126, 2108270140, 2108270136, 2108270134, 2108270131, 2108270123]",,,,,,,,,,,,,,345,South Hill Avenue,,,,,,,,,,,,,,
way,200864949,,"POLYGON ((-118.1218361 34.1393898, -118.1216932 34.1393898, -118.1216932 34.1394281, -118.1216261 34.1394281, -118.1216261 34.1393898, -118.1216044 34.1393898, -118.1216044 34.1391817, -118.1216892 34.1391817, -118.1216892 34.13922, -118.1218361 34.13922, -118.1218361 34.1393898))",,91106,yes,,,,,"[2108270091, 2108270090, 2108270095, 2108270094, 2108270089, 2108270088, 2108270084, 2108270085, 2108270086, 2108270087, 2108270091]",,,,,,,,,,,,,,383,South Hill Avenue,,,,,,,,,,,,,,
way,200864950,,"POLYGON ((-118.1216904 34.1386609, -118.1219414 34.1386609, -118.1219414 34.1387509, -118.1218801 34.1387509, -118.1218801 34.1388005, -118.1219414 34.1388005, -118.1219414 34.1388663, -118.1219066 34.1388663, -118.1219066 34.1388848, -118.1216904 34.1388848, -118.1216904 34.1386609))",,91106,yes,,,,,"[2108270070, 2108270071, 2108270073, 2108270072, 2108270074, 2108270075, 2108270077, 2108270076, 2108270079, 2108270078, 2108270070]",,,,,,,,,,,,,,415,South Hill Avenue,,,,,,,,,,,,,,
way,200864951,,"POLYGON ((-118.1218588 34.1397456, -118.1218588 34.139655, -118.1219278 34.139655, -118.1219278 34.1397456, -118.1218588 34.1397456))",,,yes,,,,,"[2108270119, 2108270107, 2108270109, 2108270121, 2108270119]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864952,,"POLYGON ((-118.1218661 34.1412418, -118.121866 34.1410925, -118.122011 34.1410925, -118.122011 34.1412418, -118.1218661 34.1412418))",,,yes,,,,,"[2108270296, 2108270261, 2108270264, 2108270298, 2108270296]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864953,,"POLYGON ((-118.1219535 34.1396901, -118.1219535 34.1395301, -118.1220343 34.1395301, -118.1220343 34.1396901, -118.1219535 34.1396901))",,,yes,,,,,"[2108270111, 2108270098, 2108270099, 2108270113, 2108270111]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864954,,"POLYGON ((-118.1219873 34.1404291, -118.1218868 34.1404291, -118.1218868 34.1403711, -118.1219873 34.1403711, -118.1219873 34.1404291))",,,yes,,,,,"[2108270186, 2108270173, 2108270167, 2108270170, 2108270186]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864955,,"POLYGON ((-118.1219903 34.1413797, -118.1219903 34.1412761, -118.1220879 34.1412761, -118.1220879 34.1413797, -118.1219903 34.1413797))",,,yes,,,,,"[2108270311, 2108270301, 2108270303, 2108270313, 2108270311]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864956,,"POLYGON ((-118.1220718 34.1395269, -118.1219633 34.1395269, -118.1219633 34.1393963, -118.1220718 34.1393963, -118.1220718 34.1395269))",,,yes,,,,,"[2108270097, 2108270096, 2108270092, 2108270093, 2108270097]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864957,,"POLYGON ((-118.1219599 34.1389901, -118.1219599 34.1389272, -118.1220565 34.1389272, -118.1220565 34.1389901, -118.1219599 34.1389901))",,,yes,,,,,"[2108270082, 2108270080, 2108270081, 2108270083, 2108270082]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864959,,"POLYGON ((-118.1219732 34.1399194, -118.1219732 34.1399961, -118.1218943 34.1399961, -118.1218943 34.1399194, -118.1219732 34.1399194))",,,yes,,,,,"[2108270129, 2108270146, 2108270143, 2108270128, 2108270129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864960,,"POLYGON ((-118.1219411 34.1385421, -118.1219411 34.1384866, -118.1220378 34.1384866, -118.1220378 34.1385421, -118.1219411 34.1385421))",,,yes,,,,,"[2108270060, 2108270056, 2108270058, 2108270068, 2108270060]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,200864961,,"POLYGON ((-118.1215768 34.1395864, -118.1217297 34.1395864, -118.1217297 34.1397235, -118.1215768 34.1397235, -118.1215768 34.1395864))",,,yes,,,,,"[2108270103, 2108270105, 2108270117, 2108270115, 2108270103]",,,,,,,,,,,,,,363,South Hill Avenue,,,,,,,,,,,,,,
way,204876071,,"POLYGON ((-118.1285901 34.1407989, -118.128588 34.1405112, -118.128733 34.1405104, -118.1287351 34.1407982, -118.1285901 34.1407989))",,91106,yes,,,,,"[2148537994, 2148537918, 2148537915, 2148537991, 2148537994]",,,,,,,,,,,,,,1052,South Hill Avenue,,,,,,,,,,,,,,
way,204876072,,"POLYGON ((-118.1285325 34.1407983, -118.1284465 34.1407989, -118.1284452 34.1406666, -118.1285312 34.140666, -118.1285325 34.1407983))",,91106,yes,,,,,"[2148537987, 2148537988, 2148537950, 2148537949, 2148537987]",,,,,,,,,,,,,,1060,South Hill Avenue,,,,,,,,,,,,,,
way,204876073,,"POLYGON ((-118.12829 34.1407367, -118.1283706 34.1407362, -118.1283713 34.140804, -118.1282907 34.1408046, -118.12829 34.1407367))",,91106,yes,,,,,"[2148537972, 2148537971, 2148537989, 2148537990, 2148537972]",,,,,,,,,,,,,,1066,South Hill Avenue,,,,,,,,,,,,,,
way,204876087,,"POLYGON ((-118.128479 34.1405689, -118.1284779 34.1404547, -118.1285483 34.1404542, -118.1285494 34.1405684, -118.128479 34.1405689))",,,yes,,,,,"[2148537931, 2148537904, 2148537903, 2148537930, 2148537931]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,204876091,,"POLYGON ((-118.1219354 34.1414634, -118.1219341 34.1413865, -118.1220355 34.1413853, -118.1220368 34.1414622, -118.1219354 34.1414634))",,,yes,,,,,"[2148538010, 2148538008, 2148538007, 2148538009, 2148538010]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,204876094,,"POLYGON ((-118.1286189 34.1402956, -118.1286855 34.1402948, -118.1286865 34.1403479, -118.1286199 34.1403487, -118.1286189 34.1402956))",,,yes,,,,,"[2148537886, 2148537885, 2148537889, 2148537890, 2148537886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,204876095,,"POLYGON ((-118.1281609 34.1408068, -118.1281601 34.1407337, -118.1282471 34.1407331, -118.1282478 34.1408062, -118.1281609 34.1408068))",,,yes,,,,,"[2148537993, 2148537968, 2148537967, 2148537992, 2148537993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,204876109,,"POLYGON ((-118.1281594 34.1406373, -118.1282477 34.1406367, -118.1282484 34.1407057, -118.1281601 34.1407064, -118.1281594 34.1406373))",,,yes,,,,,"[2148537944, 2148537943, 2148537961, 2148537962, 2148537944]",,,,,,,,,,,,,,291,South Wilson Avenue,,,,,,,,,,,,,,
way,204876118,,"POLYGON ((-118.1285563 34.1403557, -118.1286813 34.1403549, -118.1286823 34.1404202, -118.1285573 34.1404211, -118.1285563 34.1403557))",,,yes,,,,,"[2148537892, 2148537891, 2148537896, 2148537897, 2148537892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,204876129,,"POLYGON ((-118.1283035 34.1406223, -118.1283934 34.1406217, -118.128394 34.1406777, -118.128304 34.1406783, -118.1283035 34.1406223))",,,yes,,,,,"[2148537938, 2148537937, 2148537955, 2148537956, 2148537938]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,204876133,,"POLYGON ((-118.128239 34.1403202, -118.12842 34.140319, -118.128421 34.1404211, -118.128267 34.1404222, -118.128267 34.1403786, -118.128239 34.1403788, -118.128239 34.1403202))",,,yes,,,,,"[2148537888, 2148537887, 2148537895, 2148537898, 2148537893, 2148537894, 2148537888]",,,,,,,,,,,,,,317,South Wilson Avenue,,,,,,,,,,,,,,
way,204876137,,"POLYGON ((-118.1281515 34.1404529, -118.1282405 34.1404523, -118.1282412 34.1405189, -118.1282963 34.1405185, -118.1282956 34.1404519, -118.1284019 34.1404512, -118.1284034 34.1406041, -118.1281531 34.1406058, -118.1281515 34.1404529))",,,yes,,,,,"[2148537902, 2148537901, 2148537917, 2148537916, 2148537900, 2148537899, 2148537935, 2148537936, 2148537902]",,,,,,,,,,,,,,307,South Wilson Avenue,,,,,,,,,,,,,,
