element_type,osmid,nodes,amenity,geometry
way,968760347,"[8962820676, 8962820675, 8962820674, 8962820673, 8962820676]",parking,"POLYGON ((116.4230213 39.9690726, 116.4241881 39.96911, 116.4242103 39.9687041, 116.4230435 39.9686666, 116.4230213 39.9690726))"
way,1086214071,"[9952802272, 9952802273, 9952802274, 9952802275, 9952802276, 9952802277, 9952802278, 9952802279, 9952802272]",parking,"POLYGON ((116.4247743 39.9713064, 116.4247833 39.970745, 116.4252985 39.9707416, 116.4252985 39.9708206, 116.4250767 39.9708257, 116.4250745 39.971212, 116.4253836 39.9712051, 116.4253791 39.9713596, 116.4247743 39.9713064))"
