element_type,osmid,nodes,building,geometry
way,1086214084,"[9952809328, 9952809329, 9952809330, 9952809331, 9952809332, 9952809333, 9952809328]",yes,"POLYGON ((116.4196821 39.9693139, 116.4197121 39.9686196, 116.4198645 39.9686234, 116.4198389 39.9692201, 116.4197709 39.9692184, 116.4197667 39.969316, 116.4196821 39.9693139))"
way,1086214085,"[9952809334, 9952809335, 9952809336, 9952809337, 9952809334]",yes,"POLYGON ((116.4201691 39.9691035, 116.4201784 39.9687798, 116.4200467 39.9687776, 116.4200375 39.9691013, 116.4201691 39.9691035))"
way,1086214086,"[9952809338, 9952809339, 9952809340, 9952809341, 10236566025, 9952809338]",yes,"POLYGON ((116.420189 39.9691546, 116.4201935 39.9690092, 116.420751 39.9690195, 116.4207465 39.9691648, 116.4204402 39.9691592, 116.420189 39.9691546))"
way,1086214087,"[9952809342, 9952809343, 9952809344, 9952809345, 9952809346, 9952809347, 9952809348, 9952809349, 9952809342]",yes,"POLYGON ((116.4242327 39.9692493, 116.4246847 39.9692646, 116.4247097 39.9688324, 116.4248941 39.9688387, 116.4248651 39.9693416, 116.4247809 39.9693387, 116.4247782 39.9693857, 116.4242259 39.9693668, 116.4242327 39.9692493))"
way,1086214088,"[9952809350, 9952809351, 9952809352, 9952809353, 9952809350]",yes,"POLYGON ((116.423035 39.9685852, 116.42304 39.9684769, 116.4238081 39.9684977, 116.4238031 39.9686059, 116.423035 39.9685852))"
way,1086214089,"[9952809354, 9952809355, 9952809356, 9952809357, 9952809358, 9952809359, 9952809360, 9952809361, 9952809354]",yes,"POLYGON ((116.4238395 39.9686677, 116.4238433 39.968526, 116.4244756 39.9685359, 116.4244746 39.9685713, 116.4248383 39.968577, 116.4248325 39.9687981, 116.4243908 39.9687912, 116.4243939 39.9686763, 116.4238395 39.9686677))"
way,1086216677,"[9952819198, 9952819199, 9952819200, 9952819201, 9952819198]",yes,"POLYGON ((116.4196994 39.9707968, 116.4197141 39.9703896, 116.4195647 39.9703864, 116.4195499 39.9707936, 116.4196994 39.9707968))"
way,1086216678,"[9952819202, 9952819203, 9952819204, 9952819205, 9952819207, 9952819208, 9952819209, 9952819206, 9952819202]",yes,"POLYGON ((116.4190293 39.9709839, 116.4190326 39.9708454, 116.4193555 39.9708499, 116.4193523 39.970986, 116.41928 39.970985, 116.4192812 39.9709365, 116.4191141 39.9709342, 116.4191129 39.970985, 116.4190293 39.9709839))"
way,1086216679,"[9952819210, 9952819211, 9952819212, 9952819213, 9952819214, 9952819215, 9952819216, 9952841117, 9952841118, 9952841119, 9952841120, 9952841121, 9952819210]",yes,"POLYGON ((116.4193922 39.9706676, 116.4193951 39.9706051, 116.4192884 39.9706022, 116.4192912 39.9705414, 116.4194474 39.9705456, 116.4194527 39.9704301, 116.4190318 39.9704188, 116.4190265 39.970534, 116.4191787 39.9705381, 116.4191761 39.9705945, 116.4190784 39.9705918, 116.4190753 39.970659, 116.4193922 39.9706676))"
way,1086216680,"[9952841122, 9952841123, 9952841124, 9952841125, 9952841122]",yes,"POLYGON ((116.4188238 39.9705254, 116.4188283 39.9703438, 116.4189863 39.9703461, 116.4189818 39.9705277, 116.4188238 39.9705254))"
