element_type,osmid,geometry,access,building,name,nodes,addr:city,addr:district,addr:province,addr:street,building:levels,layer,amenity,alt_name,leisure,lit,sport,office,tourism,man_made,tower:type,ways,height,type,internet_access,internet_access:fee,internet_access:ssid,operator,operator:type
way,924350769,"POLYGON ((120.1654636 35.9427845, 120.1653084 35.9427738, 120.1652759 35.9427716, 120.1650936 35.94281, 120.1650088 35.9428563, 120.1649374 35.9428952, 120.1648251 35.9430176, 120.1647694 35.9431633, 120.1647767 35.9433157, 120.1648412 35.9434508, 120.1649552 35.9435625, 120.1651069 35.9436392, 120.1652809 35.9436732, 120.1653604 35.9436677, 120.1654591 35.9436609, 120.1656235 35.9436036, 120.165757 35.9435072, 120.165846 35.9433816, 120.1658815 35.9432396, 120.1658569 35.9430884, 120.1657716 35.9429525, 120.1656765 35.9428789, 120.1656354 35.9428471, 120.1654636 35.9427845))",,stadium,中国石油大学体育馆,"[8579025277, 8629536084, 8579025278, 8579025279, 8624585895, 8579025280, 8579025281, 8579025282, 8579025264, 8579025265, 8579025266, 8579025271, 8579025272, 8629536082, 8579025273, 8579025274, 8579025275, 8579025276, 8579025267, 8579025268, 8579025269, 8629536083, 8579025270, 8579025277]",,,,,,,,,,,,,,,,,,,,,,,
way,924350770,"POLYGON ((120.1650057 35.9423651, 120.1650237 35.9424392, 120.1650702 35.9425047, 120.1651402 35.9425546, 120.1652263 35.9425836, 120.1653194 35.9425887, 120.1654095 35.9425693, 120.1654872 35.9425276, 120.1655453 35.942466, 120.1655752 35.9423924, 120.1655734 35.942315, 120.1655403 35.9422423, 120.1654794 35.9421826, 120.1653976 35.9421424, 120.165304 35.9421262, 120.1652091 35.9421359, 120.1651254 35.9421693, 120.1650975 35.9421918, 120.1650594 35.9422226, 120.165018 35.9422903, 120.1650057 35.9423651))",,stadium,训练馆,"[8579025295, 8579025296, 8579025297, 8579025298, 8579025299, 8579025300, 8579025301, 8579025283, 8579025284, 8579025285, 8579025290, 8579025291, 8579025292, 8579025293, 8579025294, 8579025286, 8579025287, 8629536085, 8579025288, 8579025289, 8579025295]",,,,,,,,,,,,,,,,,,,,,,,
way,924350771,"POLYGON ((120.1648264 35.9413035, 120.1649419 35.9413706, 120.1650704 35.9414452, 120.1653292 35.9411538, 120.1652331 35.9411079, 120.1654549 35.9408246, 120.1653317 35.9407527, 120.1648264 35.9413035))",,hospital,UPC校医院,"[8579025302, 8629536286, 8579025303, 8579025304, 8579025305, 8579025306, 8579025307, 8579025302]",,,,,,,,,,,,,,,,,,,,,,,
way,924350772,"POLYGON ((120.1732859 35.9418105, 120.1739116 35.9421818, 120.1741552 35.9419202, 120.1741945 35.941878, 120.1743351 35.9417311, 120.1738405 35.9414408, 120.1736964 35.9413451, 120.1735892 35.9414667, 120.1732859 35.9418105))",,yes,唐岛湾餐厅,"[8579025308, 8579025309, 8642622502, 8629536077, 8579025310, 8629536075, 8579025311, 8629536076, 8579025308]",,,,,,,restaurant,,,,,,,,,,,,,,,,
way,924350773,"POLYGON ((120.175047 35.9398824, 120.1755524 35.9401839, 120.1760456 35.940478, 120.1756292 35.940941, 120.1751385 35.9406596, 120.1746145 35.9403591, 120.1748163 35.9401367, 120.175047 35.9398824))",,school,工科楼E,"[8579025316, 8629536092, 8579025317, 8579025318, 8629536091, 8579025319, 8629536093, 8579025316]",,,,,,,,,,,,,,,,,,,,,,,
way,924350774,"POLYGON ((120.1762862 35.9405434, 120.1768521 35.9408831, 120.1768163 35.940941, 120.1772586 35.9411912, 120.1771912 35.9412712, 120.1771188 35.941357, 120.1765887 35.9410516, 120.1766407 35.9409831, 120.1761561 35.9406935, 120.1762862 35.9405434))",,school,留学生与培训生综合楼,"[8579025320, 8579025321, 8579025322, 8579025323, 8642590691, 8579025324, 8579025325, 8579025326, 8579025327, 8579025320]",,,,,,,,留培楼,,,,,,,,,,,,,,,
way,924350775,"POLYGON ((120.1758598 35.9410846, 120.1760325 35.940912, 120.1764673 35.9411656, 120.1764325 35.9412043, 120.1769854 35.9415045, 120.1768881 35.9416124, 120.1763614 35.9413078, 120.1763203 35.9413524, 120.1758598 35.9410846))",,yes,学苑餐厅,"[8579025329, 8579025330, 8579025331, 8579025332, 8579025333, 8579025334, 8579025335, 8579025336, 8579025329]",,,,,,,restaurant,,,,,,,,,,,,,,,,
way,924350776,"POLYGON ((120.1766487 35.9484748, 120.1766642 35.9484324, 120.1768186 35.9484622, 120.1767987 35.9485057, 120.1766487 35.9484748))",permit,yes,中国石油大学攀岩场,"[8579025356, 8579025357, 8579025358, 8579025359, 8579025356]",,,,,,,,,sports_centre,yes,climbing,,,,,,,,,,,,
way,924350798,"POLYGON ((120.1706047 35.9445092, 120.1708812 35.9446453, 120.170784 35.9448207, 120.170728 35.9447996, 120.1706533 35.9450446, 120.1706794 35.9452714, 120.1707392 35.9454015, 120.170799 35.9453712, 120.1710344 35.9455224, 120.1710662 35.9454852, 120.1711016 35.9454438, 120.1709111 35.945347, 120.1713108 35.9448601, 120.1716337 35.9450569, 120.1719459 35.9452472, 120.1715537 35.9456918, 120.171322 35.9455769, 120.1712917 35.9456087, 120.1712585 35.9456434, 120.1714901 35.9457795, 120.1714603 35.94584, 120.1717442 35.9458491, 120.172129 35.9457342, 120.1720839 35.9456854, 120.1722971 35.9455194, 120.1725997 35.9456979, 120.1723681 35.9459035, 120.1720319 35.9460215, 120.1717255 35.946088, 120.1713332 35.946079, 120.1709335 35.945961, 120.1708743 35.9459172, 120.1706309 35.9457372, 120.1704627 35.9454801, 120.1703507 35.9451867, 120.1703693 35.9448238, 120.1705076 35.9446181, 120.1706047 35.9445092))",,school,讲堂群,"[8579025552, 8579025553, 8579025554, 8579025555, 8579025556, 8579025557, 8579025558, 8579025559, 8579025560, 8629536106, 8579025561, 8579025562, 8579025563, 8629536105, 8579025564, 8579025565, 8579025566, 8629536107, 8579025567, 8579025568, 8579025569, 8579025570, 8579025571, 8579025584, 8579025572, 8579025573, 8579025574, 8579025575, 8579025576, 8579025577, 8579025578, 8629536104, 8579025579, 8579025580, 8579025581, 8579025582, 8579025583, 8579025552]",,,,,3,,,,,,,,,,,,,,,,,,
way,924350799,"POLYGON ((120.1713071 35.9447239, 120.171402 35.9446283, 120.1715051 35.9445243, 120.1719211 35.9447587, 120.1727342 35.945217, 120.1726334 35.945337, 120.1725437 35.9454438, 120.1717461 35.9449794, 120.1713071 35.9447239))",,school,南堂,"[8579025585, 8629536102, 8579025586, 8629536100, 8579025587, 8629536103, 8579025588, 8629536101, 8579025585]",,,,,5,,,,,,,,,,,,,,,,,,
way,924350814,"POLYGON ((120.1718424 35.9396543, 120.1719273 35.9396893, 120.1720156 35.9396974, 120.1721226 35.9396838, 120.1722082 35.939647, 120.1723427 35.9394988, 120.1722652 35.9394538, 120.1722786 35.9394361, 120.1722833 35.9394071, 120.1722807 35.9393747, 120.1722611 35.9393456, 120.1722288 35.9393292, 120.1721933 35.939325, 120.1721506 35.9393341, 120.1721219 35.9393536, 120.1719878 35.9392689, 120.1719324 35.9389242, 120.1720945 35.9387529, 120.1722792 35.9388507, 120.1724205 35.9387024, 120.1722306 35.9385929, 120.1723033 35.9385074, 120.1721111 35.9383977, 120.1720323 35.9384765, 120.1716441 35.9382283, 120.1712668 35.9386155, 120.1716404 35.9388515, 120.1716553 35.9389835, 120.1717039 35.9394141, 120.1718031 35.9394663, 120.1718326 35.9394241, 120.1719475 35.9394802, 120.1718771 35.9395673, 120.1718169 35.9396417, 120.1718424 35.9396543))",,yes,逸夫实验楼,"[8579025644, 8642622224, 8579025645, 8642622225, 8579025646, 8579025647, 8579025648, 8668650558, 8668650557, 8579025649, 8668650556, 8668650555, 8579025650, 8668650554, 8579025651, 8579025652, 8579025653, 8668650547, 8668650549, 8668650550, 8668650548, 8579025662, 8579025654, 8579025655, 8579025656, 8579025657, 8579025658, 8642622223, 8579025659, 8668650559, 8668650560, 8579025660, 8668650567, 8668650561, 8579025644]",,,,,,,,,,,,yes,,,,,,,,,,,
way,924350815,"POLYGON ((120.1654769 35.9414331, 120.1662353 35.9418898, 120.1661269 35.9420229, 120.1653498 35.9415813, 120.1654769 35.9414331))",,apartments,10号学生公寓,"[8579025663, 8579025664, 8579025665, 8579025666, 8579025663]",,,,,,,,,,,,,,,,,,,,,,,
way,924350816,"POLYGON ((120.1656786 35.9412244, 120.1658131 35.941061, 120.1668106 35.9416993, 120.1667311 35.9417802, 120.166579 35.9419352, 120.1663885 35.9418263, 120.1664968 35.9417174, 120.1656786 35.9412244))",,apartments,11号学生公寓,"[8579025667, 8579025668, 8579025669, 8579026084, 8579025670, 8579025671, 8579025672, 8579025667]",,,,,,,,,,,,,,,,,,,,,,,
way,924350817,"POLYGON ((120.1661961 35.9402413, 120.1663305 35.940078, 120.1673281 35.9407162, 120.1670964 35.9409521, 120.1669059 35.9408433, 120.1670142 35.9407344, 120.1661961 35.9402413))",,apartments,13号学生公寓,"[8579025673, 8579025674, 8579025675, 8579025676, 8579025677, 8579025678, 8579025673]",,,,,,,,,,,,,,,,,,,,,,,
way,924350818,"POLYGON ((120.1659943 35.94045, 120.1667527 35.9409068, 120.1666444 35.9410399, 120.1658673 35.9405983, 120.1659943 35.94045))",,apartments,12号学生公寓,"[8579025679, 8579025680, 8579025681, 8579025682, 8579025679]",,,,,,,,,,,,,,,,,,,,,,,
way,924350819,"POLYGON ((120.1667789 35.939225, 120.1669134 35.9390617, 120.1679109 35.9396999, 120.1676792 35.9399358, 120.167491 35.9398392, 120.1675971 35.939718, 120.1667789 35.939225))",,apartments,15号学生公寓,"[8579025683, 8579025684, 8579025685, 8579025686, 8579025687, 8579025688, 8579025683]",,,,,,,,,,,,,,,,,,,,,,,
way,924350820,"POLYGON ((120.1665771 35.9394337, 120.1673355 35.9398905, 120.1672272 35.9400235, 120.1664501 35.9395819, 120.1665771 35.9394337))",,apartments,14号学生公寓,"[8579025689, 8579025690, 8579025691, 8579025692, 8579025689]",,,,,,,,,,,,,,,,,,,,,,,
way,924350821,"POLYGON ((120.1673467 35.9382298, 120.1674812 35.9380665, 120.1684787 35.9387047, 120.1682471 35.9389407, 120.1680566 35.9388318, 120.1681649 35.9387229, 120.1673467 35.9382298))",,apartments,17号学生公寓,"[8579025693, 8579025694, 8579025695, 8579025696, 8579025697, 8579025698, 8579025693]",,,,,,,,,,,,,,,,,,,,,,,
way,924350822,"POLYGON ((120.167145 35.9384385, 120.1679034 35.9388953, 120.1677951 35.9390284, 120.167018 35.9385868, 120.167145 35.9384385))",,apartments,16号学生公寓,"[8579025699, 8579025700, 8579025701, 8579025702, 8579025699]",,,,,,0,,,,,,,,,,,,,,,,,
way,924350823,"POLYGON ((120.1676027 35.9417749, 120.1677096 35.9416527, 120.1684358 35.9420925, 120.1683312 35.9422074, 120.1676027 35.9417749))",,apartments,4号学生公寓,"[8579025703, 8579025704, 8579025705, 8579025706, 8579025703]",,,,,,,,,,,,,,,,,,,,,,,
way,924350824,"POLYGON ((120.1678635 35.9415228, 120.1679935 35.9413749, 120.1685562 35.9417215, 120.1684266 35.9418638, 120.1678635 35.9415228))",,apartments,5号学生公寓,"[8579025707, 8579025708, 8579025709, 8579025710, 8579025707]",,,,,,,,,,,,,,,,,,,,,,,
way,924350825,"POLYGON ((120.1684881 35.9420397, 120.1686092 35.9419107, 120.1688578 35.9420713, 120.1689285 35.942118, 120.1686707 35.9423915, 120.1685876 35.9423428, 120.1685218 35.9424122, 120.1683835 35.9423284, 120.1685154 35.9421793, 120.1686039 35.9422329, 120.1686786 35.942153, 120.1684881 35.9420397))",,apartments,1号学生公寓,"[8579025711, 8579025712, 8579025757, 8579025713, 8579025714, 8579025715, 8579025716, 8579025717, 8579025718, 8579025719, 8579025720, 8579025711]",,,,,,,,,,,,,,,,,,,,,,,
way,924350826,"POLYGON ((120.1690427 35.9414663, 120.1691496 35.9413377, 120.169395 35.9414898, 120.169478 35.9415391, 120.1692117 35.9418181, 120.1691366 35.9417717, 120.1690686 35.9418466, 120.1689315 35.9417636, 120.169072 35.9416094, 120.169167 35.9416643, 120.1692353 35.9415813, 120.1690427 35.9414663))",,apartments,2号学生公寓,"[8579025721, 8579025722, 8579025758, 8579025723, 8579025724, 8579025725, 8579025726, 8579025727, 8579025728, 8579025729, 8579025730, 8579025721]",,,,,,,,,,,,,,,,,,,,,,,
way,924350827,"POLYGON ((120.1681702 35.9411975, 120.168289 35.941065, 120.1689963 35.9415193, 120.1688741 35.941648, 120.1687119 35.9415425, 120.1681702 35.9411975))",,apartments,6号学生公寓,"[8579025731, 8579025732, 8579025733, 8579025734, 8629536183, 8579025731]",,,,,,,,,,,,,,,,,,,,,,,
