element_type,osmid,geometry,access,building,name,nodes,addr:city,addr:district,addr:province,addr:street,building:levels,layer,amenity,alt_name,leisure,lit,sport,office,tourism,man_made,tower:type,ways,height,type,internet_access,internet_access:fee,internet_access:ssid,operator,operator:type
way,924350851,"POLYGON ((120.1694567 35.9378714, 120.1695586 35.937743, 120.1699635 35.9379631, 120.1701674 35.9377384, 120.1700396 35.9376671, 120.1701925 35.937502, 120.1709528 35.9379873, 120.1708171 35.9381419, 120.1704307 35.9379012, 120.1701079 35.9382519, 120.1694567 35.9378714))",,school,工科楼B,"[8579025865, 8579025866, 8579025867, 8579025868, 8579025869, 8579025870, 8579025878, 8579025877, 8579025871, 8579025872, 8579025865]",,,,,,1,,,,,,,,,,,,,,,,,
way,924350852,"POLYGON ((120.1702151 35.9383584, 120.170317 35.93823, 120.1707219 35.9384501, 120.1709258 35.9382254, 120.1708171 35.9381419, 120.1709528 35.9379873, 120.1713211 35.9382274, 120.1711891 35.9383882, 120.1708663 35.9387389, 120.1702151 35.9383584))",,school,工科楼A,"[8579025873, 8579025874, 8579025875, 8579025876, 8579025877, 8579025878, 8579025879, 8579025880, 8579025881, 8579025873]",,,,,,,,,,,,,,,,,,,,,,,
way,924350853,"POLYGON ((120.1690283 35.9385059, 120.1691828 35.9385876, 120.1692793 35.9384625, 120.1691356 35.9383861, 120.1690283 35.9385059))",,school,,"[8579025883, 8579025884, 8579025885, 8579025886, 8579025883]",,,,,,,,,,,,,,,,,,,,,,,
way,924350854,"POLYGON ((120.1691871 35.938327, 120.1693287 35.9384052, 120.1695025 35.9382002, 120.1693502 35.9381272, 120.1691871 35.938327))",,school,,"[8579025887, 8579025888, 8579025889, 8579025890, 8579025887]",,,,,,,,,,,,,,,,,,,,,,,
way,924350902,"POLYGON ((120.1722183 35.9467082, 120.1724612 35.9464632, 120.1726411 35.9465692, 120.1728049 35.9466658, 120.173257 35.9461819, 120.1731636 35.9461274, 120.1734736 35.945822, 120.1738435 35.946067, 120.1736119 35.9463361, 120.1737613 35.9464299, 120.1730552 35.9471891, 120.1727775 35.9470295, 120.1722183 35.9467082))",,school,国际交流及会议中心,"[8579026023, 8579026024, 8579026040, 8579026025, 8579026026, 8579026027, 8579026028, 8579026029, 8579026030, 8579026031, 8579026032, 8629536122, 8579026023]",,,,,,,,,,,,,,,,,,,,,,,
way,924350903,"POLYGON ((120.1717962 35.9467686, 120.1719867 35.9465902, 120.1724126 35.9468564, 120.1724164 35.9471165, 120.1717962 35.9467686))",,yes,,"[8579026033, 8579026034, 8579026035, 8579026036, 8579026033]",,,,,,,,,,,,,hotel,,,,,,,,,,
way,924350907,"POLYGON ((120.173012 35.9386113, 120.1730923 35.9385326, 120.1733183 35.9386687, 120.1732455 35.9387413, 120.173012 35.9386113))",,school,门卫室,"[8579026055, 8579026056, 8579026057, 8579026058, 8579026055]",,,,,,,,,,,,,,,,,,,,,,,
way,924350908,"POLYGON ((120.1735761 35.9389349, 120.173649 35.9388518, 120.1737183 35.9388904, 120.1739254 35.939006, 120.173847 35.9390847, 120.1735761 35.9389349))",,school,门卫室,"[8579026059, 8579026060, 8629536124, 8579026061, 8579026062, 8579026059]",,,,,,,,,,,,,,,,,,,,,,,
way,924350909,"POLYGON ((120.170067 35.946299, 120.1701208 35.9462245, 120.1702567 35.9462967, 120.1701973 35.9463632, 120.170067 35.946299))",,school,门卫室,"[8579026063, 8579026064, 8579026065, 8579026066, 8579026063]",,,,,,,,,,,,,,,,,,,,,,,
way,924350910,"POLYGON ((120.1705017 35.9465506, 120.1705555 35.9464761, 120.1706914 35.9465483, 120.1706319 35.9466148, 120.1705017 35.9465506))",,school,门卫室,"[8579026067, 8579026068, 8579026069, 8579026070, 8579026067]",,,,,,,,,,,,,,,,,,,,,,,
way,924350911,"POLYGON ((120.1706961 35.946706, 120.1709141 35.9468343, 120.1710104 35.9467243, 120.1709737 35.946703, 120.1707895 35.9465959, 120.1706961 35.946706))",,school,,"[8579026071, 8579026072, 8579026073, 8629536223, 8579026074, 8579026071]",,,,,,,,,,,,,,,,,,,,,,,
way,924350912,"POLYGON ((120.1669533 35.944948, 120.1669774 35.9448999, 120.1671954 35.944987, 120.1671713 35.9450363, 120.1669533 35.944948))",,school,,"[8579026075, 8579026076, 8579026077, 8579026078, 8579026075]",,,,,,,,,,,,,,,,,,,,,,,
way,924350913,"POLYGON ((120.1656741 35.9442836, 120.1656741 35.9442193, 120.1657278 35.9442185, 120.1657878 35.9442176, 120.1657835 35.9442818, 120.1657278 35.9442827, 120.1656741 35.9442836))",,school,门卫室,"[8579026079, 8579026080, 8629536252, 8579026081, 8579026082, 8629536258, 8579026079]",,,,,,,,,,,,,,,,,,,,,,,
way,924350925,"POLYGON ((120.1730794 35.9420607, 120.1733679 35.9422366, 120.1736389 35.9424019, 120.1737671 35.9422682, 120.1734664 35.9420946, 120.1734886 35.9420427, 120.1732372 35.9418811, 120.1730794 35.9420607))",,school,,"[8579026127, 8642622282, 8579026128, 8579026129, 8579026130, 8579026131, 8579026132, 8579026127]",,,,,,0,,,,,,,,,,,,,,,,,
way,924350926,"POLYGON ((120.1778393 35.9465773, 120.1778262 35.9465397, 120.1778637 35.9465331, 120.177875 35.9465707, 120.1778393 35.9465773))",,school,警卫室,"[8579026133, 8579026134, 8579026135, 8579026136, 8579026133]",,,,,1,,,,,,,,,,,,,,,,,,
