u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,service,access,tunnel,width,bridge
375477605,3797201521,0,33167359,,,footway,,False,True,60.226,"LINESTRING (-87.6739359 42.0548802, -87.6738745 42.0549713, -87.6738145 42.0550646, -87.6737821 42.0551146, -87.6737455 42.0551615, -87.6736945 42.0552202, -87.673635 42.0552758, -87.6735576 42.0553395)",,,,,
375477605,4733214479,0,164976562,,,footway,,False,False,62.945,"LINESTRING (-87.6739359 42.0548802, -87.673928 42.0550077, -87.6739298 42.0551336, -87.6739456 42.0552341, -87.6739721 42.0553346, -87.6740077 42.0554403)",,,,,
375477617,1765697518,0,33167359,,,footway,,False,False,8.136,"LINESTRING (-87.6723805 42.0566657, -87.6724464 42.0566113)",,,,,
375477617,11132355476,0,33167359,,,footway,,False,True,20.89,"LINESTRING (-87.6723805 42.0566657, -87.6722462 42.0567423, -87.672166 42.05676)",,,,,
375477617,11132355480,0,491793777,,,footway,,False,False,8.868,"LINESTRING (-87.6723805 42.0566657, -87.6724412 42.0567208, -87.6724484 42.0567275)",,,,,
375479404,2648980402,0,491793777,,,footway,,False,True,4.922,"LINESTRING (-87.6731172 42.0573731, -87.6730672 42.057349)",,,,,
375479404,3797194107,0,491793777,,,footway,,False,False,22.032,"LINESTRING (-87.6731172 42.0573731, -87.6731092 42.0574418, -87.6731546 42.0575665)",,,,,
375479404,10789528279,0,1160130806,,,footway,,False,True,27.423,"LINESTRING (-87.6731172 42.0573731, -87.6731662 42.0573881, -87.6732157 42.0574183, -87.6732955 42.0575666)",,,,,
375479408,11132355487,0,1200630915,,,footway,,False,False,37.911,"LINESTRING (-87.6730046 42.0583168, -87.6730114 42.0579759)",,,,,
375479408,2240260116,0,491793777,,,footway,,False,False,43.53,"LINESTRING (-87.6730046 42.0583168, -87.6729974 42.058598, -87.673025 42.0587063)",,,,,
375479408,3797194110,0,491793777,,,footway,,False,True,31.625,"LINESTRING (-87.6730046 42.0583168, -87.6730505 42.0581963, -87.6731014 42.0581113, -87.6731302 42.0580487)",,,,,
375479411,11134971599,0,214486520,,,footway,,False,True,47.048,"LINESTRING (-87.6730115 42.059018, -87.6735813 42.059025)",,,,,
375479411,2240260116,0,491793777,,,footway,,False,True,34.677,"LINESTRING (-87.6730115 42.059018, -87.673025 42.0587063)",,,,,
375479411,2648980404,0,491692067,,,footway,,False,False,12.639,"LINESTRING (-87.6730115 42.059018, -87.6729363 42.0590332, -87.6728612 42.059031)",,,,,
375479811,11134971608,0,491692068,,,footway,,False,False,21.151,"LINESTRING (-87.670169 42.0590414, -87.6701413 42.0588523)",,,,,
375479811,6685358145,0,711115267,,,footway,,False,False,14.408,"LINESTRING (-87.670169 42.0590414, -87.6700061 42.0590879)",,,,,
375479811,10752161557,0,491692067,,,footway,,False,True,97.914,"LINESTRING (-87.670169 42.0590414, -87.6702144 42.0590243, -87.6708014 42.0590312, -87.6710858 42.0590316, -87.6713494 42.0590348)",,,,,
375479821,375479822,0,491692068,,,footway,,False,False,7.152,"LINESTRING (-87.6703937 42.0567685, -87.670413 42.0567058)",,,,,
375479821,375479876,0,33167364,,,footway,,False,True,10.517,"LINESTRING (-87.6703937 42.0567685, -87.6704406 42.0567623, -87.6705135 42.0567383)",,,,,
375479821,11134971608,0,491692068,,,footway,,False,True,233.023,"LINESTRING (-87.6703937 42.0567685, -87.6703034 42.0571478, -87.6702834 42.0574138, -87.6702487 42.0577134, -87.6701905 42.0580447, -87.6701484 42.0584319, -87.6701354 42.0588124, -87.6701413 42.0588523)",,,,,
375479822,375479821,0,491692068,,,footway,,False,True,7.152,"LINESTRING (-87.670413 42.0567058, -87.6703937 42.0567685)",,,,,
375479822,375479876,0,33167356,,,footway,,False,False,9.239999999999998,"LINESTRING (-87.670413 42.0567058, -87.6704547 42.0567284, -87.6705135 42.0567383)",,,,,
375479822,375479916,0,491692068,,,footway,,False,False,51.423,"LINESTRING (-87.670413 42.0567058, -87.6704448 42.0564245, -87.6704985 42.0562488)",,,,,
375479876,375479878,0,33167356,,,footway,,False,False,36.396,"LINESTRING (-87.6705135 42.0567383, -87.6709543 42.0567429)",,,,,
375479876,375479822,0,33167356,,,footway,,False,True,9.239999999999998,"LINESTRING (-87.6705135 42.0567383, -87.6704547 42.0567284, -87.670413 42.0567058)",,,,,
375479876,375479821,0,33167364,,,footway,,False,False,10.517,"LINESTRING (-87.6705135 42.0567383, -87.6704406 42.0567623, -87.6703937 42.0567685)",,,,,
375479878,375479876,0,33167356,,,footway,,False,True,36.396,"LINESTRING (-87.6709543 42.0567429, -87.6705135 42.0567383)",,,,,
375479878,11132355476,0,33167359,,,footway,,False,False,102.963,"LINESTRING (-87.6709543 42.0567429, -87.6711658 42.0568156, -87.6713324 42.0568448, -87.6714363 42.0568384, -87.6716091 42.0568304, -87.6717631 42.0568173, -87.6719076 42.0568007, -87.6720521 42.0567749, -87.672166 42.05676)",,,,,
375479878,375479916,0,33167359,,,footway,,False,True,69.816,"LINESTRING (-87.6709543 42.0567429, -87.6707452 42.0566221, -87.6705306 42.0564245, -87.6704985 42.0562488)",,,,,
375479916,375479878,0,33167359,,,footway,,False,False,69.816,"LINESTRING (-87.6704985 42.0562488, -87.6705306 42.0564245, -87.6707452 42.0566221, -87.6709543 42.0567429)",,,,,
375479916,375481147,0,491692068,,,footway,,False,False,21.775,"LINESTRING (-87.6704985 42.0562488, -87.6705053 42.0561696, -87.6705103 42.0560532)",,,,,
375479916,375479822,0,491692068,,,footway,,False,True,51.423,"LINESTRING (-87.6704985 42.0562488, -87.6704448 42.0564245, -87.670413 42.0567058)",,,,,
375481147,375481353,0,491692068,,,footway,,False,False,379.45899999999995,"LINESTRING (-87.6705103 42.0560532, -87.6704831 42.0558869, -87.6704527 42.0557459, -87.6704167 42.055608, -87.6703687 42.0553135, -87.6703263 42.0550791, -87.6703347 42.0550138, -87.6703424 42.0549461, -87.6703421 42.054858, -87.6703168 42.0547073, -87.6702803 42.0545368, -87.6702535 42.0543533, -87.670248 42.0543051, -87.6702468 42.0542568, -87.6702143 42.0540054, -87.6701931 42.0538583, -87.6701519 42.0536799, -87.670143 42.0535161, -87.6701307 42.05338, -87.6701056 42.0532428, -87.6700624 42.0531111, -87.6700066 42.0529565, -87.6699438 42.052819, -87.6699103 42.0527529, -87.6698795 42.0526873)",,,,,
375481147,375479916,0,491692068,,,footway,,False,True,21.775,"LINESTRING (-87.6705103 42.0560532, -87.6705053 42.0561696, -87.6704985 42.0562488)",,,,,
375481147,375481172,0,491692068,,,footway,,False,True,191.28100000000003,"LINESTRING (-87.6705103 42.0560532, -87.6705396 42.0559885, -87.6705813 42.0559359, -87.6707 42.0558125, -87.6708092 42.0557151, -87.6708523 42.0556824, -87.6708919 42.0556633, -87.6709352 42.0556501, -87.6710326 42.0556351, -87.6711596 42.0556384, -87.6713219 42.0556586, -87.6714024 42.055666, -87.6714913 42.055664, -87.671538 42.0556598, -87.6715861 42.0556524, -87.6716339 42.0556374, -87.6716747 42.0556151, -87.6717054 42.055584, -87.6717278 42.0555434, -87.6717318 42.055509, -87.6717289 42.0554725, -87.6717111 42.0554334, -87.6716863 42.0553932, -87.6716227 42.0552994, -87.6715562 42.0552098, -87.6714927 42.05513, -87.6714179 42.0550545)",,,,,
375481171,375481172,0,33167373,,,path,,False,True,56.163999999999994,"LINESTRING (-87.6709488 42.0547272, -87.6709971 42.0548347, -87.6710235 42.0548759, -87.6710577 42.0549072, -87.6711777 42.0549658, -87.6712815 42.0550049, -87.6714179 42.0550545)",,,,,
375481171,375481172,1,491692068,,,footway,,False,False,53.272,"LINESTRING (-87.6709488 42.0547272, -87.6711348 42.0548384, -87.6712812 42.0549404, -87.6714179 42.0550545)",,,,,
375481171,375481352,0,491692068,,,footway,,False,True,255.90500000000003,"LINESTRING (-87.6709488 42.0547272, -87.6707291 42.0545817, -87.6706959 42.0545481, -87.6706711 42.0545086, -87.670629 42.0543916, -87.670602 42.0542813, -87.6705819 42.0541659, -87.6705755 42.0541086, -87.6705747 42.0540513, -87.6705745 42.0539372, -87.6705539 42.053833, -87.6705193 42.0537278, -87.6705184 42.0535312, -87.6705072 42.0533385, -87.6704917 42.0531458, -87.6704492 42.0529886, -87.6703479 42.0527115, -87.6703186 42.052626, -87.670295 42.0525405)",,,,,
375481172,375481171,0,33167373,,,path,,False,False,56.163999999999994,"LINESTRING (-87.6714179 42.0550545, -87.6712815 42.0550049, -87.6711777 42.0549658, -87.6710577 42.0549072, -87.6710235 42.0548759, -87.6709971 42.0548347, -87.6709488 42.0547272)",,,,,
375481172,375481171,1,491692068,,,footway,,False,True,53.272,"LINESTRING (-87.6714179 42.0550545, -87.6712812 42.0549404, -87.6711348 42.0548384, -87.6709488 42.0547272)",,,,,
375481172,375481147,0,491692068,,,footway,,False,False,191.28100000000003,"LINESTRING (-87.6714179 42.0550545, -87.6714927 42.05513, -87.6715562 42.0552098, -87.6716227 42.0552994, -87.6716863 42.0553932, -87.6717111 42.0554334, -87.6717289 42.0554725, -87.6717318 42.055509, -87.6717278 42.0555434, -87.6717054 42.055584, -87.6716747 42.0556151, -87.6716339 42.0556374, -87.6715861 42.0556524, -87.671538 42.0556598, -87.6714913 42.055664, -87.6714024 42.055666, -87.6713219 42.0556586, -87.6711596 42.0556384, -87.6710326 42.0556351, -87.6709352 42.0556501, -87.6708919 42.0556633, -87.6708523 42.0556824, -87.6708092 42.0557151, -87.6707 42.0558125, -87.6705813 42.0559359, -87.6705396 42.0559885, -87.6705103 42.0560532)",,,,,
375481352,4146460819,0,259480458,,,footway,,False,True,68.994,"LINESTRING (-87.670295 42.0525405, -87.6711306 42.0525452)",,,,,
375481352,375481353,0,259480458,,,footway,,False,False,38.122,"LINESTRING (-87.670295 42.0525405, -87.6701975 42.0525886, -87.6698795 42.0526873)",,,,,
375481352,375481353,1,491692068,,,footway,,False,True,148.498,"LINESTRING (-87.670295 42.0525405, -87.6702525 42.0524314, -87.6701627 42.0522292, -87.6701472 42.0522031, -87.6701261 42.0521769, -87.6700983 42.0521557, -87.670065 42.0521386, -87.6700111 42.0521209, -87.6699478 42.052115, -87.6698541 42.0521211, -87.6697637 42.0521356, -87.6696772 42.0521595, -87.6696518 42.0521762, -87.6696292 42.0521961, -87.6696109 42.0522316, -87.6696126 42.0522708, -87.6696286 42.0523047, -87.6696903 42.0523708, -87.6697372 42.0524269, -87.6697801 42.0524918, -87.6698147 42.0525566, -87.6698795 42.0526873)",,,,,
375481352,375481171,0,491692068,,,footway,,False,False,255.90500000000006,"LINESTRING (-87.670295 42.0525405, -87.6703186 42.052626, -87.6703479 42.0527115, -87.6704492 42.0529886, -87.6704917 42.0531458, -87.6705072 42.0533385, -87.6705184 42.0535312, -87.6705193 42.0537278, -87.6705539 42.053833, -87.6705745 42.0539372, -87.6705747 42.0540513, -87.6705755 42.0541086, -87.6705819 42.0541659, -87.670602 42.0542813, -87.670629 42.0543916, -87.6706711 42.0545086, -87.6706959 42.0545481, -87.6707291 42.0545817, -87.6709488 42.0547272)",,,,,
375481353,375481352,0,259480458,,,footway,,False,True,38.122,"LINESTRING (-87.6698795 42.0526873, -87.6701975 42.0525886, -87.670295 42.0525405)",,,,,
375481353,375481352,1,491692068,,,footway,,False,False,148.498,"LINESTRING (-87.6698795 42.0526873, -87.6698147 42.0525566, -87.6697801 42.0524918, -87.6697372 42.0524269, -87.6696903 42.0523708, -87.6696286 42.0523047, -87.6696126 42.0522708, -87.6696109 42.0522316, -87.6696292 42.0521961, -87.6696518 42.0521762, -87.6696772 42.0521595, -87.6697637 42.0521356, -87.6698541 42.0521211, -87.6699478 42.052115, -87.6700111 42.0521209, -87.670065 42.0521386, -87.6700983 42.0521557, -87.6701261 42.0521769, -87.6701472 42.0522031, -87.6701627 42.0522292, -87.6702525 42.0524314, -87.670295 42.0525405)",,,,,
375481353,375481147,0,491692068,,,footway,,False,True,379.45899999999983,"LINESTRING (-87.6698795 42.0526873, -87.6699103 42.0527529, -87.6699438 42.052819, -87.6700066 42.0529565, -87.6700624 42.0531111, -87.6701056 42.0532428, -87.6701307 42.05338, -87.670143 42.0535161, -87.6701519 42.0536799, -87.6701931 42.0538583, -87.6702143 42.0540054, -87.6702468 42.0542568, -87.670248 42.0543051, -87.6702535 42.0543533, -87.6702803 42.0545368, -87.6703168 42.0547073, -87.6703421 42.054858, -87.6703424 42.0549461, -87.6703347 42.0550138, -87.6703263 42.0550791, -87.6703687 42.0553135, -87.6704167 42.055608, -87.6704527 42.0557459, -87.6704831 42.0558869, -87.6705103 42.0560532)",,,,,
388499457,2241226944,0,"[484857362, 214468084]",,,"['steps', 'footway']",,False,True,35.278000000000006,"LINESTRING (-87.6758767 42.0541575, -87.6758236 42.054157, -87.6756396 42.0541557, -87.6755487 42.054144, -87.6754558 42.054121)",,,,,
388499502,1765697518,0,164976561,,,footway,,False,False,22.54,"LINESTRING (-87.6727073 42.056671, -87.6724464 42.0566113)",,,,,
497375717,4840273033,0,24114100,,Haven Street,residential,,False,False,13.889,"LINESTRING (-87.6771497 42.0572952, -87.6773179 42.0572974)",,,,,
497375717,9312105611,0,311727605,4,Sheridan Road,secondary,,False,False,9.119,"LINESTRING (-87.6771497 42.0572952, -87.6771481 42.0573772)",,,,,
497375717,672865189,0,311727605,4,Sheridan Road,secondary,,False,True,22.686,"LINESTRING (-87.6771497 42.0572952, -87.6771532 42.0570912)",,,,,
498649474,4773292103,0,53173770,,Campus Drive,service,,False,False,20.252,"LINESTRING (-87.6743843 42.0501114, -87.6741747 42.050206)",,,,,
498649474,1766823870,0,435384818,3,Sheridan Road,secondary,,False,False,37.781,"LINESTRING (-87.6743843 42.0501114, -87.674388 42.0501662, -87.6744184 42.0502092, -87.6744662 42.050252, -87.6745418 42.0502906, -87.6746818 42.0503339)",,,,,
533996674,11134971591,0,1200937281,,,footway,,False,False,18.237,"LINESTRING (-87.673841 42.0581215, -87.6736785 42.0582326)",,,,,
533996674,4804966822,0,376278372,,,footway,,False,False,25.726,"LINESTRING (-87.673841 42.0581215, -87.6737441 42.0581212, -87.6735294 42.0581204)",,,,,
533996674,9119071425,0,"[376278372, 986532630]",,,footway,,False,True,60.075,"LINESTRING (-87.673841 42.0581215, -87.6738669 42.0581243, -87.6741199 42.0583316, -87.6741125 42.0585452, -87.6741116 42.0585726)",,,,,
672865175,5701178693,0,484580544,,Campus Drive,service,,False,True,9.101,"LINESTRING (-87.673612 42.0509263, -87.6736458 42.0508484)",,,,,
672865175,4774678160,0,151311275,,,service,,False,False,27.585,"LINESTRING (-87.673612 42.0509263, -87.673455 42.0509033, -87.6733724 42.0508959, -87.6733241 42.0509001, -87.6732829 42.050907)",driveway,,,,
672865175,1935895426,0,484580544,,Campus Drive,service,,False,False,14.597999999999999,"LINESTRING (-87.673612 42.0509263, -87.6735712 42.0510158, -87.6735592 42.0510515)",,,,,
672865176,5701174819,0,53173856,,Arts Circle Drive,service,,False,False,9.27,"LINESTRING (-87.6735523 42.0511917, -87.6734466 42.0512198)",,,,,
672865176,5701174818,0,164976549,,,service,,False,True,7.384,"LINESTRING (-87.6735523 42.0511917, -87.6736385 42.0512094)",parking_aisle,,,,
672865176,5701174817,0,484580544,,Campus Drive,service,,False,False,8.996,"LINESTRING (-87.6735523 42.0511917, -87.6735644 42.0512721)",,,,,
672865176,5701174816,0,484580544,,Campus Drive,service,,False,True,5.669,"LINESTRING (-87.6735523 42.0511917, -87.6735483 42.0511408)",,,,,
672865183,10789929411,0,53173795,,Tech Drive - Entrance G,service,,False,True,4.145,"LINESTRING (-87.6747189 42.0585459, -87.6747691 42.0585462)",,,,,
672865183,11268464595,0,219731065,,Tech Drive,service,,False,False,55.264,"LINESTRING (-87.6747189 42.0585459, -87.6747189 42.0580489)",,,,,
672865183,9119071424,0,986532624,,,service,,True,False,3.536,"LINESTRING (-87.6747189 42.0585459, -87.674719 42.0585777)",,,,,
672865187,2240260037,0,214486521,,,footway,,False,False,50.314,"LINESTRING (-87.674794 42.057108, -87.674848 42.057191, -87.6748467 42.0575513)",,,,,
672865187,2240259928,0,214486521,,,footway,,False,True,76.127,"LINESTRING (-87.674794 42.057108, -87.6747693 42.0570472, -87.6747809 42.056706, -87.6747826 42.0564262)",,,,,
672865187,3797194104,0,219731065,,Tech Drive,service,,False,True,31.547,"LINESTRING (-87.674794 42.057108, -87.6747457 42.0571519, -87.6747189 42.0572116, -87.6747189 42.0573757)",,,,,
672865187,11268464588,0,685379918,,Tech Drive - Entrance F,service,,False,False,20.908,"LINESTRING (-87.674794 42.057108, -87.6748745 42.0570881, -87.6750429 42.0570885)",,,,,
672865189,497375717,0,311727605,4,Sheridan Road,secondary,,False,False,22.686,"LINESTRING (-87.6771532 42.0570912, -87.6771497 42.0572952)",,,,,
672865189,287472219,0,311727605,4,Sheridan Road,secondary,,False,True,96.336,"LINESTRING (-87.6771532 42.0570912, -87.6771681 42.0562249)",,,,,
672865189,9341288690,0,685379918,,Tech Drive - Entrance F,service,,False,True,4.765,"LINESTRING (-87.6771532 42.0570912, -87.6770955 42.057092)",,,,,
672865233,2241226864,0,214618522,,,service,,False,False,50.120999999999995,"LINESTRING (-87.6734569 42.0538182, -87.673555 42.0538247, -87.6736422 42.0538258, -87.6737691 42.0538268, -87.673933 42.0538392, -87.673998 42.0538556, -87.674048 42.0538816)",driveway,,,,
672865233,11134945993,0,484580544,,Campus Drive,service,,False,False,46.67400000000001,"LINESTRING (-87.6734569 42.0538182, -87.6735005 42.0538751, -87.6735749 42.053927, -87.6738204 42.0540668, -87.6738751 42.0540938)",,,,,
672865233,1641389842,0,484580544,,Campus Drive,service,,False,True,58.282000000000004,"LINESTRING (-87.6734569 42.0538182, -87.6734155 42.0537132, -87.6734049 42.0536803, -87.6733934 42.0536241, -87.6734015 42.0533001)",,,,,
672865233,1765697553,0,485700582,,,service,,False,True,14.384,"LINESTRING (-87.6734569 42.0538182, -87.6733477 42.0537961, -87.6732956 42.0537725)",,,,,
672865236,11134945993,0,484580544,,Campus Drive,service,,False,True,20.417,"LINESTRING (-87.6740809 42.0541956, -87.6738751 42.0540938)",,,,,
672865236,2239483407,0,165017674,,,service,,False,False,29.105999999999998,"LINESTRING (-87.6740809 42.0541956, -87.674102 42.0541445, -87.6741186 42.054096, -87.6741277 42.0540561, -87.6741311 42.0540079, -87.6741103 42.0539401)",driveway,,,,
672865236,2241226669,0,484580544,,Campus Drive,service,,False,False,134.983,"LINESTRING (-87.6740809 42.0541956, -87.6741181 42.054222, -87.6741425 42.0542547, -87.6741598 42.0543075, -87.6741718 42.0543924, -87.674143 42.0553908)",,,,,
672865237,3797194096,0,480319313,,Campus Drive,service,,False,False,5.88,"LINESTRING (-87.6741888 42.055546, -87.6741407 42.055585)",,,,,
672865237,1766823640,0,278043246,,Northwestern Place,service,,False,False,46.085,"LINESTRING (-87.6741888 42.055546, -87.6742209 42.0555594, -87.674261 42.0555682, -87.6743019 42.0555721, -87.6747402 42.0555748)",,,,,
672865237,2241226669,0,"[484580544, 1153918564]",,Campus Drive,service,,False,True,18.398,"LINESTRING (-87.6741888 42.055546, -87.6741636 42.0555268, -87.6741488 42.055503, -87.6741443 42.0554781, -87.674143 42.0553908)",,,,,
1258392376,10775089466,0,311727605,4,Sheridan Road,secondary,,False,False,4.938,"LINESTRING (-87.677123 42.0586364, -87.6771242 42.0586808)",,,,,
1258392376,10775089470,0,311727605,4,Sheridan Road,secondary,,False,True,15.584,"LINESTRING (-87.677123 42.0586364, -87.6771282 42.0584963)",,,,,
1258472312,252162872,0,110574225,2,University Place,residential,,False,True,132.303,"LINESTRING (-87.6783906 42.0511952, -87.6784945 42.0511963, -87.6786309 42.0511627, -87.67882 42.0511323, -87.6790142 42.0511115, -87.6791974 42.0511051, -87.6793808 42.0511257, -87.6795787 42.0511591, -87.6797731 42.0512139, -87.6799504 42.0512538)",,,,,
1641389842,1765697528,0,484580544,,Campus Drive,service,,False,True,59.296,"LINESTRING (-87.6734015 42.0533001, -87.673419 42.052767)",,,,,
1641389842,4826014897,0,"[485700587, 1022711124, 165017703]",,,"['steps', 'footway']",,False,"[False, True]",121.928,"LINESTRING (-87.6734015 42.0533001, -87.6734478 42.0533005, -87.6735468 42.0533016, -87.673848 42.0533174, -87.6739182 42.0533165, -87.6746395 42.0533075, -87.6748229 42.053195)",,,,,
1641389842,672865233,0,484580544,,Campus Drive,service,,False,False,58.282,"LINESTRING (-87.6734015 42.0533001, -87.6733934 42.0536241, -87.6734049 42.0536803, -87.6734155 42.0537132, -87.6734569 42.0538182)",,,,,
1641389842,4784740695,0,"[485700585, 485701786]",,,"['steps', 'footway']",,False,True,11.187999999999999,"LINESTRING (-87.6734015 42.0533001, -87.6733629 42.0532997, -87.673266 42.0532993)",,,,,
