osmid,y,x,highway,street_count,geometry
1930281199,42.0616494,-87.6786971,,3,POINT (-87.6786971 42.0616494)
1935895426,42.0510515,-87.6735592,,3,POINT (-87.6735592 42.0510515)
1936662518,42.0500519,-87.6788565,,3,POINT (-87.6788565 42.0500519)
1936662522,42.0499517,-87.6784734,,1,POINT (-87.6784734 42.0499517)
1936662526,42.049792,-87.6785499,,1,POINT (-87.6785499 42.049792)
1936662528,42.0498939,-87.6789319,,3,POINT (-87.6789319 42.0498939)
1936662529,42.0501078,-87.6783985,,1,POINT (-87.6783985 42.0501078)
2233363813,42.0503793,-87.6748507,,3,POINT (-87.6748507 42.0503793)
2239483296,42.0505058,-87.6746246,,3,POINT (-87.6746246 42.0505058)
2239483298,42.0505709,-87.6743644,,3,POINT (-87.6743644 42.0505709)
2239483302,42.0506358,-87.6746318,,4,POINT (-87.6746318 42.0506358)
2239483304,42.0508989,-87.6763317,,3,POINT (-87.6763317 42.0508989)
2239483306,42.0509159,-87.6751361,,1,POINT (-87.6751361 42.0509159)
2239483322,42.051085,-87.6748364,,3,POINT (-87.6748364 42.051085)
2239483324,42.0510916,-87.6751657,,3,POINT (-87.6751657 42.0510916)
2239483328,42.0511122,-87.6752865,,4,POINT (-87.6752865 42.0511122)
2239483333,42.0511532,-87.6754352,,4,POINT (-87.6754352 42.0511532)
2239483343,42.051359,-87.6763924,,1,POINT (-87.6763924 42.051359)
2239483364,42.0521233,-87.6750885,,3,POINT (-87.6750885 42.0521233)
2239483365,42.0521375,-87.6751644,,3,POINT (-87.6751644 42.0521375)
2239483369,42.0523056,-87.676515,,4,POINT (-87.676515 42.0523056)
2239483370,42.0523344,-87.6747319,,4,POINT (-87.6747319 42.0523344)
2239483375,42.0524591,-87.6761816,,3,POINT (-87.6761816 42.0524591)
2239483378,42.0524734,-87.6770895,,3,POINT (-87.6770895 42.0524734)
2239483382,42.0525244,-87.6760395,,4,POINT (-87.6760395 42.0525244)
2239483386,42.0525446,-87.6756206,,3,POINT (-87.6756206 42.0525446)
2239483388,42.0525627,-87.676161,,3,POINT (-87.676161 42.0525627)
2239483395,42.0528256,-87.6764733,,1,POINT (-87.6764733 42.0528256)
2239483403,42.0537668,-87.677211,crossing,4,POINT (-87.677211 42.0537668)
2239483407,42.0539401,-87.6741103,,3,POINT (-87.6741103 42.0539401)
2239483413,42.0543947,-87.6770469,,4,POINT (-87.6770469 42.0543947)
2239483414,42.0547231,-87.6764853,,1,POINT (-87.6764853 42.0547231)
2239483422,42.0549045,-87.6761906,,3,POINT (-87.6761906 42.0549045)
2239483425,42.0550024,-87.6760008,,4,POINT (-87.6760008 42.0550024)
2239483426,42.0550685,-87.6758527,,3,POINT (-87.6758527 42.0550685)
2239483433,42.0553021,-87.6752518,,3,POINT (-87.6752518 42.0553021)
2239483434,42.0553685,-87.6769328,,3,POINT (-87.6769328 42.0553685)
2239483438,42.0553696,-87.6770283,,3,POINT (-87.6770283 42.0553696)
2239483442,42.0554515,-87.6758522,,4,POINT (-87.6758522 42.0554515)
2239483445,42.0556305,-87.6770242,crossing,4,POINT (-87.6770242 42.0556305)
2239483450,42.0560174,-87.6764866,,3,POINT (-87.6764866 42.0560174)
2239483458,42.056221,-87.6764865,,3,POINT (-87.6764865 42.056221)
2239483459,42.056224,-87.6770131,crossing,4,POINT (-87.6770131 42.056224)
2239483485,42.0578365,-87.6769541,,1,POINT (-87.6769541 42.0578365)
2239483512,42.058744,-87.676974,crossing,4,POINT (-87.676974 42.058744)
2240103476,42.0504384,-87.6746378,crossing,4,POINT (-87.6746378 42.0504384)
2240103551,42.0506496,-87.6754145,,3,POINT (-87.6754145 42.0506496)
2240103573,42.0507332,-87.6757222,,4,POINT (-87.6757222 42.0507332)
2240103914,42.0535222,-87.6748061,,3,POINT (-87.6748061 42.0535222)
2240103932,42.0538148,-87.6750101,,3,POINT (-87.6750101 42.0538148)
2240103950,42.0543691,-87.6756974,,1,POINT (-87.6756974 42.0543691)
2240103955,42.0545223,-87.675231,,5,POINT (-87.675231 42.0545223)
2240259675,42.0538127,-87.6757505,,1,POINT (-87.6757505 42.0538127)
2240259760,42.0545531,-87.6749581,,1,POINT (-87.6749581 42.0545531)
2240259816,42.0553127,-87.675681,,3,POINT (-87.675681 42.0553127)
2240259818,42.0553594,-87.6755425,,3,POINT (-87.6755425 42.0553594)
2240259847,42.0556108,-87.6755379,crossing,4,POINT (-87.6755379 42.0556108)
2240259856,42.0557178,-87.675528,,3,POINT (-87.675528 42.0557178)
2240259860,42.0557717,-87.6753205,,1,POINT (-87.6753205 42.0557717)
2240259864,42.0558339,-87.6755025,,3,POINT (-87.6755025 42.0558339)
2240259870,42.0558607,-87.6754276,,3,POINT (-87.6754276 42.0558607)
2240259871,42.0558611,-87.6760472,,1,POINT (-87.6760472 42.0558611)
2240259878,42.0559556,-87.6747899,,3,POINT (-87.6747899 42.0559556)
2240259880,42.0559632,-87.6754276,,3,POINT (-87.6754276 42.0559632)
2240259884,42.0560102,-87.6760498,,3,POINT (-87.6760498 42.0560102)
2240259887,42.0561271,-87.675021,,1,POINT (-87.675021 42.0561271)
2240259888,42.0561352,-87.676052,,3,POINT (-87.676052 42.0561352)
2240259891,42.0561413,-87.6764865,,4,POINT (-87.6764865 42.0561413)
2240259892,42.0561452,-87.6770156,,3,POINT (-87.6770156 42.0561452)
2240259893,42.056219,-87.6760342,,4,POINT (-87.6760342 42.056219)
2240259896,42.0562795,-87.6747835,,4,POINT (-87.6747835 42.0562795)
2240259897,42.0562824,-87.6750184,,4,POINT (-87.6750184 42.0562824)
2240259898,42.0562857,-87.6754479,,1,POINT (-87.6754479 42.0562857)
2240259901,42.0562965,-87.6760606,,3,POINT (-87.6760606 42.0562965)
2240259902,42.0562959,-87.6761446,,3,POINT (-87.6761446 42.0562959)
2240259905,42.0563079,-87.6770104,,3,POINT (-87.6770104 42.0563079)
2240259909,42.0563216,-87.6750197,,1,POINT (-87.6750197 42.0563216)
2240259911,42.0563382,-87.6759642,,3,POINT (-87.6759642 42.0563382)
2240259916,42.0564004,-87.6757126,,3,POINT (-87.6757126 42.0564004)
2240259917,42.0564003,-87.6756854,,1,POINT (-87.6756854 42.0564003)
2240259919,42.0565385,-87.6754236,,3,POINT (-87.6754236 42.0565385)
2240259927,42.0564214,-87.6761427,,1,POINT (-87.6761427 42.0564214)
2240259928,42.0564262,-87.6747826,,3,POINT (-87.6747826 42.0564262)
2240259949,42.0566238,-87.6754206,,4,POINT (-87.6754206 42.0566238)
2240259958,42.0566821,-87.6752009,,1,POINT (-87.6752009 42.0566821)
2240259959,42.0566859,-87.6754216,,4,POINT (-87.6754216 42.0566859)
2240259976,42.0569993,-87.675607,,1,POINT (-87.675607 42.0569993)
2240260009,42.0573627,-87.6743929,,1,POINT (-87.6743929 42.0573627)
2240260037,42.0575513,-87.6748467,,1,POINT (-87.6748467 42.0575513)
2240260108,42.0586188,-87.6747695,,3,POINT (-87.6747695 42.0586188)
2240260116,42.0587063,-87.673025,,3,POINT (-87.673025 42.0587063)
2240260143,42.0590389,-87.6747211,crossing,5,POINT (-87.6747211 42.0590389)
2240260146,42.059064,-87.6750684,,5,POINT (-87.6750684 42.059064)
2240260147,42.0590656,-87.6755475,,4,POINT (-87.6755475 42.0590656)
2240260148,42.0590674,-87.6754787,,3,POINT (-87.6754787 42.0590674)
2240260150,42.0590679,-87.675985,,3,POINT (-87.675985 42.0590679)
2240260155,42.0591109,-87.6754766,,3,POINT (-87.6754766 42.0591109)
2240260162,42.0591906,-87.6759773,,4,POINT (-87.6759773 42.0591906)
2240260163,42.0591906,-87.6760884,,3,POINT (-87.6760884 42.0591906)
2240260165,42.0591897,-87.6758212,,3,POINT (-87.6758212 42.0591897)
