element_type,osmid,geometry,access,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,amenity,name,operator,operator:type,nodes,addr:street:name,addr:street:type,building,ele,gnis:county_name,gnis:feature_id,gnis:import_uuid,gnis:reviewed,source,wikidata,wikipedia,building:levels
node,10285735123,POINT (-87.6764323 42.0549002),university,Evanston,2033,60208,IL,Sheridan Road,library,Math Library,Northwestern University Libraries,university,,,,,,,,,,,,,
way,42703541,"POLYGON ((-87.6746611 42.058553, -87.6743318 42.0585483, -87.6741125 42.0585452, -87.6741199 42.0583316, -87.673934 42.058193, -87.673841 42.0581215, -87.6737441 42.0581212, -87.673749 42.0580431, -87.6737532 42.0579765, -87.6737566 42.057924, -87.6738205 42.0578976, -87.6738913 42.0578994, -87.6738897 42.0579207, -87.6740611 42.0579236, -87.6746712 42.0579304, -87.6746676 42.0581534, -87.6746611 42.058553))",university,Evanston,2233,60208,IL,Tech Drive,library,Seeley G. Mudd Science and Engineering Library,Northwestern University Libraries,university,"[533996670, 11268464601, 533996671, 533996672, 533996673, 533996674, 4838815124, 11134971593, 9119071427, 9119071426, 2240260053, 2240260054, 533996668, 533996675, 533996669, 11268464597, 533996670]",Tech,Drive,university,,,,,,,,,
way,175187764,"POLYGON ((-87.6749879 42.0530924, -87.6749541 42.053092, -87.6749277 42.0530917, -87.6749272 42.0531062, -87.6748637 42.0531539, -87.6748243 42.0531538, -87.6747758 42.0531536, -87.6747111 42.0531042, -87.6747114 42.0530398, -87.6747332 42.0530273, -87.6747189 42.0530155, -87.6747066 42.0530214, -87.6746861 42.053001, -87.6746352 42.0530275, -87.6746184 42.053002, -87.6745694 42.0530177, -87.6745635 42.0530035, -87.6745151 42.0530094, -87.6744882 42.0530068, -87.6744643 42.0530082, -87.6744154 42.053, -87.6744105 42.053012, -87.6743632 42.0529942, -87.6743437 42.0530209, -87.6743031 42.0529904, -87.6742725 42.0530167, -87.6742643 42.0530098, -87.674238 42.0530287, -87.6741513 42.0530912, -87.6741509 42.0530961, -87.6742545 42.0530969, -87.6742528 42.0531707, -87.6742394 42.0531709, -87.674239 42.0531948, -87.6742128 42.053195, -87.6742112 42.053243, -87.6741986 42.0532429, -87.6741979 42.0532659, -87.6741721 42.0532666, -87.6741714 42.0532872, -87.6740775 42.053287, -87.6740773 42.053263, -87.674038 42.0532635, -87.6740381 42.0532498, -87.6740137 42.0532489, -87.6739182 42.0533165, -87.6738899 42.0533366, -87.6738906 42.0533539, -87.6738987 42.0533494, -87.6739258 42.0533744, -87.6739735 42.0533493, -87.6739912 42.0533696, -87.6740417 42.0533596, -87.674047 42.0533703, -87.6740944 42.0533683, -87.6741423 42.0533683, -87.6741901 42.053374, -87.6742011 42.0533633, -87.6742462 42.0533761, -87.6742734 42.0533523, -87.6743144 42.0533751, -87.6743413 42.0533583, -87.6743573 42.0533701, -87.674383 42.0533891, -87.6743555 42.0534084, -87.6743866 42.0534452, -87.6743563 42.0534563, -87.6743746 42.0534926, -87.674355 42.0534977, -87.6743665 42.0535321, -87.6743661 42.0535717, -87.6743553 42.0536064, -87.6743724 42.0536117, -87.6743519 42.0536475, -87.6743825 42.0536618, -87.6743488 42.0536977, -87.6743754 42.0537158, -87.6743286 42.0537499, -87.6743042 42.0537293, -87.674256 42.0537526, -87.674238 42.0537291, -87.6741895 42.0537443, -87.6741829 42.0537308, -87.6741334 42.0537336, -87.6741115 42.0537347, -87.6740845 42.053735, -87.6740358 42.053729, -87.6740306 42.0537393, -87.6739835 42.0537256, -87.6739644 42.0537481, -87.673916 42.0537223, -87.6738915 42.0537434, -87.6738458 42.0537081, -87.6738777 42.0536897, -87.6738382 42.0536522, -87.6738737 42.0536398, -87.6738512 42.0536032, -87.6738736 42.0535983, -87.6738661 42.0535621, -87.6738631 42.0535258, -87.6738704 42.053503, -87.6738737 42.0534925, -87.6738547 42.0534833, -87.6738746 42.0534502, -87.6738421 42.0534333, -87.6738755 42.0533991, -87.6738465 42.0533768, -87.6738185 42.0533901, -87.6737965 42.0533717, -87.6737201 42.0533747, -87.6736955 42.0533573, -87.6737157 42.0533439, -87.6737866 42.053344, -87.6738109 42.0533441, -87.6738157 42.0533403, -87.673835 42.0533399, -87.673848 42.0533174, -87.6738628 42.0533163, -87.6739276 42.053278, -87.6739249 42.0532669, -87.6738945 42.0532405, -87.6738697 42.0532532, -87.6738438 42.0532638, -87.6738254 42.053241, -87.6737775 42.0532559, -87.6737723 42.0532408, -87.6737242 42.0532477, -87.6736731 42.0532474, -87.6736249 42.0532387, -87.6736185 42.0532523, -87.6735689 42.0532379, -87.6735513 42.0532596, -87.6735004 42.0532349, -87.6734805 42.0532537, -87.6734372 42.0532203, -87.6734625 42.0532023, -87.6734308 42.0531667, -87.6734644 42.053151, -87.6734434 42.0531176, -87.6734589 42.0531095, -87.6734491 42.053075, -87.6734439 42.0530392, -87.6734619 42.0530046, -87.6734368 42.0530009, -87.6734553 42.0529646, -87.6734278 42.0529542, -87.6734645 42.0529185, -87.6734324 42.0528986, -87.6734435 42.0528913, -87.6734928 42.0528591, -87.6735147 42.0528791, -87.6735615 42.0528567, -87.6735786 42.0528784, -87.6736279 42.0528671, -87.6736327 42.0528791, -87.6736821 42.0528748, -87.6737312 42.0528747, -87.6737382 42.0528756, -87.6737809 42.0528808, -87.6737848 42.0528695, -87.673834 42.052883, -87.6738522 42.0528597, -87.6739012 42.0528852, -87.6739249 42.0528651, -87.6739692 42.0529022, -87.6739382 42.0529187, -87.6739753 42.0529552, -87.6739439 42.0529679, -87.6739613 42.0530027, -87.6739444 42.0530075, -87.6739507 42.0530298, -87.6740442 42.0530321, -87.6741721 42.0530351, -87.6742086 42.0530098, -87.674235 42.0529914, -87.6742257 42.0529829, -87.6742529 42.0529631, -87.674242 42.0529522, -87.6742449 42.0529489, -87.6742386 42.0529405, -87.6742319 42.0529416, -87.6742242 42.0529266, -87.6742538 42.0529137, -87.6742367 42.0528791, -87.6742621 42.0528741, -87.6742614 42.052872, -87.6742536 42.0528724, -87.6742457 42.0528396, -87.674261 42.0528382, -87.6742602 42.0528349, -87.6742488 42.0528359, -87.6742462 42.0528232, -87.6742516 42.0528227, -87.6742456 42.0528019, -87.6742498 42.0527798, -87.6742579 42.0527664, -87.6742362 42.05276, -87.6742611 42.0527264, -87.674227 42.0527107, -87.6742377 42.0526976, -87.6742461 42.0526899, -87.6742599 42.0526767, -87.6742314 42.0526578, -87.6742497 42.0526426, -87.6742553 42.0526453, -87.6742643 42.052639, -87.6742614 42.0526347, -87.6742828 42.0526223, -87.6743038 42.0526422, -87.674352 42.0526183, -87.6743695 42.0526416, -87.6744195 42.0526281, -87.674424 42.0526428, -87.6744736 42.052636, -87.6744739 42.0526394, -87.6744999 42.0526391, -87.6745224 42.0526389, -87.6745228 42.0526351, -87.674571 42.0526437, -87.674576 42.0526311, -87.6746255 42.0526459, -87.6746434 42.0526224, -87.6746922 42.0526491, -87.6747172 42.0526293, -87.674762 42.0526639, -87.6747351 42.0526802, -87.6747493 42.0526933, -87.6747448 42.0526966, -87.6747507 42.0527051, -87.6747582 42.0527024, -87.6747676 42.0527178, -87.6747355 42.0527301, -87.6747466 42.0527437, -87.6747391 42.052746, -87.6747429 42.0527545, -87.6747507 42.0527528, -87.674755 42.0527674, -87.6747359 42.0527713, -87.6747457 42.052806, -87.6747273 42.0528067, -87.6747273 42.05281, -87.6747407 42.0528097, -87.6747419 42.0528219, -87.6747355 42.0528221, -87.6747367 42.0528293, -87.6747413 42.05283, -87.6747445 42.0528455, -87.6747437 42.052857, -87.6747401 42.0528669, -87.6747329 42.0528798, -87.6747526 42.0528842, -87.6747478 42.052898, -87.6747412 42.0529074, -87.6747316 42.0529205, -87.6747647 42.0529353, -87.674728 42.0529709, -87.6747557 42.0529886, -87.6747475 42.0529953, -87.674761 42.0530067, -87.6747759 42.0529952, -87.6748176 42.052994, -87.6748675 42.052995, -87.674928 42.0530418, -87.6749285 42.0530595, -87.6749388 42.0530637, -87.6749734 42.053064, -87.6749869 42.0530641, -87.6749879 42.0530924))",university,Evanston,1970,60208,IL,Campus Drive,library,Northwestern University Library,Northwestern University Libraries,university,"[1765700629, 4826014896, 1765700632, 1696287075, 1696287050, 4826014898, 1696287077, 1696287081, 1765982770, 4701566937, 4701566938, 1765982483, 1765982528, 1765982652, 1765982573, 1765982524, 1765982669, 1765982726, 1765982479, 1765982771, 1765982582, 1765982679, 1765982556, 1765982526, 1765982533, 4775398574, 4775398573, 9134482284, 4775398570, 1765982769, 1765982643, 4775398569, 4775398568, 4775398567, 4775398566, 1765982836, 1765982752, 1765982564, 1765982667, 1765982820, 1765982792, 1765982675, 1765982681, 1765982473, 1765982590, 9432202709, 1765982460, 4775398581, 4775398580, 1765982654, 1765982586, 1765982727, 1765982841, 1765982584, 1765982625, 1765982716, 1765982729, 1765982466, 1765982808, 1765982449, 1765982767, 1765982692, 4775398590, 1765982720, 1765982488, 1765982818, 1765982684, 1765982490, 1765982733, 1765982648, 4775398579, 1765982688, 1765982690, 1765982772, 1765982558, 1765982689, 1765982617, 1765982499, 1765982737, 1765982761, 1765982773, 1765982552, 1765982844, 1765982471, 1765982814, 1765982568, 1765982686, 1765982554, 1765982601, 1765982768, 1765982846, 1765982730, 1765982845, 1765982657, 1765982695, 1765982812, 1765982731, 1765982501, 1765982531, 1765982693, 4784750314, 1765982735, 1765982437, 1765982433, 1765982646, 1765982655, 1765982673, 1765982605, 1765982451, 1765982566, 1765982481, 1765982631, 4784740711, 4784740710, 4784740708, 4784740707, 1765982540, 1765982530, 1766961122, 1765982697, 1765982492, 1765982517, 1765982656, 1765982519, 4784740709, 4784740714, 4784740715, 4784740719, 1765982507, 1765982629, 1765982809, 1765982592, 1765982763, 1765982477, 1765982633, 1765982822, 1765982639, 1765982728, 4775398575, 1765982778, 1765982806, 1765982493, 1765982522, 1765982560, 1765982696, 1765982651, 1765982736, 1765982811, 4784731984, 1765982694, 1765982774, 1765982714, 1765982709, 1765982550, 1765982615, 1765982439, 1765982441, 4784731987, 1765982799, 1765982542, 1765982562, 1765982435, 1765982458, 1765982613, 1765982485, 1765982815, 1765982650, 1765982641, 1765982627, 1765982855, 4775422688, 1765982464, 4775422687, 9312129139, 4775398571, 4775398572, 1765982431, 4701566933, 4701566935, 4701566936, 4775422682, 1765982677, 1765982671, 1765982711, 1765982765, 4701566931, 4701566932, 4701566926, 4701566928, 4701566929, 4701566930, 4701566927, 1765982598, 1765982777, 1765982756, 1765982529, 1765982766, 1765982468, 4701566925, 4701566924, 1765982588, 4701566923, 4701566922, 4701566921, 4701566920, 3458517195, 4701566919, 4701566918, 4701566917, 1765982732, 1765982794, 4701566962, 1765982505, 1765982456, 1765982503, 8726345945, 1765982724, 1765982614, 1765982851, 1765982810, 1765982546, 1765982718, 1765982515, 1765982491, 1765982548, 1765982447, 4701566959, 4701566961, 4701566960, 4701566958, 1765982511, 1765982532, 4701566955, 4701566957, 4701566956, 4701566954, 1765982754, 1765982734, 1765982803, 4701566950, 4701566949, 4701566951, 1765982569, 4701566952, 4701566953, 1765982572, 1765982850, 4701566948, 4701566947, 4701566946, 1765982807, 4701566945, 4701566944, 1765982852, 1765982813, 1765982801, 1765982612, 4701566940, 4701566939, 1765700631, 1766764561, 388499242, 388499241, 4701566943, 4701566942, 4789185390, 1858212817, 1765700629]",Campus,Drive,university,,,,,,,Q615670,en:Northwestern University Library,
way,214618504,"POLYGON ((-87.6755608 42.0529472, -87.675543 42.0529313, -87.6753854 42.0529314, -87.6753708 42.0529468, -87.6753701 42.0530341, -87.6751942 42.0530321, -87.6749868 42.0530307, -87.6749869 42.0530641, -87.6749879 42.0530924, -87.6749872 42.0531196, -87.6749992 42.0531197, -87.674994 42.05332, -87.6749819 42.05332, -87.6749815 42.0533755, -87.6749813 42.0534043, -87.675361 42.0534101, -87.6753618 42.0534896, -87.6753811 42.0535088, -87.6755248 42.0535096, -87.6755479 42.0534909, -87.6755517 42.0533013, -87.6755532 42.0532291, -87.6755547 42.0531533, -87.6755606 42.0529685, -87.6755608 42.0529472))",university,Evanston,1937,60208,IL,Sheridan Road,library,Deering Library,Northwestern University Libraries,university,"[388499238, 1765700633, 1765700630, 388499239, 388499240, 2241227025, 4701566941, 1858212817, 1765700629, 4775398583, 4775398584, 4775398585, 4775398582, 1696287068, 4775398588, 388499235, 388499236, 1765700636, 1765700634, 388499237, 4825181543, 4777157991, 1766764787, 2241226604, 388499238]",Sheridan,Road,university,183,Cook,1866879,57871b70-0100-4405-bb30-88b2e001a944,no,USGS Geonames,Q4499877,en:Deering Library,3
