element_type,osmid,amenity,geometry,nodes,name,parking,building,access,fee,operator,operator:type,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,source,bldgdescl,building:levels,capacity,maxstay,supervised
way,214486546,parking,"POLYGON ((-87.6764789 42.0598515, -87.6764796 42.0598011, -87.6762839 42.0597995, -87.6762832 42.0598499, -87.6764789 42.0598515))","[2240260237, 2240260235, 2240260234, 2240260236, 2240260237]",,surface,,,,,,,,,,,,,,,,
way,214486548,parking,"POLYGON ((-87.6765736 42.0596765, -87.6765729 42.0597434, -87.6762867 42.0597418, -87.6762874 42.0596749, -87.6765736 42.0596765))","[2240260219, 2240260230, 2240260229, 2240260218, 2240260219]",,surface,,,,,,,,,,,,,,,,
way,214486550,parking,"POLYGON ((-87.6742612 42.0552718, -87.6742803 42.0552721, -87.6745175 42.0552752, -87.6745101 42.0554795, -87.6742558 42.0554767, -87.6742561 42.0554412, -87.6742602 42.0553272, -87.6742612 42.0552718))","[2240259813, 4771951643, 2240259814, 2240259835, 2240259834, 2240259828, 4771951639, 2240259813]",,,,,,,,,,,,,,,,,,
way,214647392,parking,"POLYGON ((-87.6767913 42.0605983, -87.6765656 42.0605964, -87.676286 42.0605941, -87.6762835 42.0607583, -87.6767888 42.0607625, -87.6767913 42.0605983))","[2241471940, 9119057963, 2241471949, 2241471946, 2241471938, 2241471940]",Patten Gym Lot,surface,,permit,,,,,,,,,,,,,,
way,214651405,parking,"POLYGON ((-87.6785992 42.0540405, -87.678432 42.0540402, -87.67843 42.054574, -87.6785995 42.0545714, -87.6787471 42.0545717, -87.6787684 42.0545747, -87.678769 42.0544004, -87.6785978 42.0544, -87.6785992 42.0540405))","[2241503409, 2241503441, 2241503351, 8728756219, 8728756220, 2241503361, 2241503445, 2241503483, 2241503409]",,surface,,,,,,,,,,,,,,,,
way,214651408,parking,"POLYGON ((-87.6779434 42.0545892, -87.6779886 42.0545899, -87.6779976 42.054106, -87.6778467 42.0541037, -87.6778369 42.0545875, -87.6773951 42.0545806, -87.6773865 42.0548811, -87.677449 42.0548821, -87.6774475 42.0549329, -87.6779334 42.0549405, -87.6779434 42.0545892))","[2241503467, 2241503485, 2241503495, 2241503413, 2241503478, 2241503456, 2241503422, 2241503493, 2241503463, 2241503354, 2241503467]",,surface,,,,,,,,,,,,,,,,
way,214651410,parking,"POLYGON ((-87.6779287 42.0531606, -87.6779286 42.0531323, -87.6779283 42.0530469, -87.6775351 42.0530476, -87.6775357 42.0532191, -87.6777924 42.0532187, -87.6779287 42.0531606))","[2241503459, 4776060932, 2241503453, 2241503357, 2241503419, 2241503437, 2241503459]",,surface,,private,,,,,,,,,,,,,,
way,214652801,parking,"POLYGON ((-87.6784635 42.0523144, -87.677962 42.052311, -87.6779607 42.0525689, -87.6780239 42.0525702, -87.6780687 42.052616, -87.678459 42.0526209, -87.6784635 42.0523144))","[2241512500, 2241512505, 2241512511, 4776053484, 4776053483, 2241512492, 2241512500]",Foster-Walker South Lot,surface,,private,,,,,,,,,,,,,,
way,275854338,parking,"POLYGON ((-87.6745418 42.0602622, -87.674512 42.0602621, -87.6745116 42.0602774, -87.6742472 42.0602742, -87.6740337 42.0602716, -87.6740212 42.0602447, -87.6739519 42.0602604, -87.6737149 42.0597491, -87.6737103 42.0597503, -87.6737156 42.0595073, -87.673744 42.0595076, -87.6737466 42.05939, -87.6737023 42.0593895, -87.6737048 42.0592746, -87.6737081 42.0592746, -87.6737085 42.0592568, -87.6737328 42.0592571, -87.6737333 42.0592348, -87.6737411 42.0592349, -87.6737409 42.0592435, -87.6737962 42.0592442, -87.6737971 42.0592045, -87.6744383 42.0592122, -87.674438 42.0592273, -87.6744562 42.0592275, -87.6744566 42.0592051, -87.674571 42.0592065, -87.6745697 42.0592691, -87.6745879 42.0592693, -87.674588 42.0592648, -87.6746528 42.0592655, -87.6746319 42.060228, -87.6746115 42.0602278, -87.6746113 42.0602408, -87.674631 42.0602409, -87.6746304 42.0603026, -87.6745413 42.0603021, -87.6745418 42.0602622))","[2805150789, 2805150785, 2805150798, 2805152658, 2805152203, 2805150793, 2805152207, 2805150795, 2805150783, 2805150794, 2805152205, 2805150799, 2805152211, 2805150777, 2805152206, 2805150796, 2805150797, 2805152209, 2805152201, 2805150800, 2805150781, 2805152202, 2805150787, 2805150791, 2805150786, 2805150784, 2805150776, 2805150792, 2805150790, 2805152204, 2805152210, 2805150779, 2805150780, 2805152208, 2805150782, 2805150788, 2805150778, 2805150789]",North Campus Parking Garage,multi-storey,parking,yes,,,,Evanston,2311,60208,IL,North Campus Drive,,North Campus Parking,5,,,
way,337677629,parking,"POLYGON ((-87.68126 42.0509456, -87.6807877 42.0509413, -87.6807972 42.0506096, -87.6813935 42.0506156, -87.6813898 42.050837, -87.6812654 42.050836, -87.68126 42.0509456))","[3447435157, 3447435161, 4773312358, 4773312357, 4773312355, 3447435163, 3447435157]",Music Admin Lot,surface,,permissive,,Northwestern University,,Evanston,750,60201,IL,University Place,,,,20,,
