element_type,osmid,nodes,building,name,geometry,building:levels,roof:levels,leisure,name:en,amenity,opening_hours,shop,addr:housenumber,ways,type
way,173581807,"[2874117209, 1843700842, 1843701042, 1843700988, 1843701039, 1843700809, 1843700992, 1843701041, 1843700904, 1843701007, 1843700969, 1843700941, 2874117209]",yes,MED-X研究所,"POLYGON ((121.4298778 31.1999791, 121.4287891 31.1999698, 121.428791 31.1998048, 121.4291869 31.1998081, 121.4291884 31.1996814, 121.4287558 31.1996777, 121.428758 31.1994866, 121.4299334 31.1994966, 121.4299312 31.1996831, 121.4293136 31.1996779, 121.429312 31.1998151, 121.4298796 31.1998199, 121.4298778 31.1999791))",,,,,,,,,,
way,173581808,"[1843701028, 1843700838, 1843700875, 1843701024, 1843701028]",yes,新中院,"POLYGON ((121.4305259 31.2021144, 121.430532 31.201899, 121.4308349 31.2019053, 121.4308288 31.2021207, 121.4305259 31.2021144))",,,,,,,,,,
way,173581809,"[1843701062, 1843700959, 1843701026, 1843700987, 1843701062]",apartments,第四学生宿舍,"POLYGON ((121.4262099 31.2010959, 121.4255154 31.2010409, 121.4255299 31.2009072, 121.4262244 31.2009623, 121.4262099 31.2010959))",,,,,,,,,,
way,173581810,"[1843701069, 1843700997, 2355635808, 2355635809, 2355635810, 2355635811, 1843700812, 1843700827, 1843701069]",yes,老图书馆,"POLYGON ((121.4313896 31.2009715, 121.4311258 31.2009436, 121.4311453 31.2008461, 121.4311942 31.2008489, 121.4312267 31.2006845, 121.4311746 31.200679, 121.4311942 31.2005842, 121.4314547 31.2006149, 121.4313896 31.2009715))",,,,,,,,,,
way,173581811,"[1843701058, 1843701074, 1843700880, 1843700810, 1843701058]",dormitory,,"POLYGON ((121.4249381 31.201061, 121.4253553 31.2010853, 121.4253452 31.2012125, 121.424928 31.2011882, 121.4249381 31.201061))",,,,,,,,,,
way,173581812,"[1843700944, 1843701004, 1843701031, 1843701044, 1843700813, 1843700843, 1843701033, 1843700900, 1843700879, 1843700829, 1843700908, 1843700944]",yes,浩然科技大厦,"POLYGON ((121.4305887 31.200125, 121.4302148 31.2001276, 121.4301022 31.2000863, 121.4300807 31.1999945, 121.430129 31.1999257, 121.4301323 31.1997878, 121.4301324 31.1997345, 121.4299827 31.1997342, 121.4299833 31.1994753, 121.4303918 31.199476, 121.430585 31.1995907, 121.4305887 31.200125))",,,,,,,,,,
way,173581813,"[1843700966, 1843700898, 1843701005, 1843700996, 1843701076, 1843700883, 1843700860, 1843700840, 1843701001, 1843701038, 1843700833, 1843700830, 1843700966]",yes,文治堂,"POLYGON ((121.4271962 31.2005975, 121.4272002 31.2004764, 121.4272384 31.2004774, 121.4272439 31.2003109, 121.427193 31.2003097, 121.4271972 31.2001812, 121.4270594 31.2001779, 121.4270567 31.2002607, 121.4266878 31.2002518, 121.4266798 31.2004954, 121.4270752 31.2005049, 121.4270723 31.2005945, 121.4271962 31.2005975))",,,,,,,,,,
way,173581814,"[1843701066, 1843700902, 1843700984, 1843701032, 1843701066]",dormitory,,"POLYGON ((121.424893 31.2008422, 121.425394 31.2008736, 121.4253824 31.2010095, 121.4248814 31.2009781, 121.424893 31.2008422))",,,,,,,,,,
way,173582274,"[1843706267, 1843706262, 4725315733, 1843706269, 1843706272, 4725315732, 1843706267]",yes,老校门,"POLYGON ((121.4319101 31.2006772, 121.4317891 31.2006477, 121.4318094 31.2005867, 121.4318367 31.2005049, 121.4319577 31.2005345, 121.4319352 31.2006021, 121.4319101 31.2006772))",,,,,,,,,,
way,173665615,"[1844349445, 1844349620, 1844349594, 1844349616, 1844349489, 1844349374, 1844349445]",yes,,"POLYGON ((121.4252878 31.1999309, 121.4252278 31.1997986, 121.4254702 31.1997336, 121.4253296 31.1994181, 121.425459 31.1993806, 121.4256521 31.199844, 121.4252878 31.1999309))",,,,,,,,,,
way,173665629,"[1844349516, 1844349522, 1844349506, 1844349449, 1844349355, 1844349434, 1844349440, 1844349556, 1844349516]",yes,后勤大楼,"POLYGON ((121.4272436 31.1996763, 121.4272383 31.1995519, 121.4269821 31.1995599, 121.4269793 31.1994938, 121.4268466 31.1994979, 121.4268512 31.1996073, 121.4269459 31.1996043, 121.4269493 31.1996855, 121.4272436 31.1996763))",,,,,,,,,,
way,173665636,"[1844349360, 1844349593, 1844349390, 1844349549, 1844349360]",yes,,"POLYGON ((121.4241855 31.1991486, 121.4241855 31.1990018, 121.424915 31.1989834, 121.4249311 31.1991303, 121.4241855 31.1991486))",,,,,,,,,,
way,173665639,"[1844349614, 1844349370, 1844349435, 1844349351, 1844349614]",yes,铸锻楼,"POLYGON ((121.4298102 31.1992517, 121.4298149 31.1991206, 121.4302974 31.1991334, 121.4302927 31.1992644, 121.4298102 31.1992517))",,,,,,,,,,
way,173665644,"[1844349376, 1844349610, 1844349432, 1844349330, 1844349359, 1844349465, 1844349554, 1844349312, 1844349590, 1844349607, 1844349515, 1844349314, 1844349376]",yes,桃李苑,"POLYGON ((121.4257275 31.1998486, 121.4256687 31.1997336, 121.4257224 31.1997153, 121.425618 31.1994689, 121.4255512 31.1994843, 121.4255131 31.1993803, 121.4257438 31.1993115, 121.4257867 31.1994216, 121.4257168 31.1994389, 121.4258404 31.1996923, 121.4258994 31.1996832, 121.4259369 31.1997979, 121.4257275 31.1998486))",,,,,,,,,,
way,173665647,"[1844349581, 1844349467, 1844349447, 1844349477, 1844349581]",yes,高压试验楼,"POLYGON ((121.4290233 31.1993789, 121.429036 31.199053, 121.4292986 31.1990605, 121.4292859 31.1993864, 121.4290233 31.1993789))",,,,,,,,,,
way,173665654,"[1844349612, 1844349618, 1844349619, 1844349353, 1844349612]",yes,,"POLYGON ((121.4268164 31.1994524, 121.4268248 31.1993184, 121.4272325 31.1993092, 121.4272325 31.1994515, 121.4268164 31.1994524))",,,,,,,,,,
way,173665656,"[1844349562, 1844349322, 1844349321, 1844349511, 1844349400, 1844349562]",yes,,"POLYGON ((121.4286808 31.1994331, 121.4286808 31.199323, 121.4282785 31.1993138, 121.4282785 31.1993597, 121.428418 31.1994377, 121.4286808 31.1994331))",,,,,,,,,,
way,173665663,"[1844349287, 1844349289, 1844349430, 1844349427, 1844349287]",yes,物资楼,"POLYGON ((121.4298002 31.1993112, 121.4304471 31.1993207, 121.4304447 31.1994415, 121.4297978 31.1994321, 121.4298002 31.1993112))",,,,,,,,,,
way,173665674,"[1844349502, 1844349399, 1844349504, 1844349599, 1844349502]",yes,,"POLYGON ((121.4284585 31.1999185, 121.4284609 31.1995341, 121.4286604 31.1995313, 121.4286648 31.1999195, 121.4284585 31.1999185))",,,,,,,,,,
way,173665689,"[1844349790, 1844349787, 1844349788, 1844349789, 1844349792, 1844349791, 1844349790]",yes,,"POLYGON ((121.4240028 31.1987542, 121.424002 31.1983782, 121.4241694 31.1983732, 121.4241747 31.1986347, 121.4248614 31.1986531, 121.4248667 31.1987953, 121.4240028 31.1987542))",,,,,,,,,,
way,173666389,"[1844357542, 1844357348, 1844357540, 1844357447, 1844357542]",yes,,"POLYGON ((121.4242016 31.198497, 121.4242069 31.1983823, 121.4248614 31.1984007, 121.424856 31.19852, 121.4242016 31.198497))",,,,,,,,,,
way,173666393,"[1844357531, 1844357425, 1844357350, 1844357555, 1844357345, 1844357502, 1844357539, 1844357487, 1844357499, 1844357489, 1844357481, 1844357521, 1844357597, 1844357388, 1844357531]",yes,机械楼,"POLYGON ((121.4281766 31.2026781, 121.4281785 31.2024682, 121.428094 31.2024676, 121.4280951 31.2023457, 121.4283364 31.2023473, 121.4283358 31.2024085, 121.4284045 31.2024089, 121.4284037 31.2024906, 121.4283028 31.20249, 121.4283024 31.2025374, 121.4284665 31.2025385, 121.4284684 31.2023258, 121.4285597 31.2023264, 121.4285565 31.2026807, 121.4281766 31.2026781))",,,,,,,,,,
way,173666399,"[1844357410, 1844357336, 1844357503, 1844357379, 1844357410]",yes,,"POLYGON ((121.4264987 31.2005569, 121.4263366 31.2005527, 121.4263634 31.2001535, 121.4265235 31.2001559, 121.4264987 31.2005569))",,,,,,,,,,
way,173666403,"[1844357467, 1844357404, 1844357440, 1844357418, 1844357466, 1844357557, 1844357428, 1844357477, 1844357497, 1844357455, 1844357580, 1844357529, 1844357467]",dormitory,研1楼,"POLYGON ((121.4256492 31.2016155, 121.426027 31.2016221, 121.4260238 31.2017543, 121.4259639 31.2017533, 121.425963 31.2017902, 121.4260253 31.2017913, 121.4260231 31.2018813, 121.4257613 31.2018766, 121.4257636 31.2017807, 121.4258289 31.2017818, 121.4258308 31.2017048, 121.4256471 31.2017016, 121.4256492 31.2016155))",,,,,,,,,,
way,173666407,"[1844357592, 1844357459, 1844357577, 1844357457, 1844357341, 1844357576, 1844357344, 1844357328, 1844357373, 1844357544, 1844357596, 1844357451, 1844357592]",dormitory,研究生宿舍,"POLYGON ((121.425181 31.201468, 121.4254755 31.2014866, 121.4254696 31.2015557, 121.4254351 31.2015535, 121.4254307 31.2016052, 121.4255387 31.201612, 121.425531 31.2017015, 121.4252542 31.2016841, 121.4252615 31.2015987, 121.425315 31.2016021, 121.4253202 31.2015417, 121.4251754 31.2015326, 121.425181 31.201468))",,,,,,,,,,
way,173666408,"[1844357332, 1844357400, 1844357365, 1844357600, 1844357332]",yes,,"POLYGON ((121.4251505 31.200076, 121.4250206 31.1998092, 121.4251511 31.1997681, 121.4252826 31.200038, 121.4251505 31.200076))",,,,,,,,,,
way,173666410,"[1844357501, 1844357465, 1844357337, 1844357562, 1844357343, 1844357367, 1844357461, 1844357601, 1844357560, 1844357537, 1844357501]",yes,,"POLYGON ((121.425357 31.200347, 121.4253681 31.2002361, 121.4255197 31.2002361, 121.4254568 31.2000204, 121.4259504 31.1999011, 121.4259986 31.2000021, 121.4255969 31.2001064, 121.4256383 31.2002361, 121.426004 31.2002545, 121.4259968 31.2003682, 121.425357 31.200347))",,,,,,,,,,
way,173666413,"[1844357398, 1844357566, 1844357587, 1844357563, 1844357602, 1844357598, 1844357398]",dormitory,第三学生宿舍,"POLYGON ((121.4253647 31.2014337, 121.4253712 31.2012942, 121.4263804 31.2013284, 121.4263782 31.2013763, 121.4265186 31.201381, 121.4265144 31.2014726, 121.4253647 31.2014337))",,,,,,,,,,
way,173666415,"[1844357517, 1844357541, 1844357591, 1844357329, 1844357491, 1844357506, 1844357581, 1844357569, 1844357416, 1844357414, 1844357564, 1844357449, 1844357517]",apartments,高级金融学院,"POLYGON ((121.4265512 31.2017228, 121.4266585 31.2020577, 121.4264546 31.2020486, 121.4263044 31.2020027, 121.426181 31.201888, 121.4261649 31.2018375, 121.4262239 31.2018375, 121.4262347 31.2016448, 121.4264117 31.2016631, 121.4264439 31.2016127, 121.4265083 31.2015989, 121.4265619 31.2016402, 121.4265512 31.2017228))",,,,Shanghai Advanced Institute of Finance,,,,,,
way,173666420,"[1844357558, 1844357462, 1844357363, 1844357427, 1844357558]",yes,,"POLYGON ((121.4249236 31.1997058, 121.4248596 31.1995867, 121.4250438 31.1995203, 121.4251081 31.199635, 121.4249236 31.1997058))",,,,,,,,,,
way,228965929,"[2376118495, 2376118496, 2376118497, 2376118499, 2376118495]",yes,钱学森图书馆,"POLYGON ((121.4304548 31.2032687, 121.4310209 31.203273, 121.431026 31.2027865, 121.4304599 31.2027822, 121.4304548 31.2032687))",,,,Qianxuesen Library,library,,,,,
way,234852331,"[2429755876, 2429755865, 2429755878, 2429755871, 2429755876]",yes,,"POLYGON ((121.4285139 31.2029953, 121.4290361 31.203201, 121.429084 31.2031119, 121.4285618 31.2029063, 121.4285139 31.2029953))",,,,,,,,,,
