u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,tunnel,access,width,bridge,area
246167454,3922463616,0,644272743,2,Nanyang Drive,residential,40,False,True,19.2,"LINESTRING (103.6884146 1.3448305, 103.6882818 1.3447201)",,,,,,,
246167544,4316717940,0,432725809,,,service,,False,True,9.689,"LINESTRING (103.6891683 1.3455375, 103.6891175 1.3456083)",,emergency_access,,,,,
246167544,4316717947,0,644417755,3,Nanyang Crescent,residential,40,False,False,39.717,"LINESTRING (103.6891683 1.3455375, 103.6894356 1.3457745)",,,,,,,
246167544,3922463615,0,644271930,3,Nanyang Crescent,residential,40,False,True,79.69,"LINESTRING (103.6891683 1.3455375, 103.6889364 1.3453131, 103.6886503 1.3450421)",,,,,,,
246167558,9176457536,0,392188807,,,footway,,False,False,3.578,"LINESTRING (103.6860706 1.3436841, 103.6860672 1.3436521)",,,,,,,
246167558,8396338186,0,"[991848476, 392188807]",,,footway,,False,"[False, True]",64.556,"LINESTRING (103.6860706 1.3436841, 103.6860757 1.3437334, 103.6863522 1.3437121, 103.6864365 1.343714, 103.6866052 1.3437305)",,,,,,,
246167558,5681033647,0,"[22886841, 742027099]",2,Nanyang Circle,residential,40,True,False,90.462,"LINESTRING (103.6860706 1.3436841, 103.6853672 1.3438101, 103.6853385 1.343905)",,,,,,,
246167601,7168295554,0,646671668,2,Nanyang Avenue,residential,40,False,False,9.515,"LINESTRING (103.6838561 1.3418261, 103.6838761 1.3417429)",,,,,,,
246167601,8407898414,0,767753895,1,Nanyang Avenue,residential,40,True,False,19.208,"LINESTRING (103.6838561 1.3418261, 103.6838207 1.3418898, 103.6837982 1.3419871)",,,,,,,
246167610,7755609085,0,646883587,2,Nanyang Circle,residential,40,False,True,8.616,"LINESTRING (103.6852922 1.3440791, 103.6853113 1.344004)",,,,,,,
246167610,9158103652,0,991178999,,,service,,False,True,3.358,"LINESTRING (103.6852922 1.3440791, 103.6853213 1.3440872)",,,,,,,
246167610,7750247277,0,313940709,1,Nanyang Circle,residential,40,True,False,115.95500000000001,"LINESTRING (103.6852922 1.3440791, 103.6852117 1.3443094, 103.6851936 1.3443727, 103.6851358 1.344588, 103.6850566 1.3450919)",,,,,,,
246167672,4312806881,0,432118536,,,service,,False,False,18.552,"LINESTRING (103.6861075 1.3456951, 103.6860664 1.3455334)",,,,,,,
246167672,4312806868,0,313940708,2,Nanyang Circle,residential,40,False,True,192.15,"LINESTRING (103.6861075 1.3456951, 103.6860385 1.3457067, 103.6859187 1.3457147, 103.6858857 1.3457096, 103.6858254 1.3456769, 103.6857162 1.3455594, 103.6856612 1.3454617, 103.6856414 1.3454112, 103.6856342 1.3453744, 103.68564 1.3453266, 103.6856704 1.3452309, 103.6857241 1.3451351, 103.685793 1.3450429, 103.6859611 1.3448515, 103.6861213 1.3447278, 103.6862227 1.3446728, 103.6863183 1.3446507, 103.6863462 1.3446498)",,,,,,,
246167672,4323197007,0,"[433827538, 433827541]",,,"['steps', 'footway']",,False,False,36.433,"LINESTRING (103.6861075 1.3456951, 103.6860347 1.3459071, 103.6860338 1.3460106)",,,,,,,
246167672,8407313767,0,644417777,2,Nanyang Circle,residential,40,False,False,42.664,"LINESTRING (103.6861075 1.3456951, 103.6863452 1.3456201, 103.6863744 1.3455989, 103.6863876 1.3455723, 103.6863903 1.3455445, 103.6863794 1.3455052)",,,,,,,
