element_type,osmid,amenity,geometry
node,4273083942,bicycle_parking,POINT (103.6871099 1.3487026)
node,4280535670,bicycle_parking,POINT (103.6856642 1.3519771)
node,4280536008,bicycle_parking,POINT (103.6794589 1.3406298)
node,4280536009,bicycle_parking,POINT (103.6813391 1.3401203)
node,4287920386,bicycle_parking,POINT (103.6845134 1.3482487)
node,4287920493,bicycle_parking,POINT (103.6885714 1.3509046)
