element_type,osmid,geometry,amenity,addr:city,addr:postcode,addr:street,building,name,opening_hours,website,nodes,building:levels,layer,name:en,name:ms,addr:housenumber,internet_access,fixme:zh,name:zh,addr:country,addr:housename,description,name:zh-Hans,name:zh-Hant,operator,phone,source,tourism,healthcare,short_name,landuse,man_made,construction,parking,leisure,sport,wikidata,wikimedia_commons,wikipedia,fixme,access,bench,shelter_type,bin,ways,type,alt_name,start_date
way,49968559,"POLYGON ((103.6833145 1.3494345, 103.6835177 1.349567, 103.6835179 1.3495283, 103.6835254 1.3494791, 103.6835402 1.3494415, 103.6835492 1.3494225, 103.6835613 1.3494035, 103.68356 1.3494284, 103.6835627 1.3494523, 103.6835667 1.3494768, 103.6835738 1.3495012, 103.6835793 1.3495221, 103.683587 1.3495466, 103.6836043 1.3495843, 103.6836263 1.3496202, 103.6836534 1.3496561, 103.6836758 1.3496809, 103.6837012 1.3497051, 103.6837421 1.3497364, 103.6837857 1.349764, 103.6838236 1.3497811, 103.6838612 1.3497929, 103.6838917 1.3498001, 103.683919 1.3498057, 103.6839394 1.3498081, 103.683948 1.3497856, 103.6839135 1.3497677, 103.6838834 1.3497479, 103.6838537 1.3497273, 103.6838293 1.3497049, 103.683805 1.3496816, 103.6837868 1.3496557, 103.683769 1.3496288, 103.6837553 1.3495923, 103.683818 1.3496475, 103.6838635 1.3496845, 103.6839118 1.3497178, 103.6839526 1.3497445, 103.6839894 1.3497668, 103.6840288 1.3497864, 103.6841504 1.3498334, 103.6842564 1.349851, 103.6843507 1.3498486, 103.6844465 1.3498273, 103.6845388 1.3497881, 103.6846189 1.3497318, 103.6846983 1.349658, 103.6847321 1.3496178, 103.6847614 1.3495767, 103.684558 1.3494378, 103.6845069 1.3495036, 103.684446 1.3495498, 103.6843933 1.3495869, 103.6843353 1.3496089, 103.6842615 1.3496267, 103.6841887 1.3496259, 103.6841121 1.3496146, 103.6840445 1.3495928, 103.6839777 1.3495643, 103.6839188 1.3495297, 103.6838621 1.3494847, 103.683816 1.3494378, 103.6837687 1.3493868, 103.6837302 1.3493314, 103.6837302 1.3492575, 103.6837938 1.349236, 103.6838621 1.3492274, 103.6839339 1.349226, 103.6840078 1.349242, 103.6840801 1.3492689, 103.6841463 1.3493097, 103.6841944 1.3493474, 103.6842401 1.3493914, 103.6842722 1.3494335, 103.6842923 1.3494697, 103.6844014 1.3494345, 103.6843591 1.3493675, 103.6843096 1.3493013, 103.6842574 1.3492452, 103.6842007 1.3491953, 103.6841432 1.3491478, 103.6840709 1.3491068, 103.683995 1.3490833, 103.6839177 1.3490745, 103.6840356 1.3489955, 103.6839996 1.3489245, 103.6839555 1.3489356, 103.6839113 1.3489479, 103.6838712 1.348962, 103.6838311 1.3489808, 103.6838016 1.3489957, 103.6837743 1.3490153, 103.6837495 1.3490372, 103.6837259 1.3490622, 103.6836868 1.3490727, 103.6836477 1.3490841, 103.6836425 1.3490421, 103.6836386 1.3490002, 103.683638 1.348967, 103.6836409 1.3489339, 103.6836496 1.3488894, 103.6836645 1.3488457, 103.6836768 1.3488071, 103.6836963 1.3487693, 103.6834909 1.3487114, 103.6834767 1.3487429, 103.6834687 1.3487743, 103.6834562 1.3488709, 103.6834509 1.3489463, 103.6834545 1.3490179, 103.683458 1.3490618, 103.6834677 1.3491016, 103.6834937 1.3491713, 103.6834472 1.349203, 103.6834112 1.3492395, 103.6833841 1.3492693, 103.683364 1.3493026, 103.6833414 1.3493383, 103.6833229 1.3493916, 103.6833145 1.3494345))",,,637458,Nanyang Drive,university,"School of Art, Design and Media",,,"[634862668, 1301738682, 4860959926, 1301738694, 5191172695, 5191172700, 4860959925, 5191172701, 5191172699, 5191172702, 5191172697, 5191172703, 5191172698, 1301738706, 5191172696, 4860959924, 5191172705, 1301738717, 5191172704, 4860959923, 5191172708, 5191172706, 5191172707, 5191172709, 1301738729, 634862670, 5191173924, 5191173923, 5191173925, 5191173922, 5191173927, 5191173926, 5191173928, 5191172717, 5191173929, 5191172718, 5191172720, 5191172719, 5191173921, 634862672, 4860959922, 634862674, 4860959920, 634862675, 4860959921, 634862676, 5191173930, 5191173931, 634862678, 1301738710, 5191172710, 4860959902, 5191172711, 4860959910, 5191172712, 4860959903, 5191172713, 4860959909, 5191172714, 4860959904, 5191172715, 4860959911, 5191172716, 4860959905, 4860959912, 5191173932, 4860959906, 4860959915, 4860959913, 4860959914, 4860959908, 4860959918, 4860959916, 4860959917, 4860959907, 4860959901, 4860959929, 1301738690, 4860959919, 1301738718, 4860959899, 1301738702, 4860959900, 1301738714, 1301738726, 634862680, 5191172687, 5191172685, 5191172686, 1301738730, 5191172690, 5191172688, 5191172689, 4860959898, 5191172691, 1301738687, 5191172692, 4860959896, 5191172693, 4860959895, 5191172694, 4911947739, 5191172678, 1301738700, 634862682, 5191172679, 4911947738, 1301738711, 4860959897, 4860959894, 5191172681, 5191172680, 1301738723, 5191172682, 4860959928, 5191172683, 634862684, 5191172684, 4860959927, 634862668]",,,"School of Art, Design and Media","Sekolah Seni, Reka Bentuk dan Media",81,,-,艺术、设计和媒体学院,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968619,"POLYGON ((103.6796695 1.3438629, 103.680112 1.3443069, 103.6799042 1.344536, 103.6801045 1.3445701, 103.6802997 1.3446034, 103.6805745 1.3443117, 103.680604 1.3442822, 103.6805505 1.3442301, 103.6804074 1.3440908, 103.6801527 1.3438429, 103.6802015 1.3437845, 103.6799753 1.3435523, 103.6797609 1.3436112, 103.6797952 1.3437358, 103.6796695 1.3438629))",,,,,university,Nanyang Auditorium,,,"[634864840, 634864841, 634864842, 10951103534, 634864843, 4965046856, 4965046854, 4965046860, 4965046861, 4965046825, 5177742216, 4965046824, 4965046823, 634864846, 634864840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968758,"POLYGON ((103.6806959 1.3443342, 103.6807437 1.3443822, 103.6808437 1.3444838, 103.681061 1.3447016, 103.6812539 1.3447048, 103.6809011 1.344333, 103.6806959 1.3443342))",,,639798,Nanyang Avenue,university,NTU Administration Building,,,"[634869798, 4965046858, 4965046857, 634869799, 634869801, 634869804, 634869798]",,,,,50,,,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968763,"POLYGON ((103.6835929 1.3435177, 103.6838918 1.343766, 103.6838775 1.3437833, 103.6839144 1.343814, 103.6839054 1.3438248, 103.6839937 1.3438981, 103.6840068 1.343909, 103.6840164 1.3438975, 103.6840607 1.3439343, 103.6840767 1.3439151, 103.6843696 1.3441584, 103.6844514 1.34406, 103.6841571 1.3438155, 103.6841688 1.3438014, 103.6841174 1.3437587, 103.6841385 1.3437333, 103.6840935 1.3436959, 103.6840555 1.3436644, 103.6840347 1.3436894, 103.683988 1.3436506, 103.6839747 1.3436667, 103.6836756 1.3434182, 103.6835929 1.3435177))",,Singapore,637721,Nanyang Drive,yes,Chinese Heritage Centre,,http://chc.ntu.edu.sg/,"[634870122, 7755600459, 7755600457, 7755600456, 7755600458, 1303595732, 7755600455, 7755600454, 7755600460, 7755600461, 634870124, 634870128, 7755600451, 7755600450, 7755600447, 7755600446, 9178042843, 7755600448, 7755600449, 7755600453, 7755600452, 634870130, 634870122]",,,Chinese Heritage Centre,,12,,,华裔馆,,Chinese Heritage Centre,,华裔馆,華裔館,Nanyang Technological University,+65 6790 6176,http://chc.ntu.edu.sg/,museum,,,,,,,,,,,,,,,,,,,,
way,49968776,"POLYGON ((103.683156 1.345448, 103.683462 1.3455147, 103.6835344 1.3455305, 103.6835505 1.3454563, 103.6836131 1.3451692, 103.6832347 1.3450867, 103.683156 1.345448))",,Singapore,,Nanyang Avenue,yes,Student Services Centre,,,"[634870577, 1303595765, 634870580, 1303595635, 634870596, 634870603, 634870577]",,,Student Services Centre,,42,,,,SG,Student Services Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968787,"POLYGON ((103.6824847 1.3454567, 103.6825619 1.3454742, 103.6825761 1.3454099, 103.6826836 1.3454328, 103.6826634 1.3455182, 103.6827654 1.3455423, 103.682817 1.3453242, 103.6826133 1.3452761, 103.682606 1.345307, 103.6825202 1.3452885, 103.6824847 1.3454567))",clinic,Singapore,639801,Nanyang Avenue,yes,University Health Service,,,"[634871249, 4910112775, 4910112774, 1303595698, 1303595677, 634871252, 634871254, 634871256, 1303595741, 1303595792, 634871249]",,,University Health Service,,36,,,,SG,University Health Service,,,,Fullerton Healthcare Group,,,,clinic,,,,,,,,,,,,,,,,,,,
way,49968793,"POLYGON ((103.683231 1.3475064, 103.6832856 1.3475053, 103.6832849 1.3474672, 103.6834291 1.3474643, 103.6834301 1.3475162, 103.6833984 1.3475168, 103.6833993 1.3475604, 103.6833114 1.3475621, 103.683312 1.3475922, 103.6832327 1.3475938, 103.683231 1.3475064))",,,,,yes,,,,"[634871574, 4174045261, 4174045260, 634871575, 4174045262, 4174045263, 634871576, 4174045265, 4174045266, 634871577, 634871574]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968849,"POLYGON ((103.6825057 1.3485077, 103.6828353 1.3491261, 103.6831092 1.3489802, 103.6827795 1.3483618, 103.6825057 1.3485077))",,,,,yes,SIMTECH Valley Block,,,"[634872511, 634872512, 634872513, 634872514, 634872511]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49969010,"POLYGON ((103.6812992 1.3483458, 103.6816367 1.3485469, 103.6816719 1.3485678, 103.6816906 1.3485575, 103.681712 1.3485819, 103.6817246 1.3485927, 103.6817399 1.3486004, 103.6817541 1.348606, 103.6817688 1.348608, 103.6817841 1.3486066, 103.6818006 1.348603, 103.6818138 1.3485942, 103.6818262 1.348584, 103.6818357 1.3485698, 103.6818418 1.3485571, 103.6818445 1.3485453, 103.6818455 1.3485353, 103.6818461 1.3485256, 103.6818445 1.3485158, 103.6818418 1.3485058, 103.6818381 1.3484958, 103.6818281 1.3484761, 103.6818492 1.3484656, 103.6818486 1.3483562, 103.6819268 1.3483565, 103.6819262 1.3483167, 103.6818904 1.3483167, 103.6818917 1.3482483, 103.6819382 1.3482482, 103.6819387 1.3480218, 103.6816355 1.3480122, 103.6816369 1.3481373, 103.6814986 1.3482181, 103.6814044 1.348165, 103.681398 1.3481759, 103.6813244 1.3483005, 103.6812992 1.3483458))",,Singapore,638075,Nanyang Drive,yes,New Innovation Centre,,,"[5244298980, 6572484786, 4860964406, 4860964409, 5191172646, 5191172659, 5191172645, 5191172658, 5191172647, 5191172657, 4860964407, 5191172652, 5191172651, 5191172653, 5191172648, 5191172655, 5191172654, 5191172656, 5191172650, 5191172661, 5191172660, 5191172649, 4860964408, 634872526, 8906748407, 8906748404, 8906748405, 8906748406, 8906748403, 634872527, 4860964402, 4860964404, 4860964405, 8906748402, 8906748400, 5244298978, 5244298980]",4,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49989264,"POLYGON ((103.6865503 1.3497168, 103.6865633 1.3496938, 103.6866247 1.3495754, 103.686946 1.3497447, 103.687148 1.3498505, 103.6870742 1.3499913, 103.6870016 1.3499532, 103.6869808 1.3499886, 103.6870167 1.3500075, 103.6869609 1.3501137, 103.6868043 1.3500314, 103.6868601 1.3499252, 103.6869414 1.3499679, 103.6869613 1.3499322, 103.6865503 1.3497168))",,,637663,Nanyang Hill,yes,Nanyang House,,,"[634987683, 4300029238, 634987684, 4300029241, 634987685, 634987686, 5058367003, 5058367005, 5058367009, 5058367008, 5058367006, 5058367007, 5058367004, 5058367002, 634987683]",,,,,12,,,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49989555,"POLYGON ((103.6788944 1.3514928, 103.6792157 1.3518433, 103.6792982 1.3517676, 103.6793351 1.3518079, 103.6790997 1.3520236, 103.6787415 1.3516328, 103.6788944 1.3514928))",,,,,yes,Electromagnetic Effects Research Lab,,,"[634990511, 7954948921, 7954948920, 634990513, 634990515, 634990517, 634990511]",,,,,,,,,,,,,,,,,,,EMERL,,,,,,,,,,,,,,,,,,
way,83888985,"POLYGON ((103.6877911 1.350617, 103.6878575 1.3505971, 103.6878135 1.3504532, 103.6881175 1.3503596, 103.6881513 1.3505095, 103.688306 1.3504612, 103.6883489 1.3506327, 103.6881222 1.3506971, 103.6881127 1.3506659, 103.6880108 1.3506963, 103.6880537 1.3508481, 103.6878918 1.3508954, 103.6878256 1.3507148, 103.6877911 1.350617))",restaurant,,,,yes,Campus Club House,07:00-22:00,,"[976461707, 976461708, 976461709, 976461710, 976461711, 976461712, 976461713, 5058367000, 5058366999, 976461714, 976461715, 976461716, 3736547006, 976461707]",,,,,,,,,,,,,,,+65 6794 6138,,,,,,,,,,,,,,,,,,,,,,
way,83889023,"POLYGON ((103.68796 1.3515385, 103.6879578 1.3513508, 103.6878759 1.3513495, 103.6878552 1.3513951, 103.6878245 1.3514204, 103.6877825 1.3514402, 103.6877344 1.3514472, 103.6876802 1.3514404, 103.6876362 1.3514153, 103.6876018 1.3513805, 103.687586 1.3513403, 103.6875438 1.3513554, 103.6874148 1.3511517, 103.6879591 1.3509865, 103.6879657 1.3510587, 103.6884129 1.3510523, 103.6884102 1.3511808, 103.6881399 1.3511824, 103.6881422 1.3513758, 103.6884157 1.3513758, 103.6884171 1.3515384, 103.68796 1.3515385))",,,639673,Nanyang View,yes,Nanyang Executive Center,,,"[976462144, 976462145, 5058346674, 5058346678, 5058346675, 5058346677, 976462146, 5058346676, 976462147, 5058346679, 976462148, 976462149, 976462150, 976462151, 5058346673, 976462152, 976462153, 976462154, 976462155, 976462156, 976462157, 976462144]",,,,,60,,,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83889088,"POLYGON ((103.6825944 1.3511399, 103.6826506 1.3505642, 103.6835188 1.3506488, 103.6834626 1.3512246, 103.6825944 1.3511399))",,,,,yes,PUB Service Reservoir,,,"[976462959, 976462960, 976462961, 976462962, 976462959]",,,,,,,,,,,,,,,,,,,,reservoir,reservoir_covered,,,,,,,,,,,,,,,,
way,83889089,"POLYGON ((103.6837916 1.3512559, 103.6840403 1.3510191, 103.6845293 1.3515322, 103.6842806 1.351769, 103.6837916 1.3512559))",,,,,yes,PUB Service Reservoir,,,"[976462963, 976462964, 976462965, 976462966, 976462963]",,,,,,,,,,,,,,,,,,,,reservoir,reservoir_covered,,,,,,,,,,,,,,,,
way,83889090,"POLYGON ((103.6837399 1.3525778, 103.6839836 1.352355, 103.6847813 1.3532269, 103.6845376 1.3534497, 103.6837399 1.3525778))",,,,,yes,PUB Service Reservoir,,,"[976462967, 976462968, 976462969, 976462970, 976462967]",,,,,,,,,,,,,,,,,,,,reservoir,reservoir_covered,,,,,,,,,,,,,,,,
way,83889191,"POLYGON ((103.6817878 1.3500142, 103.6818993 1.3498348, 103.6820764 1.3499448, 103.6819649 1.3501242, 103.6817878 1.3500142))",,,,,yes,,,,"[976464111, 976464113, 976464115, 976464116, 976464111]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83889441,"POLYGON ((103.6825839 1.3482809, 103.6825798 1.3471597, 103.6829383 1.3471584, 103.6829622 1.3471583, 103.6829624 1.3472039, 103.6829462 1.3472039, 103.6829471 1.3474457, 103.6828931 1.3474459, 103.6828933 1.3475223, 103.6829538 1.3475221, 103.6829551 1.3478848, 103.6829099 1.3478849, 103.6829102 1.347962, 103.6829518 1.3479619, 103.6829524 1.348124, 103.6828489 1.3481244, 103.6828497 1.3483562, 103.6824482 1.3483577, 103.6824479 1.3482814, 103.6825839 1.3482809))",,,,,university,,,,"[976466718, 5191172641, 5191172674, 8906657226, 8906657239, 5191172642, 8906657238, 8906657237, 8906657236, 8906657235, 8906657234, 8906657233, 8906657232, 8906657231, 976466720, 5191172643, 5191172644, 8906657230, 8906657229, 976466718]",,,N3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83889958,"POLYGON ((103.681186 1.3478067, 103.6812305 1.3476619, 103.6812953 1.347556, 103.6813327 1.3474985, 103.6813747 1.3474479, 103.6814335 1.3473944, 103.6814787 1.3473613, 103.681497 1.3473479, 103.6815853 1.3473014, 103.681676 1.3472642, 103.6817781 1.3472329, 103.6818156 1.3472286, 103.6819723 1.3472318, 103.6819598 1.3474026, 103.6819585 1.3475765, 103.6819641 1.3477496, 103.6819764 1.3479174, 103.6819352 1.3479184, 103.6818922 1.3479156, 103.6818595 1.347909, 103.681825 1.3479005, 103.6817973 1.3478929, 103.6817696 1.3478832, 103.6817454 1.3478717, 103.6817239 1.3478589, 103.6816842 1.3478295, 103.6816549 1.3478082, 103.6816225 1.3477949, 103.6815893 1.3477873, 103.68156 1.3477852, 103.681526 1.3477845, 103.6814923 1.3477874, 103.6814265 1.3478083, 103.6814034 1.3478103, 103.6813786 1.3478125, 103.6813281 1.3478202, 103.6812747 1.3478185, 103.681186 1.3478067))",,Singapore,636922,Nanyang Drive,college,The Arc - Learning Hub North,,,"[5191172677, 5652235053, 5244298967, 5652235054, 5652235052, 5652235055, 5652235089, 976471779, 5652235056, 5652235051, 5652235057, 5652235093, 976471780, 6876435482, 6876435480, 6876435481, 976470828, 6876435479, 6876435477, 6876435478, 5652235043, 5652235044, 5652235041, 5652235045, 5652235042, 5606970678, 6876435483, 5652235038, 5652235039, 5652235036, 5652235040, 5652235037, 5191172676, 5652235076, 5652235050, 5652235048, 5652235049, 5191172677]",,,,,63,,,,,,,,,NTU,,,,,,,,university,,,,,,,,,,,,,,,
way,83889959,"POLYGON ((103.6822033 1.3479765, 103.6822032 1.3472284, 103.6823242 1.3472284, 103.682482 1.3472283, 103.6824821 1.3479764, 103.6822033 1.3479765))",,,,,university,,,,"[976470829, 976471781, 4836265028, 976471782, 9905031464, 976470829]",,,N3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,83889960,"POLYGON ((103.6825451 1.3463712, 103.6825448 1.3468492, 103.6823282 1.3468491, 103.6818178 1.3468487, 103.6816209 1.3468486, 103.6816213 1.3463706, 103.6818151 1.3463707, 103.6823306 1.3463711, 103.6825451 1.3463712))",,Singapore,637335,Nanyang Drive,university,Academic Block North,,,"[976471786, 976470836, 5191172637, 5191172638, 976470833, 976471783, 5191172635, 5191172636, 976471786]",,,,,61,wlan,,,,,,,,NTU,,,,,,,,,,,,,,,,,,,,,,,
way,83890075,"POLYGON ((103.6811912 1.346761, 103.6812459 1.3467605, 103.6812463 1.3467997, 103.6814999 1.3467968, 103.6814988 1.346702, 103.681516 1.3467018, 103.6815139 1.3465156, 103.681496 1.3465158, 103.681495 1.3464286, 103.6812465 1.3464314, 103.681247 1.3464764, 103.6811881 1.346477, 103.6811912 1.346761))",,,,,university,LT2A,,,"[976471348, 8906713951, 8906713952, 976471350, 8906713956, 8906713954, 8906713953, 8906713955, 976471351, 8906713950, 8906713949, 976471349, 976471348]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115096970,"POLYGON ((103.6884593 1.3516332, 103.6884558 1.3517589, 103.6885537 1.3517659, 103.6886375 1.3517834, 103.6887388 1.3518218, 103.6888175 1.3518601, 103.6888821 1.3519161, 103.688945 1.3519755, 103.6889974 1.3520558, 103.6890428 1.3521467, 103.6890813 1.3522794, 103.6890848 1.3523702, 103.6890673 1.352482, 103.6890481 1.3525623, 103.6890133 1.3526515, 103.6889764 1.3527195, 103.6889101 1.3527754, 103.6888646 1.3528173, 103.6889485 1.3529361, 103.6890428 1.3528732, 103.6891092 1.3527859, 103.6891616 1.3526741, 103.6892001 1.3525728, 103.6892245 1.3524925, 103.6892315 1.3523772, 103.6892175 1.3522619, 103.6891931 1.3521571, 103.6891581 1.3520663, 103.6891197 1.3519825, 103.6890603 1.3519056, 103.6889869 1.3518148, 103.6889205 1.3517589, 103.6888278 1.3517068, 103.6887284 1.3516646, 103.6885921 1.3516367, 103.6884593 1.3516332))",,Singapore,637664,Nanyang Crescent,yes,Nanyang Meadows Staff Housing NTU,,,"[1301852916, 1301853257, 1301853054, 1301852858, 1301853543, 1301853337, 1301853312, 1301853103, 1301852908, 1301853601, 1301853385, 1301853193, 1301852995, 1301853717, 1301853134, 1301852926, 1301853632, 1301853410, 1301853220, 1301853018, 1301852822, 1301853500, 1301852954, 1301853665, 1301853440, 1301853246, 1301853046, 1301852852, 1301853525, 1301853329, 1301853689, 1301853463, 1301853273, 1301853065, 1301852876, 1301852916]",,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115096972,"POLYGON ((103.689346 1.3514459, 103.689347 1.3515043, 103.6893662 1.3515228, 103.6893244 1.3515676, 103.6892622 1.3515679, 103.6892703 1.3516442, 103.6893513 1.3517197, 103.6893515 1.3517837, 103.6894237 1.3517833, 103.689527 1.3516898, 103.6895887 1.351689, 103.6895866 1.3515847, 103.68961 1.351562, 103.6896689 1.3515597, 103.6896678 1.3514881, 103.6895762 1.3513959, 103.6895748 1.3513414, 103.6895131 1.3513363, 103.6893923 1.351445, 103.689346 1.3514459))",,,,,yes,,,,"[1301853609, 5190755741, 5190755744, 5190755743, 5190755742, 1301853061, 5190755737, 1301852872, 5190755736, 1301853554, 1301853351, 1301853725, 5190755739, 5190755738, 1301853474, 5190755740, 1301853289, 1301853086, 1301852889, 1301853609]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331315,"POLYGON ((103.6891939 1.3554317, 103.6894204 1.3552865, 103.6892946 1.3550903, 103.6890946 1.3552184, 103.6891557 1.3553139, 103.6891292 1.3553308, 103.6891939 1.3554317))",,,,,yes,,,,"[1303506190, 1303506102, 1303506139, 1303506196, 1303506054, 1303506176, 1303506190]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331317,"POLYGON ((103.6892563 1.3554406, 103.6895539 1.3559047, 103.6897444 1.3557826, 103.6894468 1.3553185, 103.6892563 1.3554406))",,,,,yes,,,,"[1303506100, 1303506008, 1303506036, 1303506093, 1303506100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331318,"POLYGON ((103.6876104 1.3526877, 103.6876498 1.3526381, 103.6876981 1.3526802, 103.687742 1.3526251, 103.6878449 1.3527008, 103.6878772 1.3526587, 103.6879213 1.352691, 103.6879563 1.3526446, 103.6880417 1.3527064, 103.6880817 1.3526591, 103.6881208 1.3526866, 103.6881653 1.3526281, 103.68826 1.3526959, 103.6882941 1.3526509, 103.6883291 1.3526744, 103.6883689 1.3526231, 103.6884566 1.3526914, 103.688484 1.3526572, 103.6885216 1.3526855, 103.6885688 1.3526305, 103.6884492 1.352534, 103.688421 1.3525689, 103.688396 1.3525475, 103.6883579 1.352596, 103.6882626 1.3525295, 103.6882323 1.3525688, 103.6881955 1.3525448, 103.6881471 1.3526108, 103.6880483 1.3525384, 103.6880193 1.352574, 103.6879911 1.3525528, 103.687947 1.3526039, 103.6878413 1.352533, 103.687812 1.3525712, 103.6877737 1.352544, 103.6877261 1.3526092, 103.6876378 1.3525254, 103.6876018 1.3525721, 103.6875643 1.3525411, 103.6875138 1.3526014, 103.6876104 1.3526877))",,,,,yes,,,,"[1303506148, 5058345987, 5058345986, 1303506195, 5058345984, 5058345983, 5058345982, 5058345978, 5058345977, 5058345976, 5058345975, 5058345969, 5058345968, 5058345967, 5058345964, 5058345962, 5058345959, 5058345958, 5058345956, 1303506182, 1303506019, 5058345957, 5058345960, 5058345961, 5058345963, 5058345965, 5058345966, 5058345970, 5058345971, 5058345972, 5058345973, 5058345974, 5058345979, 5058345980, 5058345981, 5058345985, 5058345988, 1303506067, 1303506126, 5058345989, 1303506148]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331319,"POLYGON ((103.6897204 1.3563195, 103.6898492 1.3563825, 103.6899516 1.3561734, 103.6898228 1.3561104, 103.6897204 1.3563195))",,,,,yes,,,,"[1303506096, 1303506199, 1303506056, 1303506075, 1303506096]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331320,"POLYGON ((103.6869911 1.350696, 103.6870774 1.3508426, 103.6875663 1.3507133, 103.6875289 1.3505724, 103.687296 1.350558, 103.6871867 1.3506356, 103.68704 1.3506385, 103.6869911 1.350696))",,,,,yes,Nanyang Heights,,,"[1303506121, 1303506064, 1303506117, 1303506130, 1303506170, 1303506037, 1303506098, 1303506121]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331322,"POLYGON ((103.689524 1.3561212, 103.6896594 1.3561929, 103.689722 1.3560747, 103.6895866 1.3560031, 103.689524 1.3561212))",,,,,yes,Lien ying chow drive,,,"[1303506178, 1303506119, 1303506134, 1303506172, 1303506178]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331324,"POLYGON ((103.6863625 1.3506618, 103.6862679 1.3506744, 103.6862478 1.3506854, 103.6861993 1.3506584, 103.6861567 1.3507112, 103.6861741 1.3507401, 103.6861145 1.3507899, 103.6860873 1.3507585, 103.6860367 1.3507846, 103.686048 1.350837, 103.6859977 1.3508955, 103.6859954 1.3509683, 103.6860332 1.35103, 103.6860629 1.351016, 103.6860814 1.3510463, 103.6861425 1.3510192, 103.6861171 1.3509608, 103.686116 1.3509305, 103.6861206 1.350919, 103.6861451 1.350941, 103.6861778 1.3509036, 103.6861607 1.35085, 103.6862121 1.3508083, 103.6862751 1.3508322, 103.6863508 1.3507978, 103.6863893 1.3508343, 103.6864351 1.350785, 103.6864085 1.3507599, 103.6864396 1.3507257, 103.6863625 1.3506618))",,,,,yes,Nanyang Heights,,,"[1303506132, 10143513604, 10143513603, 1303506058, 10143513593, 10143513595, 10143513594, 10143513592, 1303506123, 10143513598, 10143513597, 1303506155, 10143513599, 10143513602, 1303506180, 1303506031, 10143513596, 10143513607, 10143513606, 10143513605, 1303506108, 1303506145, 10143513590, 10143513591, 1303506166, 1303506012, 10143513600, 1303506079, 10143513601, 1303506132]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,115331325,"POLYGON ((103.686132 1.3518862, 103.6862931 1.3518862, 103.6862894 1.3515574, 103.6864274 1.3513648, 103.6869796 1.3510686, 103.6868991 1.3509335, 103.6867726 1.3508846, 103.686577 1.3509651, 103.6865712 1.35106, 103.686554 1.3511261, 103.6864677 1.3511808, 103.6863325 1.3511865, 103.68616 1.351336, 103.686132 1.3518862))",,,,,yes,Nanyang Heights,,,"[1303506038, 1303506164, 1303506183, 1303506035, 1303506109, 1303506150, 1303506168, 1303506020, 1303506091, 1303506128, 1303506152, 1303506194, 1303506071, 1303506038]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
