element_type,osmid,geometry,amenity,addr:city,addr:postcode,addr:street,building,name,opening_hours,website,nodes,building:levels,layer,name:en,name:ms,addr:housenumber,internet_access,fixme:zh,name:zh,addr:country,addr:housename,description,name:zh-Hans,name:zh-Hant,operator,phone,source,tourism,healthcare,short_name,landuse,man_made,construction,parking,leisure,sport,wikidata,wikimedia_commons,wikipedia,fixme,access,bench,shelter_type,bin,ways,type,alt_name,start_date
way,49967851,"POLYGON ((103.6799939 1.3425825, 103.6802434 1.3423342, 103.6798856 1.3419846, 103.6799437 1.3419291, 103.6798553 1.3418367, 103.6797955 1.3418929, 103.6797247 1.341835, 103.6796849 1.3418154, 103.6796424 1.3418093, 103.6795858 1.3418103, 103.6795307 1.3418287, 103.6794484 1.3418963, 103.6794798 1.3419244, 103.6794036 1.3419987, 103.6799939 1.3425825))",,,,,university,Wee Kim Wee School of Communication and Information (WKWSCI),,,"[634846711, 634846720, 4965046846, 4965046847, 4965046848, 4965046839, 4965046844, 4965046845, 634846723, 4965046843, 4965046842, 4965046841, 4965046840, 634846725, 634846711]",,,Wee Kim Wee School of Communication and Information (WKWSCI),Sekolah Perhubungan dan Maklumat Wee Kim Wee,,,,黄金辉传播与信息学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967856,"POLYGON ((103.6832466 1.3439438, 103.6835865 1.3442905, 103.6836195 1.3443241, 103.6836918 1.3442534, 103.683667 1.3442281, 103.6833153 1.3438693, 103.6832839 1.343899, 103.6832664 1.3438805, 103.6833178 1.3438319, 103.6833388 1.3438541, 103.6833484 1.3438451, 103.6833677 1.3438655, 103.6833975 1.3438374, 103.6834503 1.3438821, 103.6834426 1.3438937, 103.6835218 1.3439461, 103.6835288 1.3439356, 103.6835819 1.3439707, 103.6835676 1.3439922, 103.6836436 1.3440424, 103.6836539 1.3440301, 103.6836962 1.344071, 103.6836818 1.3440856, 103.6837488 1.3441523, 103.6837612 1.3441416, 103.6837682 1.3441487, 103.6838013 1.3441828, 103.6838652 1.3441208, 103.6838317 1.3440863, 103.683822 1.3440763, 103.6839003 1.344, 103.6838365 1.3439346, 103.6837632 1.344006, 103.6837104 1.3439531, 103.6837741 1.343872, 103.6837017 1.343813, 103.6836355 1.3438946, 103.6835722 1.3438511, 103.6836317 1.3437646, 103.6835572 1.3437135, 103.6834942 1.3438052, 103.6834721 1.3437885, 103.6834202 1.3437368, 103.6834269 1.3437301, 103.6834591 1.3437622, 103.6834802 1.3437411, 103.6834464 1.3437074, 103.6835197 1.3436338, 103.6832191 1.3433207, 103.6830012 1.3435443, 103.6829689 1.3435129, 103.6828975 1.3435862, 103.6831624 1.3438585, 103.683133 1.3438898, 103.683194 1.3439472, 103.6832274 1.3439118, 103.6832535 1.3439364, 103.6832466 1.3439438))",,,,,university,School of Humanities and Social Sciences,,,"[5266206407, 5266219358, 5244309210, 5266206447, 5266219359, 5266206446, 5266206445, 5266206444, 5266206418, 5266206417, 5266206416, 5266206419, 5266206443, 5266206442, 5266206420, 5266206421, 5266206422, 5266206423, 5266206424, 5266206425, 5266206426, 5266206427, 5266206410, 5266206409, 5266206408, 5266219360, 5266206415, 5266206414, 5266219361, 5266206411, 5266206412, 5266206413, 5266206428, 5266206429, 5266206430, 5266206431, 5266206433, 5266206432, 5266206434, 5266206435, 5266206436, 5266206437, 5266206438, 5266206440, 5266206439, 5266206441, 5266206452, 5266206451, 634847357, 5266206450, 5266206449, 5266206448, 5266206406, 5266206405, 5266206404, 5266206403, 5266206402, 5266206407]",,1,School of Humanities and Social Sciences,,,,,人文社科院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967874,"POLYGON ((103.6792709 1.3436302, 103.6791628 1.3437488, 103.6792167 1.3437893, 103.6792807 1.3438115, 103.679359 1.3438134, 103.6794271 1.3437848, 103.6794596 1.3437502, 103.6794799 1.3437034, 103.6794941 1.3436586, 103.6794962 1.3436077, 103.6794927 1.343482, 103.6798675 1.3430938, 103.6797129 1.3429447, 103.6795833 1.3430731, 103.6794705 1.3429703, 103.6794852 1.3428249, 103.6792062 1.3427968, 103.6791782 1.3430741, 103.6792363 1.34308, 103.679202 1.3434508, 103.6791476 1.3435047, 103.6792017 1.3435569, 103.6791682 1.3435915, 103.6792211 1.3436426, 103.6792513 1.3436113, 103.6792709 1.3436302))",,Singapore,637553,Nanyang Drive,yes,Research Techno Plaza,,,"[634849319, 4965046829, 4965046836, 4965046832, 4965046835, 4965046831, 4965046838, 4965046834, 4965046837, 4965046833, 4965046830, 634849321, 5266262815, 5266262816, 5266262817, 634849323, 634849325, 4965046826, 4965046827, 4965046828, 634849327, 5266262814, 5266262813, 5266262811, 5266262812, 634849319]",6,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967875,"POLYGON ((103.6829383 1.3471584, 103.6825798 1.3471597, 103.6823254 1.3471576, 103.6818091 1.3471563, 103.6811923 1.347154, 103.6811926 1.3469451, 103.6818184 1.3469426, 103.6823275 1.3469459, 103.6828384 1.3469495, 103.6829367 1.3469505, 103.6829382 1.3470577, 103.6829383 1.3471584))",,,639798,Nanyang Avenue,university,School of Mechnical and Aerospace Engineering,,,"[5191172674, 5191172641, 4836265027, 5652235092, 634849311, 634849313, 5191172666, 4833987742, 5191172672, 634849334, 4174045255, 5191172674]",,1,School of Mechnical and Aerospace Engineering,Kejuruteraan Mekanikal dan Aeroangkasa,50,,,,SG,Block N3,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967883,"POLYGON ((103.6829655 1.3462876, 103.6829652 1.3461056, 103.6829652 1.3460855, 103.6812416 1.3460887, 103.6812417 1.3461201, 103.6811913 1.3461201, 103.6811915 1.3462022, 103.6811916 1.3462662, 103.6812431 1.3462661, 103.6812432 1.3462908, 103.6818152 1.3462898, 103.6823305 1.3462888, 103.6828409 1.3462879, 103.6829655 1.3462876))",,,639798,Nanyang Avenue,university,School of Computer Science and Engineering,,,"[634849756, 5244309196, 634849758, 5191172629, 5191172634, 5191172667, 9882332359, 5191172668, 5191172633, 5191172628, 4860964398, 4860964400, 5191172670, 634849756]",,1,School of Computer Science and Engineering,Sekolah Komputer Sains dan Kejuruteraan,,,,,SG,Block N4,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967895,"POLYGON ((103.6829977 1.3466206, 103.6829984 1.3464189, 103.6830328 1.346419, 103.6830331 1.3463369, 103.6828405 1.3463363, 103.6825928 1.3463354, 103.6825908 1.3469018, 103.6828388 1.3469027, 103.6829592 1.3469031, 103.683029 1.3469033, 103.6830292 1.3468256, 103.682997 1.3468254, 103.6829977 1.3466206))",,,639798,Nanyang Avenue,university,School of Materials Science and Engineering,,,"[3331303765, 8906657222, 8906657221, 634850294, 5191172669, 5191172630, 5191172632, 5191172671, 8906657223, 5191172631, 8906657224, 8906657225, 3331303765]",,,,,50,,,,SG,Block N4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49967975,"POLYGON ((103.678849 1.3456217, 103.6805549 1.3456048, 103.6805577 1.3458529, 103.6788517 1.3458697, 103.678849 1.3456217))",,,,,university,School of Civil and Environmental Engineering,,,"[634854553, 634854517, 634854523, 634854558, 634854553]",,,School of Civil and Environmental Engineering,Sekolah Kejuruteraan Awam dan Alam Sekitar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968001,"POLYGON ((103.6796572 1.3455532, 103.6796553 1.3452183, 103.6793629 1.34522, 103.6793627 1.3453482, 103.6792025 1.3453468, 103.6792014 1.3452287, 103.6788635 1.3452316, 103.6788624 1.3450995, 103.6788154 1.3451021, 103.6787663 1.3451175, 103.6787222 1.3451451, 103.6786827 1.3451784, 103.6786531 1.3452154, 103.678637 1.3452556, 103.6785982 1.3452557, 103.6785993 1.3455694, 103.6786249 1.3455693, 103.6786283 1.3455902, 103.6786524 1.3456022, 103.6786712 1.3456034, 103.6786714 1.3456261, 103.6786794 1.3456264, 103.6786814 1.3455714, 103.6789428 1.3455714, 103.6789428 1.3454936, 103.6791064 1.3454936, 103.6791064 1.3455473, 103.6792045 1.3455473, 103.6792034 1.3454364, 103.6793632 1.3454369, 103.6793639 1.3455548, 103.6796572 1.3455532))",,Singapore,637459,62 Nanyang Drive,university,School of Chemical and Biomedical Engineering (SCBE - CBE),,,"[5266263342, 5266263349, 5266263350, 5266263351, 5266263352, 5266263353, 4965046822, 5266263354, 5266263325, 634855430, 5266263355, 4965046620, 5266263326, 5266263333, 634855434, 634855415, 5266263332, 5266263328, 5266263327, 5266263330, 5266263329, 5266263331, 5266263334, 5266263335, 5266263336, 5266263337, 5266263338, 5266263339, 5266263340, 5266263341, 5266263343, 5266263342]",,,,,N1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968067,"POLYGON ((103.6794505 1.3448439, 103.6794533 1.3447391, 103.6794622 1.3446435, 103.6794799 1.3445569, 103.6796639 1.3445922, 103.6797078 1.3443815, 103.6796246 1.3443648, 103.6796441 1.3442645, 103.6790414 1.3441469, 103.6790208 1.3442525, 103.6789437 1.3442366, 103.6789171 1.3443605, 103.6789749 1.3443737, 103.6789519 1.3445135, 103.6789324 1.3446798, 103.6789253 1.3448405, 103.6789236 1.3449331, 103.6788676 1.3449336, 103.678867 1.3450522, 103.6789413 1.3450519, 103.6789416 1.3451373, 103.6801727 1.3451327, 103.6801724 1.3450379, 103.6802141 1.3450377, 103.6802177 1.344933, 103.6801488 1.3449333, 103.6800879 1.3449335, 103.6800877 1.3448971, 103.6800876 1.3448617, 103.6797971 1.344863, 103.6797974 1.3449366, 103.679619 1.3449373, 103.6796186 1.3448432, 103.6794505 1.3448439))",,,,,university,School of Biological Sciences,,,"[634857931, 5177742197, 5177742198, 5177742199, 5177742196, 5177742195, 5177742194, 634857935, 634857938, 5177742193, 5177742192, 5177742191, 5177742190, 5177742188, 5177742187, 5177742189, 5177742186, 5177742185, 634857940, 5266262810, 5266262809, 5266262808, 5266262807, 634857942, 4280535994, 5304283108, 5177742204, 5304283116, 5177742205, 5177742203, 5177742202, 5177742201, 5177742200, 634857931]",,,School of Biological Sciences,Sekolah Sains Biologi NTU,,,,生物科学学院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968075,"POLYGON ((103.6788287 1.3467293, 103.6788287 1.3466076, 103.6788287 1.3465179, 103.6805569 1.3465088, 103.6805569 1.3467171, 103.6790105 1.346728, 103.6788287 1.3467293))",,,,,university,Asian School of the Environment,,,"[634858969, 5244298974, 634858978, 634858947, 634858951, 5244298975, 634858969]",5,1,Asian School of the Environment,Sekolah Alam Sekitar Asia NTU,,,,,,,"Earth Observatory Singapore, Business Library, Asian School of the Environment, LT20, Exam Hall C",,,,,,,,,,,,,,,,,,,,,,,,,,
way,49968086,"POLYGON ((103.6782062 1.3454267, 103.6783095 1.3450467, 103.6782957 1.3450156, 103.678262 1.344995, 103.6782278 1.344997, 103.6781985 1.3450187, 103.6781286 1.3452575, 103.6781103 1.3452527, 103.6780739 1.3453921, 103.6782062 1.3454267))",,,,,university,Research Support Building,,,"[634860033, 634860043, 5266343547, 5266343546, 634860045, 634860046, 5266343544, 5266343545, 634860057, 634860033]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
