element_type,osmid,amenity,name,name:en,name:ms,name:zh,geometry,level
node,2247504654,library,Lee Wee Nam Library,Lee Wee Nam Library,Perpustakaan Lee Wee Nam,李伟南图书馆,POINT (103.6809281 1.347689),
node,7169785192,library,Business Library,,,商学院图书馆,POINT (103.6799653 1.3466374),B2
