element_type,osmid,nodes,building,building:levels,geometry
way,496441477,"[4881499232, 4881499233, 4881499234, 4881499235, 4881499232]",yes,4,"POLYGON ((121.4914622 31.3056712, 121.4920063 31.3058734, 121.4919219 31.3060393, 121.4913777 31.305837, 121.4914622 31.3056712))"
way,496441478,"[4881499236, 4881499237, 4881499238, 4881499239, 4881499240, 4881499241, 4881499247, 4881499242, 4881499243, 4881499244, 4881499245, 4881499246, 4881499236]",yes,4,"POLYGON ((121.491815 31.3051417, 121.4923106 31.3053286, 121.4924213 31.3051144, 121.4923222 31.305077, 121.4922872 31.3051446, 121.4921817 31.3051048, 121.49217 31.3051223, 121.4920683 31.3050852, 121.4920781 31.3050658, 121.491974 31.3050265, 121.4920079 31.3049607, 121.4919247 31.3049293, 121.491815 31.3051417))"
way,496441479,"[4881499248, 4881499249, 4881499250, 4881499251, 4881499252, 4881499253, 4881499254, 4881499255, 4881499248]",yes,4,"POLYGON ((121.4920965 31.3059343, 121.492257 31.3059986, 121.4925835 31.3054039, 121.4924303 31.3053425, 121.4922899 31.3055983, 121.492257 31.3055851, 121.4921935 31.3057008, 121.492219 31.305711, 121.4920965 31.3059343))"
way,496441480,"[4881499256, 4881499257, 4881499258, 4881499259, 4881499256]",apartments,12,"POLYGON ((121.4948558 31.3040566, 121.4953246 31.3039192, 121.4952694 31.3037815, 121.4948005 31.3039189, 121.4948558 31.3040566))"
way,496441481,"[4881499260, 4881499261, 4881499262, 4881499263, 4881499260]",apartments,14,"POLYGON ((121.494981 31.3043713, 121.4954726 31.30426, 121.4954342 31.3041361, 121.4949426 31.3042474, 121.494981 31.3043713))"
way,496441482,"[4881499264, 4881499265, 4881499266, 4881499267, 4881499264]",apartments,14,"POLYGON ((121.4949761 31.3046989, 121.4953645 31.3047452, 121.4953834 31.3046297, 121.494995 31.3045834, 121.4949761 31.3046989))"
way,496441483,"[4881499268, 4881499269, 4881499270, 4881499271, 4881499268]",apartments,14,"POLYGON ((121.494928 31.3049267, 121.4948901 31.305046, 121.4952597 31.3051315, 121.4952975 31.3050122, 121.494928 31.3049267))"
way,496441484,"[4881499272, 4881499273, 4881499274, 4881499275, 4881499272]",apartments,,"POLYGON ((121.4956448 31.3044284, 121.4963045 31.304486, 121.4962875 31.3046282, 121.4956278 31.3045706, 121.4956448 31.3044284))"
way,498522027,"[4899165991, 4899165992, 4899165993, 4899165994, 4899165991]",yes,3,"POLYGON ((121.4914401 31.3062502, 121.4915476 31.3060409, 121.4919997 31.3062102, 121.4918923 31.3064196, 121.4914401 31.3062502))"
way,498522028,"[4899165995, 4899165996, 4899165997, 4899165998, 4899165999, 4899166000, 4899165995]",yes,3,"POLYGON ((121.4916693 31.3067583, 121.4918123 31.3067232, 121.4919521 31.3067695, 121.4920198 31.3067695, 121.4920333 31.3068098, 121.491713 31.3068883, 121.4916693 31.3067583))"
way,498522029,"[4899166001, 4899166002, 4899166003, 4899166004, 4899166001]",yes,7,"POLYGON ((121.4920785 31.3070035, 121.4921191 31.3069193, 121.492519 31.30706, 121.4924785 31.3071442, 121.4920785 31.3070035))"
way,498522030,"[4899166005, 4899166006, 4899166007, 4899166008, 4899166005]",yes,3,"POLYGON ((121.4926042 31.3070937, 121.4929571 31.3072328, 121.4928924 31.3073526, 121.4925395 31.3072135, 121.4926042 31.3070937))"
way,498522031,"[4899166009, 4899166010, 4899166011, 4899166012, 4899166009]",yes,3,"POLYGON ((121.4929669 31.3073845, 121.4930307 31.3072659, 121.4933907 31.3074075, 121.4933269 31.307526, 121.4929669 31.3073845))"
way,498522032,"[4899166013, 4899166014, 4899166015, 4899166016, 4899166017, 4899166018, 4899166019, 4899166020, 4899166013]",yes,6,"POLYGON ((121.4934839 31.3075584, 121.4935186 31.30749, 121.4935832 31.3075139, 121.4936138 31.3074534, 121.4940062 31.3075983, 121.4939665 31.3076767, 121.4938683 31.3076404, 121.4938427 31.307691, 121.4934839 31.3075584))"
way,498522033,"[4899170021, 4899170022, 4899170029, 4899170032, 4899170023, 4899170024, 4899170021]",yes,6,"POLYGON ((121.4936928 31.3072515, 121.4937767 31.3070946, 121.4938559 31.3071261, 121.4939951 31.3071773, 121.4942148 31.3072658, 121.4941308 31.3074227, 121.4936928 31.3072515))"
way,498522034,"[4899170025, 4899170026, 4899170027, 4899170028, 4899170031, 4899170030, 4899170025]",yes,6,"POLYGON ((121.4938989 31.3068817, 121.4939875 31.3067169, 121.4944262 31.3068891, 121.4943376 31.3070539, 121.4941047 31.3069597, 121.4939655 31.3069085, 121.4938989 31.3068817))"
way,498522035,"[4899170029, 4899170030, 4899170031, 4899170032, 4899170029]",yes,2,"POLYGON ((121.4938559 31.3071261, 121.4939655 31.3069085, 121.4941047 31.3069597, 121.4939951 31.3071773, 121.4938559 31.3071261))"
way,498522036,"[4899170033, 4899170034, 4899170035, 4899170036, 4899170037, 4899170038, 4899170039, 4899170040, 4899170041, 4899170048, 4899170047, 4899170042, 4899170044, 4899170043, 4899170033]",yes,3,"POLYGON ((121.4940979 31.3066181, 121.4941477 31.3065211, 121.494201 31.306541, 121.4943363 31.3062771, 121.4942775 31.306255, 121.494325 31.3061624, 121.4946734 31.3062928, 121.4946242 31.3063887, 121.4944258 31.3063144, 121.4943833 31.3063972, 121.4943478 31.3064658, 121.4942909 31.3065767, 121.4944865 31.3066499, 121.4944377 31.3067452, 121.4940979 31.3066181))"
way,498522037,"[4899170045, 4899170046, 4899170047, 4899170048, 4899170049, 4899170050, 4899170051, 4899170052, 4899170045]",yes,3,"POLYGON ((121.4944192 31.3065991, 121.4944659 31.306512, 121.4943478 31.3064658, 121.4943833 31.3063972, 121.4944832 31.3064362, 121.4945162 31.3063746, 121.4946537 31.3064283, 121.4945374 31.3066453, 121.4944192 31.3065991))"
way,498522038,"[4899170053, 4899170054, 4899170055, 4899170056, 4899170053]",yes,3,"POLYGON ((121.4943673 31.3060923, 121.4944265 31.3059802, 121.4948202 31.306132, 121.4947609 31.3062441, 121.4943673 31.3060923))"
way,498522039,"[4899170057, 4899170058, 4899170059, 4899170060, 4899170057]",yes,3,"POLYGON ((121.4944937 31.3058859, 121.4945533 31.3057685, 121.4949528 31.3059169, 121.4948931 31.3060342, 121.4944937 31.3058859))"
way,498522040,"[4899170061, 4899170062, 4899170063, 4899170064, 4899170061]",yes,3,"POLYGON ((121.4945715 31.3056602, 121.4946423 31.3055146, 121.4950882 31.3056729, 121.4950174 31.3058185, 121.4945715 31.3056602))"
way,498522041,"[4899170065, 4899170066, 4899170067, 4899170068, 4899170065]",yes,3,"POLYGON ((121.4947888 31.3053264, 121.4948545 31.3051972, 121.4952213 31.3053335, 121.4951556 31.3054626, 121.4947888 31.3053264))"
way,498522042,"[4899170069, 4899170070, 4899170071, 4899170072, 4899170069]",yes,2,"POLYGON ((121.4942382 31.3056761, 121.4942935 31.3055662, 121.4943674 31.3055934, 121.4943121 31.3057033, 121.4942382 31.3056761))"
way,498522043,"[4899170073, 4899170074, 4899170075, 4899170076, 4899170073]",yes,3,"POLYGON ((121.4938581 31.305301, 121.4944213 31.305515, 121.4944922 31.3053787, 121.493929 31.3051648, 121.4938581 31.305301))"
way,498522044,"[4899170077, 4899170078, 4899170079, 4899170080, 4899170077]",yes,5,"POLYGON ((121.4931284 31.3050181, 121.4932014 31.3048779, 121.4937972 31.3051044, 121.4937242 31.3052447, 121.4931284 31.3050181))"
way,498522045,"[4899170081, 4899170082, 4899170083, 4899170084, 4899170081]",yes,2,"POLYGON ((121.492913 31.305125, 121.4929825 31.3049987, 121.4930985 31.3050453, 121.493029 31.3051716, 121.492913 31.305125))"
way,498522046,"[4899170085, 4899170086, 4899170087, 4899170088, 4899170085]",yes,1,"POLYGON ((121.4928521 31.3053863, 121.4929019 31.3052949, 121.4929888 31.3053295, 121.4929391 31.3054209, 121.4928521 31.3053863))"
way,498522047,"[4899170089, 4899170090, 4899170091, 4899170092, 4899170089]",yes,1,"POLYGON ((121.4923909 31.3057665, 121.4924347 31.3057849, 121.4924963 31.3056774, 121.4924525 31.3056591, 121.4923909 31.3057665))"
way,498522054,"[4899170221, 4899170222, 4899170223, 4899170224, 4899170221]",yes,14,"POLYGON ((121.4948598 31.3065099, 121.4953674 31.3066935, 121.4952474 31.3069357, 121.4947398 31.3067521, 121.4948598 31.3065099))"
way,980764385,"[9072489284, 9072489285, 9072489286, 9072489287, 9072489284]",yes,,"POLYGON ((121.487021 31.3078649, 121.4875298 31.3078598, 121.4875282 31.3077431, 121.4870194 31.3077483, 121.487021 31.3078649))"
