element_type,osmid,amenity,name,name:zh,name:zh-Hans,name:zh-Hant,geometry,nodes
node,875464803,parking,学19楼停车场,学19楼停车场,学19楼停车场,學19樓停車場,POINT (116.3424088 39.9914874),
way,868296037,parking,,,,,"POLYGON ((116.3358015 39.9892471, 116.3358308 39.9887856, 116.3352301 39.9887633, 116.3352009 39.9892247, 116.3358015 39.9892471))","[8093518725, 8093518726, 8093518727, 8093518728, 8093518725]"
