u,v,key,osmid,highway,oneway,reversed,length,name,geometry
746856318,746856580,0,60110710,residential,False,False,165.392,,"LINESTRING (116.3400448 39.9507258, 116.3381531 39.9503951)"
746856318,2720479580,0,60110776,residential,False,False,44.244,科苑路,"LINESTRING (116.3400448 39.9507258, 116.340141 39.9503348)"
746856318,746856472,0,60110710,residential,False,True,63.492,,"LINESTRING (116.3400448 39.9507258, 116.3401182 39.9507395, 116.3402372 39.9507616, 116.3403654 39.9508197, 116.340485 39.9509359, 116.3406424 39.9510364)"
746856360,746856718,0,60110794,residential,False,False,81.087,,"LINESTRING (116.3375625 39.9524138, 116.3366445 39.9522226)"
746856360,746856431,0,60110816,residential,False,False,128.82,,"LINESTRING (116.3375625 39.9524138, 116.3378916 39.9512831)"
746856372,2081852685,0,60110826,residential,False,False,103.008,红果园路,"LINESTRING (116.3367619 39.9511414, 116.33702 39.9502364)"
746856372,6318274272,0,933209327,residential,False,True,5.561,知行大道,"LINESTRING (116.3367619 39.9511414, 116.3368269 39.9511457)"
746856372,746856478,0,60110782,residential,False,False,73.68599999999999,知行大道,"LINESTRING (116.3367619 39.9511414, 116.3366156 39.9511163, 116.3363769 39.9510752, 116.3359184 39.9509964)"
746856431,4177637246,0,60110732,residential,False,True,84.688,知行大道,"LINESTRING (116.3378916 39.9512831, 116.3388635 39.9514411)"
746856431,746856360,0,60110816,residential,False,True,128.82,,"LINESTRING (116.3378916 39.9512831, 116.3375625 39.9524138)"
746856431,5117734209,0,933209327,residential,False,False,51.628,知行大道,"LINESTRING (116.3378916 39.9512831, 116.337296 39.9511988)"
746856472,2720469572,0,60110705,residential,False,True,75.499,,"LINESTRING (116.3406424 39.9510364, 116.3404496 39.9516991)"
746856472,746856318,0,60110710,residential,False,False,63.492,,"LINESTRING (116.3406424 39.9510364, 116.340485 39.9509359, 116.3403654 39.9508197, 116.3402372 39.9507616, 116.3401182 39.9507395, 116.3400448 39.9507258)"
746856478,2081852683,0,197993816,residential,False,False,103.391,明湖路,"LINESTRING (116.3359184 39.9509964, 116.3361724 39.9500872)"
746856478,2081857351,0,60110782,residential,False,False,82.444,知行大道,"LINESTRING (116.3359184 39.9509964, 116.3358501 39.9509806, 116.3349746 39.9508351)"
746856478,746856372,0,60110782,residential,False,True,73.68599999999999,知行大道,"LINESTRING (116.3359184 39.9509964, 116.3363769 39.9510752, 116.3366156 39.9511163, 116.3367619 39.9511414)"
746856478,2081857364,0,197993954,residential,False,True,115.311,,"LINESTRING (116.3359184 39.9509964, 116.3358462 39.9513051, 116.3359139 39.9513437, 116.3365808 39.951464, 116.3367426 39.9514146)"
746856485,2720479569,0,526224704,residential,False,False,39.509,红果园路,"LINESTRING (116.3371389 39.9483007, 116.3370369 39.9486473)"
746856485,2720479570,0,266510291,unclassified,False,False,120.042,天佑大道,"LINESTRING (116.3371389 39.9483007, 116.3372236 39.9483166, 116.3380569 39.9484734, 116.3379521 39.9488191)"
746856485,746856603,0,526224706,residential,False,True,166.05499999999998,天佑大道,"LINESTRING (116.3371389 39.9483007, 116.3354495 39.9480048, 116.3352419 39.9480478)"
746856493,2720479576,0,60110704,residential,False,False,74.621,芳华路,"LINESTRING (116.3385029 39.9491147, 116.3393588 39.9492555)"
746856493,2720479574,0,60110704,residential,False,True,51.186,芳华路,"LINESTRING (116.3385029 39.9491147, 116.3383717 39.9495639)"
746856493,2720479568,0,266510291,unclassified,False,True,53.155,天佑大道,"LINESTRING (116.3385029 39.9491147, 116.3380248 39.9490266, 116.3378966 39.949003)"
746856533,746856612,0,60110798,residential,False,False,85.451,银杏大道,"LINESTRING (116.3333116 39.9496509, 116.3342816 39.9498448)"
746856533,2720470487,0,60110801,residential,False,False,30.455,积秀路,"LINESTRING (116.3333116 39.9496509, 116.3333929 39.9493842)"
746856533,11173604232,0,60110801,residential,False,True,43.241,积秀路,"LINESTRING (116.3333116 39.9496509, 116.3332113 39.9500321)"
746856564,2081852683,0,60110831,residential,False,False,36.661,银杏大道,"LINESTRING (116.3365912 39.9501622, 116.3361724 39.9500872)"
