element_type,osmid,nodes,building,geometry
way,729205908,"[6831830777, 6831830775, 6831830774, 6831830773, 6831830777]",yes,"POLYGON ((113.6555935 34.7842367, 113.655597 34.7845711, 113.6558564 34.7845693, 113.655853 34.7842349, 113.6555935 34.7842367))"
way,729205909,"[6831830779, 6831830776, 6831830775, 6831830777, 6831830778, 6831830779]",yes,"POLYGON ((113.6554259 34.784598, 113.6555972 34.7845968, 113.655597 34.7845711, 113.6555935 34.7842367, 113.6554222 34.7842379, 113.6554259 34.784598))"
way,729205910,"[6831830783, 6831830780, 6831830781, 6831830782, 6831830783]",yes,"POLYGON ((113.6550893 34.7845991, 113.6554026 34.7845969, 113.6554018 34.7845165, 113.6550885 34.7845186, 113.6550893 34.7845991))"
way,729205911,"[6831830787, 6831830784, 6831830785, 6831830786, 6831830787]",yes,"POLYGON ((113.654923 34.7846079, 113.6550579 34.784607, 113.6550544 34.7842631, 113.6549195 34.7842641, 113.654923 34.7846079))"
way,729205912,"[6831830791, 6831830790, 6831830789, 6831830788, 6831830791]",yes,"POLYGON ((113.652859 34.7840736, 113.6528563 34.7838082, 113.6534494 34.7838042, 113.6534521 34.7840696, 113.652859 34.7840736))"
way,729205913,"[6831830799, 6831830797, 6831830794, 6831830793, 6831830792, 6831830795, 6831830798, 6831830796, 6831830791, 6831830790, 6831830800, 6831830801, 6831830802, 6831830799]",yes,"POLYGON ((113.6526538 34.7845539, 113.652993 34.7845516, 113.6530548 34.7845291, 113.6530964 34.7845005, 113.6531192 34.7844768, 113.6531507 34.7844174, 113.6531495 34.784305, 113.6528614 34.784307, 113.652859 34.7840736, 113.6528563 34.7838082, 113.652855 34.7836827, 113.6525492 34.7836848, 113.6525573 34.7844768, 113.6526538 34.7845539))"
way,729205914,"[6831830810, 6831830806, 6831830804, 6831830803, 6831830805, 6831830807, 6831830808, 6831830809, 6831830810]",yes,"POLYGON ((113.652501 34.7834745, 113.6526619 34.7834734, 113.6526609 34.7833758, 113.6529694 34.7833737, 113.6529704 34.7834713, 113.653188 34.7834698, 113.6531849 34.7831683, 113.6524979 34.783173, 113.652501 34.7834745))"
way,729205915,"[6831830874, 6831830813, 6831830812, 6831830811, 6831830874]",yes,"POLYGON ((113.6524782 34.7825757, 113.6524794 34.7827012, 113.6526284 34.7827001, 113.6526271 34.7825747, 113.6524782 34.7825757))"
way,729205916,"[6831830817, 6831830816, 6831830815, 6831830814, 6831830817]",yes,"POLYGON ((113.6531179 34.7827466, 113.653117 34.7826585, 113.6529824 34.7826594, 113.6529833 34.7827475, 113.6531179 34.7827466))"
way,729205917,"[6831830821, 6831830818, 6831830819, 6831830817, 6831830814, 6831830820, 6831830821]",yes,"POLYGON ((113.6524892 34.7829248, 113.6531411 34.7829204, 113.6531393 34.7827464, 113.6531179 34.7827466, 113.6529833 34.7827475, 113.6524875 34.7827509, 113.6524892 34.7829248))"
way,729205919,"[6831830829, 6831830826, 6831830827, 6831830828, 6831830829]",yes,"POLYGON ((113.6531648 34.7825691, 113.6532637 34.7825684, 113.6532627 34.782471, 113.6531638 34.7824717, 113.6531648 34.7825691))"
way,729205920,"[6831830833, 6831830832, 6831830831, 6831830830, 6831830833]",yes,"POLYGON ((113.6533029 34.7824105, 113.6533005 34.7821689, 113.6531474 34.78217, 113.6531498 34.7824115, 113.6533029 34.7824105))"
way,729205924,"[6831830849, 6831830846, 6831830847, 6831830848, 6831830849]",yes,"POLYGON ((113.6524902 34.7819875, 113.6529862 34.7819841, 113.6529851 34.7818762, 113.6524891 34.7818796, 113.6524902 34.7819875))"
way,729205925,"[6831830854, 6831830852, 6831830851, 6831830850, 6831830854]",yes,"POLYGON ((113.6526686 34.7820382, 113.6526694 34.7821174, 113.6529811 34.7821153, 113.6529803 34.782036, 113.6526686 34.7820382))"
way,729205926,"[6831830856, 6831830853, 6831830852, 6831830854, 6831830855, 6831830856]",yes,"POLYGON ((113.6524862 34.7822485, 113.6526707 34.7822473, 113.6526694 34.7821174, 113.6526686 34.7820382, 113.6524841 34.7820394, 113.6524862 34.7822485))"
way,729205927,"[6831830861, 6831830860, 6831830859, 6831830858, 6831830857, 6831830861]",yes,"POLYGON ((113.652745 34.782297, 113.6527461 34.7824, 113.6527462 34.7824089, 113.6529972 34.7824071, 113.652996 34.7822953, 113.652745 34.782297))"
way,729205928,"[6831830873, 6831830870, 6831830860, 6831830861, 6831830862, 6831830873]",yes,"POLYGON ((113.6524764 34.7824018, 113.652572 34.7824012, 113.6527461 34.7824, 113.652745 34.782297, 113.6524753 34.7822989, 113.6524764 34.7824018))"
way,729205929,"[6831830874, 6831830811, 6831830871, 6831830872, 6831830865, 6831830864, 6831830863, 6831830866, 6831830867, 6831830868, 6831830869, 6831830870, 6831830873, 6831830874]",yes,"POLYGON ((113.6524782 34.7825757, 113.6526271 34.7825747, 113.6529869 34.7825722, 113.6529857 34.7824535, 113.6528349 34.7824546, 113.6528352 34.7824806, 113.652756 34.7824811, 113.6527558 34.7824551, 113.6526198 34.782456, 113.6526203 34.782503, 113.652573 34.7825033, 113.652572 34.7824012, 113.6524764 34.7824018, 113.6524782 34.7825757))"
way,729205930,"[6831830878, 6831830831, 6831830832, 6831830875, 6831830876, 6831830877, 6831830878]",yes,"POLYGON ((113.6530924 34.7821703, 113.6531474 34.78217, 113.6533005 34.7821689, 113.65367 34.7821664, 113.6536677 34.7819379, 113.6530901 34.7819419, 113.6530924 34.7821703))"
way,729205931,"[6831830885, 6831830883, 6831830882, 6831830879, 6831830880, 6831830881, 6831830885]",yes,"POLYGON ((113.655552 34.7814797, 113.6555504 34.781321, 113.6550714 34.7813243, 113.6550726 34.7814432, 113.6553762 34.7814411, 113.6553766 34.7814809, 113.655552 34.7814797))"
way,729205932,"[6831830887, 6831830884, 6831830885, 6831830881, 6831830886, 6831830887]",yes,"POLYGON ((113.6550611 34.7817374, 113.6555546 34.7817341, 113.655552 34.7814797, 113.6553766 34.7814809, 113.6550585 34.7814831, 113.6550611 34.7817374))"
way,729205933,"[6831830891, 6831830888, 6831830889, 6831830890, 6831830891]",yes,"POLYGON ((113.6543852 34.7814456, 113.6544847 34.7814449, 113.6544831 34.7812869, 113.6543836 34.7812876, 113.6543852 34.7814456))"
way,729205934,"[6831830903, 6831830892, 6831830893, 6831830894, 6831830903]",yes,"POLYGON ((113.6543684 34.781763, 113.6548895 34.7817594, 113.6548881 34.7816262, 113.654367 34.7816298, 113.6543684 34.781763))"
way,729205935,"[6831830898, 6831830897, 6831830896, 6831830895, 6831830898]",yes,"POLYGON ((113.6555721 34.7812869, 113.6555706 34.7811428, 113.6551067 34.7811459, 113.6551082 34.7812901, 113.6555721 34.7812869))"
way,729205936,"[6831830902, 6831830899, 6831830900, 6831830901, 6831830902]",yes,"POLYGON ((113.6543906 34.7812517, 113.6548934 34.7812482, 113.6548921 34.7811217, 113.6543893 34.7811252, 113.6543906 34.7812517))"
way,729205937,"[6831830906, 6831830903, 6831830894, 6831830904, 6831830905, 6831830906]",yes,"POLYGON ((113.6539127 34.7817661, 113.6543684 34.781763, 113.654367 34.7816298, 113.6543664 34.7815711, 113.6539108 34.7815743, 113.6539127 34.7817661))"
way,729205938,"[6831830909, 6831830906, 6831830905, 6831830907, 6831830908, 6831830909]",yes,"POLYGON ((113.6537549 34.7817672, 113.6539127 34.7817661, 113.6539108 34.7815743, 113.6539105 34.7815436, 113.6537526 34.7815447, 113.6537549 34.7817672))"
way,729205939,"[6831830913, 6831830910, 6831830911, 6831830912, 6831830913]",yes,"POLYGON ((113.6530843 34.781765, 113.6536119 34.7817614, 113.65361 34.7815799, 113.6530825 34.7815836, 113.6530843 34.781765))"
way,729205940,"[6831830916, 6831830917, 6831830915, 6831830914, 6831830916]",yes,"POLYGON ((113.6533969 34.781266, 113.6533955 34.7811294, 113.6536042 34.781128, 113.6536056 34.7812646, 113.6533969 34.781266))"
way,729205941,"[6831830919, 6831830916, 6831830917, 6831830918, 6831830919]",yes,"POLYGON ((113.6530803 34.7812682, 113.6533969 34.781266, 113.6533955 34.7811294, 113.6530789 34.7811316, 113.6530803 34.7812682))"
way,729205942,"[6831830923, 6831830920, 6831830921, 6831830922, 6831830923]",yes,"POLYGON ((113.6524862 34.7817694, 113.6528383 34.781767, 113.652832 34.7811475, 113.6524799 34.78115, 113.6524862 34.7817694))"
way,729205943,"[6831830927, 6831830924, 6831830925, 6831830926, 6831830927]",yes,"POLYGON ((113.6558779 34.7837686, 113.6564203 34.783767, 113.6564197 34.7836309, 113.6558773 34.7836325, 113.6558779 34.7837686))"
way,729205944,"[6831830931, 6831830928, 6831830929, 6831830930, 6831830931]",yes,"POLYGON ((113.6554849 34.783773, 113.6558275 34.783772, 113.6558269 34.7836331, 113.6554843 34.7836341, 113.6554849 34.783773))"
way,729205945,"[6831830944, 6831830943, 6831830942, 6831830941, 6831830937, 6831830936, 6831830935, 6831830938, 6831830940, 6831830933, 6831830932, 6831830939, 6831830934, 6831830944]",yes,"POLYGON ((113.6558403 34.7834227, 113.6558391 34.7831498, 113.6558388 34.7830883, 113.655574 34.7830891, 113.6555741 34.7831221, 113.6555272 34.7831223, 113.6555287 34.7834549, 113.6555653 34.7834548, 113.6555655 34.7834866, 113.6557122 34.7834862, 113.6557123 34.7835049, 113.6559237 34.7835043, 113.6559233 34.7834225, 113.6558403 34.7834227))"
way,729205946,"[6831830950, 6831830949, 6831830943, 6831830944, 6831830934, 6831830945, 6831830950]",yes,"POLYGON ((113.6563925 34.7831482, 113.6562199 34.7831487, 113.6558391 34.7831498, 113.6558403 34.7834227, 113.6559233 34.7834225, 113.6563937 34.7834211, 113.6563925 34.7831482))"
way,729205947,"[6831830956, 6831830948, 6831830947, 6831830946, 6831830949, 6831830950, 6831830956]",yes,"POLYGON ((113.6563915 34.782921, 113.6562933 34.7829213, 113.6562936 34.78297, 113.6562191 34.7829702, 113.6562199 34.7831487, 113.6563925 34.7831482, 113.6563915 34.782921))"
way,729205948,"[6831830957, 6831830953, 6831830952, 6831830951, 6831830957]",yes,"POLYGON ((113.6556438 34.7829232, 113.6556434 34.7828131, 113.6554655 34.7828136, 113.6554659 34.7829237, 113.6556438 34.7829232))"
way,729205949,"[6831830957, 6831830948, 6831830956, 6831830955, 6831830954, 6831830953, 6831830957]",yes,"POLYGON ((113.6556438 34.7829232, 113.6562933 34.7829213, 113.6563915 34.782921, 113.6563909 34.7827827, 113.6556432 34.7827849, 113.6556434 34.7828131, 113.6556438 34.7829232))"
way,729205950,"[6831830961, 6831830958, 6831830959, 6831830960, 6831830961]",yes,"POLYGON ((113.653366 34.7832949, 113.6537828 34.7832893, 113.6537737 34.7828313, 113.6533568 34.7828369, 113.653366 34.7832949))"
way,729205951,"[6831830976, 6831830973, 6831830974, 6831830975, 6831830976]",yes,"POLYGON ((113.6577259 34.7822695, 113.657971 34.782267, 113.65797 34.782199, 113.6577249 34.7822014, 113.6577259 34.7822695))"
way,729205952,"[6831830988, 6831830986, 6831830978, 6831830980, 6831830979, 6831830983, 6831830981, 6831830982, 6831830984, 6831830985, 6831830977, 6831830987, 6831830988]",yes,"POLYGON ((113.6566463 34.7826704, 113.6568622 34.7826682, 113.6568617 34.7826346, 113.6574376 34.7826288, 113.6574381 34.7826598, 113.6575713 34.7826585, 113.6575693 34.7825229, 113.6574166 34.7825245, 113.6574161 34.782492, 113.6568012 34.7824981, 113.6568024 34.7825829, 113.656645 34.7825844, 113.6566463 34.7826704))"
way,729205953,"[6831830992, 6831830989, 6831830990, 6831830991, 6831830992]",yes,"POLYGON ((113.6566852 34.7830757, 113.6569955 34.7830726, 113.6569923 34.7828599, 113.656682 34.782863, 113.6566852 34.7830757))"
way,729205954,"[6831831002, 6831830999, 6831831000, 6831830997, 6831830998, 6831830994, 6831830993, 6831831001, 6831830995, 6831830996, 6831831002]",yes,"POLYGON ((113.6567925 34.7834249, 113.6575495 34.7834173, 113.6575471 34.7832546, 113.6574465 34.7832556, 113.6574469 34.783286, 113.6568085 34.7832924, 113.6568082 34.7832709, 113.6566485 34.7832725, 113.6566497 34.7833525, 113.6567914 34.7833511, 113.6567925 34.7834249))"
way,729205955,"[6831831006, 6831831014, 6831831017, 6831831018, 6831831021, 6831831020, 6831831019, 6831831016, 6831831015, 6831831012, 6831831005, 6831831004, 6831831003, 6831831006]",yes,"POLYGON ((113.6576756 34.7830003, 113.6576773 34.7831168, 113.6577373 34.7831162, 113.6577397 34.7832795, 113.6579539 34.7832773, 113.6579441 34.7826198, 113.6577299 34.7826219, 113.657732 34.7827631, 113.657672 34.7827637, 113.6576733 34.7828469, 113.6576736 34.7828692, 113.6576159 34.7828698, 113.6576179 34.7830009, 113.6576756 34.7830003))"
way,729205956,"[6831831014, 6831831007, 6831831009, 6831831008, 6831831012, 6831831015, 6831831010, 6831831011, 6831831013, 6831831014]",yes,"POLYGON ((113.6576773 34.7831168, 113.6576759 34.7830213, 113.6574763 34.7830233, 113.6574737 34.7828489, 113.6576733 34.7828469, 113.657672 34.7827637, 113.6574724 34.7827657, 113.6573607 34.7827668, 113.657366 34.7831199, 113.6576773 34.7831168))"
way,729205957,"[6831831025, 6831831022, 6831831023, 6831831024, 6831831025]",yes,"POLYGON ((113.66005 34.7823201, 113.6603169 34.7823201, 113.6603169 34.7821802, 113.66005 34.7821802, 113.66005 34.7823201))"
way,729205958,"[6831831031, 6831831027, 6831831026, 6831831030, 6831831029, 6831831028, 6831831031]",yes,"POLYGON ((113.6557699 34.7822849, 113.6562829 34.7822781, 113.6562852 34.7823979, 113.656418 34.7823961, 113.6564132 34.7821506, 113.6557674 34.7821591, 113.6557699 34.7822849))"
way,729205960,"[6831831047, 6831831044, 6831831045, 6831831046, 6831831047]",yes,"POLYGON ((113.6558175 34.7812704, 113.6565834 34.7812699, 113.6565833 34.7811404, 113.6558174 34.7811409, 113.6558175 34.7812704))"
way,729205961,"[6831831059, 6831831057, 6831831058, 6831831060, 6831831061, 6831831050, 6831831063, 6831831064, 6831831062, 6831831049, 6831831048, 6831831051, 6831831054, 6831831053, 6831831052, 6831831055, 6831831056, 6831831059]",yes,"POLYGON ((113.6575389 34.7812639, 113.6575388 34.7811717, 113.6573866 34.7811718, 113.6573866 34.781138, 113.6567643 34.7811384, 113.6567644 34.7812077, 113.6567533 34.7812077, 113.6567536 34.7815436, 113.6569208 34.7815435, 113.6569206 34.7813084, 113.6568777 34.7813084, 113.6568776 34.7812484, 113.6574601 34.781248, 113.6574601 34.7813062, 113.6573685 34.7813063, 113.6573687 34.7815679, 113.6575392 34.7815678, 113.6575389 34.7812639))"
way,729205962,"[6831831070, 6831831069, 6831831068, 6831831066, 6831831065, 6831831067, 6831831070]",yes,"POLYGON ((113.6566912 34.78176, 113.6575495 34.7817595, 113.6575494 34.7816334, 113.6568099 34.7816338, 113.6568099 34.7815656, 113.6566911 34.7815656, 113.6566912 34.78176))"
way,729205967,"[6831831110, 6831831109, 6831831108, 6831831107, 6831831106, 6831831105, 6831831104, 6831831103, 6831831102, 6831831101, 6831831100, 6831831099, 6831831110]",yes,"POLYGON ((113.6595721 34.7836342, 113.6595729 34.7836865, 113.659685 34.7836854, 113.6596815 34.7834519, 113.6595694 34.783453, 113.6595698 34.7834821, 113.6584044 34.7834938, 113.6584035 34.7834365, 113.6582908 34.7834376, 113.6582947 34.7837042, 113.6584075 34.783703, 113.6584066 34.7836459, 113.6595721 34.7836342))"
way,729205968,"[6831831112, 6831831118, 6831831115, 6831831116, 6831831117, 6831831111, 6831831113, 6831831121, 6831831120, 6831831119, 6831831122, 6831831114, 6831831112]",yes,"POLYGON ((113.6595745 34.7824418, 113.6595753 34.7824942, 113.6596874 34.782493, 113.6596839 34.7822596, 113.6595718 34.7822607, 113.6595722 34.7822897, 113.6584068 34.7823014, 113.6584059 34.7822441, 113.6582932 34.7822452, 113.6582971 34.7825118, 113.6584099 34.7825107, 113.658409 34.7824535, 113.6595745 34.7824418))"
