element_type,osmid,amenity,layer,parking,geometry,nodes,access,operator,operator:type,wheelchair,name,name:zh,name:zh-Hans,name:zh-Hant
node,10583324253,parking,-1,underground,POINT (117.2652129 31.8367711),,,,,,,,,
way,298738991,parking,,surface,"POLYGON ((117.2628239 31.8393504, 117.2628449 31.8391089, 117.2622895 31.8390741, 117.2622685 31.8393156, 117.2628239 31.8393504))","[3026584618, 3026584619, 3026584620, 3026584621, 3026584618]",private,中国科学技术大学,government,yes,,,,
way,298741848,parking,,,"POLYGON ((117.2665872 31.8391363, 117.2671189 31.8391701, 117.2670968 31.839571, 117.2670298 31.8395664, 117.2670271 31.8396165, 117.2668528 31.8396097, 117.266614 31.8395824, 117.2665765 31.8395573, 117.2665926 31.8394958, 117.2666033 31.8393659, 117.2665604 31.8393431, 117.2665872 31.8391363))","[3026593091, 3026593092, 3026593093, 3026593094, 3026593095, 3026593096, 3026593097, 3026593098, 3026593099, 3026593101, 3026593100, 3026593091]",private,中国科学技术大学,government,,,,,
way,298742275,parking,,surface,"POLYGON ((117.2606458 31.8364136, 117.2606807 31.8359631, 117.2606136 31.8359594, 117.2605786 31.8364099, 117.2606458 31.8364136))","[3026602342, 3026602343, 3026602344, 3026602345, 3026602342]",,,,,,,,
way,306371642,parking,,,"POLYGON ((117.2620439 31.8408063, 117.2619956 31.8408079, 117.2619045 31.8406799, 117.2620115 31.8406254, 117.2621617 31.8406231, 117.2623065 31.8406504, 117.2624353 31.840671, 117.2626311 31.8406823, 117.2626733 31.8407146, 117.2626557 31.8409327, 117.2627008 31.8409354, 117.2626727 31.841334, 117.2626324 31.8413329, 117.2624125 31.8413181, 117.2624358 31.84093, 117.2625637 31.8409347, 117.2625692 31.8408256, 117.2620439 31.8408063))","[3112589323, 3112589313, 3112589287, 3112589288, 3112589289, 3112589290, 3112589291, 3112589292, 3112589295, 3112589829, 3112589830, 3112589326, 3112589831, 3112589837, 3112589317, 3112589325, 3112589324, 3112589323]",private,中国科学技术大学,government,yes,校车管理中心,校车管理中心,校车管理中心,校車管理中心
way,306495982,parking,,,"POLYGON ((117.2658634 31.8395777, 117.2658703 31.8394909, 117.266539 31.8395294, 117.2665321 31.8396162, 117.2658634 31.8395777))","[3114535080, 3114535081, 3114535082, 3114535083, 3114535080]",private,中国科学技术大学,government,,,,,
way,315718867,parking,,surface,"POLYGON ((117.261845 31.8399322, 117.2628142 31.8399963, 117.2628707 31.8393784, 117.2622476 31.8393372, 117.2622163 31.8396798, 117.2620804 31.8396722, 117.2620538 31.8396703, 117.2618702 31.8396569, 117.261845 31.8399322))","[3218508632, 3218508633, 3218508634, 3218508635, 3218508636, 10588133345, 10588133340, 3218508637, 3218508632]",private,中国科学技术大学,government,yes,,,,
way,686071141,parking,,,"POLYGON ((117.2632123 31.8366229, 117.2632326 31.8364088, 117.2638872 31.8364537, 117.2638709 31.8366644, 117.2632123 31.8366229))","[6430302671, 6430302672, 6430302673, 6430302674, 6430302671]",private,中国科学技术大学,government,yes,,,,
