element_type,osmid,nodes,natural,water,geometry,name,name:en,name:zh,name:zh-Hans,name:zh-Hant,ways,type
way,264871517,"[3027002401, 3027002403, 3027002406, 3027002402, 3027002400, 3027002401]",water,basin,"POLYGON ((117.2636703 31.8404371, 117.2636835 31.8402694, 117.2637089 31.8402708, 117.2637295 31.840272, 117.2637164 31.8404397, 117.2636703 31.8404371))",,,,,,,
way,290098995,"[2936364196, 2936365012, 2936365011, 2936365010, 2936364200, 2936365009, 2936364197, 2936365008, 2936365007, 2936365006, 2936365005, 2936365015, 2936365014, 2936365055, 2936365016, 2936365004, 2936365019, 2936364198, 2936365020, 2936365017, 2936365063, 2936365018, 2936364199, 2936365021, 2936365003, 2936365002, 2936365001, 2936365013, 2936364196]",water,pond,"POLYGON ((117.262934 31.841943, 117.2629725 31.8419577, 117.2630037 31.8419489, 117.263082 31.8419566, 117.2631639 31.8419736, 117.2632139 31.8420228, 117.2632879 31.842067, 117.2633239 31.8420466, 117.2633379 31.841994, 117.2633439 31.8419328, 117.2633239 31.8418853, 117.263342 31.8418121, 117.2633763 31.8417716, 117.2633836 31.8417493, 117.2633986 31.8417273, 117.2634046 31.8416729, 117.263424 31.8416058, 117.2633971 31.8415729, 117.2633271 31.8415488, 117.2632586 31.8415387, 117.2632127 31.8415266, 117.2631244 31.8415033, 117.262998 31.8415201, 117.2629739 31.8415906, 117.26294 31.8416543, 117.262948 31.8417766, 117.26292 31.8418513, 117.2629158 31.8419071, 117.262934 31.841943))",眼镜湖,Spectacles Pond,眼镜湖,眼镜湖,眼鏡湖,,
relation,11542038,"[[[7841884563, 7841884562, 7841884561, 7841884560, 7841884559, 7841884558, 7841884557, 7841884556, 7841884555, 7841884554, 7841884563], [2936365022, 7821589953, 2936365042, 2936365023, 7811811654, 2936365024, 2936365025, 2936365040, 2936365039, 2936365026, 7811811653, 2936365038, 2936365027, 2936365036, 2936365037, 2936365028, 2936365035, 2936365029, 2936365034, 2936365030, 2936365049, 2936365050, 2936365048, 2936365051, 2936365031, 2936365047, 2936365032, 2936365046, 2936365045, 2936365033, 2936365044, 2936365022]]]",water,pond,"POLYGON ((117.2638641 31.842135, 117.2640014 31.8422184, 117.2640495 31.8422346, 117.2641142 31.8422401, 117.2641538 31.8422358, 117.2641785 31.8422238, 117.2641965 31.842211, 117.264212 31.8421942, 117.2642243 31.8421595, 117.2642295 31.8421314, 117.2642329 31.8421006, 117.2642391 31.8419926, 117.2642411 31.8418939, 117.2642495 31.841819, 117.2642448 31.841759, 117.2642271 31.8416957, 117.2641976 31.841638, 117.2641515 31.8416103, 117.2640841 31.8416075, 117.2640062 31.841619, 117.2639421 31.8416297, 117.2638813 31.8416338, 117.2638036 31.8416511, 117.2637438 31.841685, 117.2637303 31.8417468, 117.2637306 31.8418212, 117.2637243 31.8418894, 117.2637218 31.8419306, 117.2637229 31.841987, 117.2637446 31.8420297, 117.263806 31.8420846, 117.2638641 31.842135), (117.2639465 31.8420498, 117.2639546 31.8420065, 117.2639787 31.8419838, 117.2640418 31.8419758, 117.2641088 31.8420008, 117.2641329 31.8420407, 117.2641195 31.842092, 117.2640914 31.8421091, 117.2640371 31.8421096, 117.263974 31.8420772, 117.2639465 31.8420498))",眼镜湖,Spectacles Pond,眼镜湖,眼镜湖,眼鏡湖,"[840391562, 290098996]",multipolygon
relation,11543195,"[[[3112611533, 3112611534, 3112611535, 3112611536, 3112611537, 3112611538, 3112611539, 3112611540, 3112611541, 3112611542, 3112611543, 3112611544, 3112611545, 3112611546, 3112611547, 3112611548, 7842893288, 7842893289, 7842893286, 7842884981, 7842893287, 3112611549, 7842884980, 3112611570, 7842872473, 3112611550, 3112611551, 7842872472, 3112611552, 3112611553, 3112611554, 3112611555, 3112611556, 3112611557, 3112611558, 3112611559, 3112611560, 3112611561, 3112611562, 3112611564, 3112611563, 3112611533]]]",water,pond,"POLYGON ((117.2653601 31.8406354, 117.2653847 31.8406256, 117.2653976 31.8406069, 117.2654365 31.8403791, 117.2654405 31.8403409, 117.2654352 31.840305, 117.2654124 31.8402834, 117.2653808 31.8402765, 117.2653272 31.8402674, 117.26524 31.8402651, 117.2650902 31.8402543, 117.2650434 31.8402532, 117.2650114 31.8402609, 117.2649963 31.840274, 117.2649859 31.8402865, 117.2649799 31.8403107, 117.2649688 31.8405181, 117.2649601 31.8405394, 117.2649416 31.8405502, 117.2648196 31.840546, 117.2648094 31.840541, 117.2648043 31.8405346, 117.2648005 31.8405159, 117.2647892 31.8405064, 117.264772 31.8405027, 117.2646627 31.8405078, 117.2646476 31.8405269, 117.2646489 31.8405562, 117.2646737 31.840581, 117.2647869 31.8405935, 117.2648332 31.8405969, 117.2648963 31.8406014, 117.2649506 31.8406043, 117.2650249 31.8406128, 117.2650686 31.8406151, 117.2651202 31.8406111, 117.2651636 31.8406024, 117.2652171 31.8405978, 117.2652655 31.8406075, 117.2653128 31.8406271, 117.2653326 31.8406337, 117.2653601 31.8406354))",桃花坞（刘斌湖）,,桃花坞（刘斌湖）,桃花坞（刘斌湖）,桃花塢（劉斌湖）,[306373626],multipolygon
